// race-specific variables (must start with _)
_empire                           | Hiva Kholdan, Hiva Klackant, Hiva Klockan, Hiva Arthropon, Hiva Coleopteron
_race                             | Kholdan, Klackant, Klockan, Arthropon, Coleopteron
_race_plural                      | Kholdan, Klackant, Klockan, Arthropon, Coleopteron
_title                            | Pemimpin
_nameTitle                        |

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Penasehat %2
MAIN_ADVISOR_BUTTON_OK            | Bubar
MAIN_ADVISOR_SCOUT                | Setidaknya kapal-kapalku sudah mencapai tahap penyelesaian. Aku harus gunakan kapal-kapal kecilku untuk menemukan dunia-dunia baru untuk mendaratnya kapal-kapal koloniku.
MAIN_ADVISOR_TRANSPORT            | Aku sudah mempersiapkan diriku di dunia baru ini dan aku harus mengirimkan lebih banyak lagi dari tempat asalku untuk mengembangkannya. Tidak ada hidup baru di sini, jadi akan kulanjutkan pencarianku.
MAIN_ADVISOR_DIPLOMACY            | Akhirnya hidup baru! Betapa anehnya berkomunikasi dengan suara dan gerak tubuh. Aku harus menyelidiki baik-baik informasi intelijen dan cara diplomasi yang aku tahu tentang mereka sebelum melakukan tindakan selanjutnya.
MAIN_ADVISOR_SHIP_ENGINE          | Aku terus mengembangkan perbaikan dari mesin pesawat ruang angkasaku. Aku harus melihat lagi desain kapalku untuk mengintegrasikannya dalam armadaku.
MAIN_ADVISOR_RALLY_POINTS         | Mengapa mereka menyerangku? Aku tidak mengerti. Aku harus memilih titik reli untuk kapal-kapalku untuk pergi mempertahankan diri sambil berusaha memahami mengapa semua ini terjadi.
MAIN_ADVISOR_MISSILE_BASES        | Aku lihat sekarang bahwa tidak semua makhluk hidup telah mempelajari manfaat kerjasama. Aku harus menguatkan dunia luarku dengan basis misil untuk mempertahankan keamanan wilayah milikku.
MAIN_ADVISOR_SHIP_WEAPON          | Aku terus maju, dan teknologi senjataku akan memberiku lebih banyak kekuatan segera setelah aku menyatukan mereka dalam desain kapalku.
MAIN_ADVISOR_COUNCIL              | Hebat! Pertemuan banyak spesies akan segera dilakukan. Bentuk makhluk hidup seperti apa yang akan berkumpul di dalamnya? Jika aku menempatkan diri di bawah cahaya yang lebih terang di antara mereka yang kukenal, mungkin mereka akan memudahkan perkenalanku dengan spesies baru manapun.
MAIN_ADVISOR_REBELLION            | Apa ini? Aku telah kehilangan kontrol diriku di hadapan %1. Tidak masalah, aku cuma perlu ke sana dan menunjukkan kepada mereka bahwa aku yang memimpin di sini.
MAIN_ADVISOR_RESIST_COUNCIL       | Tidak mungkin! Bahwa ada yang lain yang dipilih untuk memimpin para penjilat bodoh ini di saat kebijaksanaanku tetap diabaikan! Tapi tidak masalah: aku akan mengakhiri mereka semua segera! 
MAIN_ADVISOR_COUNCIL_RESISTED     | Mengapa makhluk-makhluk bodoh ini ngotot bersikap menentang? Majelis ini adalah milikku, galaksi ini adalah milikku, dan kini mereka akan mengetahui tempat mereka dalam kekuasaanku! 

MAIN_SCOUT_TITLE                  | Aku Mengeksplorasi Sistem Bintang Baru.
MAIN_COLONIZE_TITLE               | Aku mengelilingi %1, suatu sistem yang belum berkoloni.
MAIN_COLONIZE_ANIMATION_TITLE     | Pada tahun %1, kubentuk koloni baru.
MAIN_ALERT_SPY_CAPTURED           | Aku telah menangkap seorang mata-mata dari [alien_empire], memaksakan pengakuan aktivitas %2 mereka.
MAIN_ALERT_TRANSPORTS_KILLED      | Usahaku untuk mencapai %2 telah dihentikan oleh angkatan pertahanan [alien_race].
MAIN_ALERT_INVADERS_KILLED        | Transportasi [alien_race] yang mencoba menyerang %2 telah sepenuhnya kuhancurkan.
MAIN_BOMBARD_TITLE                | Aku mengelilingi satu koloni [alien_race] milik musuh.

TECH_RESEARCH_COMPUTER            | Aku harus memilih teknologi komputer berikutnya untuk kufokuskan penggunaannya.
TECH_RESEARCH_CONSTRUCTION        | Aku harus memilih teknologi konstruksi berikutnya untuk kufokuskan penggunaannya.
TECH_RESEARCH_FORCE_FIELD         | Aku harus memilih teknologi lapangan perang untuk kufokuskan penggunaannya.
TECH_RESEARCH_PLANETOLOGY         | Aku harus memilih teknologi planetologi berikutnya untuk kufokuskan penggunaannya.
TECH_RESEARCH_PROPULSION          | Aku harus memilih teknologi kemajuan berikutnya untuk kufokuskan penggunaannya.
TECH_RESEARCH_WEAPON              | Aku harus memilih teknologi senjata berikutnya untuk kufokuskan penggunaannya. 
TECH_DISCOVERY_TITLE              | Aku meraih terobosan pada %1 
TECH_SCOUTED_TITLE                | Saat mengeksplorasi puing-puing %1, kutemukan teknologi baru.
TECH_STOLEN_TITLE                 | Aku telah menyusup ke pusat penelitian %1 di %2.
TECH_TRADED_TITLE                 | Aku memperoleh teknologi dari ilmuwan [alien_race].
TECH_PLUNDERED_TITLE              | Saat mencuri puing-puing %1, kutemukan teknologi baru.
TECH_ALLOCATE_SHIELD              | Haruskah kutingkatkan rasio pertahanan dari semua koloniku untuk membangun perisai planet baru? 
TECH_ALLOCATE_MISSILE_BASES       | Haruskah kutingkatkan rasio pertahanan dari semua koloniku untuk meningkatkan basis misilku?
TECH_ALLOCATE_FACTORIES           | Haruskah kutingkatkan rasio indurtri dari semua koloniku untuk memperbaiki kontrol pabrikku?
