// race-specific variables (must start with _)
_empire                           | Meklonar Dominion, Mechanar Dominion, Cybernar Dominion, Digitar Dominion, Technar Dominion
_race                             | Meklonar, Mechanar, Cybernar, Digitar, Technar
_race_plural                      | Meklonar, Mechanar, Cybernar, Digitar, Technar
_title                            | Wasit Agung
_nameTitle                        | Wasit Agung

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Penasehat %1
MAIN_ADVISOR_BUTTON_OK            | Bubar
MAIN_ADVISOR_SCOUT                | Armada disiapkan untuk eksplorasi dan kolonisasi. Menunggu pengarahan untuk melanjutkan operasi. 
MAIN_ADVISOR_TRANSPORT            | Koloni pertama ditemukan di dunia terdekat. Disebut sebagai "%1." Bisa mengakomodasi populasi tambahan %2. Bisa memindahkan populasi dari %3 untuk menambah populasi. 
MAIN_ADVISOR_DIPLOMACY            | Spesies baru terdeteksi. Disebut sebagai "%1." Menunggu instruksi lebih lanjut dari Mainframe.
MAIN_ADVISOR_SHIP_ENGINE          | Riset menuju perkembangan berarti lontaran selesai. Diskusikan dengan para insinyur tentang bagaimana cara menerapkan desain baru. 
MAIN_ADVISOR_RALLY_POINTS         | Spesies "%1" telah bertindak untuk mencegat penemuan protokol keabadian. Buat titik kumpul untuk memusatkan armada dan menyerang mereka. 
MAIN_ADVISOR_MISSILE_BASES        | Permintaan dari divisi militer: bangun basis misil pertahanan pada permukaan dunia luar. Akan membuat pertahanan planet-planet dari serangan eksternal.
MAIN_ADVISOR_SHIP_WEAPON          | Riset menuju persenjataan kekuatan tinggi selesai. Diskusikan dengan para insinyur tentang bagaimana cara menerapkan desain baru.
MAIN_ADVISOR_COUNCIL              | Pemberitahuan untuk penggabungan kekaisaran antarbintang. Disebut sebagai "Majelis Galaksi." Akan mengirim delegasi untuk memastikan keinginan Mainframe dinyatakan dengan jelas. 
MAIN_ADVISOR_REBELLION            | Peringatan. Program liar menginfeksi koloni di %1. Harus melanjutkan pemusnahan yang berdampak pada Meklonar untuk memastikan solidaritas Dominion. 
MAIN_ADVISOR_RESIST_COUNCIL       | Pemimpin baru dari Majelis Galaksi dicatat sebagai ancaman bagi tujuan Dominion. Kerahkan semua angkatan bersenjata untuk menyingkirkan pemimpin dan sekutunya.
MAIN_ADVISOR_COUNCIL_RESISTED     | Pemberontakan oleh spesies musuh yang dipilih secara salah. Dominion kini memerintah galaksi yang kita kenal. Kirimkan semua armada untuk membungkam mereka yang menentang. 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Teringat dengan getir akan batas hidupmu...#Impianmu tergeletak tanpa pencapaian seperti halnya peradabanmu tergeletak di antara reruntuhan. Sebentuk alien yang membentuk kekaisaran sainganmu memiliki kekuatan lebih dari yang bisa kau setarai meski kau memiliki bioteknologi superior yang tidak terkalahkan. Meski kau nyatakan berulang-ulang bahwa orang-orangmu tidak mencari apapun kecuali dibiarkan mencari teknologi pemanjang umur, sainganmu melakukan apapun yang mereka bisa untuk mencegah ambisimu di setiap kesempatan.  Entah karena ketakutan, untuk kompetisi, atau mungkin tanpa alasan sama sekali, mereka memilih untuk mencegatmu, dan sekarang orang-orangmu telah musnah selamanya.#Di lain waktu, di kenyataan yang lain, orang-orangmu pasti sudah menemukan keabadian hidup yang mereka cari dan berubah menjadi orang-orang yang dapat merasakan kebahagiaaan kehidupan abadi yang mereka jalani bersama. Dan pada keabadian itu, pada kenyataan itu, ketika waktu tidak lagi menjadi tuan mereka, Meklonar pasti telah membuka rahasia alam semesta dan eksistensinya sendiri. Pada kenyataan ini, meski demikian, orang-orangmu sudah tidak ada, dan Mainframe terbaring rusak di kedalaman Meklon, tidak bisa memberi saran bijaksana apapun lagi...
GAME_OVER_MILITARY_WIN2           | Tidak ada penghalang lagi dalam pencarian keabadian!#Yang diinginkan makhluk sejenismu hanyalah dibiarkan untuk mengejar impian mereka akan kehidupan yang abadi. Sejak berabad-abad lalu ketika kau mulai menggunakan tubuh mekanis, hal ini saja yang menjadi faktor pendorong yang menjadi jantung peradaban Meklonar. Tapi bagi Mainframe, semakin tampak bahwa bentuk alien yang kautemui dalam perjalananmu menjadi ancaman bagi apa yang orang-orangmu ingin peroleh. Saat keputusan untuk perang telah dibuat, militermu bergerak tanpa ragu, menghantam siapa saja musuhmu satu per satu sampai tidak ada satupun yang tersisa.#Dengan tidak adanya saingan untuk mengalihakanmu atau menyimpan rahasia demi diri mereka sendiri, kau kini bebas meraih tujuan utamamu sekehendak hatimu. Seluruh galaksi ini penuh dengan sumber daya yang akan memudahkanmu menemukan jawaban yang kau cari di saat kau menyebarkan peradabanmu pada setiap sudut di dalam pengejaran impianmu. Dan saat orang-orangmu akhirnya menyelesaikan apa yang mereka rencanakan sejak lama, seluruh galaksi dan buahnya akan menjadi milikmu untuk kaunikmati selamanya...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Dengan ditumpasnya musuhmu, kini kau bisa fokus dalam keabadian...#"Apa yang mendorong makhluk-makhluk ini untuk meneruskan berperang pada orang-orang kita?" Itulah pertanyaan yang kini menyelimuti Mainframe. Demi itu, semua pikiran Meklonar dibuat bingung mengapa makhluk yang tampaknya cerdas malah bertindak untuk mempercepat kematian mereka dengan menghimpit diri mereka sendiri melawan angkatan bersenjatamu. Dan seperti halnya yang telah diramalkan oleh kecerdasan superior yang memandu masyarakatmu, begitu jugalah mereka jatuh.#Untungnya, tidak semua dari mereka begitu bodoh untuk berpikir bahwa mereka mampu menghentikanmu meraih cita-citamu akan keabadian. Kau mampu membuat para sekutu membantumu dalam perang, dan membuat bencana yang dihadapi musuhmu secara nyata. Kau senang bisa membagi sumber daya dan rahasia galaksi ini dengan mereka yang telah bekerja keras di sisimu. Dan ketika saatnya tiba bahwa orang-orangmu meraih tujuan mereka akan hidup yang abadi, mungkin kau akan bahagia untuk membaginya dengan sekutumu juga. Mungkin...




// When the aliens known as "%6" had become the rulers of the New Republic, the Mainframe knew that no future existed for your civilization under the heel of such an oppressive and vindictive empire. Though your people knew that the likelihood of victory against the combined fleets of the galaxy, they marched forward into war gladly, believing in the wisdom of your ancient oracle above all else. With vigor and determination, the Meklonar have fought long and hard, and now at last, they have won.#No one remains who is capable of thwarting or even impeding your people in their quest for immortality. The knowledge of your fallen rivals will soon be extracted, studied, and used or discarded as you deem fit. Every world in this galaxy is yours for the taking, as are any secrets that they contain. It is only a matter of time before time itself no longer matters, for in the very near future your people will learn to cheat death and live forever...


GAME_OVER_COUNCIL_WIN2            | Tidak ada lagi penghalang dalam pencarian keabadian!#Meklonar sekarang sampai pada posisinya sebagai pemimpin galaksi ini! Orang-orangmu selalu menjadi yang paling teguh dari semua kekaisaran yang punya tujuan untuk menaklukkan bintang-bintang. Kini kesabaran mereka telah membawa mereka kepada masa depan ini di mana keinginan mereka akan membentuk masa depan bintang-bintang yang tidak terhitung ini. Perjalananmu demi keabadian adalah mutlak, dan sekarang kau memimpin Republik Baru tanpa lawan, semua sumber daya di galaksi ini berada dalam kendalimu.#Kecerdasan terhebat dari kekaisaran bawahanmu akan digunakan sebaik-baiknya dalam membuka rahasia yang akan membawa kepada kehidupan abadi bagi orang-orangmu. Bahkan mantan sainganmu yang paling ganas akan dibuat menyerah dalam kepasrahan dengan ancaman yang kini dapat kau bawa untuk melawan mereka. Dengan adanya Mainframe untuk memandumu dan tekad dari orang-orangmu yang lebih kuat dari sebelumnya, kau boleh merasa tenang tanpa keraguan bahwa keabadian kini telah menjadi sesuatu yang tak terelakkan! 
GAME_OVER_COUNCIL_MILITARY_WIN2   | Tidak ada lagi penghalang dalam pencarian keabadian!#Pada akhirnya diplomasi tidak penting ini berakhir juga. Sudah terlalu lama kau dipaksa menanggung keadaan membosankan berupa perundingan dengan spesies yang lebih rendah dan motivasi sepele mereka. Kau berharap itu akan selesai ketika kau menjadi Pemimpin Republik Baru, memungkinkanmu untuk menghabiskan waktu lebih sedikit dengan detail kecil untuk merayu sainganmu dan menghabiskan lebih banyak waktu untuk fokus kepada pencarian keabadian. Tapi hidup ini memang jarang berjalan lancar, dan tentu saja akan ada pihak lain yang menolak kau naik tahta dan berdiri melawanmu. Untungnya, kau tahu cara pasti untuk mengakhiri semua hal yang mengalihkan perhatian ini untuk sekali ini dan selamanya.#Dengan sekali kemarahan, kau mengarahkan armadamu dan armada sekutumu untuk membasmi pemberontakan itu tanpa prasangka. Dengan jatuhnya planet-planet musuhmu secara bergiliran, kau mendekat kepada kemungkinan untuk mengejar impian terbesarmu secara bebas. Sekarang pemberontakan telah berakhir, kalian semua terlalu senang untuk membiarkan sekutumu berusaha meraih apapun tujuang mereka yang lebih rendah. Kau akan terlalu sibuk untuk menjadi seorang immortal untuk khawatir tentang mereka juga!
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Teringat dengan getir akan batas hidupmu...#Kejadian-kejadian yang membawamu pada titik ini sangatlah tidak dapat diramalkan sampai Mainframe tidak merasa itu semua mungkin terjadi. Setiap langkah dalam rencanamu berjalan sesuai dengan prediksi Mainframe, dari posisi diplomatis yang nyaman yang kau tempati di antara kekaisaran di galaksi ini sampai ketika kau dianugrahkan posisi Pemimpin Republik Baru. Suatu ketidaksetujuan yang cukup kuat untuk memicu pemberontakan selalu mungkin terjadi, dan ketika satu pemberontakan mulai terbentuk kau tidak lagi terkejut. Yang gagal kau sadari, dan gagal menganggapi hal tersebut, adalah kekuatan melimpah yang dimiliki para pemberontak, dan kini harganya harus kau bayarkan.#Meski kebanyakan pemimpin di Republik Baru berdiri di sisimu dan menggerakkan armada mereka untuk mempertahankan pemerintahan persatuan mereka, kau tidak berdaya di hadapan pemberontakan yang tadinya kau yakini bisa kau tumpas. Dengan runtuhnya kekaisaranmu, impian rakyatmu untuk meraih umur panjang yang abadi mati juga dengan mereka. Dan seperti halnya sekutumu yang jatuh di pihakmu, jatuh juga harapan dan impian mereka masa depan yang damai untuk semua...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | ketepatan mekanis Meklonar memakan semuanya
GAME_OVER_REBELLION_LOSS3         | kekejaman Meklonar yang dingin

// In races/Meklar.labels.txt
