// race-specific variables (must start with _)
_empire                           | Fiershan Clan, Prrshan Clan, Mewshan Clan, Clawshan Clan, Hisshan Clan
_race                             | Fiershan, Prrshan, Mewshan, Clawshan, Hisshan
_race_plural                      | Fiershan, Prrshan, Mewshan, Clawshan, Hisshan
_title                            | Khan
_nameTitle                        | Khan

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Penasehat %1
MAIN_ADVISOR_BUTTON_OK            | Bubar
MAIN_ADVISOR_SCOUT                | Ah-ha! Armada pertama kita siap! Ayo kita gunakan untuk menemukan dunia baru dengan musuh yang memiliki banyak harta untuk kita ambil.
MAIN_ADVISOR_TRANSPORT            | Kita telah mengambil alih wilayah di %1. Semakin banyak di antara kita yang pindah dari %3, semakin cepat kita akan menemukan harta rampasan yang dimiliki dunia baru ini.
MAIN_ADVISOR_DIPLOMACY            | Kita telah berhubungan dengan ras alien baru! Menurutmu apakah mereka akan terbukti merupakan musuh yang kuat, atau apakah harta mereka mudah direbut?
MAIN_ADVISOR_SHIP_ENGINE          | Kita telah menemukan cara untuk meningkatkan kemampuan mesin-mesin kita dan membuat kapal kita lebih cepat! Jika kita memadukan mesin itu kepada desain kapal kita, serangan kita terhadap dunia musuh akan menjadi lebih efisien!
MAIN_ADVISOR_RALLY_POINTS         | Khan! Perang telah menimpa kita! Khanate akan menghormati komitmen mereka untuk bersatu denganmu saat ini, jadi tetapkanlah titik pemberangkatan untuk memerintahkan mereka ke mana harus mengirim armada mereka!
MAIN_ADVISOR_MISSILE_BASES        | Dunia tapal batas yang berada di bawah kendali kita rawan diserang musuh! Mari kita bangun basis misil untuk mencegah mereka jatuh ke tangan musuh.
MAIN_ADVISOR_SHIP_WEAPON          | Kita berhasil mengembangkan senjata baru yang juat untuk penggunaan pada kapal kita. Persenjataan ini tentu saja akan mengacaukan angkatan perang musuh begitu kita masukkan senjata ini ke dalam desain kapal kita.
MAIN_ADVISOR_COUNCIL              | Pertemuan banyak pihak akan segera kita adakan, tetapi kata mereka ini untuk diplomasi, bukan untuk perang. Aneh, bukan? Meski begitu, kita sebaiknya tetap menghadiri "Majelis Galaksi" ini, jika tidak ada tujuan tercapai kita bisa meredakan amarah kekaisaran lain yang gusar.
MAIN_ADVISOR_REBELLION            | Apakah kau sedang kurang enak badan, Khan? Ada pemberontakan di %1 dan kau belum memberikan perintah untuk membekuk mereka.
MAIN_ADVISOR_RESIST_COUNCIL       | Apakah mereka pikir kita akan diam saja dan membiarkan mereka membuat perdamaian para pengecut di seluruh galaksi seperti itu? Ayo kita mulai menyerang, Khan: orang-orang kita merasa gatal ingin merebut harta! 
MAIN_ADVISOR_COUNCIL_RESISTED     | Para pemberontak itu menolak pemerintahan kita! Ayo tunjukkan kepada mereka sikap resmi kita: yang kuat mengambil, yang lemah memberi! 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Hartamu yang sangat kau banggakan itu sekarang bebas kami ambil...#Awak Armada Khanate yang menakutkan pernah menyerang bagaikan kilat hantu dulu menyebabkan seluruh peradaban ketakutan mengadakan perjalanan yang terlalu jauh dari tempat asal. Pada puncak kejayaanmu, kau mengambil kekayaan seluruh peradaban dan menambahkan harta tersebut ke dalam lumbung harta yang menyimpan peninggalan antik dari ratusan dunia. Tapi sepertinya karena adanya kebodohan, kesombongan, keakusan, atau kombinasi beberapa di antaranya, orang-orangmu akhirnya menemukan musuh yang terbukti lebih kuat dari yang mampu mereka atasi. Dan saat musuh-musuh ini tersinggung, kau tidak punya daya untuk mencegah nasib yang kini telah menimpamu. #Kabar burung akan kedatangan armada Fiershan dulu menyebabkan seluruh sistem bintang guncang dalam rasa takut. Kini orang-orangmu telah ditiadakan dari galaksi ini, meninggalkan hanya sekedar kisah hantu untuk menakut-nakuti anak-anak dari pada pemenang agar mereka berkelakuan baik. Harta berhargamu yang sebelumnya kau peroleh dari begitu banyak dunia, telah dibawa kabur jauh-jauh dan ditempatkan pada rumah para penguasa kaya atau museum: kini menjadi barang antik dari masa lalu yang jauh, tepat seperti nasib orang-orangmu...
GAME_OVER_MILITARY_WIN2           | Harta di galaksi ini adalah hakmu jika kau ingin mengambilnya!#Pada malam ini, seluruh permuakaan dunia asalmu meledak dalam seruan merayakan kemenangan besar milik rakyatmu. Karena malam ini adalah awal zaman baru, di mana Khanate Fiershan menjadi satu-satunya yang mendominasi galaksi. Apa yang dulunya dimulai sebagai serangan ringan untuk kekayaan dan kemasyhuran pada akhirnya menjadi kampanye berskala besar yang terbentang di antara planet-planet, sistem bintang, dan akhirnya di seluruh galaksi yang kita kenal. Melawan segala ketidakmungkinan, dan melawan semua yang menantangmu, setiap kekaisaran lain telah runtuh di bawah tubuh kekuatan dan kemarahanmu yang meluap-luap.#Dengan jatunya saingan yang lebih lemah kepadamu satu per satu, rakyatmu merasa tidak perlu mencari sekutu. Sambil menghindari pekerjaan yang merepotkan dalam keterkaitan politik dan diplomasi, kau telah mengambil kekuatan terakhir yang melawanmu, dan harta rampasan dari ribuan dunia sekarang menjadi hakmu. Dan jika galaksi ini telah memberimu semua yang dimilikinya, merugilah mereka yang tinggal di bintang-bintang yang lebih jauh dari ini. Mereka akan bergetar ketika kau datang, dan harta mereka juga akan menjadi milikmu, apapun artinya itu...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Harta kemewahan di galaksi ini adalah untukmu dan sekutumu...#Serbuanmu akhirnya melahirkan buah bernilai gemilang tiada tara. Dari serangan awalmu hingga saat berdiplomasi, terbukti bahwa budaya kebanggaanmu tidak akan bisa berdampingan secara damai dengan mereka yang menyimpan harta karun yang begitu menggiurkan tanpa adanya kekuatan untuk mempertahankannya. Kau tahu perang tidak akan dapat dihindari. Tapi secara mengejutkan kau menemukan makhluk lain di kedalaman ruang angkasa yang tidak hanya memiliki kekuatan untuk mempertahankan harta kemewahan mereka, tapi juga minat untuk menambah simpanan mereka juga.#Bersama-sama kau dan sekutumu memulai perang sebagaimana yang sering diceritakan dalam legenda yang tidak akan lekang oleh waktu. Kalian berbagi dalam perjalanan dan berpenampilan seperti kaum orang kaya. Dengan berbaring lemahnya musuhmu di jalan masa depanmu, kau hanya bisa membagi harta dan bersenang-senang dalam semangat kemenangan. Tapi sebagai peringatan, Khan Emas: betapapun setianya sekutumu bertarung di sisimu, mereka yang mengincar emas mungkin akan mengarahkan pandangan mereka kepada teman sendiri di saat tidak ada lagi musuh dengan harta yang siap direbut...treasure ripe for the taking...
