// race-specific variables (must start with _)
_empire                           | Republik Mentaran, Republik Mentalon, Republik Psychon, Republik Cerebron, Republik Neuralon
_race                             | Mentaran, Mentalon, Psychon, Cerebron, Neuralon
_race_plural                      | Mentaran, Mentalon, Psychon, Cerebron, Neuralon
_title                            | Konsilor Agung
_nameTitle                        | Konsilor Agung


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Penasehat %1
MAIN_ADVISOR_BUTTON_OK            | Bubar
MAIN_ADVISOR_SCOUT                | Konsilor Agung, armada eksplorasi kita sudah siap. Tidakkah kauanggap sangat membanggakan bagi kami untuk menemukan dunia baru dan menciptakan tempat tinggal di sana secepatnya?
MAIN_ADVISOR_TRANSPORT            | Koloni baru kita telah terbentuk. Majelis sekarang sedang mempertimbangkan berapa banyak orang-orang kita yang harus kita kirimkan ke sana menggunakan kapal transport, jika kita memang memutuskan untuk mengirim orang kita.
MAIN_ADVISOR_DIPLOMACY            | Dari kedalaman ruang angkasa, suatu peradaban yang benar-benar baru telah muncul! Aku berdoa semoga mereka lebih suka kebersamaan dalam perdamaian dibanding kekerasan. 
MAIN_ADVISOR_SHIP_ENGINE          | Para ilmuwan kami telah menjalankan perkembangan yang stabil pada teknologi mesin kapal bintang kami. Perwakilannya sekarang menghadap majelis untuk menawarkan saran mengenai bagaimana cara terbaik untuk menggunakan kapal-kapal tersebut. 
MAIN_ADVISOR_RALLY_POINTS         | Sangat disayangkan, tetapi Republik kini baru menyadari adanya perang di sekitarnya. Majelis harus memutuskan titik pengumpulan armada kita untuk memastikan koloni kita tetap aman.
MAIN_ADVISOR_MISSILE_BASES        | Daripada mengerahkan armada perang, kita bisa membangun basis misil pertahanan pada koloni kita untuk melindungi mereka dari serangan. Majelis ingin mendengar pendapatmu mengenai dunia mana yang paling baik untuk ditempati basis seperti ini. 
MAIN_ADVISOR_SHIP_WEAPON          | Majelis sedang berdebat panas mengenai desain terbaru untuk persenjataan kapal. Beberapa pihak ingin senjata tersebut dihancurkan secepatnya, tapi kita boleh berharap untuk mengubah desain kapal kita sebagai pertimbangan proaktif murni.
MAIN_ADVISOR_COUNCIL              | Sebentar lagi akan ada pertemuan yang membahagiakan bagi para pembesar yang hebat dan berkuasa di galaksi ini. Kita harus menghadiri Majelis Galaksi dan mendengarkan kebijaksanaan para tetangga angkasa kita.
MAIN_ADVISOR_REBELLION            | Adalah mengejutkan bahwa populasi %1 memilih untuk menjawab ketidaksepakatan dengan cara ini. Majelis telah memberimu izin untuk pergi menangani ini segera, bahkan sebelum mereka mendengar masalah ini.
MAIN_ADVISOR_RESIST_COUNCIL       | Rasanya meresahkan bahwa semua usaha kita telah berujung pada perang ini, tapi jika satu-satunya pilihan adalah menyerah kepada majelis penyulut perang ini maka aku tidak melihat pilihan lain bagi rakyat kita! 
MAIN_ADVISOR_COUNCIL_RESISTED     | Tidakkah kau sedih melihat pihak-pihak lain menolak perdamaian dengan begitu ngototnya? Persiapkan solusimu, Konsilor Agung: ini akan menjadi perang terakhir yang dialami galaksi ini.



// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Republik kini telah runtuh menjadi puing-puing...#Dahulu, orang-orangmu bermimpi akan persatuan galaksi, menginginkan tidak lebih dari kemakmuran dan ketenangan dalam kebersamaan untuk semuanya. Tapi kenyataan pahit telah menegaskan bahwa tidak semua pihak memimpikan hal yang sama denganmu, dan musuh dengan kekuatan yang tidak terbayangkan menyalurkan usaha mereka kepada serangan keji. Dengan memanipulasi keinginan orang-orangmu untuk mencegah perlawananmu, mereka menggunakan mesin perang mereka untuk melakukan satu per satu pukulan telak, dan akhirnya kau menjadi tidak berdaya untuk bertahan menghadapi mereka.#Gelombang perang membuatmu kewalahan saat garis pertahanan terakhir milik tentara Republik melaksanakan aksi terakhir mereka. Jika orang-orangmu tidak terlalu ingin untuk membiarkan saingan mereka mengalahkan mereka dalam kekuatan militer, apakah nasibmu akan berbeda pada akhirnya? Saat musuhmu mendobrak gerbang masuk menuju benteng yang telah kau pasang sebagai perlawanan terakhir, pikiran terakhirmu berubah menjadi kelabu saat kau sadari kau tidak akan mengetahui jawabannya...
GAME_OVER_MILITARY_WIN2           | Perdamaian, dengan harga yang paling buruk...#Harga yang sangat buruk telah dibayarkan untuk meraih mimpi Republik. Sejalan dengan berubahnya tetangga angkasamu menjadi kejam dan tidak kenal kompromi, kau dipaksa untuk memilih antara keselamatan orang-orangmu dan pemusnahan total. Melalui berbagai perdebatan di ruang senat, kau membuat pilihan buruk: menceburkan armadamu ke dalam api peperangan, dan berdoa agar orang-orangmu bisa bertahan. Hasilnya cukup pahit-manis: meski orang-orangmu keluar sebagai pemenang, mereka melakukan itu dengan mengambil nyawa makhluk cerdas lainnya di galaksi ini.#Sejalan dengan bergemanya tanda terakhir dari konflik di angkasa yang senyap, keheningan mengambil alih galaksi sebagai zaman perdamaian baru yang akan segera dimulai. Rakyat Republik Psilom, tersebar di berbagai dunia, semuanya memandang ke atas langit bersama di akhir perang besar terakhir ini, tetapi tidak ada sorakan atau suara perayaan yang terdengar. Kesedihan besar menggenggam hatimu saat ini, karena kau sadar bahwa galaksi memang tidak akan lagi mengalami ngerinya peperangan, tapi galaksi juga tidak akan mengenal kebahagiaan dalam keragaman yang dibawa oleh kehidupan...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Perdamaian, tetapi dengan harga yang mahal...#Setelah orang-orangmu menyebarkan pesan perdamaian di seluruh galaksi, kau menghadapi berbagai ras yang ikut mendengarkan pesan yang dibawa diplomatmu kepada mereka. Meski beberapa di antaranya bereaksi terhadap penawaranmu dengan kebohongan dan kekerasan, ada juga yang mendengerkan dengan baik dan akhirnya setuju denganmu. Dengan dibuatnya batas-batas tertentu, mereka yang mendengar panggilanmu memilih untuk berdiri sebagai sekutumu dalam pertempuran, dan bersama-sama kalian ciptakan badai peperangan besar. Meski orang-orangmu dipaksa bertindak melawan prinsip mereka yang paling suci dan paling mereka hargai, pada akhirnya kemenangan telah diraih, dan kini sekutumu bisa berbagi buah kemakmuran yang hanya bisa diperoleh melalui perdamaian.#Meski terdapat duka mendalam karena hilangnya begitu banyak nyawa dan penghilangan peradaban yang menonjol, kau tahu di dalam hatimu bahwa ini semua harus terjadi untuk meraih bab terakhir dalam buku sejarah rakyatmu: perang besar terakhir yang belum pernah dialami galaksi ini telah berakhir, dan perdamaian akhirnya bisa berjaya. Meski demikian, apakah perdamaian itu akan bertahan lama atau tidak dalam kurun waktu tertentu, tergantung kesepakatan para sekutu yang telah kautemui dalam perjalananmu...
GAME_OVER_COUNCIL_LOSS2           | Akhirnya perdamaian, apapun harga yang harus dibayar...#Sekarang ujian sejati dari rencanamu telah tiba. Majelis Galaksi telah mengumumkan keputusannya, dan meskipun keinginanmu akan perdamaian tidak pernah surut dan ingin menjadi tokoh pengendali di galaksi ini, Pemimpin Republik Baru tidak akan berasal dari Mentaran. Meskipun debat penuh kemarahan berkobar di ruang senat, akhirnya kalian bisa mencapai kesepakatan. Kau telah memilih untuk menyerahkan hak suci untuk memimpin kepada [leader_empire]. Tetapi segala urusanmu dengan kekaisaran ini telah menunjukkan kepadamu bahwa mereka adalah ras yang berbahaya, dan tidak ada keraguan dalam pikiranmu bahwa pemimpin Republik Baru tentu saja hanya akan menjaga perdamaian selama perdamaian itu cocok dengan tujuan mereka.#Dan apa yang akan dilakukan Republik jika perang datang memanggil? Apa yang akan dilakukan Republik jika keberadaannya tidak lagi sesuai dengan rancangan galaksi yang sekarang diterapkannya? Itu akan menjadi jalan bagi orang-orangmu di masa depan, dan mereka akan melihat keputusan yang telah kaubuat hari ini entah sebagai yang menjaga impian perdamaian tetap ada atau yang menutup nasib mereka selamanya...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Perdamaian, meski wujudnya tidak seperti yang kau inginkan...#Keputusan Majelis Galaksi untuk bersuara melawanmu sebagai pemimpin mereka bukanlah sesuatu yang ditanggapi dengan antusias oleh Mentaran. Untungnya, kau cukup bijak untuk melihat lebih jauh akan hasil ini dan berbelok dengan lincah untuk menghindari hasil yang jauh lebih buruk daripada apa yang akan datang: menggantikanmu, ras [leader_race] kini akan menentukan masa depan seluruh galaksi.#Ketika kau berdiri bersamaan dengan matahari Mentar pada hari pertama pemerintahan galaksi yang baru ini, kau masih merasakan kemenangan dalam jalan yang dulunya bisa kau kendalikan untuk peristiwa semacam ini sampai akhir kisah seperti ini. Sekutumu telah membuktikan diri mereka cukup bijak untuk tugas ini, dan di saat tidak ada seorangpun bisa menyebut cinta mereka akan perdamaian sebanyak cinta yang kau miliki bersama rakyatmu, kau berharap bahwa entah bagaimana caranya kau bisa percaya kepada %8 untuk mewujudkan tujuan utamamu...
GAME_OVER_REBELLION_LOSS2         | Republik kini telah runtuh menjadi puing-puing...#Sepertinya nasib memang sengaja menghambatmu dari sejak awal perjalananmu. Kesulitan yang datang dari pekerjaan menjaga kekaisaran yang melakukan perjalanan angkasa dan ancaman terus-menerus dari kekuatan alien asing ternyata cukup sulit diatasi, tetapi cobaan terakhir yang benar-benar tidak bisa diabaikan datang ketika Majelis Galaksi memilih untuk memasukkan ras [leader_race] yang suka berperang sebagai Pemimpin Republik Baru. Mengetahui bahwa Galaksi tidak bisa tetap berada dalam damai dengan orang-orang yang kejam memimpin di dalamnya, rakyatmu bersatu dalam jalan yang akhirnya akan menjadi kiamat bagi mereka.#Orang-orangmu memiliki kecerdasan yang tiada bandingannya dibanding spesies lain dan sanggup menciptakan teknologi ajaib dan dasyat untuk membantu mereka dalam perang. Meski begitu, kekuatan terpadu dari Republik baru terlalu kuat untuk kau atasi, dan pada akhirnya armadamu terbakar karena jumlah tentara yang lebih besar ternyata lebih unggul daripada teknologi canggih. Kini, sejalan dengan berputarnya roda nasib yang mempersiapkan dirinya untuk menjalani putaran terakhir, sisa terakhir dari Republik Mentaran sebentar lagi akan disingkirkan dari galaksi. Sebagai korban dari apa yang akan menjadi awal dari banyaknya peperangan di masa depan, dan tanpa orang-orangmu untuk memandu mereka menuju masa depan yang lebih cerah, rasanya tidak mungkin galaksi ini akan mengenal manfaat perdamaian sejati...
GAME_OVER_REBELLION_WIN2          | Perdamaian, tapi dengan harga yang buruk...#Republik Baru yang berumur pendek sudah tidak ada lagi! Meski semua usahamu ditujukan untuk mencoba mengendalikan berbagai kekaisaran di galaksi ini untuk bersama dalam damai, berbagai kekaisaran itu terbukti menjadi penghalang terbesar dalam meraih mimpimu untuk menciptakan perdamaian bagi semua. Dalam menemui berbagai usahamu dalam diplomasi dengan pengkhianatan dan ketiadaan rasa percaya, sainganmu mendorongmu kepada posisi yang terdesak sehingga hanya ada satu jalan keluar. Kini armada mereka, dunia mereka, dan kekaisaran mereka terhampar dalam puing-puing, karena bahkan kekuatan gabungan dari seluruh galaksi tidak sebanding dengan kecerdasan superior dan kekuatan teknologi Mentaran.#Meski begitu hatimu menanggung beban berat, dan memang begitulah seharusnya. Meski para ahli sejarah di negerimu tidak ragu lagi akan berbuat baik dalam memperlakukan musuh-musuhmu sebelumnya, hal ini tidak akan mengubah fakta bahwa setiap dari kehidupan unik di galaksi ini telah tersapu bersih, tanpa adanya kesempatan untuk menambahkan apa yang bisa mereka lakukan untuk membentuk masa depan mereka. Pada akhirnya, Konsilor Agung, rakyatmu aman, dan perdamaian akan menjadi satu-satunya pernyataan yang akan ditaati oleh masa depan. Itu berarti, tentunya, sampai kau meraih perluasan melebihi galaksi ini dan kepada apapun yang menunggumu pada titik yang lebih jauh dan tidak dikenal...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Perdamaian, tetapi dengan harga yang mahal...#Lama sebelum ini, rakyatmu memandang langit malam hari dengan harapan di hati mereka, dan seluruh rasmu telah bersatu dalam misi untuk menciptakan kekaisaran besar di angkasa yang berdiri dengan harmonis dengan tetangga angkasa mereka. Di saat misimu hampir selesai, kau melihat bahwa impianmu terpenuhi dengan cara yang tidak kau sangka dan justru dulunya kaucoba menghalanginya dengan keras. Meski federasi galaksi baru yang menghimpun banyak kekaisaran telah terbentuk, keputusan untuk menunjuk seorang pemimpin yang kejam pada posisi tertinggi mereka memaksamu untuk bertarung demi perdamaian untuk terakhir kalinya. Kau berdiri dengan gagah berani melawan galombang dan menyatakan perang melawan rezim tirani ini, dan meski tampaknya tidak mungkin kau bisa berjaya.#Nasib tersenyum kepadamu dalam usaha ini, karena yang lain akan terinspirasi oleh keberanianmu dan ketenanganmu yang kau janjikan dalam kemenangan, dan dalam pertempuran ini kau tidak sendirian. Sekutumu bertempur dengan kekerasan yang menciutkan nyali dalam energi mereka, dan bersama kalian mampu menghancurkan mereka yang akan  menceburkan galaksi ke dalam keabadian perang dan membawa perdamaian kepada galaksi ini untuk sekali ini dan selamanya. Era baru dimulai sekarang, Konsilor Agung, dan satu-satunya harapanmu adalah mereka yang memilih untuk membangun era baru ini bersamamu akan tetap memegang teguh prinsip mereka selama rakyatmu juga menginginkannya...
GAME_OVER_COUNCIL_WIN2            | Akhirnya perdamaian, dengan keuntungan bagi semua!#Akhirnya, perjalananmu telah meraih penutupnya yang sangat meriah! Cobaan yang kautemui dalam perjalanan panjangmu sejak penetapan rencanamu menuju ruang angkasa ternyata lebih sulit dari yang kau bayangkan. Meski orang-orangmu telah lama memahami bahwa kebersamaan dalam damai adalah satu-satunya kebenaran sejati, kekaisaran tangguh yang kau temui di perjalananmu butuh diyakinkan akan itu. Melalui diplomasi para ahli dan kesabaran yang monumental, kau bisa berhasil dalam usahamu, dan kini kau berdiri tanpa adanya perlawanan dari siapapun sebagai pemimpin galaksi ini.#Kini ujian baru akan dimulai. Sejalan dengan dimulainya kepemimpinan Republik Mentaran di galaksi, peradabanmu akan menjadi teladan untuk diikuti kekaisaran lain. Kesulitan lebih banyak menunggumu di masa depan karena masalah lama dan perbedaan budaya akan muncul dan memaksa perdamaian yang telah kau usahakan begitu keras. Tapi kau tahu bahwa selama orang-orangmu tetap teguh dalam visi mereka, tidak ada satu makhluk hidup di galaksi ini yang akan mengalami teror perang lagi!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Akhirnya perdamaian, meski terasa pahit-manis...#Setelah kau mengambil alih kepemimpinan Republik Baru, kau berharap bahwa hal ini akan menandai awal baru untuk galaksi, di mana kekerasan dan perang akan menyerah kepada perdamaian dan kemakmuran. Meski demikian, harapanmu begitu cepat terhempaskan, setelah warga galaksi yang paling keji muncul untuk menolak pemerintahanmu dan menggilas semua kekaisaran yang dikenal dalam perang lain yang mengerikan. Melihat kesempatan terakhir untuk perdamaian lolos begitu saja di depan matamu, kau membuat satu-satunya keputusan yang bisa kau ambil: meladeni agresi mereka dengan kekuatan penuh dari Republik Baru, dan bersama kau dan sekutumu mengirim armada kalian untuk mengembalikan pemerintahan galaksi.#Dengan tergerusnya para pemberontak menjadi debu, perdamaian akhirnya bisa mendapatkan kembali haknya. Sedih rasanya bahwa begitu banyak suara telah menolak hak mereka sendiri untuk membentuk masa depan yang cerah yang terpampang jelas, tetapi kau tidak bisa terus-menerus bersedih seperti itu di dalam hatimu. Mereka telah memilih nasib mereka, dan nasib mereka telah sampai kepada mereka. Kini, Konsilor Agung, fajar era baru telah tiba padamu untuk kau pegang kendalinya. Masih ada banyak pekerjaan yang harus dilakukan...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Republik kini telah runtuh berkeping-keping...#Nasib buruk telah jatuh kepadamu. seperti halnya perjalananmu yang akhirnya sampai pada ujungnya dan kau hampir saja memanen buah pekerjaan panjangmu, impianmu akan federasi damai dari berbagai kekaisaran telah dirampas darimu. Meski banyak pihak di Majelis Galaksi menginginkan harmoni dan kemakmuran dan melihat bahwa kau adalah figur yang ditakdirkan untuk memimpin galaksi kepada masa depan yang baik, pemberontakan amoral muncul karena mereka yang paling banyak dicurigai akan kekerasan tidak bersedia menepikan keinginan mendasar mereka akan kekerasan biadab. Melawan prinsip muliamu, kau pimpin tentara Republik Baru menghadapi ancaman ini, dan melawan serangan yang begitu bertubi-tubi, akhirnya kau tidak bisa membawa kemenangan.#Kini galaksi jauh terasa lebih kosong daripada sebelumnya, karena peradabanmu yang terhormat dan mulia seluruhnya telah dimusnahkan. Musuhmu mengejek prinsipmu sebagai hal yang lemah dan terlalu idealis, kau juga tahu bahwa sejarah akan selalu bersikap tidak baik terhadap kegagalanmu. Mereka yang masih hidup akan terguncang di bawah tirani dan perang, dan kekerasan akan menguasai di atas perdamaian. Ini adalah akhir kisah yang paling tidak kau harapkan dalam perjuangan yang panjang dan sulit ini, dan bagimu, kisah ini telah menjadi hal yang paling memilukan...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | kecerdasan tiada bandingan dari Mentaran mengungguli semua
GAME_OVER_REBELLION_LOSS3         | hasrat Mentaran akan perdamaian tak terbendung


