// race-specific variables (must start with _)
_empire                           | Ssslaura Conclave, Reptara Conclave, Saura Conclave, Raptora Conclave, Tyranna Conclave
_race                             | Ssslaura, Reptara, Saura, Raptora, Tyranna
_race_plural                      | Ssslaura, Reptara, Saura, Raptora, Tyranna
_title                            | Magister Utama
_nameTitle                        | Magister Utama

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Penasehat %1
MAIN_ADVISOR_BUTTON_OK            | Bubar
MAIN_ADVISOR_SCOUT                | Akhirnya, kita bisa mulai menyempurnakan lingkungan dunia selain di planet kita sendiri. Magister Utama, kirimkan tentara kita dan kapal koloni ke planet terdekat secepatnya!
MAIN_ADVISOR_TRANSPORT            | Kita telah membangun koloni pertama kita pada satu dunia yang benar-benar baru. Begitu kau kirimkan trasnportasi, kita bisa memperkuat jumlah kita dan menyelesaikan misteri pada %1 lebih cepat lagi! 
MAIN_ADVISOR_DIPLOMACY            | Makhluk lain yang bisa melakukan perjalanan angkasa telah membuat kontrak dengan Conclave. Mari kita buka dialog dengan mereka dan lihat seberapa baik mereka memperlakukan dunia mereka sendiri. Baru setelah itu kita akan tahu bagaimana cara terbaik untuk memperlakukan mereka.
MAIN_ADVISOR_SHIP_ENGINE          | Kita telah mendesain mesin kapal yang lebih efisien daripada yang sekarang kita gunakan. Ayo kita kembangkan skema kapal baru secepat kita bisa. 
MAIN_ADVISOR_RALLY_POINTS         | Tetangga kita sepertinya merasa kita... susah dipahami. Kita bisa menggunakan titik reli untuk mengarahkan kapal-kapal kita menuju lokasi tunggal untuk mencegah kerusakan apapun pada dunia-dunia baru kita. 
MAIN_ADVISOR_MISSILE_BASES        | Perih rasanya bagiku untuk bahkan memikirkan merusak dunia-dunia kita dengan cara itu, tapi kita bisa membuat ruang untuk basis misil pertahanan untuk melindungi mereka dari kerusakan yang bahkan tidak terduga. 
MAIN_ADVISOR_SHIP_WEAPON          | Ada penemuan terkait cara-cara yang lebih poten untuk merusak kapal-kapal musuh. Kita benar-benar harus menerapkan teknologi ini pada kapal baru manapun yang kita produksi sejak sekarang dan seterusnya. 
MAIN_ADVISOR_COUNCIL              | Ada pertemuan yang disebut "Majelis Galaksi" di mana semua peradaban maju kemungkinan besar akan menghadirinya. Ini bisa menjadi kesempatan bagi kita untuk melihat kekaisaran lain yang mana yang akan melawan... ekspansi Conclave.
MAIN_ADVISOR_REBELLION            | Magister! Ada pemberontakan di %1. Aku tidak tahu apa sebabnya, tetapi aku tahu apa solusinya!
MAIN_ADVISOR_RESIST_COUNCIL       | Tidak mungkin kita biarkan hal ini berlalu begitu saja, ya kan? Kita akan menentang majelis sekarang, kan?! Kalau kita tidak melakukannya, pikirkan apa yang akan terjadi pada planet-planet malang itu! 
