// race-specific variables (must start with _)
_empire                    | Imperium Cryslonoid, Imperium Igneoid, Imperium Sedimoid, Imperium Granitoid, Imperium Magmoid
_race                      | Cryslonoid, Igneoid, Sedimoid, Granitoid, Magmoid
_race_plural               | Cryslonoid, Igneoid, Sedimoid, Granitoid, Magmoid
_title                     | Kaisar Crystal
_nameTitle                 | Kaisar Crystal 

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE         | Penasehat %1
MAIN_ADVISOR_BUTTON_OK     | Bubar
MAIN_ADVISOR_SCOUT         | Kaisar Dewa, tentaramu telah bersiap untuk mengawal koloni pertama ke dunia manapun yang kau inginkan! Berikan perintah dan kau akan melihat perintah itu dijalankan!
MAIN_ADVISOR_TRANSPORT     | Koloni pada %1 telah dibangun dengan namamu, Kaisar yang Agung! Jika kau berkehendak kami mengirim lebih banyak transpor untuk mendukung kekuasaan barumu, katakan saja dan kami akan patuh!
MAIN_ADVISOR_DIPLOMACY     | Kaisar Dewa! Perwakilan dari kekaisaran asing datang di hadapan tahta! Ini mungkin musuh abadi kita yang menampakkan diri! Kita harus menanggapi mereka dengan kewaspadaan penuh!
MAIN_ADVISOR_SHIP_ENGINE   | Para ilmuwanmu telah menyempurnakan desain mesin kapal baru! Mereka akan memodifikasi armadamu segera setelah kau anggap mereka perlu melakukannya!
MAIN_ADVISOR_RALLY_POINTS  | Akhirnya! Perang suci kita dimulai, Kaisar Dewa! Perintahkan armadamu untuk berangkat dari dunia manapun yang kau kuasai dan mereka akan membawa kematian cepat kepada musuh yang kita benci!
MAIN_ADVISOR_MISSILE_BASES | Jenderal-jenderalmu percaya bahwa membangun basis misil pertahanan pada koloni kita yang paling lemah adalah tindakan yang bijak! Jika kau setuju, Kaisar Dewa, pembangunan akan segera dimulai!
MAIN_ADVISOR_SHIP_WEAPON   | Kaisar Dewa! Para ilmuwan menyampaikan kemajuan terkini mereka dalam teknologi senjata! Kita akan mendandani armada kita dengan peralatan perang ini, kau hanya perlu memerintahkan untuk itu!
MAIN_ADVISOR_COUNCIL       | Sebuah pertemuan para pembesar yang dikenal sebagai Majelis Galaksi akan segera diadakan bagi kita! Musuh kita sejak dulu pasti menyamar di antara mereka yang berkumpul di sana! Kita harus membuka kedok mereka agar perang suci kita bisa segera dimulai!
MAIN_ADVISOR_REBELLION     | Kaisar yang Agung! Sesuatu yang tidak terduga telah terjadi. Orang-orang kita, tidak ragu lagi telah terinfeksi oleh musuh kita yang keji, memberontak melawanmu di %1. Kita harus mengakhiri kecurangan ini saat ini juga!
MAIN_ADVISOR_RESIST_COUNCIL   | Betapa kurang ajarnya orang-orang bodoh ini! Kaisar Dewa, armada kita sudah siap! Pimpin kami kepada kemenangan dalam pertempuran yang telah ditakdirkan ini!
MAIN_ADVISOR_COUNCIL_RESISTED | Tentu saja anak-anak dari musuh kami tidak bisa menerima dominasi [my_race]! Orang-orang kami mengamuk, akhirnya ramalan itu terbukti juga!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Perang sucimu telah sampai pada akhir yang menyedihkan.#Setiap dunia dalam Imperium Cryslonoid yang Agung telah dikuasai, bahkan lebih parahnya, oleh makhluk alien yang aneh. Kau adalah Kaisar Crystal yang berjanji memimpin orang-orangmu untuk memenuhi ramalan kuno yang suci: membersihkan galaksi ini sekali dan selamanya dari keturunan Quaralon yang busuk. Tetapi kau justru memimpin mereka kepada kehancuran, dan dengan terbitnya matahari di kolini terakhir Cryslonoid untuk menahan serangan alien penduduk asli, besarnya kegagalanmu akan segera dirasakan oleh kekaisaran yang masih ada di galaksi ini.#Imperium telah dicabut dari akar-akarnya, selamanya, dan dengan musnahnya rakyatmu, tidak diragukan lagi bahwa keturunan Quaralon yang licik akan memerintah di galaksi ini tanpa tandingan, dari sekarang hingga akhir zaman...
GAME_OVER_MILITARY_WIN2           | Perang sucimu telah berakhir pada kemenangan luar biasa!#Tanpa berhasil memastikan identitas musuhmu yang paling kuno, kau memilih satu-satunya pilihan yang tersedia bagimu: sembelih semua yang tinggal di galaksi ini tanpa ampun. Tidak ada satu ras pun yang mampu membuktikan dirinya lebih kuat dari energimu yang tak terkalahkan dan tenagamu yang tak kenal lelah. Setiap makhluk telah jatuh bergiliran, dan dunia mereka sekarang telah dibersihkan dari kemungkinan pengaruh kotor Quaralon. Dan untuk meyakinkan bahwa setiap planet tetap bersih, Imperium akan membawa setiap planet dalam genggamannya, meninggalinya, dan menjaga mereka hingga akhir zaman.#Kekaisaranmu kini tak diragukan lagi akan bertahan hingga akhir masa riwayatnya, dan tidak akan ada yang bangkit melawanmu lagi karena memang tidak ada satu ras pun yang tersisa untuk melakukannya! Panjang Umur Kaisar Crystal! Panjang Umur Imperium!
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Setidaknya perang sucimu membuahkan hasil.#Ketika kau tidak bisa untuk memastikan identitas sebenarnya dari Anak-anak Quaralon, beberapa di antara mereka yang tinggal di galaksi ini telah bisa membuktikan dirinya jauh dari kemungkinan menjadi keturunan musuhmu yang paling kau benci. Mereka yang tidak mampu melakukannya telah menemui nasib utama mereka di tangan legiummu yang tak terkalahkan. Kini yang tersisa adalah kau dan mereka yang menunjukkan dirinya mampu bersikap loyal dan tulus hati, dan galaksi ini menjadi milikmu untuk kau perintah sesukamu.#Sayangnya, andai kau salah dalam menentukan identitas mereka yang kaubiarkan hidup, perang sucimu mungkin harus diteruskan lagi suatu hari nanti...
GAME_OVER_COUNCIL_LOSS2           | Perang sucimu telah sampai pada akhir yang menyedihkan.#Selama perjalananmu melintasi galaksi, kau telah bertempur dalam peperangan, menguasai planet-planet, dan membuat aliansi dengan berbagai peradaban alien. Tetapi meski kau telah melakukan usaha yang terbaik, kau mendapati bahwa kau tidak bisa meyakinkan kekaisaran-kekaisaran lain yang tersebar di seluruh kosmos akan ancaman terhadap mereka oleh keturunan Quaralon ataupun menggunakan kekuatan militer dengan cukup kuat untuk memaksa mereka untuk tunduk kepada perintah perang suci. Kini mereka telah memilih ras [leader_race] yang menyedihkan untuk memimpin mereka menuju masa depan.#Di saat mereka berharap masa depan akan menjadi makmur dan damai, hanya kau yang tahu kebenaran yang menunggu mereka semua yang tidak mau bergerak kepada prinsipmu. Mungkin, di masa depan, Kaisar Crystal yang lain akan berhasil mengatasi apa yang saat ini menjadi kegagalanmu, dan suatu hari nanti api perang sucimu mungkin akan berkobar sekali lagi...
GAME_OVER_REBELLION_LOSS2         | Perang sucimu telah sampai pada akhir yang menyedihkan.#Dengan pembentukan Republik Baru di bawah Majelis Galaksi yang dipimpin oleh ras [leader_race] yang licik, satu-satunya pilihan yang mungkin untukmu adalah pemberontakan yang bernasib buruk dengan harapan meyakinkan bahwa perangmu dapat bertahan dalam segala hal. Meski harapan tidak pernah benar-benar ada dalam jalan yang kau pilih, pemberontakan itu memang telah terjadi, dan andai saja keputusanmu lebih bijaksana, kau mungkin saat in sudah berhasil bermandikan cahaya kemenangan.#Tapi kini tidak ada cahaya yang tersisa untukmu atau untuk Imperium, dan sebagaimana %8 di galaksi, pemikiranmu akhirnya tertuju kepada Quaralon dan anak cucunya, kegagalanmu untuk menemukan dan menghancurkan mereka, dan nasib brutal yang kini menunggu galaksi ini dengan orang-orangmu yang tidak lagi mampu mempertahankannya...
