

//
// Armor techs
// 
ARMOR_0_NAME     | Baju Logam Titanium
ARMOR_0_ITEM     | Titanium
ARMOR_0_BRIEF    | Poin Pukulan %1
ARMOR_0_DETAIL   | Awal teknologi baju perang. Tidak ada bonus untuk pengkapalan baju logam atau serangan darat.

ARMOR_1_NAME     | Baju Logam Duralloy
ARMOR_1_ITEM     | Duralloy
ARMOR_1_BRIEF    | Poin Pukulan %1
ARMOR_1_DETAIL   | Meningkatkan poin pukulan kapal dan transport sebanyak 50%. Baju logam pertempuran personal juga ditingkatkan, menambah 5 bonus untuk semua serangan darat.

ARMOR_2_NAME     | Baju Logam Zortrium
ARMOR_2_ITEM     | Zortrium
ARMOR_2_BRIEF    | Poin Pukulan %1
ARMOR_2_DETAIL   | Meningkatkan poin pukulan kapal dan transport sebanyak 100%. Baju logam pertempuran personal juga ditingkatkan, menambah 10 bonus untuk semua serangan darat.

ARMOR_3_NAME     | Baju Logam Andrium
ARMOR_3_ITEM     | Andrium
ARMOR_3_BRIEF    | Poin Pukulan %1
ARMOR_3_DETAIL   | Meningkatkan poin pukulan kapal dan transport sebanyak 150%. Baju logam pertempuran personal juga ditingkatkan, menambah 15 bonus untuk semua serangan darat.

ARMOR_4_NAME     | Baju Logam Tritanium
ARMOR_4_ITEM     | Tritanium
ARMOR_4_BRIEF    | Poin Pukulan %1
ARMOR_4_DETAIL   | Meningkatkan poin pukulan kapal dan transport sebanyak 200%. Baju logam pertempuran personal juga ditingkatkan, menambah 20 bonus untuk semua serangan darat.

ARMOR_5_NAME     | Baju Logam Adamantium
ARMOR_5_ITEM     | Adamantium
ARMOR_5_BRIEF    | Poin Pukulan %1
ARMOR_5_DETAIL   | Meningkatkan poin pukulan kapal dan transport sebanyak 250%. Baju logam pertempuran personal juga ditingkatkan, menambah 25 bonus untuk semua serangan darat.

ARMOR_6_NAME     | Baju Logam Neutronium
ARMOR_6_ITEM     | Neutronium
ARMOR_6_BRIEF    | Poin Pukulan %1
ARMOR_6_DETAIL   | Meningkatkan poin pukulan kapal dan transport sebanyak 300%. Baju logam pertempuran personal juga ditingkatkan, menambah 30 bonus untuk semua serangan darat.


//
// Atmospheric Terraforming techs
// 
ATMOSPHERE_0_NAME      | Pembentukan Atmosfer Teraform Seperti Bumi
ATMOSPHERE_0_DETAIL    | Mengubah lingkungan keras menjadi lingkungan normal dengan biaya 150 BC.

//
