// race-specific variables (must start with _)
_empire                           | Clan Fiershan, Clan Prrshan, Clan Meowshan, Clan Clawshan, Clan Hisshan
_empireof                         | del Clan Fiershan, del Clan Prrshan, del Clan Meowshan, del Clan Clawshan, del Clan Hisshan
_raceadjec                        | Fiershan, Prrshan, Meowshan, Clawshan, Hisshan
_raceadjecF                       | Fiershan, Prrshan, Meowshan, Clawshan, Hisshan 
_race_pluralnoun                  | i Fiershan, i Prrshan, i Meowshan, i Clawshan, i Hisshan
_race_pluralnounF                 | le Fiershan, le Prrshan, le Meowshan, le Clawshan, le Hisshan 
_race_pluralnounof                | dei Fiershan, dei Prrshan, dei Meowshan, dei Clawshan, dei Hisshan
_race_pluralnounto                | ai Fiershan, ai Prrshan, ai Meowshan, ai Clawshan, ai Hisshan
_race_pluraladjec                 | Fiershan, Prrshan, Meowshan, Clawshan, Hisshan
_race_pluraladjecF                | Fiershan, Prrshan, Meowshan, Clawshan, Hisshan
_title                            | Khan
_nameTitle                        | Khan



//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Consulente %1
MAIN_ADVISOR_BUTTON_OK            | Congega
MAIN_ADVISOR_SCOUT                | Ah-ah! La nostra prima flotta è pronta! Usiamola per trovare un mondo con nemici che hanno molti tesori da prendere.
MAIN_ADVISOR_TRANSPORT            | Abbiamo conquistato un nuovo territorio su %1. Più di noi trasportiamo da %3, più velocemente troveremo qualsiasi bottino che questo mondo ha.
MAIN_ADVISOR_DIPLOMACY            | Abbiamo preso contatto con una nuova razza aliena! Pensate che si dimostreranno nemici forti, o i loro tesori saranno facili prede?
MAIN_ADVISOR_SHIP_ENGINE          | Abbiamo trovato un modo per migliorare i nostri motori e rendere le nostre navi ancora più veloci! Se li incorporiamo nei progetti delle nostre navi, le nostre incursione sui mondi nemici diventeranno ancora più efficiente!
MAIN_ADVISOR_RALLY_POINTS         | Khan! La guerra è su di noi! I Khanati onoreranno la loro promessa di unirsi a Lei in questo momento, quindi stabilisca un punto di raccolta per dire loro dove inviare le loro flotte!
MAIN_ADVISOR_MISSILE_BASES        | I mondi del cerchio sotto il nostro controllo sono vulnerabili agli attacchi nemici! Costruiamo basi missilistiche per evitare che cadano nelle mani del nemico.
MAIN_ADVISOR_SHIP_WEAPON          | Siamo riusciti a sviluppare nuove potenti armi da usare sulle nostre navi. Questi causeranno sicuramente una disfatta tra le forze dei nostri nemici una volta che li includiamo nei nostri progetti di navi.
MAIN_ADVISOR_COUNCIL              | Presto ci sarà un incontro di popoli, ma dicono che è per la diplomazia invece che per la guerra. Strano non è vero? Tuttavia, dovremmo partecipare a questo "Consiglio Galattico", se non altro per placare gli imperi più ombrosi.
MAIN_ADVISOR_REBELLION            | Non si sente bene, Khan? C'è una ribellione su %1 e non ha dato ordini di abbatterli.
MAIN_ADVISOR_RESIST_COUNCIL       | Pensavano che ci saremmo semplicemente sdraiati e lasciamo che mettano una pace da codardi sulla galassia in quel modo? Cominciamo le incursioni, Khan: la nostra gente ha voglia di qualche tesoro! 
MAIN_ADVISOR_COUNCIL_RESISTED     | Quegli sciocchi ribelli rifiutano il nostro governo! Mostriamo loro il nostro detto: il forte prende, il debole dà! 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | I Suoi preziosi tesori ora liberi di essere presi...#Le spaventose flotte di predoni del Khanato che colpivano come un fulmine fantasma un tempo facevano temere a intere civiltà di viaggiare troppo lontano da casa. Al vostro apice, avete preso la ricchezza di intere civiltà e le avete aggiunte a orde che contenevano reliquie che abbracciavano centinaia di mondi. Ma sembra che attraverso la follia, l'arroganza, l'avidità o qualche combinazione di tutto ciò, la Sua gente abbia finalmente trovato nemici che si sarebbero rivelati più di quanto potessero gestire. E quando questi nemici hanno preso l'offensiva, non eravate in grado di impedire il destino che ora vi è toccato.#La semplice voce di un'imminente flotta Fiershan una volta fece tremare di paura interi sistemi stellari. Ora la Sua gente è stata cancellata da questa galassia, rimanendo solo come storie di fantasmi per spaventare i figli dei vincitori affinché si comportino meglio. E i vostri preziosi tesori, prelevati da tanti mondi, sono stati trafugati e collocati in ricche case e musei: ormai reliquie di un lontano passato, proprio come la Sua gente...
GAME_OVER_MILITARY_WIN2           | I tesori di questa galassia sono a Sua disposizione!#In questa notte, l'intera superficie del Suo pianeta natale esplode in ruggiti celebrando la vittoria suprema del Suo popolo. Perché questa notte è la prima della nuova era, dove solo i Khanati Fiershan dominano la galassia. Quello che una volta era iniziato come semplici incursioni per il bottino e la fama alla fine è diventata una campagna su vasta scala che ha attraversato pianeti, sistemi stellari e, infine, l'intera galassia conosciuta. Contro ogni previsione e contro tutti gli sfidanti, ogni altro impero è caduto sotto il peso della vostra travolgente ferocia e potere.#Con i rivali più deboli che vi cadevano addosso uno per uno, la Sua gente non vedeva il bisogno di alleati. Evitando gli intrighi politici e la dolorosa fatica della diplomazia, ha preso l'ultima delle roccaforti che si ergevano contro di Lei, e il bottino di mille mondi è ora Suo per la presa. E quando questa galassia Le avrà dato tutto ciò che ha, guai a coloro che abitano nelle stelle anche più lontano. Tremeranno alla Sua venuta, e anche il loro bottino sarà Suo, con ogni mezzo necessario...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Il bottino di questa galassia per Lei e i Suoi alleati...#Le vostre incursioni hanno finalmente dato frutti scintillanti di valore oltre misura. Dalle Sue prime incursioni nella diplomazia, è apparso evidente che la Sua orgogliosa cultura non sarebbe mai stata in grado di convivere pacificamente con coloro che detenevano tali meravigliosi tesori senza la forza di difenderli. Sapeva che le guerre sarebbero state inevitabili. Ma sorprendentemente avete trovato altri nelle profondità dello spazio che non solo avevano la forza di difendere il proprio bottino, ma anche l'interesse ad aggiungere alle proprie casse.#Insieme Lei e i Suoi alleati avete intrapreso guerre di cui si parlerà nella leggenda fino alla fine dei tempi. Avete condiviso conquiste e ricchezze allo stesso modo. Mentre i corpi dei vostri fragili nemici giacciono spezzati lungo il percorso verso il futuro, devete solo dividere il bottino e godervi il brivido della vittoria. Ma un avvertimento, Khan Dorato: non importa quanto strenuamente i Suoi alleati abbiano combattuto al Suo fianco, quelli con un occhio per l'oro possono posare lo sguardo sui loro amici quando non ci sono più nemici con un tesoro pronto per essere preso...
GAME_OVER_COUNCIL_LOSS2           | Le vostre incursioni e il vostro stile di vita sono giunti a una brusca fine...#La più grande minaccia alla cultura del Suo popolo è stata finalmente realizzata. Dopo innumerevoli anni di esplorazione dello spazio e conquista delle stelle, i vari imperi che compongono questa galassia hanno deciso di rinunciare alle faide del passato e unirsi in una coesistenza unita che chiamano la Nuova Repubblica. E poiché tutte le nuove età meritano nuovi leader, il Consiglio Galattico ne ha scelto uno per guidarli in questa nuova era. Basti dire che non hanno scelto Lei.#Sebbene abbiate fatto del vostro meglio con la diplomazia, la convivenza armoniosa non è mai stata il forte del Suo popolo. La diffidenza che derivava dalle vostre continue incursioni e dalle vecchie ferite inflitte a coloro che erano loro soggetti, ha reso irrevocabilmente offuscata la Sua posizione diplomatica all'interno del Consiglio. Con l'unità della galassia ora una certezza che non può sperare di eludere, le vostre incursioni per il tesoro e la gloria sono ora terminate definitivamente. La Sua gente deve adattarsi a questa nuova era, o morire nel tentativo di farlo...
GAME_OVER_REBELLION_LOSS2         | I Suoi preziosi tesori ora liberi di essere presi...#I giorni in cui il Suo saccheggiava questa galassia dei suoi più meravigliosi tesori sono giunti al termine. Con la formazione della Nuova Repubblica e l'unificazione della galassia sotto la bandiera della razza %6, sapeva che i sacri riti della cultura del Suo popolo sarebbero stati condannati se non vi foste ribellati all'avvento di questa nuova era fuorviante. Ma, per cieca obbedienza al loro nuovo padrone o per paura del Suo popolo e per la reputazione che si sono guadagnati in tutta la galassia, avete combattuto questa ribellione da soli.#I Suoi rivali sapevano che non potevano combattere da soli gli eserciti del Fiershan e andarsene vittoriosi e così invece hanno unito le loro risorse e le loro flotte mentre si schieravano fianco a fianco contro la Sua ribellione. Sebbene il Suo popolo abbia combattuto con la leggendaria tenacia che ha ispirato la paura in tutta la galassia, né loro né Lei potevamo sperare di superare le forze combinate della Nuova Repubblica. Ora la Sua ribellione giunge a una fine molto sfortunata, e tutto ciò che resta ai vincitori è rivendicare il Suo bottino per se stessi...
