

//
// Armor techs
// 
ARMOR_0_NAME     | Armatura di titanio
ARMOR_0_ITEM     | Tiatnio
ARMOR_0_BRIEF    | Punti Ferita %1
ARMOR_0_DETAIL   | Tecnologia dell'armatura iniziale. Nessun bonus all'armatura della nave o agli attacchi a terra.

ARMOR_1_NAME     | Armatura di Duralloy
ARMOR_1_ITEM     | Duralloy
ARMOR_1_BRIEF    | Punti Ferita %1
ARMOR_1_DETAIL   | Aumenta i punti ferita di navi e trasporti del 50%. Anche l'armatura da combattimento personale viene migliorata, aggiungendo 5 a tutti gli attacchi a terra.

ARMOR_2_NAME     | Armatura di Zortrium
ARMOR_2_ITEM     | Zortrium
ARMOR_2_BRIEF    | Punti Ferita %1
ARMOR_2_DETAIL   | Aumenta i punti ferita di navi e trasporti del 100%. Anche l'armatura da combattimento personale viene migliorata, aggiungendo 10 a tutti gli attacchi a terra.


ARMOR_3_NAME     | Armatura di Andrium
ARMOR_3_ITEM     | Andrium
ARMOR_3_BRIEF    | Punti Ferita %1
ARMOR_3_DETAIL   | Aumenta i punti ferita di navi e trasporti del 150%. Anche l'armatura da combattimento personale viene migliorata, aggiungendo 15 a tutti gli attacchi a terra.

ARMOR_4_NAME     | Armatura di Tritanium
ARMOR_4_ITEM     | Tritanium
ARMOR_4_BRIEF    | Punti Ferita %1
ARMOR_4_DETAIL   | Aumenta i punti ferita di navi e trasporti del 200%. Anche l'armatura da combattimento personale viene migliorata, aggiungendo 20 a tutti gli attacchi a terra.

ARMOR_5_NAME     | Armatura di Adamantium
ARMOR_5_ITEM     | Adamantium
ARMOR_5_BRIEF    | Punti Ferita %1
ARMOR_5_DETAIL   | Aumenta i punti ferita di navi e trasporti del 250%. Anche l'armatura da combattimento personale viene migliorata, aggiungendo 25 a tutti gli attacchi a terra.

ARMOR_6_NAME     | Neutronium Armor
ARMOR_6_ITEM     | Neutronium
ARMOR_6_BRIEF    | Hit Points %1
ARMOR_6_DETAIL   | Aumenta i punti ferita di navi e trasporti del 300%. Anche l'armatura da combattimento personale viene migliorata, aggiungendo 30 a tutti gli attacchi a terra.


//
// Atmospheric Terraforming techs
// 
ATMOSPHERE_0_NAME      | Terraformazione atmosferica
ATMOSPHERE_0_DETAIL    | Converte ambienti ostili in ambienti normali per un costo di 150 BCs.

//
// Automated Repair techs
// 
AUTOREPAIR_0_NAME      | Sistema di riparazione automatizzato
AUTOREPAIR_0_BRIEF     | Cura il 15% dei colpi della nave per turno
AUTOREPAIR_0_DETAIL    | Le navi non distrutte possono riparare fino al 15% dei loro punti ferita totali alla fine di ogni turno.

AUTOREPAIR_1_NAME      | Controllo avanzato dei danni
AUTOREPAIR_1_BRIEF     | Cura il 30% dei colpi della nave per turno
AUTOREPAIR_1_DETAIL    | Le navi non distrutte possono riparare fino al 30% dei loro punti ferita totali alla fine di ogni turno.



//
// Battle Computer techs
// 
// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | 
COMPUTER_0_ITEM    |  
COMPUTER_0_BRIEF   | Livello di attacco 0
COMPUTER_0_DETAIL  |

COMPUTER_1_NAME    | Computer da battaglia Mark I
COMPUTER_1_ITEM    | Mark I
COMPUTER_1_BRIEF   | Livello di attacco I
COMPUTER_1_DETAIL  | Aumenta la precisione dell'arma al livello 1.

COMPUTER_2_NAME    | Computer da battaglia Mark II
COMPUTER_2_ITEM    | Mark II
COMPUTER_2_BRIEF   | Livello di attacco II
COMPUTER_2_DETAIL  | Aumenta la precisione dell'arma al livello 2.
