// race-specific variables (must start with _)
_empire                           | Autonomia Altairi, Autonomia Lataczy, Autonomia Gdakaczy, Autonomia Pierzaczy, Autonomia Dziobaczy
_empire2                          | Autonomii Altairi, Autonomii Lataczy, Autonomii Gdakaczy, Autonomii Pierzaczy, Autonomii Dziobaczy
_race                             | Altairi, Latacze, Gdakacze, Pierzacze, Dziobacze
_race2                            | Altairi, Lataczu, Gdakaczu, Pierzaczu, Dziobaczu
_race3                            | Altairi, Lataczy, Gdakaczy, Pierzaczy, Dziobaczy
_race_plural                      | Altairi, Latacze, Gdakacze, Pierzacze, Dziobacze
_title                            | Król Iglicy
_nameTitle                        | Król Iglicy


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Doradca Altairi
MAIN_ADVISOR_BUTTON_OK            | Zamknij
MAIN_ADVISOR_SCOUT                | Panie, nasi zwiadowcy są gotowi do poszukiwań nowego świata dokąd moglibyśmy wysłać statek kolonizacyjny w celu powiększenia naszego terytorium.
MAIN_ADVISOR_TRANSPORT            | Nasza flaga powiewa na nowej ziemi, lecz tempo rozwoju kolonii jest niskie. Wysłanie tam transportu kolonistów pozwoli na jego zwiększenie.
MAIN_ADVISOR_DIPLOMACY            | Inna cywilizacja podróżników kosmicznych dała o sobie znać! Nasi dyplomaci zastosują prokotół dyplomatyczny w Twoim imieniu i ocenią jej odpowiedź.
MAIN_ADVISOR_SHIP_ENGINE          | Najtęższe umysły opracowały nowy, bardziej efektywny projekt silnika. Zostałeś poproszony o przejrzenie istniejących schematów statków aby zdecydować jak najlepiej wykorzystać nowe silniki w naszej flocie.
MAIN_ADVISOR_RALLY_POINTS         | Pokój nie może trwać podczas gdy obca rasa prowadzi działania zaczepne wobec naszego imperium. 33 Rody są z Tobą i zbiorą swe floty gdziekolwiek wybierzesz.
MAIN_ADVISOR_MISSILE_BASES        | Podczas gdy niepodległa flota prowadzi działania wojenne, nasze graniczne kolonie pozostają otwarte na agresję. Jesteśmy gotowi rozpocząć konstrukcjć obronnych baz rakietowych gdziekolwiek sobie tego zażyczysz.
MAIN_ADVISOR_SHIP_WEAPON          | Nasi naukowcy osiągnęli przełom w uzbrojeniu statków. Flota może w każdej chwili zostać wyposażona w te śmiercionośną technologię.
MAIN_ADVISOR_COUNCIL              | Rada Galaktyczna wkrótce zbierze się na obrady a nasza obecność będzie z pewnością bardzo pożądana. Nasi dymplomaci wykorzystają tę szansę by upewnić się, że podjęte decyzje będą zgodne z dobrem naszego państwa.
MAIN_ADVISOR_REBELLION            | Bunt na %1. Interesujące. To musiało się w końcu zdarzyć panie, lecz powinniśmy zrobić tam porządek zanim niezadowolenie sięgnie naszych innych kolonii.
MAIN_ADVISOR_RESIST_COUNCIL       | Panie mój! Jesteśmy z Tobą! Ta galaktyka nie zazna pokoju póki nie zajmiesz miejsca na najwyższym tronie! 
MAIN_ADVISOR_COUNCIL_RESISTED     | To żałosne jak ci głupcy bronią się przed nieuniknionym. Daj tylko rozkaz a zetrzemy ich w proch!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Zachowałeś honor nawet w najczarniejszej godzinie...#Nadszedł koniec imperium Niepodległych Altairi. Mimo, że twój lud przetrwał Czerwone Milenium, ostatecznie napotkał godnego przeciwnika. Twoi współplemieńcy walczyli równie dzielnie i honorowo jak ich przodkowie, jednak zarówno dla nich jak i dla ciebie, Królu Iglicy, historia się tutaj kończy.#Być może taki koniec zapisany był w gwiazdach: lud walczący z honorem za chwałę swego króla, podczas gdy wróg skorzystał z podstępu i zdrady. Wróg zatriumfował lecz twój lud pozostał waleczny do samego końca. Tak przynajmniej Altairi zapiszą się w kronikach...
GAME_OVER_MILITARY_WIN2           | Chwała Królowi Iglicy! Chwała Niepodległym!#Zwycięstwo jest nasze! Żałośni wrogowie, którzy chcieli zagrozić twojej nieuchronnej dominacji nie mieli szans w konfrontacji z potężną flotą i determinacją Twego ludu! Zwyciężając bitwę za bitwą pokazałeś, że w oczach swoich ludzi jesteś prawdziwym władcą Altairi. Nikt już nigdy nie zagrozi twojemu imperium a twój lud nigdy nie zwątpi w Twe boskie prawo do władzy!#Podbijając rywali umożliwiłeś też swoim ludziom zdobyć honor i przesunąć się w hierarchii społecznej w zależności od czynów. Zapobiegło to dalszej destabilizacji imperium postępującej od czasu Krwawego Milenium. Niemniej, kiedy twój lud rozprzestrzeni się już w każdy zakątek galaktyki, brak wrogów może spowodować ponowne napięcia. Do tego czasu musisz być pewien, Królu Iglicy, że będziesz gotów na podbój innych galaktyk albo konsekwencje będą straszliwe...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Chwała Tobie i walczącym u Twego boku!#Nikt już nigdy nie zakwestionuje Twego honoru! Jako Król Iglicy Niepodległych Altairi poprowadziłeś swój lud ku nowym, nieznanym światom i podbiłeś je. Zawierałeś sojusze, organizowałeś międzygwiezdny handel oraz toczyłeś wojny. W ostatnim stadium podboju, gdy galaktyka podzieliła się na tych, którzy określali się Twoimi sprzymierzeńcami oraz wrogów, poprowadziłeś armie do zwycięstwa i pokazałeś niespotykaną szlachetność i skuteczność zarówno wobec swego ludu jak sprzymierzeńców.#Teraz nie ma już nikogo kto podniósł by na ciebie zbrojne ramię. Wraz ze sprzymierzeńcami będziesz się cieszyć władzą, a przyszła wymiana kulturalna wzbogaci życie wszystkich. Niech pokój będzie trwać a Ty panować wiecznie, o szlachetny i mądry Królu Iglicy!
GAME_OVER_COUNCIL_LOSS2        | Zachowałeś honor nawet w najczarniejszej godzinie...#Głupcy w radzie nie wiedzą co uczynili. Your honor maintained even in the darkest hour...#The fools in the council know not what they have done. Nie uznawszy twojej szlachetności i uczciwości, Rada Galaktyczna postanowiła zamiast ciebie mianować władcę %6 głową Nowej Republiki. Twe petycje i uprzejmości, twa wiedza dyplomatyczna i niezłomne trzymanie się zasad honoru i uprzejmości nie odniosły skutku w obliczu podstępnych negocjacji i niesmacznego sięgania po władzę: ostatecznie zostałeś z niczym.#Altairi muszą teraz przygotować się na rządy %6. Ty i Twoi dyplomaci wiecie lepiej niż ktokolwiek jak despotyczny i manipulacyjny będzie ten nowy wiek. Wiecie, że nie będziecie w stanie podnieść głosu przeciwko niesprawiedliwości i po kolei stawić czoła zjednoczonym flotom Nowej Republiki. Jedynie czas pokaże jak poradzą sobie Twoi ludzie w tej ponurej przyszłości i być może - jeśli będziesz miał szczęście - może nadejść okazja, aby inny Król Iglicy zasiadł na tronie kiedy ciebie już dawno nie będzie...
GAME_OVER_REBELLION_LOSS2         | Utrzymałeś honor nawet w najczarniejszej godzinie...#Smutek zwyciężył tego dnia, Królu Iglicy. Kiedy podniosłeś sztandar w buncie przeciwko tyranii Nowej Republiki kontrolowanej przez %6, wiara w sprawiedliwość i uczciwość pozwoliła ci przygotować się na to co wkrótce miało nadejść. Miałeś nadzieję, że zwycięstwo osiągną  honorowi, wiedząc że nikt nie przestrzega sprawiedliwości bardziej niż szlachetni Altairi. Lecz decyzja ta poprzedziła katastrofę a tym, co czekało na ciebie w przyszłości było całkowite unicestwienie.#Duchy twojego ludu z pewnością nie widzą u ciebie złej woli: myśleli tak jak Ty i woleliby umrzeć aniżeli trwać w galaktyce stawiającej hańbę ponad szlachetnymi ideałami, tak mocno wyznawanymi przez Altairi. Ale stały się duchami, Królu Iglicy. A kiedy wokół ciebie płoną ostatnie resztki twojej cywilizacji, Ty mężnie stawiasz czoła swojemu losowi, wiedząc, że wkrótce sam staniesz się duchem...
GAME_OVER_REBELLION_WIN2          | Chwała Królowi Iglicy! Chwała suwerenności!#Udało ci się osiągnąć najbardziej nieprawdopodobne zwycięstwo! Imperia tworzące Radę Galaktyczną najpierw odmówiły ci słusznego prawa do królowania, by potem szydzić z twojego nalegania, że ​​tylko Król Iglicy może sprawiedliwie rządzić Nową Republiką. Zjednoczone floty twoich rywali wkrótce radośnie skierowały broń w twoją stronę i zaangażowały się w ich zdaniem szybką i decydującą wojnę ostateczną. Lecz zamiast zwycięstwa, którego się spodziewali, zaoferowałeś im tylko zagładę i rozpacz!#Teraz ta galaktyka leży u twoich stóp, pozbawiona tych, którzy ośmieliliby się kwestionować Twe boskie prawo do rządzenia. Twoi ludzie są wolni od strachu przed życiem w tyranii, ponieważ twoja nadprzyrodzona sprawność jako przywódcy zapewniła ci zaufanie i miłość aż po sam koniec czasu. Idź, Królu Iglicy! Idź i szerz Niepodległych w każdym zakątku tej galaktyki, a kiedy już zdobędziesz i wzbogacisz wszystkie czekające na ciebie światy nadejdzie czas, aby rozszerzyć imperium na inne galaktyki, które błagają o twoje panowanie!
