// race-specific variables (must start with _)
_empire                           | Imperium Ursinathi, Imperium Dźwiedzi, Imperium Ursynów, Imperium Grizzlaczy, Imperium Łapowców
_empire2                          | Imperium Ursinathi, Imperium Dźwiedzi, Imperium Ursynów, Imperium Grizzlaczy, Imperium Łapowców
_race                             | Ursinathi, Dźwiedzie, Ursyni, Grizzlacze, Łapowcy
_race2                            | Ursinathi, Dźwiedziu, Ursynie, Grizzlaczu, Łapowcu
_race3                            | Ursinathi, Dźwiedzi, Ursynów, Grizzlaczy, Łapowców
_race_plural                      | Ursinathi, Dźwiedzie, Ursyni, Grizzlacze, Łapowcy
_title                            | Wielki Hierarcha
_nameTitle                        | Wielki Hierarcha

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Doradca Ursinathi
MAIN_ADVISOR_BUTTON_OK            | Zamknij
MAIN_ADVISOR_SCOUT                | Panie, przygotowaliśmy oba statki zwiadowcze i statek kolonizacyjny do podróży. Na Twą komendę jesteśmy gotowi do eksploracji i kolonizacji pobliskich systemów.
MAIN_ADVISOR_TRANSPORT            | Świat %1 został dodany do naszego imperium! Daj tylko rozkaz a natychmiast wyślemy transporty!
MAIN_ADVISOR_DIPLOMACY            | Panie, obca rasa nawiązała kontakt z naszym imperium. Wyłącznie od ciebie zależy, czy potraktujemy ją jak wroga czy przyjaciela.
MAIN_ADVISOR_SHIP_ENGINE          | Nasi naukowcy odkrywają kolejne tajemnice nauki - tym razem zwiększając zasięg silników statków. Inżynierowie czekają na decyzje dotyczące zaktualizowania projektów statków.
MAIN_ADVISOR_RALLY_POINTS         | Przed nami wielka bitwa! W celu gromadzenia armii, przekieruj flotę z kolonii produkujących statki za pomocą Punktów Zbornych.
MAIN_ADVISOR_MISSILE_BASES        | Panie, nasze kolonie oczekują na Twe słowo aby rozpocząć konstrukcję baz rakietowych w celu ochrony przed atakami wroga.
MAIN_ADVISOR_SHIP_WEAPON          | Najtęższe umysły opracowały nową śmiercionośną broń dla floty! Panie, w wolnej chwili przejrzyj projekty statków aby upewnić się, że wrogowie padną na kolana przed naszą potęgą.
MAIN_ADVISOR_COUNCIL              | Panie, reprezentanci pierwszej Rady Galaktycznej wkrótce zaczną obrady. Postąpimy zgodnie z wytycznymi aby zapewnić zgodność podjętych decyzji z twą wolą.
MAIN_ADVISOR_REBELLION            | Panie - wygląda na to, że mieszkańcy systemu %1 postanowili otwarcie ci się przeciwstawić. Czas przypomnieć im, dlaczego to właśnie Ty zostałeś wybrany na przywódcę Imperium!
MAIN_ADVISOR_RESIST_COUNCIL       | Tylko Ty możesz zasiąść na tronie galaktyki! Nasza żądza krwi nie zostanie zaspokojona póki nie zajmiesz należnego ci miejsca, Panie!
MAIN_ADVISOR_COUNCIL_RESISTED     | Ha ha! Zastanawiam się jak można być tak głupim, by przeciwstawić się naszym rządom. Nieważne. Ci mali buntownicy zostaną zmiażdżeni pod naszym butem!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Gniew twojego imperium został stłumiony.#Szaleństwo twojego ludu nie wystarczyło, by powstrzymać rosnącą potęgę obcych sił militarnych. Choć walczyłeś zaciekle do ostatniego żołnierza, rozdział historii Ursinathi dobiegł końca. Niegdyś byłeś Wielkim Hierarchą potężnego imperium, przywódcą dumnej rasy wojowniczych filozofów, którzy celowali w gwiazdy, by znaleźć swoje miejsce we wszechświecie i sprawdzić się w walce z tymi, którzy ośmielili się im przeciwstawić. Teraz jesteś tylko imieniem w kronikach przeszłości tej galaktyki, i to tylko wtedy, gdy zwycięzcy będą o Tobie pamiętać. Być może gdybyś wiedział o końcu czekającym twój lud u kresu podróży nie wyruszyłbyś tak ochoczo w kosmos. Teraz pozostał po Tobie i twoich ludziach tylko pył nieudanych ambicji i strzępy błędnie zrealizowanych planów...
GAME_OVER_MILITARY_WIN2           | Furia twojego imperium triumfuje! Stoisz teraz u progu całkowitego zwycięstwa nad każdym imperium, które istnieje. Głupcy myśleli, że są w stanie przeciwstawić się twojej potędze militarnej, a przekonali się tylko o tym, że ich floty zostały rozbite, a ludzie rozproszeni i zagubieni. Czy nie widzieli furii w Twoim sercu? Czy nie dostrzegli nieustępliwości twoich przekonań? Nie ma to teraz znaczenia gdyż zwycięzcy nie muszą przejmować się pokonanymi, a nikt nie jest w stanie podważyć faktu, że Ty i tylko Ty zdominowałeś wszystkich, którzy stanęli ci na drodze. Dawno temu twój lud wyruszył, by odnaleźć swoje miejsce w tym wszechświecie, a Ty pokazałeś im, że ich przeznaczeniem jest rządzić całą galaktyką. Niech żyje zwycięstwo, Wielki Hierarcho! Niech żyje Imperium Ursinathi! 
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Nie ma już nikogo, kto odważyłby się stawić czoła twojej furii.#Jako Wielki Hierarcha Imperium Ursinathi najbardziej obawiałeś się, że ci których napotkasz w kosmosie nie będą pasować do twojej wizji przyszłości i będą musieli zostać zniszczeni. I rzeczywiście, wielu z takimi się okazało i galaktyka zmusiła cię do wyrzeźbienia krwawej ścieżki. Ale nie wszyscy których spotkałeś okazali tacy i na końcu tej długiej i burzliwej podróży znalazłeś sprawnych sojuszników.#Może to nawet lepiej, że znalazłeś innych, z którymi możesz dzielić tę galaktykę. Łupy są bogate, a filozofia którą kierują się Twoi sojusznicy okaże się interesująca do rozważań przez wieki dla wielkich umysłów twojego ludu. Oczywiście tak długo, jak długo będą się z Tobą zgadzać...
GAME_OVER_COUNCIL_LOSS2           | Gniew twojego imperium został stłumiony.#Nikt nie mógłby opisać twoich wysiłków jako mniej niż odważne. Wbrew przytłaczającym przeciwnościom losu, twój lud wywalczył sobie życie w głębinach kosmosu, zdobywając dla Imperium światy w całej galaktyce. Niestety, dzikość nie mogła się równać z zaawansowanymi technologicznie innowacjami i politycznymi manewrami obcych ras, które napotkałeś w kosmosie. Widząc, że nie ma dla ciebie żadnej drogi umożliwiającej zwycięstwo w Radzie Galaktycznej, podjąłeś jedyną możliwą decyzję: poddanie się przywódcy Nowej Republiki, aby zapobiec wojnie, która z pewnością przyniosłaby zgubę całemu twojemu imperium.#Chociaż twój duch wojownika otrzymał miażdżący cios, wiesz że decyzja ta była słuszna. W końcu zapewniłeś swojemu ludowi przetrwanie, gdy galaktyka wkroczy w przyszłość. Alternatywa dla Twej decyzji była po prostu zbyt straszna, by ją sobie wyobrazić...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Gniew twojego imperium został stłumiony.#Wiele się wydarzyło od czasu, gdy wyprowadziłeś swój lud z ich ojczystej planety w nadziei, że pomożesz mu odnaleźć swe miejsce w galaktyce. twoje zwycięstwa przyniosły wiele korzyści twojemu ludowi, a wiele ziem zostało włączonych do Imperium, aby zapewnić Ursinathi świetlaną przyszłość. Niestety, ostateczna nagroda w postaci przewodnictwa Nowej Republice była poza twoim zasięgiem. Twoja dzikość na polu bitwy wzbudzała zbyt wiele strachu, byś mógł osiągnąć swój najbardziej upragniony cel.#Nie wszystko jednak stracone: na czele rady stanął zaufany sojusznik, skutecznie przekonując inne imperia że jego wizja przyszłości jest właściwa. Choć twój lud to ciebie pragnie widzieć jako władcę tej nowej przyszłości, wiesz że dobrze wybrałeś swoich sojuszników: razem z %8 zapewnisz swojemu ludowi miejsce w przyszłości tej galaktyki, bez względu na to, co się stanie...
GAME_OVER_REBELLION_LOSS2         | Gniew twojego imperium został stłumiony.#Wojny w tej galaktyce dobiegły końca. Twoi ludzie walczyli ciężko, z wściekłością i furią niespotykaną wśród innych imperiów, ale w końcu te ich zwycięstwa mogły okazać się zgubne. Zaciekłość z jaką walczyli Twoi ludzie zadziałała przeciwko Tobie, a wrogowi powierzono zarządzanie Nową Republiką ponieważ przekonał członków rady, że jesteś zbyt dziki, by ci ufać. Podczas gdy %8 w galaktyce, nie mogłeś zrobić nic poza opóźnieniem nieuniknionego.#Imperium Ursinathi w końcu upadło pod naporem wroga. Gdy twoje terytorium zostało podzielone między zwycięzców, a relikwie i miasta roztrzaskane w pył i rozrzucone na wietrze historii, legendy o Twoim ludzie i jego dzielnej ostatniej walce raczej nie wzbudzą strachu w potomkach tych, którzy odziedziczą galaktykę. W końcu to zwycięzcy decydują o tym, jakie legendy opowie historia... 
GAME_OVER_REBELLION_WIN2          | Furia twojego imperium triumfuje!#Wreszcie dotarłeś do miejsca, do którego wiedziałeś, że doprowadzi cię przeznaczenie: całkowitego unicestwienia każdej innej rasy w galaktyce! Twoja niezrównana furia okazała się przytłaczająca dla wroga, który w swoim tchórzostwie szukał sojuszy przeciwko Tobie. Mając nadzieję, że połączona siła wystarczy do zniszczenia ciebie, wrogowie rozprzestrzenili się jak robactwo po gwiazdach, próbując obrócić Twe światy w popiół. Wierząc w to byli głupcami, a Twoi ludzie pokazali im, jak próżne były ich ambicje. Oto Wielki Hierarcho galaktyka, która jest do wzięcia. W wolnej chwili będziesz dodawał światy do swojej owczarni: twój lud i tylko twój lud będzie zbierał bogactwa niezliczonych planet. A kiedy weźmiesz już wszystko co ta galaktyka może dać, nadejdzie czas byś skierował swą potęgę na galaktyki leżące poza nią...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Nie ma już nikogo, kto odważyłby się stawić czoła twojej furii.#Słońce wschodzi nad tym, co kiedyś było Nową Republiką, a Ty zajmujesz miejsce, które powinieneś zajmować od samego początku. Oczywistym było, że Twoi dawni wrogowie będą działać razem, gdyż ich strach przed Tobą był tak wielki, że zjednoczył ich w paranoi przed Twoją potęgą. Bunt był sprawiedliwy, gdyż tak wielka rasa wojowników jak Twoja nie mogła się płaszczyć i błagać jak jacyś słabeusze. Udowodniłeś, że tylko zguba spotka tych którzy się Tobie sprzeciwiają - niezależnie od tego jak są liczni. Gdyby tylko ci głupcy cię posłuchali! #Jednakże nie jesteś bez litości. Ci, którzy byli na tyle mądrzy aby się z Tobą sprzymierzyć, będą cieszyć się obfitymi owocami przyszłości, a ich odwaga i mądrość będą honorowane w całym Twoim nowym imperium. Są oni żywym świadectwem twojego miłosierdzia i nigdy więcej nie będzie wroga, którego musieliby się obawiać. Oczywiście tak długo, jak długo będą lojalni wobec Imperium Ursinathi...
GAME_OVER_COUNCIL_WIN2            | Furia twojego imperium triumfuje!#Ta galaktyka i jej mieszkańcy są zdani na Twoją łaskę. Od początku swojej międzygwiezdnej kampanii napotkałeś wielu wrogów i niewielu przyjaciół. Choć bitwy były ciężkie, triumf zwycięstwa należał do Ursinathi kiedy ci, którzy byli zbyt głupi, by dostrzec błąd w swym postępowaniu, musieli stawić czoła zagładzie. Ci którzy pozostali ujrzeli nie tylko potęgę, której powinni się obawiać, ale także intelekt który domagał się ich szacunku. Na ostatnim posiedzeniu Rady Galaktycznej zostałeś wybrany, by poprowadzić to, co będzie znane jako Nowa Republika, ku świetlanej przyszłości.#Czas próby sił dobiegł końca: teraz zaczyna się czas próby twojej mądrości. Nie wiadomo, co przyniesie przyszłość Republice pod przywództwem króla-filozofa Imperium Ursinathi. Ale jedno jest pewne: nie ma już nikogo, kto sprzeciwiałby się Twoim decyzjom, gdyż Twoja niezłomna siła daje wszelkie gwarancje, by rozwiać wszelkie wątpliwości i obawy nowych poddanych. Niech żyje Nowa Republika i niech żyje Wielki Hierarcha Imperium Ursinathi!
