// race-specific variables (must start with _)
_empire                           | Nazlokowie, Sarlokowie, Szpielokowie, Cieniowie, Dralokowie
_empire2                          | Nazloków, Sarloków, Szpieloków, Cieniów, Draloków

_race                             | Nazlokowie, Sarlokowie, Spylokowie, Cieniowie, Dralokowie
_race2                            | Nazloku, Sarloku, Szpieloku, Cieniu, Draloku
_race3                            | Nazloków, Sarloków, Szpieloków, Cieniów, Draloków
_race_plural                      | Nazlokowie, Sarlokowie, Szpielokowie, Cieniowie, Dralokowie
_title                            | Władca
_nameTitle                        | 


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.

// Advisor text
MAIN_ADVISOR_TITLE                | Doradca Nazloków
MAIN_ADVISOR_BUTTON_OK            | Zamknij
MAIN_ADVISOR_SCOUT                | Zakończyliśmy budowę pary zwiadowców i statku kolonizacyjnego. Pozostaje mieć nadzieję, że znajdziemy odpowiedzi na pobliskiej planecie.
MAIN_ADVISOR_TRANSPORT            | Odpowiedzi nie znaleziono na planecie %1. Powinniśmy mimo to wysłać tam transporty aby zwiększyć naszą liczebność.
MAIN_ADVISOR_DIPLOMACY            | Reprezentanci mieszkańców tego wymiaru dali o sobie znać. Musimy zrobić co w naszej mocy aby poznać odpowiedzi będące w ich posiadaniu.
MAIN_ADVISOR_SHIP_ENGINE          | Odkryliśmy sposób produkcji bardziej efektywnych silników. Musimy ocenić jak najlepiej zaktualizować projekty statków w celu wykorzystania tej nowej technologii.
MAIN_ADVISOR_RALLY_POINTS         | Konflikt! Nowo budowane statki mogą być wysyłane prosto z fabryk na jedną planetę aby formować tam flotę w celu obrony przed agresorami.
MAIN_ADVISOR_MISSILE_BASES        | Zbyt wiele już straciliśmy podróżując do tego wymiaru: nasze kolonie muszą zapewnić sobie ochronę same poprzez budowę tak wielu obronnych baz rakietowych jak tylko możliwe.
MAIN_ADVISOR_SHIP_WEAPON          | Odkryliśmy nową technologię, która zwiększa ofensywne zdolności naszych statków kosmicznych. Powinniśmy jak najszybciej zaktualizować projekty statków aby z niej skorzystać.
MAIN_ADVISOR_COUNCIL              | Chodzą słuchy o tym, że niebawem zbierze się twór znany jako Rada Galaktyczna. Nasi szpiedzy mają nadzieję na wykorzystanie tej możliwości do zebrania jak największej ilości informacji. Przyszłość naszej rasy od tego zależy!
MAIN_ADVISOR_REBELLION            | Czy mieszkańcy planety %1 postradali zmysły?! Zapomnieli chyba, że tylko razem możemy zwyciężyć we wszechświecie! Musimy natychmiast zrobić przykład z tych buntowników!
MAIN_ADVISOR_RESIST_COUNCIL       | Nasze szanse na sukces i tak zawsze były niewielkie. Walka z Radą Galaktyczną i jej sprzymierzeńcami zmniejsza je w niewielkim stopniu.
MAIN_ADVISOR_COUNCIL_RESISTED     | Zbyt długo pracowaliśmy, by nagiąć tych głupców do naszej woli! Bunt przeciwko naszemu przywództwu nie będzie tolerowany! Zniszcz ich natychmiast!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Koniec twojej misji, koniec twojego ludu...#Niewyobrażalna tragedia dotknęła twoje imperium. Niegdyś rasa pragnąca odkryć tajniki wydarzenia, które wygnało jej przodków z umierającego wszechświata do tego obcego wymiaru, Twoja cywilizacja leży teraz w całkowitej ruinie u stóp potworów o wiele potężniejszych niż te, którym mogłaby mieć nadzieję się przeciwstawić. Gdyby tylko trudny los Twego ludu był znany, może byliby bardziej miłosierni. Może nawet udzieliliby ci pomocy, a przynajmniej byliby bardziej tolerancyjni dla środków, których użyłeś, aby osiągnąć cel. Zamiast tego osiągnąłeś jedynie przedwczesną zagładę rasy, podczas gdy inne potęgi kontynuują swój marsz w kierunku tego, co przyniesie im przyszłość.#Niech więc Nazloków spotka ta zagłada! Gdybyś rozegrał tę partię inaczej, Twoi ludzie być może nadal by żyli, a może nawet znalazłbyś klucz, który pozwoliłby ci sprowadzić innych do tego nowego, bardziej stabilnego wymiaru. Być może jednak było to niewykonalne: być może los po prostu postanowił rozdać ci najbardziej niefortunny układ kart...
