// race-specific variables (must start with _)
_empire                           | Rój Klakonów, Rój Klakantów, Rój Klokanów, Rój Artroponów, Rój Żuków
_empire2                          | Roju Klakonów, Roju Klakantów, Roju Klokanów, Roju Artroponów, Roju Żuków
_race                             | Klakoni, Klakanci, Klokani, Artroponi, Żuki
_race2                            | Klakonie, Klakancie, Klokanie, Artroponie, Żuku
_race3                            | Klakonów, Klakantów, Klokanów, Artroponów, Żuków
_race_plural                      | Klakoni, Klakanci, Klokani, Artroponi, Żuki
_title                            | władca
_nameTitle                        |

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | [player_name]
MAIN_ADVISOR_BUTTON_OK            | Zamknij
MAIN_ADVISOR_SCOUT                | Moje statki zostały wreszcie ukończone. Muszę użyć zwiadowców by znaleźć nowe światy, na których wyląduje mój statek kolonialny.
MAIN_ADVISOR_TRANSPORT            | Zadomowiłem się na tym świecie i muszę wysłać więcej z mojego ojczystego domu, aby go rozwinąć. Nie ma tu nowego życia więc moje poszukiwania trwają.
MAIN_ADVISOR_DIPLOMACY            | Nareszcie nowe życie! Cóż to za dziwna forma życia, która komunikuje się za pomocą dźwięków i gestów. Zanim wykonam następny ruch muszę rozważyć posiadane informacje dyplomatyczne i wywiadowcze.
MAIN_ADVISOR_SHIP_ENGINE          | Wciąż się doskonalę ulepszając silniki moich statków kosmicznych. Muszę ponownie przeanalizować projekty moich statków, aby włączyć je do mojej floty.
MAIN_ADVISOR_RALLY_POINTS         | Dlaczego mnie atakują? Nie rozumiem. Muszę wybrać punkt zborny dla moich statków aby się bronić i spróbować zrozumieć, dlaczego tak się stało.
MAIN_ADVISOR_MISSILE_BASES        | Teraz widzę, że nie każde życie poznało dobrodziejstwo współpracy. Muszę ufortyfikować moje zewnętrzne światy bazami rakietowymi aby zabezpieczyć moje włości.
MAIN_ADVISOR_SHIP_WEAPON          | Wciąż się rozwijam. Ta nowa technologia broni da mi więcej mocy, jak tylko włączę ją do projektów moich statków.
MAIN_ADVISOR_COUNCIL              | Podniecenie! Już niedługo odbędzie się spotkanie wielu ras. Jakie formy życia będą tam zgromadzone? Jeśli postawię się w lepszym świetle wśród tych, których znam, być może ułatwią mi zapoznanie się z nowymi gatunkami.
MAIN_ADVISOR_REBELLION            | Co to? Utraciłem kontrolę nad sobą na planecie %1. Nieważne, muszę tam się po prostu wybrać i pokazać, że to ja tu rządzę.
MAIN_ADVISOR_RESIST_COUNCIL       | Niemożliwe! Że inny został wybrany by rządzić tymi głupcami, podczas gdy moja mądrość jest ignorowana! Nieważne: natychmiast położę kres im wszystkim!
MAIN_ADVISOR_COUNCIL_RESISTED     | Dlaczego ci głupcy są tak nieprzyjemni? Rada jest moja, galaktyka jest moja, a teraz oni poznają swoje miejsce w moim królestwie!

MAIN_SCOUT_TITLE                  | Badam nowy system gwiezdny
MAIN_COLONIZE_TITLE               | Jestem na orbicie planety %1, systemu jeszcze nieskolonizowanego.
MAIN_COLONIZE_ANIMATION_TITLE     | W roku %1 zakładam nową kolonię.
MAIN_ALERT_SPY_CAPTURED           | Schwytałem szpiega z [alien_empire2] i wymusiłem na nim przyznanie się do następujących działań: %2.
MAIN_ALERT_TRANSPORTS_KILLED      | Moje próby dotarcia do planety %2 zostały powstrzymane przez siły obrońców rasy [alien_race3].
MAIN_ALERT_INVADERS_KILLED        | Transporty rasy [alien_race3] próbujące zaatakować planetę %2 zostały przeze mnie całkowicie zniszczone.
MAIN_BOMBARD_TITLE                | Orbituję wokół wrogiej kolonii rasy [alien_race3].

TECH_RESEARCH_COMPUTER            | Muszę wybrać następną technologię komputerową, na której chcę się skupić.
TECH_RESEARCH_CONSTRUCTION        | Muszę wybrać następną technologię konstrukcyjną, na której chcę się skupić.
TECH_RESEARCH_FORCE_FIELD         | Muszę wybrać następną technologię pola siłowego, na której chcę się skupić.
TECH_RESEARCH_PLANETOLOGY         | Muszę wybrać następną technologię planetologiczną, na której chcę się skupić.
TECH_RESEARCH_PROPULSION          | Muszę wybrać następną technologię napędową, na której chcę się skupić.
TECH_RESEARCH_WEAPON              | Muszę wybrać następną technologię militarną, na której chcę się skupić.
TECH_DISCOVERY_TITLE              | Osiągam przełom w %1
TECH_SCOUTED_TITLE                | Podczas eksploracji Ruin planety %1 odkrywam nową technologię
TECH_STOLEN_TITLE                 | Przenikam do centrum badawczego rasy znanej jako %1 planety %2
TECH_TRADED_TITLE                 | Pozyskuję technologię od naukowców rasy [alien_race3]
TECH_PLUNDERED_TITLE              | Podczas plądrowania ruin planety %1 odkrywam nową technologię
TECH_ALLOCATE_SHIELD              | Czy powinienem zwiększyć współczynnik obrony wszystkich moich kolonii, aby zbudować nowe tarcze planetarne?
TECH_ALLOCATE_MISSILE_BASES       | Czy powinienem zwiększyć współczynniki obrony wszystkich moich kolonii aby ulepszyć bazy rakietowe?
TECH_ALLOCATE_FACTORIES           | Czy powinienem zwiększyć współczynnik przemysłu we wszystkich koloniach, aby ulepszyć kontrolę nad fabrykami?
TECH_ALLOCATE_CLEAN_WASTE         | Czy powinienem zmniejszyć współczynniki ekologii we wszystkich moich koloniach do minimum niezbędnego do utrzymania ich w czystości?
TECH_ALLOCATE_ENRICH_SOIL         | Czy powinienem zwiększyć współczynnik ekologii moich kolonii w środowiskach standardowych, aby rozpocząć terraformację moich planet?
TECH_ALLOCATE_ATMOSPHERE          | Czy powinienem zwiększyć współczynnik ekologii moich kolonii w środowiskach wrogich aby rozpocząć terraformację moich planet?
TECH_ALLOCATE_TERRAFORM           | Czy powinienem zwiększyć współczynniki ekologii wszystkich moich kolonii aby rozpocząć terraformację moich planet?

NOTICE_ESPIONAGE_TITLE            | Zinfiltrowałem bazę [alien_race3].
NOTICE_ESPIONAGE_FRAME_TITLE      | Udało mi się wrobić inną rasę w kradzież.

SHIP_COMBAT_TITLE_DESC            | Spotykam flotę wrogiej rasy [alien_race3].

SABOTAGE_FACTORIES_RESULT         | Zniszczyłem %1 fabryk.
SABOTAGE_BASES_RESULT             | Zniszczyłem %1 baz rakietowych.
