// race-specific variables (must start with _)
_empire                           | Klan Fierszan, Klan Prrszan, Klan Miauszan, Klan Pazurszan, Klan Syczszan
_empire2                          | Klanu Fierszan, Klanu Prrszan, Klanu Miauszan, Klanu Pazurszan, Klanu Syczszan
_race                             | Fierszanie, Prrszanie, Miauszanie, Pazurszanie, Syczszanie
_race2                            | Fierszanie, Prrszanie, Miauszanie, Pazurszanie, Syczszanie
_race3                            | Fierszanów, Prrszanów, Miauszanów, Pazurszanów, Syczszanów
_race_plural                      | Fierszanie, Prrszanie, Miauszanie, Pazurszanie, Syczszanie
_title                            | Chan
_nameTitle                        | Chan

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Doradca Fierszanów
MAIN_ADVISOR_BUTTON_OK            | Zamknij
MAIN_ADVISOR_SCOUT                | Aha! Nasza pierwsza flota jest gotowa, mój Chanie! Użyjmy jej do znalezienia wroga, który posiada wielkie bogactwa.
MAIN_ADVISOR_TRANSPORT            | Podbiliśmy nowe terytoria na planecie %1. Im więcej przetransportujemy mieszkańców z planety %3, tym szybciej odnajdziemy skarby tego świata.
MAIN_ADVISOR_DIPLOMACY            | Nawiązaliśmy kontakt z obcą rasą! Czy okażą się potężni, czy też będzie to łatwy łup?
MAIN_ADVISOR_SHIP_ENGINE          | Opracowaliśmy metodę ulepszenia silników, która sprawi że nasze statki będą jeszcze szybsze! Jeśli wykorzystamy je w projektach statków to nasze najazdy na wrogie światy staną się jeszcze bardziej efektywne!
MAIN_ADVISOR_RALLY_POINTS         | Mój Chanie! Stoimy w obliczu otwartej wojny! Możnowładcy dotrzymali obietnicy zjednoczenia sił w obliczu wspólnego wroga i czekają na rozkazy dotyczące wyznaczenia punktu zbornego, gdzie będzie wysyłana nowo budowana flota!
MAIN_ADVISOR_MISSILE_BASES        | Światy brzegowe naszego terytorium są narażone na wrogie ataki! Zbudujmy obronne bazy rakietowe na ich powierzchni aby zapobiec zakusom wroga.
MAIN_ADVISOR_SHIP_WEAPON          | Udało się nam opracować nową potężną broń do wykorzystania na statkach. Po uwzględnieniu jej w projektach nasza flota zapewne zasieje popłoch wśród sił wroga.
MAIN_ADVISOR_COUNCIL              | Nieuchronnie zbliża się spotkanie potężnych cywilizacji, jednak będzie miało ono charakter dyplomatyczny a nie militarny. Dziwny to sposób, ale powinniśmy wziąć udział w tej "Radzie Galaktycznej" - choćby po to aby ułagodzić co bardziej nerwowych rywali.
MAIN_ADVISOR_REBELLION            | Źle się czujesz, Khanie? Na planecie %1 wybuchła rebelia a Ty nie wydałeś rozkazu by ją stłumić.
MAIN_ADVISOR_RESIST_COUNCIL       | Czy oni myśleli, że tak po prostu pozwolimy im zaprowadzić pokój w galaktyce? Rozpocznijmy najazdy, Khanie: nasi ludzie są spragnieni skarbów! 
MAIN_ADVISOR_COUNCIL_RESISTED     | Ci buntowniczy głupcy odrzucają nasze rządy! Pokażmy im nasze dictum: silni biorą, słabi dają! 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Każdy może teraz wziąć twoje cenne skarby...#Straszne floty zaczepne Chanatu, które uderzały jak widmowe błyskawice, powodowały że całe cywilizacje obawiały się podróży zbyt daleko od domu. W szczytowym okresie swojej potęgi zagarniałeś bogactwa całych cywilizacji i dodawałeś je do hord, które zawierały relikty obejmujące setki światów. Wydaje się jednak, że przez głupotę, arogancję, chciwość lub jakąś kombinację tych czynników, Twoi ludzie w końcu znaleźli wrogów ponad ich siły. A kiedy ci wrogowie przeszli do ofensywy byłeś bezsilny by zapobiec losowi, który cię spotkał.#Niegdyś sama plotka o zbliżającej się flocie Fierszan powodowała, że całe systemy gwiezdne trzęsły się ze strachu. Teraz Twoi ludzie zostali wymazani z galaktyki, pozostając jedynie jak opowieści o duchach, które mają straszyć dzieci zwycięzców by były bardziej grzeczne. A cenne skarby zabrane z tak wielu światów zostały rozkradzione i umieszczone w bogatych domach i muzeach: teraz są reliktami odległej przeszłości, tak jak Twoi ludzie...
