// race-specific variables (must start with _)
_empire                           | Konklawe Ssslaurów, Konklawe Gadów, Konklawe Saurów, Konklawe Reptarów, Konklawe Tyranów
_empire2                          | Konklawe Ssslaurów, Konklawe Gadów, Konklawe Saurów, Konklawe Reptarów, Konklawe Tyranów
_race                             | Ssslaurzy, Gady, Saurzy, Reptarzy, Tyrani
_race2                            | Ssslaurze, Gadzie, Saurze, Reptarze, Tyranie
_race3                            | Ssslaurów, Gadów, Saurów, Reptarów, Tyranów
_race_plural                      | Ssslaurzy, Gady, Saurzy, Reptarzy, Tyrani

_title                            | Pierwszy Magister
_nameTitle                        | Pierwszy Magister

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Doradca Ssslaura
MAIN_ADVISOR_BUTTON_OK            | Zamknij
MAIN_ADVISOR_SCOUT                | Nareszcie możemy rozpocząć udoskonalanie środowisk poza naszym własnym światem. Pierwszy Magistrze, jak najszybciej wyślij zwiadowców i statek kolonizacyjny w kierunku pobliskiej planety.
MAIN_ADVISOR_TRANSPORT            | Założyliśmy pierwszą kolonię na całkowicie nowym świecie. Wysyłając transport możemy zwiększyć naszą liczebość i jeszcze szybciej rozwiązać zagadki czekające na %1! 
MAIN_ADVISOR_DIPLOMACY            | Kolejny gatunek zdolny do podróży międzygwiezdnych skontaktował się z Konklawe. Rozpocznijmy z nim dialog i przekonajmy się jak traktuje swoje światy. Wówczas zadecydujemy jak z nim postąpić.
MAIN_ADVISOR_SHIP_ENGINE          | Opracowaliśmy znaczniej bardziej efektywne silniki statków. Jak najszybciej wykorzystajmy je w nowych projektach.
MAIN_ADVISOR_RALLY_POINTS         | Nasi sąsiedzi najwyraźniej mają nas za... kłótliwych. Możemy użyć punktów zbornych w celu przekierowania statków do jednej lokalizacji i zapobieżenia atakom na nasze cudowne nowe światy.
MAIN_ADVISOR_MISSILE_BASES        | Boli mnie sama myśl o takim plugawieniu naszych światów, ale chyba możemy poświęcić nieco miejsca na budowę obronnych baz rakietowych w celu ich ochrony przed jeszcze większym zniszczeniem.
MAIN_ADVISOR_SHIP_WEAPON          | Nastąpiło odkrycie dotyczące wyrządzania większych szkód wrogim statkom. Pierwszy Magistrze, sugeruję użycie tej technologii w nowo budowanych jednostkach.
MAIN_ADVISOR_COUNCIL              | Wszystkie zaawansowane cywilizacje będą uczestniczyć w zebraniu zwanym "Radą Galaktyczną". To może być doskonała okazja aby przekonać się, które imperia miałyby coś przeciwko... ekspansji Konklawe.
MAIN_ADVISOR_REBELLION            | Magistrze! W kolonii %1 wybuchła rebelia. Nie wiem co jest przyczyną, ale wiem jakie powinno być rozwiązanie tego problemu!
MAIN_ADVISOR_RESIST_COUNCIL       | Nie ma mowy, że przyjmiemy tę zniewagę bez walki, prawda? Będziemy walczyć z Radą, prawda?! Jeśli nie to tylko pomyśl co stanie się z tymi biednymi planetami! 
MAIN_ADVISOR_COUNCIL_RESISTED     | Obrzydliwi buntownicy! Ledwo tolerowaliśmy ich istnienie, a teraz chcą się buntować? Wydaj rozkaz eksterminacji: mają wiele światów do zdobycia dla Konklawe!
 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Los wszystkich światów jest przypieczętowany...#Byłeś kiedyś nadzieją niezliczonych planet galaktyki. Wyruszając z ojczyzny, Twoim jedynym celem było poznanie i udoskonalenie unikalnej ekologii każdego świata, który można było znaleźć. W miarę jak Twoja wiedza rosła, wzrastał również zapał twojego ludu i przez pewien czas wydawało się, że wspólne marzenie wszystkich Ssslaura się spełni. Gdyby nie chciwość wrogów dążących do jak największego poszerzenia swoich terytoriów, to bardzo możliwe że tak by się stało.#Twoje kolonie zostały podbite do ostatniej planety: troskliwa opieka jaką otaczałeś swoje biomy została zdeptana przez żądzę krwi międzygwiezdnych rywali. Gdy ostatnie z kolonii płoną a Twoja śmierć jest nieunikniona, zastanawiasz się czy głupcy którzy cię pokonali kiedykolwiek nauczą się żyć w harmonii ze światami, które tak bezczelnie wzięli jak swoje. Prawdopodobna odpowiedź na to pytanie, Pierwszy Magistrze, jest jednak zbyt straszna by się nad nią rozwodzić...
GAME_OVER_MILITARY_WIN2           | Zbawienie wszystkich światów jest wreszcie na wyciągnięcie ręki!#Zwycięstwo! Zwycięstwo dla twojego ludu i dla wszystkich planet w galaktyce! Od dnia w którym Konklawe Ssslaura wyruszyło ze swojego świata w poszukiwaniu nowych środowisk do pielęgnacji wiedziałeś, że życzenie Twego ludu zostanie spełnione. Błędem twoich rywali było to, że nie dostrzegali mądrości w priorytetowym traktowaniu bezpieczeństwa systemów ekologicznych tej galaktyki, ale prawdziwą głupotą był fakt, że myśleli iż ich siła wystarczy, aby powstrzymać cię przed osiągnięciem tego celu.#Obejmując najprostszy i najbardziej bezpośredni kierunek działania zdecydowałeś się wyeliminować zagrożenie jakie stanowili Twoi rywale, a czyniąc to zapobiegłeś dalszemu niepotrzebnemu cierpieniu biosfer, które tak brutalnie zrujnowali dla swoich własnych celów! Teraz masz nieskończoną ilość czasu aby naprawić szkody, które spowodowali i nie ma nikogo, kto mógłby ci w tym przeszkodzić. Twoi ludzie będą płynąć niczym rzeka przez całą galaktykę, a każda planeta będzie dopływem czekającym na rozwój w pokoju pod Twoim przewodem. Ciesz się owocami swojej ciężkiej pracy! Rozkoszuj się na zawsze wyzwaniami, które czekają Ssslaura na nadchodzącej ścieżce!

