//
// Armor techs
// 
ARMOR_0_NAME     | Pancerz z Tytanu
ARMOR_0_ITEM     | Tytan
ARMOR_0_BRIEF    | Żywotność %1
ARMOR_0_DETAIL   | Technologia podstawowa - brak premii do pancerza statków lub żołnierzy.

ARMOR_1_NAME     | Pancerz z Duraluminium
ARMOR_1_ITEM     | Duraluminium
ARMOR_1_BRIEF    | Żywotność %1
ARMOR_1_DETAIL   | większa żywotność statków oraz transportów o 50%. Ulepsza także pancerz żołnierzy, dodając 5 do wszystkich ataków naziemnych.

ARMOR_2_NAME     | Pancerz z Zortrium
ARMOR_2_ITEM     | Zortrium
ARMOR_2_BRIEF    | Żywotność %1
ARMOR_2_DETAIL   | Zwiększa żywotność statków oraz transportów o 100%. Ulepsza także pancerz żołnierzy, dodając 10 do wszystkich ataków naziemnych.

ARMOR_3_NAME     | Pancerz z Andrium
ARMOR_3_ITEM     | Andrium
ARMOR_3_BRIEF    | Żywotność %1
ARMOR_3_DETAIL   | Zwiększa żywotność statków oraz transportów o 150%. Ulepsza także pancerz żołnierzy, dodając 15 do wszystkich ataków naziemnych.

ARMOR_4_NAME     | Pancerz z Tritanium
ARMOR_4_ITEM     | Tritanium
ARMOR_4_BRIEF    | Żywotność %1
ARMOR_4_DETAIL   | Zwiększa żywotność statków oraz transportów o 200%. Ulepsza także pancerz żołnierzy, dodając 20 do wszystkich ataków naziemnych.

ARMOR_5_NAME     | Pancerz z Adamantium
ARMOR_5_ITEM     | Adamantium
ARMOR_5_BRIEF    | Żywotność %1
ARMOR_5_DETAIL   | Zwiększa żywotność statków oraz transportów o 250%. Ulepsza także pancerz żołnierzy, dodając 25 do wszystkich ataków naziemnych.

ARMOR_6_NAME     | Pancerz z Neutronium
ARMOR_6_ITEM     | Neutronium
ARMOR_6_BRIEF    | Żywotność %1
ARMOR_6_DETAIL   | Zwiększa żywotność statków oraz transportów o 250%. Ulepsza także pancerz żołnierzy, dodając 30 do wszystkich ataków naziemnych.


//
// Atmospheric Terraforming techs
// 
ATMOSPHERE_0_NAME      | Terraformacja Atmosferyczna
ATMOSPHERE_0_DETAIL    | Konwertuje Nieprzyjazne środowiska na Normalne środowiska kosztem 150 BC.


//
// Automated Repair techs
// 
AUTOREPAIR_0_NAME      | System Automatycznej Naprawy
AUTOREPAIR_0_BRIEF     | Odnawia 15% pkt obrażeń statku na rundę
AUTOREPAIR_0_DETAIL    | Niezniszczone statki odnawiają do 15% pkt obrażeń na koniec każdej rundy.

AUTOREPAIR_1_NAME      | Zaawansowany System Kontroli Zniszczeń
AUTOREPAIR_1_BRIEF     | Odnawia 30% pkt obrażeń statku na rundę
AUTOREPAIR_1_DETAIL    | Niezniszczone statki odnawiają do 30% pkt obrażeń na koniec każdej rundy.


//
// Battle Computer techs
// 
// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | 
COMPUTER_0_ITEM    |  
COMPUTER_0_BRIEF   | Poziom ataku 0
COMPUTER_0_DETAIL  |

COMPUTER_1_NAME    | Komputer Bitewny Typu I
COMPUTER_1_ITEM    | Typ I
COMPUTER_1_BRIEF   | Poziom ataku I
COMPUTER_1_DETAIL  | Zwiększa celność broni do poziomu 1.

COMPUTER_2_NAME    | Komputer Bitewny Typu II
COMPUTER_2_ITEM    | Typ II
COMPUTER_2_BRIEF   | Poziom ataku II
COMPUTER_2_DETAIL  | Zwiększa celność broni do poziomu 2.

COMPUTER_3_NAME    | Komputer Bitewny Typu III
COMPUTER_3_ITEM    | Typ III
COMPUTER_3_BRIEF   | Poziom ataku III
COMPUTER_3_DETAIL  | Zwiększa celność broni do poziomu 3.

COMPUTER_4_NAME    | Komputer Bitewny Typu IV
COMPUTER_4_ITEM    | Typ IV
COMPUTER_4_BRIEF   | Poziom ataku IV
COMPUTER_4_DETAIL  | Zwiększa celność broni do poziomu 4.

COMPUTER_5_NAME    | Komputer Bitewny Typu V
COMPUTER_5_ITEM    | Typ V
COMPUTER_5_BRIEF   | Poziom ataku V
COMPUTER_5_DETAIL  | Zwiększa celność broni do poziomu 5.

