// race-specific variables (must start with _)
_empire                           | Soberania Alkari, Soberania Aviari, Soberania Garrulari, Soberania Plumari, Soberania Galinari
_race_male                        | Alkari, Aviari, Garrulari, Plumari, Galinari
_race_male_plural                 | Alkaris, Aviaris, Garrularis, Plumaris, Galinaris
_race_female                      | Alkari, Aviari, Garrulari, Plumari, Galinari
_race_female_plural               | Alkaris, Aviaris, Garrularis, Plumaris, Galinaris
_title                            | Rei
_nameTitle                        | Rei-Zénite


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Conselheiro %1
MAIN_ADVISOR_BUTTON_OK            | Dispensar
MAIN_ADVISOR_SCOUT                | Senhor, os batedores encontram-se a postos para descobrir um novo mundo a incorporar no território da nossa ilustre Soberania.
MAIN_ADVISOR_TRANSPORT            | Um novo mundo carrega o nosso estandarte, mas cresce a um ritmo inibido. Se enviarmos um transporte para a colónia, ela crescerá muito mais rápido.
MAIN_ADVISOR_DIPLOMACY            | Parece que uma nova civilização se revelou no espaço sidérico! Os nossos diplomatas observarão todo o decoro protocolar em vosso nome, e farão notar se a resposta corresponder.
MAIN_ADVISOR_SHIP_ENGINE          | As nossas mentes mais brilhantes conceberam um motor mais eficiente. Elas solicitam que avalie os planos atuais das naves e decida como aplicar os novos motores às nossas frotas.
MAIN_ADVISOR_RALLY_POINTS         | Os tempos de paz não podem perdurar enquanto uma raça indigna declara guerra ao nosso império. As 33 Casas estão unidas sob a vossa governação e prontas para reunir as frotas.
MAIN_ADVISOR_MISSILE_BASES        | Com as frotas em batalha, os nossos mundos encontram-se vulneráveis aos ataques do inimigo. Podemos dar início à construção de bases de mísseis em qualquer mundo que deseje.
MAIN_ADVISOR_SHIP_WEAPON          | Os nossos pesquisadores fizeram uma descoberta revolucionária para o armamento de naves. As frotas podem ser equipadas com estas tecnologias devastadoras a qualquer momento.
MAIN_ADVISOR_COUNCIL              | O Conselho Galáctico reunir-se-á em breve e a nossa presença é, sem dúvida, desejável. Os nossos diplomatas vão garantir que todas as decisões beneficiam a Soberania.
MAIN_ADVISOR_REBELLION            | Ah, rebelião em %1. Estranho, mas suponho que algum dia teria de acontecer. Ainda assim, teremos de os atenuar antes que o descontentamento se alastre para outras colónias, Senhor.
MAIN_ADVISOR_RESIST_COUNCIL       | Resistimos com o nosso senhor! Não haverá paz nesta galáxia enquanto vossa mercê não tomar o devido assento no mais elevado dos tronos!
MAIN_ADVISOR_COUNCIL_RESISTED     | Patético. Vede como os tolos enfrentam o inevitável! Basta uma ordem de vossa excelência para nos certificarmos de que os rebeldes serão esmagados!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Conservaste a tua honra, mesmo nos momentos mais difíceis...#É o fim da Soberania Alkari. Ainda que o teu povo tenha ultrapassado os horrores indescritíveis das guerras do Período Carmesim, parece que recebeu o golpe derradeiro ao ser confrontado com a selvageria dos impérios seus rivais. Eles lutaram com bravura, com todo o mérito e honradez herdados dos antepassados. Mas infelizmente para eles e para ti, Rei-Zénite, a História chega agora ao fim.#Talvez estivesse predestinado: vós combatendo honradamente pela glória do vosso rei enquanto os inimigos usavam de qualquer tática à disposição, por muito bárbara ou infame que fosse. Os vossos inimigos podem ter triunfado, mas a vossa gente manteve a virtude até ao fim. A História deve pelos menos isso aos Alkaris quando for tempo de os recordar...
GAME_OVER_MILITARY_WIN2           | Glória ao Rei-Zénite! Glória à Soberania!#A vitória é vossa! Os débeis oponentes que quiseram impedir a tua inevitável dominação não estavavam à altura das tuas frotas e da determinação da tua raça! Vitorioso batalha após batalha, solidificaste a tua posição como verdadeiro líder dos Alkaris junto da população. Doravante, mais ninguém se atreverá a ameaçar o teu império e nunca mais o povo questionará o teu direito divino à coroa!#Ao conquistares os teus rivais, abriste também caminho para os teus cidadãos alcançarem as honrarias que eles e as suas famílias tão desesperadamente necessitavam para se movimentarem na hierarquia social conforme as suas façanhas. Com estas vias desimpedidas, a instabilidade que atormentava os Alkaris desde o final do Período Carmesim foi, enfim, consertada. Mas à medida que o teu povo se expande para cada canto da galáxia, a falta de inimigos para se pôr à prova pode fazer as tensões ressurgir. Certifica-te de que estás pronto para conquistar outras galáxias quando essa altura chegar, Rei-Zénite, ou as consequências podem ser piores do que aquelas que te ameaçaram desta vez.
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Glória ao rei e àqueles que lutaram a seu lado!#Jamais há de a tua honra ser impugnada! Guiaste os cidadãos, como Rei-Zénite da Soberania Alkari, a novos e estranhos mundos nunca antes imaginados e acrescentaste-os ao teu império. Forjaste alianças, geriste comércio interestelar e travaste guerras contra os que procuraram prejudicar a tua venerável soberania. Quando as últimas guerras começaram e a galáxia se dividiu entre os que seriam teus aliados e os que seriam teus inimigos, conduziste as tropas à vitória e mostraste uma graça e nobreza sem igual no trato com os teus súbditos e aliados.#E agora chegas ao fim da partida, pois já nenhum habitante desta galáxia levantaria armas contra ti. Tu e os teus aliados desfrutarão agora dos despojos de um reinado sem mais opositores - e as futuras trocas culturais prometem enriquecer as vidas de todos os envolvidos. Que a paz perdure e longa vida ao nobre e sábio Rei-Zénite!
GAME_OVER_COUNCIL_LOSS2         | Conservaste a tua honra, mesmo nos momentos mais difíceis...#Os estultos do Conselho não sabem o que fizeram. Na falha em reconhecer a civilidade e justiça do teu reinado, o Conselho Galáctico decidiu nomear o líder %6 para encabeçar a Nova República. As tuas petições e zelo, a tua perícia diplomática e a tua aderência firme aos princípios da honra e da civilidade não surtiram efeito algum face às negociações clandestinas e usurpações asquerosas de poder: deixaram-te de mãos vazias no fim.#Agora os Alkaris devem preparar-se para o reinado %6. Tu e os teus diplomatas reconhecem melhor que ninguém o quão despótica e ilegítima esta nova era vai será e sabes que é vão levantar a voz contra a injustiça, enfrentando as frotas conjuntas da Nova República. Como o teu povo enfrentará este futuro insípido, só o tempo dirá. Quiçá, com sorte, a oportunidade surja para um novo Rei-Zénite ascender ao trono quando já tiveres partido...
GAME_OVER_REBELLION_LOSS2         | Conservaste a tua honra, mesmo nos momentos mais difíceis...#A mágoa leva a melhor neste dia, Rei-Zénite. Quando ergueste o estandarte da rebelião contra a tirania da Nova República, controlada pelos %6_plural, a tua crença na justiça e na integridade garantiram-te a força de vontade necessária para o que terias de enfrentar. Confiaste em que a vitória favoreceria a honra, sabendo que ninguém mais que os nobres Alkaris aderia aos princípios da retidão. Mas o desastre foi a consequência da tua escolha, e tudo o que te esperou no futuro não foi senão a total e completa aniquilação.#Certamente que os fantasmas da tua gente não guardam ressentimentos: pensaram como tu e teriam sempre escolhido a morte a permanecer numa galáxia que coloca a desonra grosseira acima dos nobres ideais que os Alkaris tanto prezavam. Mas são fantasmas não obstante, Rei-Zénite. E enquanto as últimas ruínas da tua civilização acabam de arder, enfrentas resoluto o teu destino, sabendo que em breve serás, também tu, um espetro.
GAME_OVER_REBELLION_WIN2          | Glória ao Rei-Zénite! Glória à Soberania!#Acabas de obter a mais inacreditável das vitórias! Os impérios do Conselho Galáctico bem negaram, a princípio, o teu direito à posição suprema, e ainda escarneceram da tua insistência de que apenas o Rei-Zénite poderia ser o justo governador da Nova República. As frotas dos teus rivais cedo te apontaram as suas armas e levianamente iniciaram uma guerra que, segundo pensaram, seria curta, decisiva e final. Só que no lugar da vitória que previram, entregaste-os ao mais puro tormento e desespero!#Agora a galáxia curva-se a teus pés, purgada daqueles que se atreveram a questionar o teu direito divino ao trono. O povo foi liberto do medo da tirania, pois a tua proeza transcendente como seu líder granjeou a sua confiança e adoração até ao fim dos tempos. Despede-te agora, Rei-Zénite! Vai e alarga a Soberania a todos os recantos desta galáxia. E quando tiveres tomado e cultivado todos os mundos que te esperam, será altura de expandir o império para outras galáxias, anelantes pela tua governação!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Glória ao rei e àqueles que lutaram a seu lado!#A adesão persistente do teu povo aos princípios da honradez é desde sempre a sua maior força. Foi a vossa graça que ajudou a manter o império longe do esquecimento. Quando iniciaste a rebelião contra a mal-engendrada Nova República, deparaste com a troça e o desdém dos que tinham formado esse novo e tirânico regime. Julgavam-se unidos contra um rival solitário e regozijaram-se em iniciar aquela que seria a sua última guerra. Julgaram que enfrentariam um único inimigo desorientado. Enganaram-se.#Para espanto deles, não travarias as batalhas sozinho. Em vez disso, mantiveste-te firme com os teus aliados, influenciados pela tua virtude e nobreza impolutas. Juntos, conquistastes vitórias, uma após a outra - e em pouco tempo, foram as vossas bandeiras que ondularam erguidas nos mundos da efémera Nova República. Tudo o que vos resta agora é desfrutar dos despojos de uma vitória partilhada e de uma paz e prosperidade condignas. O futuro do teu império resplandece, Rei-Zénite: tu e a tua gente não fizeram por menos!
GAME_OVER_COUNCIL_ALLIANCE_WIN2           | A honra e a preserverança triunfam neste dia...#À medida que foste cruzando a galáxia, deparaste com inúmeras raças em diferentes níveis civilizaionais. Ainda que, por vezes, as suas naturezas rudes e desinibidas tenham ferido a vossa sensibilidade polida, pressentiste na maior parte delas uma essência genuína. Tomaste consciência de que o vosso papel seria o de orientar estas culturas relativamente primitivas para algo mais refinado. Com a passagem tempo, tornou-se evidente que nunca se mostrariam muito recetivas àquilo que viam como um modo aparatoso de operar. Mas tu, paciente e ambicioso Rei-Zénite, deslindaste uma nova via para os ajudar e dar a forma desejada ao futuro da galáxia.#Amparando o florescimento da civilização %6 e desenvolvendo uma aliança com os seus líderes, foste capaz de a talhar para se destacar sobre o vulgo dos outros impérios e se tornar na cabeça da Nova República. Com a influência crescente deste eixo multifacetado de impérios, assumirás o papel de confidente do novo chefe, assegurando que os teus valores dominarão a galáxia - com um decreto de cada vez. Assim que toda a gente se deixe iluminar, a concórdia e a excelência serão finalmente atingidas. Isto é, se tudo acontecer conforme os planos...
GAME_OVER_COUNCIL_WIN2         | Glória ao Rei-Zénite! Glória à Soberania!#O teu momento chegou! A velha era terminou, deixando espaço para um novo e glorioso futuro se instalar! Quando a ideia de uma Nova República começou por ser trazida às câmaras do Conselho Galáctico, tiveram início deliberações intensas sobre quem melhor governaria a galáxia num empreendimento tão ambicioso. Mas tu, Rei-Zénite, sempre soubeste que apenas a ti caberia cumprir um tal destino.#Os teus aliados assertaram logo com fervor que tu serias o único candidato digno do posto, testemunhas recorrentes da nobreza, honradez e justiça que só alguém como tu pode oferecer. Batalharam pela tua ascenção, pelo que agora és, não apenas o Rei-Zénite da Soberania Alkari, como também o Soberano da Nova República. Tu sozinho mapearás o curso que a galáxia há de tomar, tu sozinho carregarás a responsabilidade de a levar nesse caminho. A única questão que nos resta, ó mais sensato e nobre dos líderes, é: que futuro decidirás tu para a galáxia?
GAME_OVER_COUNCIL_MILITARY_WIN2       | Glória ao rei e àqueles que lutaram a seu lado!#Nem a tua honra nem o teu direito divino de governar esta galáxia serão mais questionados por aqueles que agora são teus súbditos! A tua ascenção ao trono da Nova República era inevitável: mais nenhum líder poderia almejar chegar ao teu sentido de justiça e realeza - e nenhum outro povo poderia equiparar-se ao teu no tamanho apego à virtude e à verdade. Quando a rebelião teve início, pouco depois do glorioso dia da coroação, o choque e a incredulidade foram constantes por todo o teu império. Resolutamente, a tua primeira ação como Soberano da Nova República foi esmagar esta insurreição antes que perturbasse ainda mais o teu governo. Escusado será dizer que a vitória foi tua.#Com impressionantes determinação e nobreza, lideraste as frotas da Nova República sucesso após sucesso. A cada batalha vencida e a cada mundo conquistado, a tua reputação dilatou-se até ao estatuto que merecia e até que a confiança nas tuas habilidades transbordasse a ponto de solidificar as tuas pretensões ao trono. Agora a rebelião não constitui mais que uma memória distante. Enquanto os teus aliados te aplaudem com respeito e se comprazem na vitória partilhada, a tua mente orienta-se para o futuro e para toda a grandeza e glória que este tem reservado para as tuas gentes - e claro, para ti...
GAME_OVER_COUNCIL_MILITARY_LOSS2      | Conservaste a tua honra, mesmo nos momentos mais difíceis...#Reclamar a liderança da Nova República e liderar a galáxia segundo os princípios do respeito e da honra teria sido a maior façanha da Soberania Alkari. Quando começaram os rumores da rebelião das fações dissidentes, decidiste que seria melhor não conceder a dignidade de uma resposta real às audácias desses traidores. Mas à medida que os rebeldes cresceram em número e os teus adversários oficiais declararam guerra contra ti, foste forçado a entender que a tua decisão inicial pode não ter sido a mais sábia. Com efeito, resultou na total derrota às mãos impúdicas dos selvagens, com a Nova República a teu comando conhecendo um fim célere e decisivo.#O facto de que foi isto o que sucedeu é uma desgraça que nunca pensaste ter de enfrentar. O teu glorioso reinado como Rei-Zénite elevou-te aos cumes do poder, mas chega agora ao fim, com os teus inimigos abalroando os mundos da tua gente e dos teus outrora determinados aliados. Se tivesses sido mais assertivo, talvez esta história tivesse tido um final diferente. Chora, Rei-Zénite, nunca vires a saber o que poderias ter sido...

// This text is the %8 variable in some of the game over text... when this race wins the game and the player loses
GAME_OVER_ALLIANCE_WIN3           | a virtude inabalável dos Alkaris
GAME_OVER_REBELLION_LOSS3         | a honra obstinada dos Alkaris
