// race-specific variables (must start with _)
_empire                           | Nação Darlok, Nação Sarlok, Nação Spilok, Nação Vultlok, Nação Nazlok
_race_male                        | Darlok, Sarlok, Spilok, Vultlok, Nazlok
_race_male_plural                 | Darloks, Sarloks, Sspiloks, Vultloks, Nazloks
_race_female                      | Darlok, Sarlok, Spilok, Vultlok, Nazlok
_race_female_plural               | Darloks, Sarloks, Sspiloks, Vultloks, Nazloks
_title                            | Chefe
_nameTitle                        | Chefe


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.

// Advisor text
MAIN_ADVISOR_TITLE                | Conselheiro %1
MAIN_ADVISOR_BUTTON_OK            | Dispensar
MAIN_ADVISOR_SCOUT                | Terminámos a construção num par de batedores e numa nave colonizadora. Esperemos que as respostas que procuramos se apresentem nalgum planeta próximo.
MAIN_ADVISOR_TRANSPORT            | Sem respostas no planeta %1. Ainda assim, deveríamos crescer os nossos números lá enviando os transportes que pudermos.
MAIN_ADVISOR_DIPLOMACY            | Representantes de uma espécie nativa desta dimensão deram-se a conhecer. Temos de fazer o que estiver ao nosso alcance para extrair quaisquer respostas que tenham.
MAIN_ADVISOR_SHIP_ENGINE          | Descobrimos forma de produzir motores mais eficientes. Teremos de chegar a um consenso sobre como melhorar os modelos das nossas naves servindo-nos desta nova tecnologia.
MAIN_ADVISOR_RALLY_POINTS         | Rebentou um conflito inescapável! As nossas indústrias de produção podem encaminhar as naves recém-construídas para um ponto de reunião e formar uma frota que nos defenda.
MAIN_ADVISOR_MISSILE_BASES        | Já perdemos demasiado ao virmos parar a este universo para perdermos mais ainda: faça com que as colónias se protejam dos inimigos construindo as bases de mísseis que puderem.
MAIN_ADVISOR_SHIP_WEAPON          | Descobrimos uma nova tecnologia que melhora a capacidade ofensiva das nossas naves. Teremos de decidir uma vez mais como tirar partido disto o quanto antes.
MAIN_ADVISOR_COUNCIL              | Há rumores de uma concentração a que chamam Conselho Galáctico, a ter lugar em breve. Os nossos espiões esperam aproveitá-la para recolher toda a informação possível pela nossa raça!
MAIN_ADVISOR_REBELLION            | Será que os cidadãos de %1 perderam a cabeça?! Esquecem-se de que só prosperaremos neste universo todos juntos! Temos de dar um trato exemplar a esta rebelião já!
MAIN_ADVISOR_RESIST_COUNCIL       | As nossas chances de sucesso foram sempre baixas. Não perdemos muito ao combater o Conselho Galáctico e os seus aliados.
MAIN_ADVISOR_COUNCIL_RESISTED     | Batalhámos demasiado para conseguir conformar estes idiotas à nossa vontade! Uma rebelião à nossa liderança não pode ser tolerada! Destruamo-los de vez!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | O fim da tua missão, o fim do teu povo...#Uma tragédia inimaginável recaiu sobre o teu império. Outrora uma raça desesperada por descobrir os segredos do evento que trouxe os vossos pais do seu universo em decadência para esta dimensão estrangeira, a tua civilização encontra-se agora completamente arruinada aos pés de criaturas bem mais poderosas do que poderia enfrentar. Se eles tivessem conhecido o vosso martírio, talvez demonstrassem mais misericórdia, talvez vos tivessem ajudado, ou tivessem ao menos sido mais tolerantes dos meios usados por vocês para atingirem os vossos fins. Em vez disso, conquistaste apenas a extinção prematura da tua gente - enquanto as outras potências prosseguem com as suas marchas rumo ao que quer que o futuro lhes reserve.#É uma pena que os Darloks tenham de conhecer este fim! Se tivesses jogado melhor as cartas do teu baralho, talvez o teu povo ainda se conservasse vivo e talvez tivesse mesmo chegado à chave para trazer o resto da vossa espécie para esta dimensão mais estável. Mas talvez não pudesses ter jogado de outro modo: talvez tenha sido meramente o destino a decidir que terias um baralho infeliz...
GAME_OVER_MILITARY_WIN2           | Fase 1 terminada, a verdadeira prova começa agora...#Esta galáxia é tua! Tal como o teu povo já dominara o universo de onde veio, também vocês esmagaram a fraca oposição desta galáxa, reclamando todo o seu espaço como vosso. As táticas empregues demonstraram ser demasiado fortes para os adversários - e a discreção e secretismo que usaste para obter os seus segredos foram-no ainda mais. Agora que as últimas defesas dos teus inimigos caem perante o teu poder, fitas as estrelas que povoam aquela que será a nova residência permanente dos Darloks.#Mas o teu trabalho nem está perto de ter terminado. Aprendeste como viver nesta dimensão alienígena e tornaste toda a galáxia num lugar seguro para a tua raça habitar e prosperar. Contudo, fica por desvendar o enigma da brecha interdimensional que vos trouxe aqui para começar, e cada dia que passa aqui é mais um dia em que o vosso universo natal se aproxima do seu colapso inevitável. E se algum dos impérios que destruiste detinha o segredo, então a tua conquista militar poderá ter sido a vossa desdita...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Fase 1 terminada, a verdadeira prova começa agora...#Esta é a vossa primeira vitória! Quando o teu povo foi atirado para esta dimensão, achou-a assustadora, alienígena e perigosa. Mas em vez de se acobardarem e de esgravatarem a medo por uma vida decente, avançaram de cabeça erguida, jurando assenhorar-se dos segredos da galáxia e segurá-la para poderem trazer o resto da população da sua dimensão moribunda. Fizeram-se amigos e inimigos pelo caminho, e foi-se estabelecendo o cenário para o maior teste que a tua espécie enfrentaria.#Unidos com os vossos aliados, foram bem-sucedidos em derrubar aqueles que se opuseram aos vossos objetivos, que se desintegraram contra as vossas frotas como as ondas que rebentam na praia. Agora, restas apenas tu e os teus amigos próximos - e através da cumplicidade que só pode ser gerada por uma vitória partilhada na guerra, assistirás de bom grado os teus aliados com os seus fardos, tal como eles te ajudarão com os teus. E assim que o teu povo consiga viajar entre dimensões com segurança e o teu verdadeiro império renasça, somente aqueles que provaram ser leais à vossa causa poderão viver num universo que se tornará, sem dúvida, vosso.
GAME_OVER_COUNCIL_LOSS2           | Os teus esquemas impedidos, a tua missão em perigo...#Os teus planos foram expostos em frente de toda galáxia e, mesmo que ninguém vos supere no secretismo, o olhar atento dos teus rivais acabou por ser demasiado zeloso para o conseguires evitar. Com a criação da Nova República e o futuro da galáxia a ser determinado, os votos no seio do Conselho deitaram por terra os teus planos bem elaborados. O futuro pertence à raça %6!#Tentar obter o poder de orientar o caminho da galáxia foi uma estratégia ambiciosa. Tivessem as tuas maquinações diplomáticas sido mais subtis, é bem possível que toda a vontade galáctica tivesse vergado para servir a vossa demanda. Agora terás de te submeter à vontade da raça %6, mas cada dia que passa aproxima os encalhados no vosso universo de origem de um colapso mais terrível do que ousas imaginar...
GAME_OVER_REBELLION_LOSS2         | O fim da tua missão, o fim do teu povo...#A sorte nunca favoreceu a tua raça desde a vossa aterragem nesta dimensão hostil. Não vos favoreceu quando foram transportados para uma dimensão onde nenhuma da vossa tecnologia funcionava adequadamente. Não vos favoreceu quando os nativos desta galáxia votaram contra a vossa liderança da Nova República. E agora, no fim de tudo isto, não vos favoreceu quando investiram sobre os vossos rivais numa tentativa, não só de assegurar a liderança galáctica, mas a vossa própria sobrevivência.#O teu povo foi tenaz, forte e determinado, mas o seu empenho máximo e disposição para ganhar com quaisquer meios que fossem necessários simplesmente não chegaram para lhes conceder uma vitória contra a força assoberbante dos exércitos da Nova República. A vossa bravura foi digna de recordação: isso, ninguém poderá contestar. Mas com a queda do teu último batalhão, dos teus mundos, aos pés do inimigo, é o teu império que jaz batido, quebrado e, em breve, esquecido...
GAME_OVER_REBELLION_WIN2          | Fase 1 terminada, a verdadeira prova começa agora...#Finalmente estas criaturas inferiores viram o vosso poder e determinação à solta! Em vão tentaram os inimigos impedir-vos na demanda para libertar da desgraça certa os vossos compatriotas distantes, usando de todos as trapaças para vos empatar. Desde ameaças a espionagem, até hostilidades abertas, o seu desejo de vos impossibilitar atingirem o vosso objetivo teve o seu auge quando votaram contra ti para a liderança da Nova República, apesar de seres o mais capaz para o cargo. Com poucas opções e sem peso na consciência, largaste sobre eles a mesma fúria terrível que inspirou o teu povo à dominação total do universo de onde vieram.#Agora, esta galáxia é vossa e, mesmo estando a terminar o prazo em que a vossa dimensão nativa colapsa, entregando os que ficaram para trás a um destino pior que a morte, pelo menos não resta mais ninguém que se oponha a vocês esta dimensão. É enfim agora que as criaturas inferiores vêem o vosso poder e determinação à solta! Ou veriam, se algum deles ainda estivesse vivo para o fazer...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Fase 1 terminada, a verdadeira prova começa agora...#Desde o começo que sabias que os habitantes desta galáxia jamais te confiariam de livre vontade a governação de uma aliança de impérios espaciais unidos. Desonestos e desconfiados, os impérios nativos que povoam esta dimensão já tinham feito todos os possíveis para enfraquecer os vossos planos e alegremente votaram contra ti quando a formação da Nova República teve início. Mas tu és sabido e determinado e, percebendo as suas intrigas como quem lê as palavras de um livro, canalizaste os teus esforços diplomáticos apenas para aqueles dignos de lutar a teu lado. E no momento em que os teus inimigos julgavam que te tinham na palma da mão, deram por si numa armadilha há muito montada.#Agora tu e os teus aliados emergem vitoriosos por entre as cinzas daqueles que ousadamente se julgaram superiores a vocês. O destino da galáxia está nas tuas mãos e tu estás livre para encontrar um meio de trazer os teus compatriotas encalhados através das barreiras dimensionais para um novo universo sazonado para colher. E se aqueles que escolheste ter por camaradas obstruírem o caminho, lidarás com eles tão implacavelmente como lidaste com todos os outros...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Fase 1 terminada, a verdadeira prova começa agora...#Há muito tempo atrás, um pequeno grupo da tua gente foi empurrada do seu universo moribundo para esta dimensão alienígena. À medida que começaste a procurar um modo de trazer os que ficaram para junto de vocês, nesta galáxia nova e estável, os encontros com aqueles que já povoavam as estrelas rapidamente te fizeram aprender que não encontrarias as respostas que procuravas com guerras prolongadas e tacanhas. Em vez disso, procuraste manipular o curso da História sob o resguardo das sombras - e agora os teus planos dão finalmente frutos.#A raça %7 tomou a soberania da Nova República, mas demonstram-se flexíveis e recetivos aos teus desígnios e sugestões. Confidente e conselheiro, o teu povo encontra-se numa posição privilegiada para manobrar o poder da galáxia que está sob liderança do vosso aliado. Demasiado afastado da autoridade direta, não sentirás as repercussões se algo falhar. Se forem bem-sucedidos, a vinda dos vossos elementos deixados para trás será um reforço mais do que suficiente para que comecem uma nova era, com o fiel da balança a vosso favor...
GAME_OVER_COUNCIL_WIN2            | Fase 1 terminada, a verdadeira prova começa agora...#As câmaras do Conselho irrompem em vivas com o início do teu reinado enquanto Soberano da Nova República. Aceitas humildemente o cargo governativo concedido pelos impérios do Conselho Galáctico, ciente de que este desfecho é o resultado de um plano há muito em execução. Pouco tempo depois de o teu povo ter chegado a esta dimensão e aprendido os seus mistérios, compreendeste que seria impossível chegarem sozinhos a uma solução para trazerem os vossos irmãos e irmãs aprisionados na viajem para esta dimensão antes que o seu universo colapsasse por completo. Agora, anos após anos de diplomacia, furtividade e manobragem política, descobres que já não terão de o fazer sozinhos.#A galáxia é vossa para a moldarem e esculpirem e orientarem pelo caminho que vos parecer melhor. Não tarda, regularás a tecnologia, força e inovação dos teus aliados para te ajudarem na abertura de um portal para casa e na reconstrução da tua civilização com quantos cidadãos conseguires transferir. E se alguém tiver a ousadia de tentar impedir-te, agora tens os exércitos da Nova República para esmagar a dissidência de uma vez por todas...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Fase 1 terminada, a verdadeira prova começa agora...#Dito e feito: o teu governo sobre esta galáxia foi assegurado. Volvidos muitos anos a manipular os teus rivais interestelares para que te ajudassem no avanço dos teus objetivos, lograste finalmente os teus planos ao conquistares o título de "Soberano da Nova República". E quando as vozes dos dissidentes se levantaram contra ti, já tinhas posto em marcha planos dentro de planos que te permitiriam anular decisivamente a revolta. Eles pugnaram, tu venceste - e agora toda a galáxia te pertence para fazeres dela o que bem entenderes.#Com os inimigos desfeitos em cinzas e espalhados pelos ventos solares, recanalizas o foco para o teu verdadeiro objetivo: achar, através do buraco dimensional, um meio de reunir os teus congéneres separados neste universo estável onde o vosso império poderá renascer. Ninguém se atreveria a desafiar-vos agora, não depois de terem testemunhado o que aconteceu com quem já foi louco o suficiente para tentar....
GAME_OVER_COUNCIL_MILITARY_LOSS2  | O fim da tua missão, o fim do teu povo...#Materializou-se o desfecho mais infeliz que poderias ter conseguido para o teu povo. As vossas habilidades de espionagem e manipulação sem igual foram anuladas por espécies inferiores que não conseguirão nunca inteligir o grande trabalho que tentavas levar a cabo. Embora tenhas concretizado a tarefa épica de te tornares no senhor eleito da galáxia ao mesmo tempo que mantinhas o secretismo dos teus objetivos, foste incapaz de sufocar a revolta que cedo deflagrou contra o teu reinado promissor.#Agora é tarde demais para levares o futuro da galáxia pelo caminho mais auspicioso. A sublevação deixou a Nova República em nada mais que ruínas para os vencedores pilharem e enterrarem com os seus edifícios. E a derrota dos Darloks sela o destino daqueles que ficam presos numa dimensão condenada do qual não têm esperança de escapar. O teu falhanço sela o destino do império, não apenas num, mas em dois universos, e por isso é mais abismal do que qualquer um dos teus inimigos poderia compreender...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | a vigília eremítica dos Darloks
GAME_OVER_REBELLION_LOSS3         | as tramas imperscrutáveis dos Darloks
