// race-specific variables (must start with _)
_empire                           | Tríade Humana, Tríade Orbiana, Tríade Tellana, Tríade Primaliana, Tríade Midgardiana
_race_male                        | Humano, Orbiano, Tellano, Primaliano, Midgardiano
_race_male_plural                 | Humanos, Orbianos, Tellanos, Primalianos, Midgardianos
_race_female                      | Humana, Orbiana, Tellana, Primaliana, Midgardiana
_race_female_plural               | Humanas, Orbianas, Tellanas, Primalianas, Midgardianas
_title                            | Triúnviro
_nameTitle                        | Triúnviro

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Conselheiro %1
MAIN_ADVISOR_BUTTON_OK            | Dispensar
MAIN_ADVISOR_SCOUT                | A nossa divisão de logística está a reportar um par de batedores e uma nave colonizadora prontos para lançamento. Sugiro localizarmos e colonizarmos um planeta próximo o mais breve possível.
MAIN_ADVISOR_TRANSPORT            | O estabelecimento de uma colónia em %1 foi bem-sucedido. Quantos mais transportes pusermos em marcha, mais rápido %1 evoluirá para uma peça essencial do nosso império interestelar.
MAIN_ADVISOR_DIPLOMACY            | Triúnviro, tenho o prazer de confirmar o primeiro contacto com uma civilização alienígena! Reveja o relatório dos serviços secretos para que comecemos a manipular estes extraterrestres para nos servirem.
MAIN_ADVISOR_SHIP_ENGINE          | A nossa pesquisa em Propulsão concedeu-nos um modelo de nave mais avançado. Peço-lhe que integre esta vantagem em todas as naves futuras. É tudo por agora.
MAIN_ADVISOR_RALLY_POINTS         | As nossas forças militares preparam-se para a guerra. Há que mobilizar as forças rapidamente. Recomendo usar pontos de reunião para agrupar as nossas naves recém-criadas com o resto da frota.
MAIN_ADVISOR_MISSILE_BASES        | Os nossos estrategas estão preocupados com as capacidades defensivas dos mundos nos limites do nosso território e recomendam criarmos bases de mísseis para fortificar as defesas, opinião que eu partilho.
MAIN_ADVISOR_SHIP_WEAPON          | Parece que a nossa pesquisa mais recente gerou um avanço na tecnologia de Armamento. Pode modificar os novos modelos de naves para incluir estas armas a qualquer altura.
MAIN_ADVISOR_COUNCIL              | Triúnviro! Uma reunião de todos os impérios interestelares vai ter lugar nuns meros 5 anos. Instrua os nossos diplomatas para melhorarem a nossa imagem e assim levaremos vantagem decisória.
MAIN_ADVISOR_REBELLION            | Ouvi relatórios de uma rebelião em curso em %1. Uma rebelião! De todas as coisas... ! Vamos colocar pessoal no terreno e pôr a colónia sob controlo.
MAIN_ADVISOR_RESIST_COUNCIL       | De uma maneira ou outra, parece que esta vai ser a nossa guerra final. Só espero que o passado nos tenha ensinado o necessário para o que se avizinha...
MAIN_ADVISOR_COUNCIL_RESISTED     | Olhe para os tolos daqueles rebeldes! Fomos democraticamente eleitos para levar esta galáxia para a frente e tudo em que eles pensam é na guerra?! Vamos dar-lhes o que pedem!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Os teus planos mais bem-orquestrados foram permanentemente anulados.#A tua espécie sempre superou dificuldades, tanto externas como autoinfligidas. Mas foi acolá, nas profundezas do espaço, que se deparou com um obstáculo que não poderia suportar de inimigos que não poderia igualar. Mesmo quando se uniu face a este inimigo comum, a força e engenho da humanidade demonstraram a sua insuficiência a todos os níveis - e assim, um império orgulhoso da sua capacidade para manter fortes ligações diplomáticas sucumbiu debaixo daqueles que não pôde refrear com a dita diplomacia.#Não haverá mais sonhos das pessoas da Terra, não haverá mais escritos, nem mais arte, nem mais canção - a voz de esperança da humanidade, que reverberava por todo o cosmos, recolhe-se agora no murmúrio de uma cantilena pausada por gemidos que causam arrepios, para no fim se entregar a um silêncio da duração da eternidade...
GAME_OVER_MILITARY_WIN2           | Finalmente levaste a cabo os teus planos mais bem-orquestrados.#Rejubila, Triúnviro! Enfim os longos anos de preparação morosa culminaram na vitória total. Apenas um mestre diplomata poderia manter laços amigáveis com tantos impérios enquanto derrubava os inimigos um por um, e apenas um mestre estratega conseguiria liderar as forças da vitória contra inimigos tão fortes e imponentes. Aqueles que convenceste a manterem a sua aliança contigo, sem dúvida que amaldiçoaram a traição final com o seu último suspiro. Agora, não passam de tinta nas páginas dos anais - e só o continuarão a ser se tu lhes permitires.#Em breve, terá lugar uma celebração por todo a Tríade como nunca se viu. Desde que os humanos fitaram os astros pela primeira vez, que se vinham questionando se estariam sozinhos na galáxia. Agora, eis que milénios depois, a questão recebe a sua derradeira e esmagadora resposta.
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Finalmente levaste a cabo os teus planos mais bem-orquestrados.#Apenas um tolo poderia julgar-se capaz de liderar um império rumo a uma verdadeira paz permanente sem fazer amigos pelo caminho. Provaste assim a tua sensatez, ao contrário dos rivais que procuraram purgar-vos da galáxia. Nas alturas de necessidade, não foi na vossa força, nem na vossa determinação, que teve origem o desenlace favorável, mas nos fortes laços de amizade. Agora os espetros do inimigo repousam num fracasso miserável, enquanto tu e os teus aliados colhem juntos os frutos da prosperidade.#Esta batalha, esta vitória e esta paz serão valiosas lições para os descendentes dos envolvidos. Com elas, aprenderão como as alianças são mais poderosas que a mais terrífica das armas, e que manter a cabeça fria vale sempre mais que acometer-se com ferocidade. Relaxa e desfruta da bonança, Triúnviro, sabendo que o teu povo fará o mesmo por uma eternidade...
GAME_OVER_COUNCIL_LOSS2           | Os teus planos mais bem-orquestrados foram permanentemente anulados.#Este teria sido o pico do teu governo: uma vitória diplomática decisiva que segurasse o vosso lugar sobre todos os outros impérios da galáxia. Mas em vez disso, as tuas esperanças foram mortas na praia. Os diplomatas do usurpador do trono da Nova República demonstraram ser ainda mais persuasivos e carismáticos que os teus. Sem dúvida que todo o trabalho investido na formação de alianças se virará contra vós à medida que o novo líder da galáxia convence sistematicamente os outros de que apenas ele é o verdadeiro aliado e que as vossas palavras foram um veneno enganoso, concebido para garantir a agência sobre o futuro ao teu povo.#Os teus propósitos diplomáticos irão agora passar do avanço dos vossos ideais para a sobrevivência da vossa raça. Um único passo em falso e poderás mergulhar a tua gente num confronto final. Olhos postos no horizonte, Triúnviro: mesmo o mais singelo presságio poderá significar o princípio do fim.
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Os teus planos magistrais asseguraram a sobrevivência da humanidade.#Ainda que outras decisões pudessem ter-te levado a assumir a liderança da Nova República no lugar do teu aliado, ninguém pode negar que as tuas manobras políticas de mestre te colocaram numa posição de escolha. Graças à vossa aliança inquebrável com a raça %6, podes ter a certeza de que ninguém se atreverá a ameaçar a Tríade, uma vez que fazer tal coisa é tentar a retaliação de toda a restante galáxia. Tu viste %8 e conheces o seu poder e, como confidente principal do Soberano da Nova República, certificar-te-ás, a todo o custo, de que os desejos do teu povo serão cumpridos.#No final de contas, a sobrevivência acaba por ser, em si, uma vitória, e poucas dúvidas restam de que os humanos sobreviverão ao futuro incerto. E quem sabe, Triúnviro, se ter o ouvido do senhor da galáxia não será tão proveitoso quanto ocupar a sua posição?
GAME_OVER_REBELLION_LOSS2         | Os teus planos mais bem-orquestrados foram permanentemente anulados.#Quer isso seja um defeito ou uma virtude, a humanidade tem sempre mostrado uma necessidade inata de se revoltar contra os opressores - a mesma que acabaria por ser a vossa última desgraça. Talvez tenha sido inevitável que os representantes humanos falhassem em segurar a liderança da Nova República às costas da Tríade. Talvez fosse certo que a raça %6, cuja filosofia era inteiramente incompatível com a visão do futuro preferida pelos humanos, se viesse a tornar num inimigo demasiado poderoso, mesmo para os vossos espíritos determinados. Muitos "e se...?" poderiam ser perguntados, mas agora não há resposta possível para além do silêncio.#À medida que %8 se impõe sobre a galáxia, os últimos defensores da Tríade haverão de cair e o império há de ruir em cinzas. O último raio de esperança para a tua gente é que dêm uma luta digna de recordação: pois têm de manter presente que a sua expectativa mais otimista recai junto dos vultos da História...
GAME_OVER_REBELLION_WIN2          | Finalmente levaste a cabo os teus planos mais bem-orquestrados.#Quem te tomou por um líder fraco, capaz apenas de orientar negócios, viu chegar um dos seus mais lamentáveis dias. Ainda que sejas o primeiro a admitir que as negociações diplomáticas teriam sido a via ideal da paz, sabias que a galáxia não poderia atingir o seu melhor futuro caso a humanidade não tomasse as rédeas da sua governação. E quem votou contra a subida ao poder que te era devida pode agora enterrar as cinzas da sua Nova República na sepultura: à humanidade, jamais será negado o justo lugar entre os astros!#A ousadia das tuas ações levou, não só à erradicação de todos os outros impérios que chamavam a esta galáxia o seu lar, como também fez com que os outros dois Triúnviros abdicassem do seu posto em teu favor, temendo aquilo de que serias capaz. Toma agora o teu assento no trono como Imperador %2 e segue, afoito, rumo a um futuro que só tu podes concretizar!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Finalmente levaste a cabo os teus planos mais bem-orquestrados.#"Não pode haver paz enquanto a vontade da espécie humana for ignorada". Foram estas as tuas palavras ao Conselho Galáctico enquanto este te traía, e foi isto que repetiste ao teu povo e seus aliados quando a batalha final culminava na vossa vitória. Anos após anos de um sensível malabarismo político e exigentes negociações diplomáticas tornaram-se redundantes quando a situação ficou crítica, mas nem por isso foram completamente em vão. Agora estás pronto para assumir o trono, seguro de que quem mostrou a bravura de lutar a teu lado quando te rebeliaste não tem motivos para se opor à tua subida.#Foi bom teres encontrado cumplicidade entre os extraterrestres dos sistemas remotos, pois foram ferramentas essenciais ao desmantelar da falsa república que se erguia diante dos vossos olhos. Vais assegurar de bom grado que estes contribuem como iguais na construção do novo futuro e que colhem o devido lucro do prémio. Como a Nova República já não existe, Triúnviro: começa agora a Grande República! Agarra, tanto as recompensas, como os desafios que te trará - sem dúvida que mereces.
GAME_OVER_COUNCIL_WIN2            |  Finalmente levaste a cabo os teus planos mais bem-orquestrados.#Depois de incontáveis anos, todas as peças estão no sítio para lograres os teus esquemas. Foi necessária uma capacidade diplomática nunca antes vista para orquestrar tamanha concordância entre civilizações tão diferentes e distantes. Mas é com todos os contratempos e reformulações atrás das costas que agora encabeças a Nova República sem um único detrator. Sem sinais de rebelião no horizonte, o futuro da galáxia é teu para fazeres dele o que bem entenderes. Precisas apenas de guiar os teus apoiantes às suas tarefas e é certo que eles as cumprirão.#Ficarás para a História, não só como o primeiro líder da Nova República, mas como o diplomata lendário cujos carisma e aptidão forjaram alianças tão fortes que nem a inimizade entre rivais as pôde quebrar. Hás de ser estudado pelas gerações vindouras nas academias da República - e todas invejarão quem viveu o mesmo tempo que tu, sonhando com uma oportunidade que fosse de conhecer em pessoa o rosto por detrás da lenda.
GAME_OVER_COUNCIL_MILITARY_WIN2   | Finalmente levaste a cabo os teus planos mais bem-orquestrados.#A Nova República pertence-te, Triúnviro! As tuas maquinações políticas fizeram de ti o senhor do futuro desta galáxia, venerado por todos como diplomata astuto e soberano justo. Os cidadãos ficaram chocados com a rebelião que foi erguida à tua ascenção ao trono - no entanto, o resto da galáxia permaneceu unido contigo, proclamando-se pronto para morrer com orgulho pela tua visão do futuro. E embora muitos dos mais valentes tenham perdido as suas vidas, foi a Nova República, não a rebelião, que conseguiu a vitória total.#Agora a tua época de paz pode começar. Muito trabalho precisa ainda de ser feito, mas ninguém pode duvidar que este capítulo é e será dos mais importantes da vossa História. Podes vangloriar-te do que realizaste e alegrar-te pela devoção que conseguiste inspirar entre civilizações de filosofias tão distintas. Descansa enquanto te é permitido, Triúnviro - decerto que um novo teste à tua perícia diplomática não tardará em aparecer...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Os teus planos mais bem-orquestrados foram permanentemente anulados.#De todos os erros passíveis de serem cometidos pelo Soberano da Nova República, é difícil assertar se o maior foi sobrestimares os teus aliados ou subestimares os inimigos. A existência da rebelião não foi uma grande surpresa: é um facto que sempre existirão aqueles que se opõem violentamente à mudança, independentemente da forma que ela tome. A rapidez e astúcia com que se sobrepuseram às forças da Nova República foi o que verdadeiramente vos apanhou desprevenidos. Ultrapassados em tropas e em armas, não puderam fazer muito mais que esperar o fim certo.#A rebelião sai vitoriosa e a Tríade sucumbe com os seus aliados e a própria Nova República. Os despojos da guerra pertencem aos rebeldes e são eles quem decidirá que curso a galáxia há de tomar a partir de agora. Se vais ser lembrado sequer, será pela tua derrota inglória. Se fosses mais predisposto para guerra, talvez a galáxia tivesse acabado por conhecer a paz e o mais danoso dos conflitos bélicos pudesse ter sido evitado...


// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | a diplomacia magistral dos Humanos
GAME_OVER_REBELLION_LOSS3         | os esquemas perversos da cobiça humana
