// race-specific variables (must start with _)
_empire                           | República Psilon, República Mentalon, República Psichon, República Cerebron, República Neuralon
_race_male                        | Psilon, Mentalon, Psichon, Cerebron, Neuralon
_race_male_plural                 | Psilones, Mentalones, Psichones, Cerebrones, Neuralones
_race_female                      | Psilon, Mentalon, Psichon, Cerebron, Neuralon
_race_female_plural               | Psilones, Mentalones, Psichones, Cerebrones, Neuralones
_title                            | Alto Conselheiro
_nameTitle                        | Alto Conselheiro 


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Conselheira %1
MAIN_ADVISOR_BUTTON_OK            | Dispensar
MAIN_ADVISOR_SCOUT                | Alto Conselheiro, a nossa frota de exploração encontra-se a postos. Acharia prudente procurarmos um novo mundo e fundar uma colónia a seguir?
MAIN_ADVISOR_TRANSPORT            | A nossa nova colónia foi estabelecida. O Conselho pondera agora quantas pessoas deveremos enviar para lá numa nave de passageiros, ou se devemos sequer enviar transportes.
MAIN_ADVISOR_DIPLOMACY            | Uma civilização completamente nova surgiu das profundezas do espaço! Oxalá prefiram a coexistência pacífica acima da violência.
MAIN_ADVISOR_SHIP_ENGINE          | Os nossos cientistas têm sustentado um avanço constante na tecnologia dos motores das naves. Representantes estão agora diante do Conselho com sugestões de como melhor os poderemos usar.
MAIN_ADVISOR_RALLY_POINTS         | É lamentável, mas a República encontra-se no meio de uma guerra. O Concelho deve decidir um ponto de reunião para as frotas e assegurar que os nossos colonos ficam a salvo.
MAIN_ADVISOR_MISSILE_BASES        | Em vez de acumularmos frotas de guerra, podemos construir bases de mísseis nas nossas colónias para as defender de invasões. O Conselho deseja ouvir a sua opinião sobre que mundos ficariam melhor servidos. 
MAIN_ADVISOR_SHIP_WEAPON          | O Conselho está num debate aceso sobre o mais recente modelo de armamento. Há um lado que defende que as armas sejam destruídas imediatamente, mas podemos escolher modificar as naves preventivamente.
MAIN_ADVISOR_COUNCIL              | Em breve terá lugar uma feliz cimeira dos povos mais grandiosos e poderosos da galáxia. Deveríamos comparecer neste Conselho Galáctico e ouvir da sabedoria dos nossos vizinhos celestiais.
MAIN_ADVISOR_REBELLION            | Estou perplexa com a forma como a população de %1 optou por expressar o seu desacordo. O Conselho deu-lhe permissão para lidar com isto imediatamente, mesmo antes de eles se inteirarem do problema.
MAIN_ADVISOR_RESIST_COUNCIL       | Perturba-me que todos os nossos esforços tenham culminado nesta guerra. Mas se a única alternativa é curvar-nos perante um Conselho belicoso, então não vejo que nos reste muita escolha! 
MAIN_ADVISOR_COUNCIL_RESISTED     | Não o entristece ver como rejeitam a paz com tanta veemência? Nervos de aço, Alto Conselheiro: esta será a última guerra que a galáxia testemunha.


// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | A República, em ruínas...#O teu povo sonhava outrora com uma galáxia unida, ambicionando não mais que a prosperidade e a coexistência tranquila entre todos. Mas a realidade amarga deixou bem claro que nem todos partilhavam o vosso sonho e inimigos de uma força inacreditável canalizaram os seus esforços para uma conquista violenta. Manipulando os desejos dos Psilones para impedir a sua oposição, usaram máquinas de guerra para desferir golpes devastadores em sucessão - e tu, incapaz de os defender.#As marés da guerra engoliram-vos, o último bastião das forças da República enfrenta a sua última confrontação. Se o teu povo não se tivesse deixado ultrapassar pelos rivais na força militar, teria o seu destino sido diferente? Os inimigos arrombam a entrada do forte onde as últimas guarnições os aguardam. As tuas reflexões finais são sinistras, pois apercebes-te de que nunca saberás a resposta...
GAME_OVER_MILITARY_WIN2           | Paz, mas a um custo terrível...#Pagaste um preço hediondo pela conquista dos sonhos da República. Quando os teus vizinhos celestiais se tornaram violentos e autoritários, foste forçado a escolher entre a segurança do teu povo e a aniquilação total. Através de inúmeros debates nas câmaras do Senado, fizeste uma escolha angustiante: mergulhar as vossas frotas nos disparos da guerra e rezar para que sobrevivessem. O resultado foi agridoce: ainda que tenham emergido vitoriosos, fizeram-no em detrimento de toda a restante vida inteligente da galáxia.#Os últimos indícios do conflito dissipam-se no silêncio do espaço, uma calma invade a galáxia - é o começo de uma nova era de paz. Os cidadãos da República Psilon, espalhados por muitos mundos, fitam o céu em conjunto naquele que é o final da última grande guerra, mas não se ouvem gritos de vitória nem ecos de celebração. Uma grande mágoa cerca o teu coração neste momento, pois compreendes que a galáxia não testemunhará mais os horrores da guerra, mas também não conhecerá a alegria da diversidade que a própria vida traz consigo...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Paz, mas a que custo...?#Quando os teus cidadãos começaram a espalhar a sua mensagem de paz pela galáxia, encontraram inúmeras raças que ofereceram a sua atenção às mensagens que os diplomatas lhes traziam. Embora algumas tenham reagido às vossas propostas com hipocrisia e violência, outras houve que vos escutaram sinceramente e que, com o tempo, começaram a desposar as mesmas ideias que vocês. Com esta diferença bem demarcada, aqueles que ouviram os vossos apelos escolheram erguer-se firmes como vossos aliados e, juntos, aguentaram a tempestade de uma grande guerra. Ainda que forçados a agir contra os vossos princípios mais sagrados, conseguiram obter a vitória e agora, com os aliados, poderão usufruir de uma prosperidade que só a paz pode gerar.#Apesar da tragédia inerente ao ceifar de tantas vidas e ao apagar de civilizações vibrantes, reconheces, no fundo, que foi um mal necessário para atingir este capítulo final na História dos Psilones: a última grande guerra desta galáxia chega ao fim e a paz pode finalmente reinar. Se essa paz se vai perpetuar, contudo, depende da decisão dos aliados que entretanto fizeste...
GAME_OVER_COUNCIL_LOSS2           | Finalmente, a paz - com a tua derrota...#Esta será a derradeira prova à tua liderança. O Conselho Galáctico manifestou a sua vontade e, apesar da tua insistência categórica de que a paz fosse a força motora da galáxia, o Soberano da Nova República não será um Psilon, nom fim de contas. Apesar dos debates acesos reverberando pelas das câmaras do Senado, conseguiste incentivar um acordo. Escolheste ceder o direito da liderança em favor d%7. Mas as tuas interações com este império demonstraram que são perigosos - e não te restam dúvidas de que o Soberano só manterá a paz enquanto esta convier aos seus objetivos.#E que fará a República quando a guerra for convocada? Que fára se a sua própria existência não mais se adequar aos desígnios da ordem galáctica a que agora se submete? Esse será um caminho que o teu povo terá de calcorrear no futuro, sofrendo a tua decisão presente como aquela que, ou manteve vivo o sonho de paz, ou o condenou para sempre...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Paz, mas não a paz que desejavas...#A decisão do Conselho Galáctico de votar contra ti para seu líder não foi recebida com entusiasmo pelos Psilones. Felizmente, a tua astúcia fez com que antevisses este resultado e navegar a política habilmente de modo a evitares um desfecho infinitamente pior: no teu lugar, a raça %6 decidirá o futuro da galáxia inteira.#Despertando com o Sol de Mentar no primeiro dia desta nova ordem galáctica, o mesmo sentimento de triunfo ainda te acompanha, pela forma como foste capaz de trazer a sucessão dos eventos até aqui. Os teus aliados já deram provas da prudência necessária para a tarefa e, apesar de que mais nenhuma raça pode afirmar tanto amor à paz como a tua gente, esperas, de algum modo, poder confiar que %8 será a concretização da vossa derradeira meta...
