// race-specific variables (must start with _)
_empire                           | Imperiul Bulrathi, Imperiul Bearathi, Imperiul Ursinathi, Imperiul Pawrathi, Imperiul Grizzlathi
_race                             | Bulrathi, Bearathi, Ursinathi, Pawrathi, Grizzlathi
_race_plural                      | Bulrathini, Bearathini, Ursinathini, Pawrathini, Grizzlathini
_title                            | Mare Ierarh
_nameTitle                        | Mare Ierarh


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Consilier %1
MAIN_ADVISOR_BUTTON_OK            | Închide
MAIN_ADVISOR_SCOUT                | Stăpâne, am pregătit atât cercetașii, cât și o navă colonială pentru plecare. Vom începe să explorăm și să colonizăm un sistem din apropiere la comanda dumneavoastră.
MAIN_ADVISOR_TRANSPORT            | Lumea %1, adăugată în imperiul nostru! Dați comanda și vom începe să trimitem transporturi imediat!
MAIN_ADVISOR_DIPLOMACY            | O rasă extraterestră a făcut contact cu imperiul nostru, Stăpâne. Dacă îi tratăm ca prieteni sau dușmani, este o decizie lăsată exclusiv la discreția ta.
MAIN_ADVISOR_SHIP_ENGINE          | Oamenii noștri de știință continuă să depășească limitele tehnologiei, de data aceasta prin îmbunătățirea vitezei motoarelor noastre. Ei așteaptă decizia domniei voastre cu privire la modelele actualizate ale navelor noastre.
MAIN_ADVISOR_RALLY_POINTS         | O bătălie glorioasă este asupra noastră! Direcționați noile noastre nave către un punct de regrupare pentru a ne asambla flotele oriunde doriți.
MAIN_ADVISOR_MISSILE_BASES        | Coloniile noastre așteaptă cuvântul tău, Stăpâne, să înceapă construcția de baze de rachete pentru a le ajuta în apărarea împotriva atacurilor inamice.
MAIN_ADVISOR_SHIP_WEAPON          | Cercetătorii noștri au conceput noi arme devastatoare pentru flotele noastre! Actualizează modelele navelor noastre, Stăpâne, pentru a decide cum vor cădea inamicii noștri înaintea puterii noastre copleșitoare.
MAIN_ADVISOR_COUNCIL              | Reprezentanții primului Consiliu Galactic se vor aduna în curând, Stăpâne. Diplomații noștri vor urma instrucțiunile dumneavoastră pentru a se asigura că deciziile consiliului sunt aliniate cu voința dumneavoastră.
MAIN_ADVISOR_REBELLION            | S-ar părea că oamenii din %1 au decis să te sfideze deschis, Stăpâne. Este timpul să le reamintești de ce tu ai fost cel ales să conducă Imperiul!
MAIN_ADVISOR_RESIST_COUNCIL       | Numai tu poți sta pe tronul galaxiei! Nu ne vom înăbuși pofta de sânge până când nu-ți iei locul cuvenit, Stăpâne!
MAIN_ADVISOR_COUNCIL_RESISTED     | Ha ha! Mă întreb ce înseamnă să fii atât de prost încât să te opui guvernării noastre. Indiferent, acești mici rebeli vor fi zdrobiți sub călcâiul nostru!


// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Furia imperiului tău a fost înăbușită. #Furia poporului tău nu a fost suficientă pentru a opri valul în creștere al puterilor militare extraterestre. Deși ai luptat cu înverșunare până la ultimul soldat, capitolul Bulrathinilor din istorie a ajuns acum la sfârșit. Cândva ai fost Marele Ierarh al unui imperiu puternic, liderul unei rase mândre de filozofi războinici care și-au pus ochii pe stele pentru a-și găsi locul în univers și a-și testa curajul împotriva celor care au îndrăznit să li se opună. Acum ești doar un nume în cronicile trecutului acestei galaxii și numai atunci dacă învingătorii se decid să te amintească. #Poate că, dacă ai fi știut de sfârșitul care i-a așteptat pe oamenii tăi în călătoria lor, nu ai fi fugit în spațiu atât de nerăbdător. Acum tot ce rămâne din tine și din poporul tău este praful ambițiilor tale nefericite și planurile prost executate...
GAME_OVER_MILITARY_WIN2           | Furia imperiului tău domnește necontestată! #Acum treci de pragul victoriei totale asupra fiecărui imperiu care s-a făcut cunoscut poporului tău. În mod prostesc, ei au crezut că sunt capabili să se opună puterii tale militare, doar pentru a-și găsi flotele distruse și oamenii lor împrăștiați pentru a face față oricărui final ignominios îi așteaptă. Nu au recunoscut ei furia din inimile voastre? Nu au detectat tenacitatea convingerilor tale? Nu contează acum, căci învingătorii nu trebuie să se preocupe de gândurile celor învinși și nimeni nu mai rămâne acum pentru a contesta faptul că tu și numai tu i-ai dominat pe toți cei care ți-au stat în cale. #Cu mult timp în urmă, oamenii tăi au pornit să-și găsească locul în acest univers și le-ai arătat că au fost destinați să conducă această galaxie în întregime. Trăiască victoria, Mare Ierarh! Trăiască Imperiul Bulrathi!
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Acum nu mai rămâne nimeni care ar îndrăzni să-ți provoace furia. #Cea mai mare teamă a ta ca Mare Ierarh al Imperiului Bulrathi a fost că cei pe care i-ai întâlnit în spațiu ar fi incompatibili cu viziunea ta asupra viitorului și ar trebui în cele din urmă să fie distruși. Și într-adevăr, mulți dintre ei s-au dovedit că justifică această frică, deși toți ceea ce au făcut acest lucru se afla acum în spatele căii sângeroase pe care galaxia te-a forțat să o croiești. Dar ai găsit motive care te-au încurajat, căci nu tot ce ai întâlnit s-a dovedit atât de neplăcut și ai găsit aliați capabili la sfârșitul acestei călătorii lungi și tumultoase. #Poate că, în cele din urmă, este mai bine că ai găsit pe alții cu care să împărtășești această galaxie, până la urmă. Recompensele acestor lumi sunt bogate, iar filozofiile care îi ghidează pe aliații tăi se vor dovedi a fi considerații interesante pentru mințile mari ale poporului tău pentru secolele ce urmează. Asta, desigur, atâta timp cât rămân agreabile...
