// race-specific variables (must start with _)
_empire                           | Darloki, Sarloki, Spyloki, Shadeloki, Nazloki
_race                             | Darlok, Sarlok, Spylok, Shadelok, Nazlok
_race_plural                      | Darloki, Sarloki, Spyloki, Shadeloki, Nazloki
_title                            | conducător
_nameTitle                        | 


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.

// Advisor text
MAIN_ADVISOR_TITLE                | Consilier %1
MAIN_ADVISOR_BUTTON_OK            | Închide
MAIN_ADVISOR_SCOUT                | Am terminat construcția unei perechi de cercetași și o navă colonială. Să sperăm că răspunsurile pe care le căutăm se vor prezenta într-o lume apropiată.
MAIN_ADVISOR_TRANSPORT            | Nu s-au găsit răspunsuri pe planeta %1. Ar trebui să ne creștem în continuare numerele acolo, trimițând toate transporturile pe care le putem economisi.
MAIN_ADVISOR_DIPLOMACY            | Reprezentanții unui popor originar din această dimensiune s-au făcut cunoscuți. Trebuie să facem tot ce putem pentru a afla orice răspunsuri pe care le au.
MAIN_ADVISOR_SHIP_ENGINE          | Am descoperit o modalitate de a produce motoare mai eficiente. Trebuie să ajungem la un consens cu privire la cel mai bun mod de a actualiza planurile navelor noastre pentru a utiliza această nouă tehnologie.
MAIN_ADVISOR_RALLY_POINTS         | Un conflict inevitabil a început! Facilitățile noastre de producție își pot direcționa navele nou construite să se organizeze într-o singură lume și să formeze acolo o flotă care să ne apere de agresori.
MAIN_ADVISOR_MISSILE_BASES        | Am pierdut prea mult venind în acest univers ca să mai pierdem acum: să ne protejăm coloniile de inamici construind cât mai multe baze defensive de rachete.
MAIN_ADVISOR_SHIP_WEAPON          | Am descoperit o nouă tehnologie care îmbunătățește capacitățile ofensive ale navelor noastre stelare. Trebuie să decidem din nou cum să ne actualizăm planurile navelor pentru a profita de acest lucru cât mai curând posibil.
MAIN_ADVISOR_COUNCIL              | Există zvonuri despre o adunare cunoscută sub numele de Consiliul Galactic care va avea loc în curând. Spionii noștri speră să-l folosească ca pe o oportunitate de a aduna orice informații pot. De asta depinde viitorul speciei noastre!
