// race-specific variables (must start with _)
_empire                           | Dominionul Meklar, Dominionul Mechanar, Dominionul Cybernar, Dominionul Digitar, Dominionul Technar
_race                             | Meklar, Mechanar, Cybernar, Digitar, Technar
_race_plural                      | Meklari, Mechanari, Cybernari, Digitari, Technari
_title                            | Arbitrul Suprem
_nameTitle                        | Arbitrul Suprem

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Consilier %1
MAIN_ADVISOR_BUTTON_OK            | Închide
MAIN_ADVISOR_SCOUT                | Flotă pregătită pentru explorare și colonizare. În așteptarea directivei pentru începerea operațiunilor.
MAIN_ADVISOR_TRANSPORT            | Prima colonie fondată în lumea apropiată. Desemnată „%1”. Capabilă să găzduiască %2 populație suplimentară. Poate transporta populație de la %3 pentru a suplimenta populația.
MAIN_ADVISOR_DIPLOMACY            | Au fost detectate noi specii. Desemnate „%1”. Se așteaptă instrucțiuni suplimentare de la Mainframe.
MAIN_ADVISOR_SHIP_ENGINE          | S-au finalizat cercetările privind mijloacele îmbunătățite de propulsie. Discutați cu inginerii despre cum să implementați cel mai bine noul design.
MAIN_ADVISOR_RALLY_POINTS         | Specia „%1” a acționat pentru a împiedica descoperirea protocolului de nemurire. Creați un punct de regrupare pentru a centraliza flota și a lovi împotriva lor.
MAIN_ADVISOR_MISSILE_BASES        | Solicitare din partea diviziei militare: construiți baze de rachete defensive pe suprafața lumilor exterioare. Va permite apărarea lumilor de agresiunea externă.
MAIN_ADVISOR_SHIP_WEAPON          | S-au finalizat cercetările asupra armelor de mare putere. Discutați cu inginerii despre cum să implementați cel mai bine noul design.
MAIN_ADVISOR_COUNCIL              | Notificare pentru convergența imperiilor interstelare. Desemnat „Consiliul Galactic”. Va trimite o delegație pentru a se asigura că voința Mainframe-ului este executată.
MAIN_ADVISOR_REBELLION            | Avertizare. Program corupt infectează colonia de pe %1. Trebuie să înceapă eradicarea Meklarilor afectați pentru a asigura solidaritatea Dominionului.
MAIN_ADVISOR_RESIST_COUNCIL       | Noul lider al Consiliului Galactic remarcat ca amenințare pentru obiectivele Dominionului. Mobilizați toate forțele pentru a elimina liderul și aliații.
MAIN_ADVISOR_COUNCIL_RESISTED     | Răzvrătire de către specii inamice prost aleasă. Dominionul guvernează acum galaxia cunoscută. Trimite toate flotele să reducă la tăcere dizidenții.

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Amintit dureros de limitele mortalității tale... #Visul tău este neîmplinit, deoarece civilizația ta este în ruină. Formele de viață extraterestre din imperiile tale rivale aveau o putere peste ceea ce ai putea egala, în ciuda biotehnologiei tale insurmontabil de superioare. În ciuda afirmațiilor tale repetate că oamenii tăi nu au căutat altceva decât să fie lăsați singuri în căutarea unei tehnologii care să prelungească viața, rivalii tăi au făcut tot ce au putut pentru a-ți dejuca ambițiile la fiecare pas. Fie că a fost făcut din frică, pentru sport sau poate fără niciun motiv, ei au ales să te împiedice, iar acum oamenii tăi au dispărut pentru totdeauna. #În altă vreme, într-o altă realitate, poporul tău ar fi găsit nemurirea pe care o căutau și s-ar fi transformat într-un popor care ar putea experimenta bucuria vieții eterne împărtășite. Și în acea eternitate, în acea realitate, când timpul nu mai era stăpânul lor, Meklari ar fi dezvăluit secretele universului și ale existenței însăși. În această realitate însă, oamenii tăi nu mai există, iar Mainframe-ul zace distrus în adâncurile Meklonului, pentru a nu mai oferi niciodată sfaturi înțelepte...
GAME_OVER_MILITARY_WIN2           | Fără alte obstacole în căutarea nemuririi! #Tot ce și-au dorit oamenii tăi era să fie lăsați singuri să-și urmeze visele pentru o viață veșnică. Din secole în urmă, când a început folosirea corpurilor mecanice, doar acesta a fost factorul de conducere a fost factorul din centrul civilizației Meklar. Dar pentru Mainframe, a devenit evident că aceste forme de viață extraterestre pe care le-ai întâlnit în căutarea ta reprezentau o amenințare pentru ceea ce oamenii tăi sperau să obțină. Ori de câte ori s-a luat o decizie de război, armata ta s-a mobilizat fără ezitare, lovind inamicii unul câte unul până nu mai rămâne niciunul. #Fără rivali care să-ți distragă atenția sau să acumuleze cunoștințe secrete pentru ei înșiși, acum ești liber să-ți atingă obiectivul final pe îndelete. Întreaga galaxie este plină de resurse care îți vor permite să găsești răspunsul pe care îl cauți în timp ce îți răspândești civilizația în fiecare colț în urmărirea visului tău. Și când oamenii tăi au terminat în sfârșit ceea ce și-au propus să facă atât de mult timp în urmă, întreaga galaxie și fructele ei vor fi ale tale de care să te bucuri pentru totdeauna...
