// race-specific variables (must start with _)
_empire                           | Clanul Mrrshan, Clanul Prrshan, Clanul Meowshan, Clanul Clawshan, Clanul Hisshan
_race                             | Mrrshan, Prrshan, Meowshan, Clawshan, Hisshan
_race_plural                      | Mrrshani, Prrshani, Meowshani Clawshani, Hisshani
_title                            | Han
_nameTitle                        | Han

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Consilier %1
MAIN_ADVISOR_BUTTON_OK            | Închide
MAIN_ADVISOR_SCOUT                | Ah-ha! Prima noastră flotă este gata! Să  o folosim pentru a găsi o lume cu inamici care au multe comori de luat.
MAIN_ADVISOR_TRANSPORT            | Am ocupat un teritoriu nou pe %1. Cu cât transportăm mai mulți dintre oamenii noștri din %3, cu atât mai repede vom găsi orice pradă pe care o are lumea asta.
MAIN_ADVISOR_DIPLOMACY            | Am făcut contact cu o nouă rasă extraterestră! Crezi că se vor dovedi a fi inamici puternici sau comorile lor vor fi ușor de furat?
MAIN_ADVISOR_SHIP_ENGINE          | Am găsit o modalitate de a ne îmbunătăți motoarele și de a ne face navele și mai rapide! Dacă le încorporăm în designul navelor noastre, raidurile noastre pe lumile inamice vor deveni și mai eficiente!
MAIN_ADVISOR_RALLY_POINTS         | Han! Războiul este peste noi! Clanurile își vor onora angajamentul de a se uni cu tine în acest moment, așa că stabilește un punct de adunare pentru a le spune unde să-și trimită flotele!
MAIN_ADVISOR_MISSILE_BASES        | Lumile sub controlul nostru sunt vulnerabile la atacurile inamicului! Să construim baze de rachete pentru a le împiedica să cadă în mâinile inamicului.
MAIN_ADVISOR_SHIP_WEAPON          | Am reușit să dezvoltăm noi arme puternice pentru a le folosi pe navele noastre. Acestea vor provoca cu siguranță foarte multe daune în rândul forțelor inamicilor noștri odată ce le includem în designul navelor noastre.
MAIN_ADVISOR_COUNCIL              | O întâlnire a popoarelor va avea loc în curând, dar se spune că este pentru diplomație în loc de război. Ciudat nu? Totuși, ar trebui să participăm la acest „Consiliu Galactic”, dacă nu pentru nimic altceva, atunci pentru a calma imperiile mai supărătoare.
MAIN_ADVISOR_REBELLION            | Han, te simți bine? Există o rebeliune pe %1 și nu ai dat ordine să o zdrobim.
MAIN_ADVISOR_RESIST_COUNCIL       | Au crezut că am lăsa să pună pacea unui laș peste galaxie în felul asta? Să începem raidurile, Han: oamenii noștri sunt gata să lupte pentru o comoară!
MAIN_ADVISOR_COUNCIL_RESISTED     | Proștii aceia rebeli refuză guvernarea noastră! Să le arătăm dictonul nostru: cei puternici iau, cei slabi dau!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Comorile tale prețuite sunt acum libere pentru a fi luate... #Flotele groaznice ale corsarilor din Hanat care au lovit odată ca un fulger-fantomă au făcut ca civilizații întregi să se teamă de a călători prea departe de casă. La apogeul tău, ai luat bogăția unor civilizații întregi și ai adăugat-o la o colecție care conținea relicve capturate de pe sute de lumi diferite. Dar se pare că, prin prostie, aroganță, lăcomie sau o combinație a acestora, oamenii tăi și-au găsit în sfârșit dușmani care s-ar dovedi a fi mai mult decât orice ar fi putut face față poporul tău. Și când acești dușmani au luat ofensiva, ai fost neputincios să împiedici soarta care a căzut acum peste tine. #Simplul zvon despre o flotă Mrrshană iminentă a făcut cândva sisteme întregi stelare să se cutremure de frică. Acum oamenii tăi au fost șterși din această galaxie, rămânând doar ca povești cu fantome pentru a-i speria pe copiii învingătorilor, astfel încât să se comporte mai bine. Toate comorile tale prețioase, luate de pe atâtea lumi diferite, au fost furate și plasate în case bogate și muzee: sunt acum doar niște relicve din trecutului îndepărtat, la fel ca oamenii tăi...
GAME_OVER_MILITARY_WIN2           | Comorile acestei galaxii sunt ale tale pentru a fi luate! #În această noapte, întreaga suprafață a lumii tale natale erupe în hohote care sărbătoresc victoria supremă a poporului tău. Căci această noapte este prima noapte dintr-o nouă eră, în care Hanatul Mrrshan domină de unul singur galaxia. Ceea ce odată au început ca simple raiduri pentru pradă și renume, au devenit în cele din urmă o campanie la scară largă care a cuprins planete, sisteme stelare și, în cele din urmă, întreaga galaxie cunoscută. Împotriva tuturor probabilităților și împotriva tuturor contestatorilor, orice alt imperiu a căzut sub greutatea ferocității și puterii tale copleșitoare. #Cu rivalii mai slabi căzând în fața ta unul câte unul, oamenii tăi nu au văzut nevoia de aliați. Evitând încurcăturile politice și greșeala nefericită a diplomației, ai luat ultima dintre fortărețele care au stat împotriva ta, iar prada a o mie de lumi este acum a ta pentru a fi luată. Și când această galaxie ți-a dat tot ce are, vai de cei care locuiesc în stele și mai departe. Ei se vor cutremura la venirea ta și prada lor va fi și a ta, prin orice mijloace necesare...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Prada acestei galaxii pentru tine și aliații tăi... #Raidurile tale au dat în sfârșit fructe strălucitoare de valoare peste măsură. De la primele tale incursiuni în diplomație, a devenit evident că cultura ta mândră nu va putea coexista niciodată pașnic cu cei care dețineau asemenea comori minunate fără puterea de a le apăra. Știai că războaiele vor fi inevitabile. Dar, în mod surprinzător, ai găsit în adâncurile spațiului pe alții care nu numai că aveau puterea de a-și apăra propriile comori, ci și interesul să-și mărească propriile cufere. #Împreună, tu și aliații tăi ați purtat războaie despre care se va vorbi în legendă până la sfârșitul timpurilor. Ai împărțit atât cuceriri cât și bogății. Pe măsură ce trupurile inamicilor tăi fragili zac rupte pe drumul către viitor, nu trebuie decât să împărțiți prada și să vă bucurați de sentimentul victoriei. Dar un cuvânt de avertisment, mărețe Han: oricât de ferm s-au luptat aliații tăi alături de tine, cei cu ochi pentru aur își pot arunca privirea asupra prietenilor lor când nu mai există inamici cu comori pentru a fi luate...
GAME_OVER_COUNCIL_LOSS2           | Raidurile tale și modul tău de viață s-au încheiat brusc... #Cea mai mare amenințare la adresa culturii poporului tău a fost în sfârșit realizată. După nenumărați ani de explorare a spațiului și de cucerire a stelelor, diferitele imperii care alcătuiesc această galaxie au decis să renunțe la vrajbele din trecut și să se unească într-o coexistență unită pe care o numesc Noua Republică. Și întrucât toate noile epoci merită noi lideri, Consiliul Galactic a ales unul care să-i ghideze în această nouă eră. Este suficient să spunem că nu te-au ales pe tine. Neîncrederea care a venit din raidurile tale constante și vechile răni provocate celor supuși acestora au făcut ca poziția voastră diplomatică în rândul consiliului să devină irevocabil pătată. Cu unitatea galaxiei acum o certitudine pe care nu puteți spera să o ocoliți, raidurile voastre pentru comori și glorie s-au încheiat definitiv. Oamenii tăi trebuie să se adapteze la această nouă eră sau să moară încercând...
GAME_OVER_REBELLION_LOSS2         | Comorile tale prețuite sunt acum libere pentru a fi luate... #Zilele în care oamenii tăi jefuiau cele mai minunate comori ale acestei galaxii au ajuns la sfârșit. Odată cu formarea Noii Republici și unificarea galaxiei sub steagul speciei %6, știai că riturile sacre ale culturii poporului tău ar fi condamnate dacă nu te-ai răzvrăti împotriva venirii acestei noi ere greșite. Dar, fie în ascultarea oarbă față de noul lor stăpân, fie de frica poporului tău și de reputația pe care și-a câștigat-o în întreaga galaxie, ai luptat singur în această rebeliune. #Rivalii tăi știau că nu pot lupta singuri cu armatele Mrrshanilor și să iasă învingători și, în schimb, și-au pus la comun resursele și flotele în timp ce stăteau umăr la umăr împotriva rebeliunii tale. Deși oamenii tăi au luptat cu tenacitatea legendară care a inspirat frică în întreaga galaxie, nici ei, nici tu nu ai putut spera să depășești forțele combinate ale Noii Republici. Acum, răzvrătirea ta ajunge la un sfârșit nefericit și tot ce le mai rămâne învingătorilor este să îți revendice prada pentru ei înșiși...
