// race-specific variables (must start with _)
_empire                           | Conclava Sakkrană, Conclava Reptarană, Conclava Saurană, Conclava Raptorană, Conclava Tyrannană
_race                             | Sakkra, Reptara, Saura, Raptora, Tyranna
_race_plural                      | Sakkrani, Reptarani, Saurani, Raptorani, Tyrannani
_title                            | Prim Magistru
_nameTitle                        | Prim Magistru

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Consilier %1
MAIN_ADVISOR_BUTTON_OK            | Închide
MAIN_ADVISOR_SCOUT                | În final, putem începe să perfecționăm mediile lumilor dincolo de a noastră. Prim Magistru, trimite cercetașii noștri și nava colonială pe o planetă din apropiere cât de repede poți!
MAIN_ADVISOR_TRANSPORT            | Am stabilit prima noastră colonie pe o lume complet nouă. Odată ce trimiteți un transport, putem să ne mărim numerele și să rezolvăm misterele de pe %1 și mai repede!
MAIN_ADVISOR_DIPLOMACY            | Un alt popor capabil să călătorească în spațiu a făcut contact cu Conclava. Să deschidem un dialog cu ei și să vedem cât de bine își tratează propriile lumi. Atunci vom ști cum să ne comportăm cel mai bine de ei.
MAIN_ADVISOR_SHIP_ENGINE          | Am proiectat motoare de nave mult mai eficiente decât cele pe care le folosim în prezent. Să proiectăm modele de nave cu acestea de îndată ce putem.
MAIN_ADVISOR_RALLY_POINTS         | Vecinii noștri par să ne găsească... neplăcuți. Putem folosi punctele de regrupare pentru a ne direcționa navele către o singură locație pentru a preveni orice deteriorare a noilor noastre lumi frumoase.
MAIN_ADVISOR_MISSILE_BASES        | Mă doare doar să mă gândesc să ne pângărim lumile în acest fel, dar putem folosi puțin spațiu pentru baze de rachete defensive pentru a le proteja de daune și mai inestetice.
MAIN_ADVISOR_SHIP_WEAPON          | Am făcut o descoperire cu privire la modalități mai puternice de a deteriora navele inamice. Ar trebui cu siguranță să aplicăm această tehnologie pe orice nave noi pe care le producem în viitor.
MAIN_ADVISOR_COUNCIL              | Există o întâlnire numită „Consiliul Galactic” la care probabil vor participa toate civilizațiile avansate. Aceasta ar putea fi o oportunitate pentru noi de a vedea care alte imperii s-ar opune... extinderii Conclavei.
MAIN_ADVISOR_REBELLION            | Magistru! Există o rebeliune pe %1. Nu știu care este cauza, dar știu care ar trebui să fie soluția!
MAIN_ADVISOR_RESIST_COUNCIL       | În nici un caz nu vom accepta asta , nu? Ne vom lupta cu consiliul acum, nu?! Gândește-te la ce se va întâmpla cu acele sărace planete dacă nu o vom face! 
MAIN_ADVISOR_COUNCIL_RESISTED     | Acei rebeli dezgustători! Abia i-am tolerat să existe, iar acum vor să se răzvrătească? Dă-ne ordine să-i exterminăm: avem multe dintre lumile lor de revendicat pentru Conclavă!
 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Soarta tuturor lumilor este pecetluită... #Ai fost cândva speranța nenumăratelor planete ce împânzeau galaxia. Plecând din lumea ta natală, singura ta preocupare a fost să înveți și să perfecționezi ecologiile unice ale fiecărei lumi care puteau fi găsite. Pe măsură ce cunoștințele tale au crescut, la fel a crescut și fervoarea poporului tău și, pentru o vreme, s-a părut că visul împărtășit al tuturor Sakkranilor se va împlini. Dacă lăcomia inamicilor tăi de a-și extinde teritoriile cât mai mult posibil nu era atât de mare, visul ar fi putut să fie împlinit. #Coloniile tale au fost cucerite până pe ultima planetă: grija iubitoare pe care ai acordat-o lumilor tale a fost călcată în picioare de pofta de sânge a rivalilor tăi interstelari. Pe măsură ce ultimul dintre avanposturile tale arde în jurul tău făcând moartea ta inevitabil, te gândești trecător dacă proștii care te-au copleșit vor învăța vreodată să trăiască în armonie cu lumile pe care le iau pentru acum pentru ei. Dar răspunsul probabil la acea întrebare, Prim Magistru, este prea oribil pentru a fi considerat...
GAME_OVER_MILITARY_WIN2           | Salvarea tuturor lumilor este în final posibilă! #Victorie! Victorie pentru poporul tău și pentru toate planetele din galaxie! Din ziua în care Conclava Sakkrană a pășit de pe lumea lor în căutarea unor noi medii de protejat, știai că dorința poporului tău nu va fi refuzată. A fost greșit din partea rivalilor tăi să nu vadă înțelepciunea în a acorda prioritate siguranței sistemelor ecologice ale acestei galaxii, dar a fost o prostie dincolo de înțelegere pentru ei să creadă că puterea lor ar fi fost suficientă pentru a te împiedica să-ți atingi obiectivul. # Luând cel mai simplu și cel mai direct curs de acțiune, ai ales să elimini amenințarea pe care o reprezentau rivalii tăi și, făcând acest lucru, ai prevenit orice alte daune inutile a biosferelor care ar fi fost provocate de proștii din galaxie în încercarea lor penibilă de a-și atinge propriile lor scopuri! Acum ai timp infinit pentru a repara daunele pe care le-au provocat, fără ca nimeni să te mai împiedice. Oamenii tăi vor curge ca un râu în toată această galaxie, fiecare planetă un afluent care așteaptă să evolueze în pace sub mâna ta călăuzitoare. Bucură-te de roadele muncii tale greu câștigate! Și bucură-te pentru totdeauna de provocările ce au nevoie de o rezolvare care îi așteaptă pe Sakkrani în viitor!
