// race-specific variables (must start with _)
_empire                    | Imperiul Silicoid, Imperiul Igneoid, Imperiul Sedimoid, Imperiul Granitoid, Imperiul Magmoid
_race                      | Silicoid, Igneoid, Sedimoid, Granitoid, Magmoid
_race_plural               | Silicoizi, Igneoizi, Sedimoizi, Granitoizi, Magmoizi
_title                     | Împărat Cristalin 
_nameTitle                 | Împărat Cristalin 

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE         | Consilier %1â
MAIN_ADVISOR_BUTTON_OK     | Închide
MAIN_ADVISOR_SCOUT         | Împărat-Zeu, cercetașii domniei voastre sunt pregătiți să escorteze prima navă colonială în orice lume doriți! Ordonați și voința domniei voastre va fi îndeplinită!
MAIN_ADVISOR_TRANSPORT     | Colonia de pe %1 a fost fondată în numele domniei voastre, mărețe Împărat! Dacă doriți să trimitem mai multe transporturi pentru a sprijini creșterea coloniei, spuneți cuvântul și vă vom respecta dorința!
MAIN_ADVISOR_DIPLOMACY     | Împărat-Zeu! Un reprezentant dintr-un imperiu extraterestru apare în fața tronului domniei voastre! Acesta poate fi dușmanul nostru etern, în final revelat! Vom continua cu toată precauția!
MAIN_ADVISOR_SHIP_ENGINE   | Oamenii de știință loiali domniei voastre au perfecționat noi modele de motoare navale! Vom îmbunătății flotele odată ce dați ordinul!
MAIN_ADVISOR_RALLY_POINTS  | În sfârșit! Războiul nostru sfânt a început, Împărat-Zeu! Ordonați flotele domniei voastre să se regrupeze în orice lume doriți, pentru a aduce o moarte rapidă tuturor inamicilor domniei voastre!
MAIN_ADVISOR_MISSILE_BASES | Generalii domniei voastre sugerează construirea bazelor de rachete deasupra celor mai vulnerabile colonii din Imperiul nostru! Dacă domnia voastră este de acord, Împărat-Zeu, atunci vom începe construcția deîndată!
MAIN_ADVISOR_SHIP_WEAPON   | Împărat-Zeu! Oamenii de știință loiali domniei voastre prezintă cele mai recente descoperiri din domeniul armamentului! Vom adăuga aceste noi instrumente ale războiului flotelor domniei voastre, dacă dați ordinul!
MAIN_ADVISOR_COUNCIL       | O întâlnire a conducătorilor cunoscută sub numele de Consiliul Galactic va avea loc în curând! Vechiul nostru dușman trebuie să fie ascuns printre cei care se vor adună acolo! Trebuie să-l expunem pentru ca nobila noastră cruciada să poată începe cu adevărat!
MAIN_ADVISOR_REBELLION     | Măreț Împărat! Inimaginabilul s-a întâmplat. Oamenii noștri, infectați fără îndoială de nefastul nostru Inamic Antic, se răzvrătesc împotriva domniei voastre pe %1. Trebuie să punem capăt acestei corupții imediat!
MAIN_ADVISOR_RESIST_COUNCIL   | Temeritatea acestor proști! Împărat-Zeu, flotele noastre sunt pregatite! Condu-ne către victorie în această luptă sortită!
MAIN_ADVISOR_COUNCIL_RESISTED | Desigur, progeniturile inamicului nostru nu au putut accepta dominația [my_race]! Poporul nostru este în frenezie: în sfârşit profeţia se va împlini!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
