

//
// Armor techs
// 
ARMOR_0_NAME     | Armură de Titan
ARMOR_0_ITEM     | Titan
ARMOR_0_BRIEF    | Puncte de Viață %1
ARMOR_0_DETAIL   | Începutul tehnologiei armurilor. Fără bonusuri pentru armura navelor sau a atacurilor terestre.

ARMOR_1_NAME     | Armură de Duralloy
ARMOR_1_ITEM     | Duralloy
ARMOR_1_BRIEF    | Puncte de Viață %1
ARMOR_1_DETAIL   | Crește numărul de Puncte de Viață ale navelor și transporturilor militare cu 50%. Armura personală este de asemenea îmbunătățită, adăugând 5 la toate atacurile terestre.

ARMOR_2_NAME     | Armură de Zortrium
ARMOR_2_ITEM     | Zortrium
ARMOR_2_BRIEF    | Puncte de Viață %1
ARMOR_2_DETAIL   | Crește numărul de Puncte de Viață ale navelor și transporturilor militare cu 100%. Armura personală este de asemenea îmbunătățită, adăugând 10 la toate atacurile terestre.

ARMOR_3_NAME     | Armură de Andrium
ARMOR_3_ITEM     | Andrium
ARMOR_3_BRIEF    | Puncte de Viață %1
ARMOR_3_DETAIL   | Crește numărul de Puncte de Viață ale navelor și transporturilor militare cu 150%. Armura personală este de asemenea îmbunătățită, adăugând 15 la toate atacurile terestre.

ARMOR_4_NAME     | Armură de Tritanium
ARMOR_4_ITEM     | Tritanium
ARMOR_4_BRIEF    | Puncte de Viață %1
ARMOR_4_DETAIL   | Crește numărul de Puncte de Viață ale navelor și transporturilor militare cu 200%. Armura personală este de asemenea îmbunătățită, adăugând 20 la toate atacurile terestre.

ARMOR_5_NAME     | Armură de Adamantium
ARMOR_5_ITEM     | Adamantium
ARMOR_5_BRIEF    | Puncte de Viață %1
ARMOR_5_DETAIL   | Crește numărul de Puncte de Viață ale navelor și transporturilor militare cu 250%. Armura personală este de asemenea îmbunătățită, adăugând 25 la toate atacurile terestre.

ARMOR_6_NAME     | Armură de Neutronium
ARMOR_6_ITEM     | Neutronium
ARMOR_6_BRIEF    | Puncte de Viață %1
ARMOR_6_DETAIL   | Crește numărul de Puncte de Viață ale navelor și transporturilor militare cu 300%. Armura personală este de asemenea îmbunătățită, adăugând 30 la toate atacurile terestre.


//
// Atmospheric Terraforming techs
// 
ATMOSPHERE_0_NAME      | Terraformare Atmosferică
ATMOSPHERE_0_DETAIL    | Transformă medii Ostile în medii Normale pentru un cost de 150 BC.

//
// Automated Repair techs
// 
AUTOREPAIR_0_NAME      | Sistem Automat de Reparații
AUTOREPAIR_0_BRIEF     | Repară 15% din loviturile susținute de o navă pe tură
AUTOREPAIR_0_DETAIL    | Navele nedistruse pot repara până la 15% din numărul lor de Puncte de Viață la finalul fiecărei ture.

AUTOREPAIR_1_NAME      | Sisteme Avansate de Reparații.
AUTOREPAIR_1_BRIEF     | Repară 30% din loviturile susținute de o navă pe tură
AUTOREPAIR_1_DETAIL    | Navele nedistruse pot repara până la 30% din numărul lor de Puncte de Viață la finalul fiecărei ture.


//
// Battle Computer techs
// 
// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | 
COMPUTER_0_ITEM    |  
COMPUTER_0_BRIEF   | Nivel de Atac 0
COMPUTER_0_DETAIL  |

COMPUTER_1_NAME    | Computer de Luptă Marca I
COMPUTER_1_ITEM    | Marca I
COMPUTER_1_BRIEF   | Nivel de Atac I
COMPUTER_1_DETAIL  | Crește acuratețea armelor la Nivelul 1.

COMPUTER_2_NAME    | Computer de Luptă Marca II
COMPUTER_2_ITEM    | Marca II
COMPUTER_2_BRIEF   | Nivel de Atac II
COMPUTER_2_DETAIL  | Crește acuratețea armelor la Nivelul 2.

COMPUTER_3_NAME    | Computer de Luptă Marca III
COMPUTER_3_ITEM    | Marca III
COMPUTER_3_BRIEF   | Nivel de Atac III
COMPUTER_3_DETAIL  | Crește acuratețea armelor la Nivelul 3.

COMPUTER_4_NAME    | Computer de Luptă Marca IV
COMPUTER_4_ITEM    | Marca IV
COMPUTER_4_BRIEF   | Nivel de Atac IV
COMPUTER_4_DETAIL  | Crește acuratețea armelor la Nivelul 4.

COMPUTER_5_NAME    | Computer de Luptă Marca V
COMPUTER_5_ITEM    | Marca V
COMPUTER_5_BRIEF   | Nivel de Atac V
COMPUTER_5_DETAIL  | Crește acuratețea armelor la Nivelul 5.

COMPUTER_6_NAME    | Computer de Luptă Marca VI
COMPUTER_6_ITEM    | Marca VI
COMPUTER_6_BRIEF   | Nivel de Atac VI
COMPUTER_6_DETAIL  | Crește acuratețea armelor la Nivelul 6.

COMPUTER_7_NAME    | Computer de Luptă Marca VII
COMPUTER_7_ITEM    | Marca VII
COMPUTER_7_BRIEF   | Nivel de Atac VII
COMPUTER_7_DETAIL  | Crește acuratețea armelor la Nivelul 7.

COMPUTER_8_NAME    | Computer de Luptă Marca VIII
COMPUTER_8_ITEM    | Marca VIII
COMPUTER_8_BRIEF   | Nivel de Atac VIII
COMPUTER_8_DETAIL  | Crește acuratețea armelor la Nivelul 8.

COMPUTER_9_NAME    | Computer de Luptă Marca IX
COMPUTER_9_ITEM    | Marca IX
COMPUTER_9_BRIEF   | Nivel de Atac IX
COMPUTER_9_DETAIL  | Crește acuratețea armelor la Nivelul 9.

COMPUTER_10_NAME   | Computer de Luptă Marca X
