//
// Dialogue that is not race-specific
//

DIPLO_TECH_REQUEST_MENU_01   | Какие технологии Вас интересуют?
DIPLO_TECH_COUNTER_MENU_01   | Что Вы предлагаете в обмен?
DIPLO_TRADE_MENU_01          | Вы предлагаете торговый договор на:
DIPLO_TREATY_MENU_01         | Что Вы хотите сделать?
DIPLO_THREATEN_MENU_01       | Почему Вы нам угрожаете?
DIPLO_DECLARE_WAR_MENU_01    | Вы уверены, что хотите объявить войну?
DIPLO_JOINT_WAR_MENU_01      | Кому нам надо объявить войну?
DIPLO_BREAK_ALLIANCE_MENU_01 | Какой Союз нам надо разорвать?
DIPLO_OFFER_AID_MENU_01      | Чем Вы хотите поделиться?
DIPLO_OFFER_TECH_MENU_01     | Чем Вы хотите поделиться?

DECLINE_OFFER_01           | [my_nameTitle] [my_name] отказывается.
DECLINE_OFFER_02           | Мы рассмотрели Ваше предложение и отклонили его.
DECLINE_OFFER_03           | Мы отклоняем Ваше предложение.
DECLINE_OFFER_04           | На данный момент мы не заинтересованы.
DECLINE_OFFER_05           | Мы не считаем Ваше предложение справедливым.
DECLINE_OFFER_06           | Принимать Ваше предложение сейчас не в наших интересах.
DECLINE_OFFER_07           | Вы, вероятно, принимаете нас за доверчивых дураков. Мы отклоняем Ваше предложение.
DECLINE_OFFER_08           | Ваше предложение нам не кажется справедливым.
DECLINE_OFFER_09           | К сожалению, мы должны отказаться.

DECLINE_ENEMY_ALLY_01      | [my_race_plural] никогда не будет иметь дело с союзниками ненавистной расы [other_race_plural_rod].
DECLINE_ALREADY_ALLIED_01  | [my_race_plural] и наши союзники не могут рассмотреть Ваш запрос, пока Вы находитесь в Союзе с другими империями.
DECLINE_NO_WAR_ON_ALLY_01  | Мы не объявим войну нашим союзникам.
DECLINE_PEACE_TREATY_01    | Мы не нарушим мирный договор с [other_race_plural_tvor].

DECLINE_ANNOYED_01         | [your_race_plural] много говорят и мало делают. Мы устали от Вашей болтовни.
DECLINE_ANNOYED_01         | [your_nameTitle] [your_name], Вы испытываете наше терпение. Возможно, нам лучше поговорить попозже.
DECLINE_ANNOYED_01         | Мы услышали достаточно. Поговорим позже.
DECLINE_ANNOYED_02         | Мы устали от этих дипломатических переговоров. Продолжим дискуссию позже.
DECLINE_ANNOYED_02         | Эти разговоры ни к чему не приводят. Мы должны уйти.
DECLINE_ANNOYED_02         | Мы вынуждены удалиться.
DECLINE_ANNOYED_03         | Тысяча извинений, [your_name], но у нас другие дела.
DECLINE_ANNOYED_03         | Примите наши извинения, но наше время подошло к концу.
DECLINE_ANNOYED_03         | У нас мало времени и много дел. Возможно, мы сможем поговорить попозже.


DECLINE_OATHBREAKER_01     | Мы не хотим заключать договор с Вами, потому что Вы нарушали договоры в прошлом.
DECLINE_OATHBREAKER_01     | Вы не выполнили свои прошлые договоры. Мы не видим причин доверять Вам сейчас.
DECLINE_OATHBREAKER_01     | Почему мы должны доверять Вам сейчас, когда Вы нарушили так много договоров в прошлом?
DECLINE_OATHBREAKER_01     | Мы не видим причин доверять кому-то, кто не сдержал свои прошлые обещания.
DECLINE_OATHBREAKER_01     | Мы не будем иметь дела с [your_race_plural_tvor], у которых нет чести.

DECLINE_ESPIONAGE_01       | Подлые собаки, вы крадете плоды наших исследований. Мы отклоняем Ваше предложение.
DECLINE_ESPIONAGE_01       | Наша технология - для [my_race_plural_rod]. Вы не имеете права её красть. Мы сможем продолжить переговоры, когда Вы прекратите это делать.
DECLINE_ESPIONAGE_01       | Почему мы должны Вам что-то давать? Ваши шпионы уже украли всё, что Вам нужно!
DECLINE_ESPIONAGE_01       | С чего Вы решили, что мы согласимся, когда Ваши шпионы крадут наши технологии?
DECLINE_ESPIONAGE_01       | Уберите своих шпионов, тогда поговорим.

DECLINE_SABOTAGE_01        | Мы не забыли вашу последнюю диверсию. Пока вы не докажете, что вы заслуживаете доверия, мы не будем иметь с вами дело.
DECLINE_SABOTAGE_01        | Наш народ страдает от ваших диверсий. Мы не будем иметь с вами дело, пока это не прекратится.
DECLINE_SABOTAGE_01        | Что?! Вы ожидаете, что мы согласимся, когда вы уничтожили наши [target]?
DECLINE_SABOTAGE_01        | Вы уничтожили наши [target]. Почему мы должны иметь с вами дело?
DECLINE_SABOTAGE_01        | Когда вы перестанете уничтожать наши [target] своими диверсиями, мы сможем рассмотреть это предложение.

DECLINE_BUILDUP_01         | Мы не будем говорить об этом, пока вы наращиваете военное присутствие у наших границ.
DECLINE_BUILDUP_01         | Уберите свои корабли от наших границ, и мы подумаем об этом. Иначе об этом не может быть и речи.
DECLINE_BUILDUP_01         | Ваши корабли вдоль наших границ не представляют для нас угрозы, но мы отказываемся вести дело с вами, пока они там присутствуют.
DECLINE_BUILDUP_01         | Если вы хотите иметь дело с нами, то отправляйте свои корабли угрожать другим, а не нам.

DECLINE_ENCROACH_01        | Ваши флоты вторгаются в пространство [my_empire_rodit]. Уберите их, тогда поговорим.

DECLINE_SKIRMISH_01        | Вы беспричинно нападаете на наши корабли и ожидаете, что мы согласимся? Мы отказываемся иметь с вами дело.
DECLINE_SKIRMISH_01        | Мы не можем принять предложение того, кто нападает на наши флоты.
DECLINE_SKIRMISH_01        | Как только Ваши флоты перестанут нападать на наши корабли, мы сможем поговорить.
DECLINE_SKIRMISH_01        | Если Вы хотите иметь дело с нами, оставьте наши флоты в покое.
