// race-specific variables (must start with _)
_empire                           | Империя Урсы, Империя Медвяти, Империя Урсати, Империя Пандати, Империя Гризляти
_race                             | Урсанин, Медвяти, Урсати, Пандати, Гризляти
_race_plural                      | Урсане, Медвяти, Урсати, Пандати, Гризляти
_title                            | Великий Иерарх
_nameTitle                        | Великий Иерарх
_nameTitle_dativs                 | Великому Иерарху
_empire_rodit                     | Империи Урсы, Империи Медвяти, Империи Урсати, Империи Пандати, Империи Гризляти
_empire_dativs                    | Империи Урсы, Империи Медвяти, Империи Урсати, Империи Пандати, Империи Гризляти
_empire_tvor                      | Империей Урсы, Империей Медвяти, Империей Урсати, Империей Пандати, Империей Гризляти
_empire_acc                       | Империю Урсы, Империю Медвяти, Империю Урсати, Империю Пандати, Империю Гризляти
_race_plural_dativs               | Урсанам, Медвяти, Урсати, Пандати, Гризляти
_race_plural_tvor                 | Урсанами, Медвяти, Урсати, Пандати, Гризляти
_race_plural_rod                  | Урсан, Медвяти, Урсати, Пандати, Гризляти
_race_adj                         | Урской, Медвяжьей, Урсатийской, Пандатийской, Гризлятийской
_race_adj_plural                  | Урские, Медвяжьи, Урсатийские, Пандатийские, Гризлятийские
_race_adj_acc                     | Урскую, Медвяжью, Урсатийскую, Пандатийскую, Гризлятийскую
_race_adj_rod                     | Урской, Медвяжьей, Урсатийской, Пандатийской, Гризлятийской


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Советник Урсан
MAIN_ADVISOR_BUTTON_OK            | Подтвердить
MAIN_ADVISOR_SCOUT                | Господин, мы подготовили пару разведчиков и корабль-колонизатор. Мы можем начать разведывание и колонизацию близлежащих систем как только Вы прикажете.
MAIN_ADVISOR_TRANSPORT            | Мир %1 добавлен к нашей Империи! Отдайте приказ и мы немедленно приступим к запуску транспортов!
MAIN_ADVISOR_DIPLOMACY            | Инопланетная раса вступила в контакт с нашей Империей, Господин. Относиться к ним как к друзьям или врагам - решение Ваше.
MAIN_ADVISOR_SHIP_ENGINE          | Наши ученые продолжают достигать доселе невозможного - на этот раз они добились повышения скорости двигателей. Они ждут Вашего решения относительно их применения.
MAIN_ADVISOR_RALLY_POINTS         | Нас ждет славная битва! Направляйте наши только что созданные корабли в Точки Сбора, чтобы собрать наш флот, где бы Вы ни пожелали.
MAIN_ADVISOR_MISSILE_BASES        | Господин, наши колонии ждут Вашего приказа о начале строительства ракетных баз, для помощи в защите от вражеских нападений.
MAIN_ADVISOR_SHIP_WEAPON          | Ученые разработали новое разрушительное корабельное оружие! Господин, ознакомьтесь на досуге с дизайнами кораблей, чтобы решить, как наши враги падут перед нашей подавляющей мощью.
MAIN_ADVISOR_COUNCIL              | Приближается встреча представителей первого Галактического Совета, Господин. Наши дипломаты будут следовать Вашим указаниям, чтобы решения Совета соответствовали Вашей воле. 
MAIN_ADVISOR_REBELLION            | Похоже, что население планеты %1 решило открыто бросить Вам вызов, Господин. Пришло время напомнить им, почему именно Вы были избраны управлять Империей!
MAIN_ADVISOR_RESIST_COUNCIL       | Только Вы можете занять трон Галактики! Наша кровожадность не иссякнет, пока Вы не займете свое законное место, Господин!
MAIN_ADVISOR_COUNCIL_RESISTED     | Ха-ха! Интересно, как можно быть столь глупым, чтобы противостоять нашему правлению? Но это неважно. Скоро мы раздавим этих крошечных повстанцев!


// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Ярость Вашей Империи сокрушена.#Гнева Вашего народа было недостаточно, чтобы остановить нарастающую волну военной мощи инопланетных держав. Хотя Вы яростно сражались до последнего солдата, история Урсан подошла к концу. Когда-то, Вы были Великим Иерархом великой Империи, лидером гордой расы мыслителей-воинов, которые взирали на звёзды, мечтая о том, чтобы найти свое место во Вселнной и испытать себя против тех, кто осмелился бы им противостоять. Теперь Вы всего лишь имя в хрониках прошлого этой галактики, да и то - только если победители соизволят вспомнить о Вас.#Возможно, если бы Вы знали о том, что ожидало Ваш народ в конце этого пути, Вы бы не стремились в космос с таким рвением. Но теперь всё, что осталось от Вас и Вашего народа - это прах Ваших злополучных амбиций и несбывшихся надежд.
GAME_OVER_MILITARY_WIN2           | Ярость Вашей Империи царствует безраздельно!#Вы переступили порог полной победы, одержанной над каждой империей, которая была известна Вашему народу. По своей глупости они считали, что способны противостоять Вашей военной мощи, но теперь флот их разбит, а народ их рассеян и встретил бесславный конец. Разве не осознавали они, какая ярость заключена в ваших сердцах? Разве не заметили они стойкости ваших убеждений? Но теперь это не имеет никакого значения, ибо победители не должны заботиться о мыслях побежденных, и никто теперь не сможет оспорить факт, что Вы были сильнее любого, кто стоял на Вашем пути.#Давным-давно, Ваш народ хотел найти свое место в этой Вселенной, и Вы показали ему, что его судьба - неделимо править этой галактикой по всей ее протяженности. Слава Победе, Великий Иерарх! Слава Империи Урсы!
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Не осталось никого, кто осмелился бы бросить вызов Вашему гневу...#Как Великий Иерарх Империи Урсы, Вы больше всего боялись, что мировоззрения тех, с кем Вы столкнетесь в космосе, будут несовместимы с Вашим видением будущего, и в конечном итоге Вы будете вынуждены их уничтожить. И действительно, многие из них доказали, что страх этот не был необоснованным, но теперь все они уже погребены под тем кровавым путем, который Галактика заставила Вас проложить.Но были и причины успокоить своё сердце, ибо не все расы, с которыми Вы повстречались оказались такими для Вас неприятными, и Вы всё-таки нашли друзей в конце этого долгого и нелегкого путешествия.#Возможно, в конце концов, это и неплохо, что Вы нашли кого-то с кем можно поделиться этой галактикой. Дары этих миров обильны, а различные мировоззрения, которым следуют Ваши союзники, станут интересным предметом размышлений для великих умов Вашей цивилизации на долгие годы вперед. Конечно, до тех пор, пока Ваши союзники будут оставаться благоприятными Вашему народу...
GAME_OVER_COUNCIL_LOSS2           | Ярость Вашей Империи усмирена.#Конечно, невозможно назвать Ваши усилия иначе чем доблестными - несмотря на огромные трудности, Ваш народ рвал и метал в борьбе за свое существование в глубинах космоса, захватывая миры для Империи по всей галактике. Но, к сожалению, Ваша свирепость была бессильна против технологических инноваций и политических интриг инопланетных рас, встретившимся Вам в космосе. Понимая, что у Вас не было средств, которые позволили бы Вам победить в войне против Галактического Совета, Вы сделали единственный возможный выбор - подчиниться лидеру Новой Республики и предотвратить войну, которая наверняка бы полностью уничтожила Ваш вид.#Хотя Вашему духу воина был нанесен сокрушительный удар, Вы знаете, что Ваше решение было правильным. В конце концов, Вы обеспечили выживание своего народа, в движущейся в будущее Галактике. Альтернатива же Вашему решению была просто слишком ужасна, чтобы о ней даже подумать...
