// race-specific variables (must start with _)
_empire                           | Назлоки, Сарлоки, Лепы, Тени, Назинцы
_race                             | Назлок, Сарлок, Леп, Тень, Назинец
_race_plural                      | Назлоки, Сарлоки, Лепы, Тени, Назинцы
_title                            | Правитель
_nameTitle                        | 
_nameTitle_dativs                 | Правителю
_empire_rodit                     | Назлоков, Сарлоков, Лепов, Теней, Назинцев
_empire_dativs                    | Назлокам, Сарлокам, Лепам, Теням, Назинцам
_empire_tvor                      | Назлоками, Сарлоками, Лепами, Тенями, Назинцами
_empire_acc                       | Назлоков, Сарлоков, Лепов, Теней, Назинцев
_race_plural_dativs               | Назлокам, Сарлокам, Лепам, Теням, Назинцам
_race_plural_tvor                 | Назлоками, Сарлоками, Лепами, Тенями, Назинцами
_race_plural_rod                  | Назлоков, Сарлоков, Лепов, Теней, Назинцев
_race_adj                         | Назлоковской, Сарлоковской, Леповской, Тенистой, Назинской
_race_adj_plural                  | Назлоковские, Сарлоковские, Леповские, Тенистые, Назинские
_race_adj_acc                     | Назлоковскую, Сарлоковскую, Леповскую, Тенистую, Назинскую
_race_adj_rod                     | Назлоковского, Сарлоковского, Леповского, Тенистого, Назинского


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.

// Advisor text
MAIN_ADVISOR_TITLE                | Советник Назлоков
MAIN_ADVISOR_BUTTON_OK            | Подтвердить
MAIN_ADVISOR_SCOUT                | Мы завершили строительство пары разведчиков и корабля-колонизатора. Будем надеяться, что ответы, которые мы ищем, будут обнаружены на ближайшей планете.
MAIN_ADVISOR_TRANSPORT            | Наши поиски на планете %1 не принесли никаких результатов. Но мы всё равно должны увеличивать наше население там, отправляя все доступные транспорты.
MAIN_ADVISOR_DIPLOMACY            | Представители одного из народов этого измерения заявили о себе. Необходимо сделать всё возможное, чтобы выведать у них всё, что они знают.
MAIN_ADVISOR_SHIP_ENGINE          | Мы нашли способ производства более эффективных двигателей. Необходимо прийти к единому мнению о том, как лучше всего использовать эту новую технологию.
MAIN_ADVISOR_RALLY_POINTS         | Начался неизбежный конфликт! Заводы могут направить новопостроенные корабли в Точку Сбора, чтобы сформировать там флот, который защитит нас от агрессивных существ.
MAIN_ADVISOR_MISSILE_BASES        | Мы уже достаточно много потеряли, придя в эту вселенную, чтобы потерять еще что-либо - наши колонии должны защищать себя от врагов, строя как можно больше оборонительных ракетных баз.
MAIN_ADVISOR_SHIP_WEAPON          | Создана новая технология, улучшающая военную мощность звездолётов. Предстоит снова решить, как обновить дизайны кораблей, чтобы как можно скорее воспользоваться этим прорывом.
MAIN_ADVISOR_COUNCIL              | Ходят слухи, что соберется "Галактический Совет". Наши шпионы планируют завладеть любой информацией, к которой они смогут получить доступ. От этого зависит будущее нашего вида!
MAIN_ADVISOR_REBELLION            | Неужели население колонии %1 выжило из ума?! Они забывают, что только вместе мы сможем выжить в этой вселенной! Необходимо немедленно, в назидание другим, покарать этих мятежников!
MAIN_ADVISOR_RESIST_COUNCIL       | Наши шансы на успех всегда были невелики. Борьба с Галактическим Советом и его союзниками мало что может изменить.
