// race-specific variables (must start with _)
_empire                           | Холданский Улей, Насеконский Улей, Петаронский Улей, Улей Индивида, Колютонский Улей
_race                             | Холданец, Насеконец, Петаронец, Индивидовец, Колютонец
_race_plural                      | Холданцы, Насеконцы, Петаронцы, Индивидовцы, Колютонцы
_title                            | Правитель
_nameTitle                        |
_nameTitle_dativs                 | 
_empire_rodit                     | Холданского Улья, Насеконского Улья, Петаронского Улья, Улья Индивида, Колютонского Улья
_empire_dativs                    | Холданскому Улью, Насеконскому Улью, Петаронскому Улью, Улью Индивида, Колютонскому Улью
_empire_tvor                      | Холданским Ульем, Насеконским Ульем, Петаронским Ульем, Ульем Индивида, Колютонским Ульем
_empire_acc                       | Холданский Улей, Насеконский Улей, Петаронский Улей, Улей Индивида, Колютонский Улей
_race_plural_dativs               | Холданцам, Насеконцам, Петаронцам, Индивидовцам, Колютонцам
_race_plural_tvor                 | Холданцами, Насеконцами, Петаронцами, Индивидовцами, Колютонцами
_race_plural_rod                  | Холданцев, Насеконцев, Петаронцев, Индивидовцев, Колютонцев
_race_adj                         | Холданской, Насеконской, Петаронской, Индивидовской, Колютонской
_race_adj_plural                  | Холданские, Насеконские, Петаронские, Индивидовские, Колютонские
_race_adj_acc                     | Холданскую, Насеконскую, Петаронскую, Индивидовскую, Колютонскую
_race_adj_rod                     | Холданского, Насеконского, Петаронского, Индивидовского, Колютонского

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %2
MAIN_ADVISOR_BUTTON_OK            | Подтвердить
MAIN_ADVISOR_SCOUT                | Наконец-то, строительство моих кораблей завершено. Я должен использовать свои разведчики, чтобы найти новую планету, которую можно было бы колонизировать.
MAIN_ADVISOR_TRANSPORT            | Я установил свое присутствие на этой планете, и должен послать транспорты, чтобы увеличить его. Новой жизни здесь нет, мои поиски продолжаются.
MAIN_ADVISOR_DIPLOMACY            | Наконец-то найдена новая форма жизни! Какая странная - общается с помощью шумов и жестов. Надо продумать дипломатическую стратегию и свериться с разведывательной информацией.
MAIN_ADVISOR_SHIP_ENGINE          | Я продолжаю развиваться, совершенствуя двигатели моих звездолётов. Я должен создать новый дизайн корабля, чтобы интегрировать их в свой флот.
MAIN_ADVISOR_RALLY_POINTS         | Почему оно нападает на меня? Я не понимаю. Я должен создать Точки Сбора для моих кораблей, чтобы защищаться, пока я пытаюсь найти причину.
MAIN_ADVISOR_MISSILE_BASES        | Теперь я вижу, что не все формы жизни осознали благо сотрудничества. Необходимо укрепить внешние миры ракетными базами, чтобы они были в безопасности.
MAIN_ADVISOR_SHIP_WEAPON          | Я продолжаю развиваться, и моя новая военная технология еще больше ускорит этот процесс, как только я проинтегрирую её в свои корабли.
MAIN_ADVISOR_COUNCIL              | Предвкушение! Грядёт встреча многих видов. Какие новые формы жизни я там увижу? Если я зарекомендую себя в лучшем свете среди тех, кого я знаю, другие расы не так сильно испугаются меня.
MAIN_ADVISOR_REBELLION            | Что это? Я потерял контроль над моими телами в колонии %1. Неважно, я просто должен отправиться туда и показать им, что я главный.
MAIN_ADVISOR_RESIST_COUNCIL       | Немыслимо! Они выбрали кого-то другого править этими сварливыми болванами, в то время как сами игнорируют мою мудрость! Но это не важно - я немедленно уничтожу их всех!
MAIN_ADVISOR_COUNCIL_RESISTED     | Почему эти глупцы продолжают быть такими надоедливыми? Совет - мой, галактика - моя, и теперь они узнают свое место в ней!

MAIN_SCOUT_TITLE                  | Я Исследую Новую Звёздную Систему
MAIN_COLONIZE_TITLE               | Я на орбите планеты %1.
MAIN_COLONIZE_ANIMATION_TITLE     | В году %1 я основал новую колонию.
MAIN_ALERT_TRANSPORTS_KILLED      | [alien_race_plural] сорвали мою попытку достигнуть планету %1. %2 транспортов были уничтожены.
MAIN_ALERT_INVADERS_KILLED        | Я полностью уничтожил %2 транспортов [alien_race_plural_rod], которые пытались захватить планету %1.
MAIN_BOMBARD_TITLE                | Я на орбите колонии [alien_race_plural_rod].

MAIN_TRANSPORT_PROMPT             | Выберите колонию, куда запустить транспорты.
FLEETS_DEPLOYING_TRANSPORTS_DESC  | Выберите колонию внутри дальности действия кораблей, куда запустить транспорты.
MAIN_TRANSPORT_ABANDON_PROMPT     | Выберите колонию, куда эвакуировать всё население.
MAIN_TRANSPORT_SELECT_POP         | Сколько миллионов послать (до половины населения планеты %1).
MAIN_TRANSPORT_SELECT_TROOPS      | Сколько миллионов послать (до половины населения планеты %1).
MAIN_SCOUT_SUBTITLE_1             | Я разведал эту систему.
MAIN_SCOUT_SUBTITLE_2             | Я собрал эти данные.
MAIN_SCOUT_SUBTITLE_3             | Мои союзники поделились этими данными.
MAIN_ALERT_SPY_REPORT             | Создан новый отчет о шпионаже.
MAIN_ALERT_TECH_STOLEN            | Шпионам [alien_race_plural_rod] приказано украсть Ваши технологии.
MAIN_ALERT_TRANSPORTS_PERISHED    | Колония в системе %1 была уничтожена. Солдаты, пытавшиеся приземлиться, погибли.
MAIN_ALERT_TRANSPORTS_CAPTURED    | Солдаты в Ваших %2 транспортах, достигнувшие систему %1 сдались [alien_race_plural_dativs].
MAIN_ALERT_INVADERS_CAPTURED      | Солдаты в %2 транспортах [alien_race_plural_rod], достигнувшие систему %1, сдались.
MAIN_ALERT_TRESPASSING1           | Корабли [alien_race_plural_rod] были замечены при нарушении границ рядом с колонией в системе %1.
MAIN_ALERT_TRESPASSING2           | Посол [alien_race_plural_rod] недоволен тем, что Ваши корабли нарушают границы в системе %1.
MAIN_ALERT_TRADE_MATURED          | %1 сообщают, что Ваш торговый договор с ними достиг своего максимального дохода - %2 МК.
MAIN_ALERT_ALLIANCE_WEAKENING     | Ваш союз с [ally_empire_tvor] слабеет.
MAIN_ALERT_ALLIANCE_BREAKING      | Ваш союз с [ally_empire_tvor] находится на грани краха!
TECH_RESEARCH_COMPUTER            | Я должен выбрать следующую технологию в области Компьютеров, на которой фокусироваться.
TECH_RESEARCH_CONSTRUCTION        | Я должен выбрать следующую технологию в области Строительства, на которой фокусироваться.
TECH_RESEARCH_FORCE_FIELD         | Я должен выбрать следующую технологию в области Силовых Полей, на которой фокусироваться.
TECH_RESEARCH_PLANETOLOGY         | Я должен выбрать следующую технологию в области Планетологии, на которой фокусироваться.
TECH_RESEARCH_PROPULSION          | Я должен выбрать следующую технологию в области Движения, на которой фокусироваться.
TECH_RESEARCH_WEAPON              | Я должен выбрать следующую технологию в области Оружия, на которой фокусироваться.
TECH_DISCOVERY_TITLE              | Я Достиг Прорыва В Области "%1".
TECH_SCOUTED_TITLE                | Изучая Руины Планеты %1, Я Нашел
TECH_STOLEN_TITLE                 | Я инфильтрировался в лаборатории [alien_race_plural_rod] на планете %2.
TECH_TRADED_TITLE                 | [alien_race_plural] Дали Мне Технологию
