// race-specific variables (must start with _)
_empire                           | Фершанское Ханство, Лишанское Ханство, Мяушанское Ханство, Когшанское Ханство, Хишанское Ханство
_race                             | Фершан, Лишан, Мяушан, Когшан, Хишан
_race_plural                      | Фершане, Лишане, Мяушане, Когшане, Хишане
_title                            | Хан
_nameTitle                        | Хан
_nameTitle_dativs                 | Хану
_empire_rodit                     | Фершанского Ханства, Лишанского Ханства, Мяушанского Ханства, Когшанского Ханства, Хишанского Ханства
_empire_dativs                    | Фершанскому Ханству, Лишанскому Ханству, Мяушанскому Ханству, Когшанскому Ханству, Хишанскому Ханству
_empire_tvor                      | Фершанским Ханством, Лишанским Ханством, Мяушанским Ханством, Когшанским Ханством, Хишанским Ханством
_empire_acc                       | Фершанское Ханство, Лишанское Ханство, Мяушанское Ханство, Когшанское Ханство, Хишанское Ханство
_race_plural_dativs               | Фершанам, Лишанам, Мяушанам, Когшанам, Хишанам
_race_plural_tvor                 | Фершанами, Лишанами, Мяушанами, Когшанами, Хишанами
_race_plural_rod                  | Фершан, Лишан, Мяушан, Когшан, Хишан
_race_adj                         | Фершанской, Лишанской, Мяушанской, Когшанской, Хишанской
_race_adj_plural                  | Фершанские, Лишанские, Мяушанские, Когшанские, Хишанские
_race_adj_acc                     | Фершанскую, Лишанскую, Мяушанскую, Когшанскую, Хишанскую
_race_adj_rod                     | Фершанского, Лишанского, Мяушанского, Когшанского, Хишанского
_race_collectiv                   | Фершанство, Лишанство, Мяушанство, Когшанство, Хишанство

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Советник Фершан
MAIN_ADVISOR_BUTTON_OK            | Подтвердить
MAIN_ADVISOR_SCOUT                | Да! Наш первый флот наконец-то вышел из верфи! Давайте его используем, чтобы найти мир, на котором много врагов и много сокровищ.
MAIN_ADVISOR_TRANSPORT            | Мы заняли новую территорию на планете %1. Чем больше населения Фериеса мы переселим туда, тем быстрее мы найдем сокровища, которые есть на той планете.
MAIN_ADVISOR_DIPLOMACY            | Мы встретились с инопланетной расой! Думаете, они окажутся сильными врагами, или их сокровища смог бы отобрать даже ребенок?
MAIN_ADVISOR_SHIP_ENGINE          | Мы нашли способ усовершенствовать двигатели и теперь можем создавать гораздо более быстрые корабли! С такими звездолётами, набеги станут ещё более эффективными!
MAIN_ADVISOR_RALLY_POINTS         | Хан! Началась война! На данный момент Ханства готовы сдержать свою клятву верности Вам, так что установите Точку Сбора, чтобы они знали, куда отправлять свои корабли!
MAIN_ADVISOR_MISSILE_BASES        | Наши внешние миры не могли бы себя защитить от вражеских флотов! Давайте построим на них ракетные базы, чтобы никто их не завоевал.
MAIN_ADVISOR_SHIP_WEAPON          | Мы разработали довольно мощный новый тип оружия для кораблей. Оно обязательно приведет к разгрому сил наших врагов, как только мы добавим их в наши новые корабли.
MAIN_ADVISOR_COUNCIL              | Грядёт встреча народов, но говорят, она не для войны, а для переговоров. Странно, не так ли? Лучше принять участие в этом "Галактическом Совете" хотя бы для задобривания более пугливых империй.
MAIN_ADVISOR_REBELLION            | Не больны ли Вы, Хан? На планете %1 восстание и Вы не отдали приказ подавить его?
