// race-specific variables (must start with _)
_empire                           | Конклав Сауронцев, Конклав Рептар, Конклав Сауран, Конклав Рапторов, Конклав Тиранна
_race                             | Сауронец, Рептар, Саурянин, Раптор, Тиранн
_race_plural                      | Сауронцы, Рептары, Сауряне, Рапторы, Тиранны
_title                            | Главный Магистр
_nameTitle                        | Главный Магистр 
_nameTitle_dativs                 | Главному Магистру
_empire_rodit                     | Конклава Сауронцев, Конклава Рептар, Конклава Сауран, Конклава Рапторов, Конклава Тиранна
_empire_dativs                    | Конклаву Сауронцев, Конклаву Рептар, Конклаву Сауран, Конклаву Рапторов, Конклаву Тиранна
_empire_tvor                      | Конклавом Сауронцев, Конклавом Рептар, Конклавом Сауран, Конклавом Рапторов, Конклавом Тиранна
_empire_acc                       | Конклав Сауронцев, Конклав Рептар, Конклав Сауран, Конклав Рапторов, Конклав Тиранна
_race_plural_dativs               | Сауронцам, Рептарам, Саурянинам, Рапторам, Тираннам
_race_plural_tvor                 | Сауронцами, Рептарами, Саурянинами, Рапторами, Тираннами
_race_plural_rod                  | Сауронцев, Рептар, Саурянин, Раптор, Тиранн
_race_adj                         | Сауронской, Рептаровой, Сауряновой, Рапторовой, Тиранновой
_race_adj_plural                  | Сауронские, Рептаровские, Саурянинские, Рапторовские, Тиранновые
_race_adj_acc                     | Сауронскую, Рептаровскую, Сауряниновую, Рапторовскую, Тиранную
_race_adj_rod                     | Сауронского, Рептарового, Сауряниного, Рапторового, Тиранновского 

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Советник Сауронцев
MAIN_ADVISOR_BUTTON_OK            | Подтвердить
