// race-specific variables (must start with _)
_empire                           | Impérium Bulrati, Impérium Medveďan, Impérium Ursinat, Impérium Tlabkan, Impérium Grizliat
_empire_lowercase                 | Impérium Bulrati, Impérium Medveďan, Impérium Ursinat, Impérium Tlabkan, Impérium Grizliat

_race                             | Bulrat, Medveďan, Ursinat, Tlabkan, Grizliat
_race_plural                      | Bulrati,  Medveďani, Ursinati, Tlabkani, Grizliati
_race_akuzativ                    | Bulratov, Medveďanov, Ursinatov, Tlabkanov, Grizliatov
_race_dativ                       | Bulratom, Medveďanom, Ursinatom, Tlabkanom, Grizliatom
_race_instrumental	              | Bulratmi, Medveďanmi, Ursinatmi, Tlabkanmi, Grizliatanmi
_race_adjective                   | Bulratská, Medveďanská, Ursinatská, Tlabkanská, Grizliatská
_race_adjective_akuzativ          | bulratského, medveďanského, ursinatského, tlabkanského, grizliatského 
_race_adjective_instrumental      | bulratskými, medveďanskými, ursinatskými, tlabkanskými, grizliatskými

_title                            | Veľký hierarcha
_nameTitle                        | Veľký hierarcha


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE | Bulratský radca
MAIN_ADVISOR_BUTTON_OK | OK
MAIN_ADVISOR_SCOUT | Majstre, pripravili sme prieskumníkov aj koloniálnu loď na odlet. Na váš príkaz začneme skúmať a kolonizovať neďalekú sústavu.
MAIN_ADVISOR_TRANSPORT | Svet %1 úspešne pridaný k našej ríši! Prikážte a my okamžite vyšleme transporty!
MAIN_ADVISOR_DIPLOMACY | Cudzia rasa nadviazala kontakt s naším impériom, majstre. Rozhodnutie, či ich budeme považovať za priateľov alebo nepriateľov, je ponechané výlučne na vašom uvážení.
MAIN_ADVISOR_SHIP_ENGINE | Naši vedci pokračujú v posúvaní hraníc toho, čo je možné.  Tentoraz zlepšili rýchlosť našich motorov. Čakajú na vaše rozhodnutie o zapracovanie do návrhov lodí.
MAIN_ADVISOR_RALLY_POINTS | Čaká nás veľkolepá bitka! Nasmerujte naše flotily na zhromaždiská a vyrazme do boja!
MAIN_ADVISOR_MISSILE_BASES | Majster! Kolónie čakajú na váš príkaz, aby začali stavať raketové základne, ktoré pomôžu pri obrane pred nepriateľským útokom.
MAIN_ADVISOR_SHIP_WEAPON | Naši vedci vymysleli nové hrôzostrašné zbrane! Preskúmajte majstre návrhy našich lodí vo chvíli voľna a rozhodnite sa akou smrťou majú zahynúť naši nepriatelia.
MAIN_ADVISOR_COUNCIL | Majstre, čoskoro sa zídu prvýkrát zástupcovia Galaktickej rady. Naši diplomati sa budú riadiť vašimi pokynmi, aby zabezpečili, že rozhodnutia rady budú v súlade s vašou vôľou. 
MAIN_ADVISOR_REBELLION | Zdá sa, že ľudia zo systému %1 sa vám rozhodli otvorene vzdorovať, majstre. Je načase pripomenúť im, prečo práve vy ste vyvolený viesť impérium!
MAIN_ADVISOR_RESIST_COUNCIL | Na tróne galaxie môžte sedieť iba ty! Naša túžba po krvi neustane pokým nezaujmete svoje právoplatné miesto, Majster!
