// race-specific variables (must start with _)
_empire                           | Klan Mrršan, Klan Prršan, Klan Mňaušan, Klan Pazúraň, Klan Hisšan
_empire_lowercase				| Klan Mrršan, Klan Prršan, Klan Mňaušan, Klan Pazúraň, Klan Hisšan

_race                             | Mrršan, Prršan, Mňaušan, Pazúraň, Hisšan
_race_plural                      | Mrršani, Prršani, Mňaušani, Pazúrani, Hisšani
_race_akuzativ					  |	Mrršanov, Prršanov, Mňaušanov, Pazúranov, Hisšanov
_race_dativ  					  | Mrršanom, Prršanom, Mňaušanom, Pazúranom, Hisšanom
_race_instrumental				  |	Mrršanmi, Prršanmi, Mňaušanmi, Pazúranmi, Hisšanmi
_race_adjective					  |	Mrršanská, Prršanská, Mňaušanská, Pazúranská, Hisšanská
_race_adjective_akuzativ		  |	mrršanského, prršanského, mňaušanského, pazúranského, hisšanského
_race_adjective_instrumental	  | mrršanskými, prršanskými, mňaušanskými, pazúranskými, hisšanskými



_title                            | Chán
_nameTitle                        | Chán

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Mrršanský poradca
MAIN_ADVISOR_BUTTON_OK            | OK
MAIN_ADVISOR_SCOUT | Ah-ha! Naša prvá flotila je pripravená! Použijme ju na nájdenie sveta s nepriateľmi, ktorí majú poklady. Poklady, ktoré si môžme vziať.
MAIN_ADVISOR_TRANSPORT | Obsadili sme nové územie v systéme %1. Čím viac sa nás prepraví tam prepraví, tým rýchlejšie pozberáme všetku korisť.
MAIN_ADVISOR_DIPLOMACY | Nadviazali sme kontakt s novou mimozemskou rasou! Myslíš, že sa ukážu ako silní nepriatelia, alebo budú ich poklady ľahkou korisťou?
MAIN_ADVISOR_SHIP_ENGINE | Našli sme spôsob, ako vylepšiť naše motory a urobiť naše lode ešte rýchlejšie! Ak ich začleníme do konštrukcie našich lodí, naše nájazdy na nepriateľské svety budú ešte efektívnejšie!
MAIN_ADVISOR_RALLY_POINTS | Chán! Vojna je pred nami! Chanáty naplnia svoj sľub spojiť sa s tebou, preto im nastav zhromaždisko a prikáž im, kam majú poslať svoje flotily!
MAIN_ADVISOR_MISSILE_BASES | Okrajové svety pod našou kontrolou sú zraniteľné voči nepriateľskému útoku! Postavme tam raketové základne, aby nepadli do rúk nepriateľa.
MAIN_ADVISOR_SHIP_WEAPON | Podarilo sa nám vyvinúť nové silné zbrane, ktoré môžeme používať na našich lodiach. Tie určite spôsobia rozruch medzi silami našich nepriateľov, akonáhle ich zaradíme do konštrukcie našich lodí.
MAIN_ADVISOR_COUNCIL | Čoskoro nás čaká stretnutie národov, ale hovorí sa, že je to kvôli diplomacii namiesto vojny. Nechápem k čomu to má byť dobré? Napriek tomu by sme sa mali zúčastniť tejto „Galaktickej rady.“ Keď už pre nič iné, tak si tam vyhliadneme našu daľšiu obeť.
MAIN_ADVISOR_REBELLION | Nie je ti dobre, Chán? Systém %1 zachvátilo povstanie a ty si ešte nevydal rozkaz na jeho krvavé potlačenie.
MAIN_ADVISOR_RESIST_COUNCIL | Mysleli si, že sa len tak zložíme a necháme ich, aby si jednoducho nastolili nad galaxiou zbabelý mier? Čas rozpútať nájazdy, Chán: naši ľudia sa už nevedia dočkať nejakej poriadnej koristi! 
MAIN_ADVISOR_COUNCIL_RESISTED | Títo hlúpi rebeli odmietajú našu vládu! Ukážeme im v praxi naše motto: Silní berú, slabí dávajú! 

