

//
// Armor techs
// 
ARMOR_0_NAME     | Titánový pancier
ARMOR_0_ITEM     | Titán
ARMOR_0_BRIEF    | %1 bodov
ARMOR_0_DETAIL   | Základné opancierovanie. Pancier vesmírnej lode i pozemných jednotiek je bez bonusu.

ARMOR_1_NAME     | Duralový pancier
ARMOR_1_ITEM     | Dural
ARMOR_1_BRIEF    | %1 bodov
ARMOR_1_DETAIL   | Zvyšuje množstvo zásahových bodov panciera lode a transportov o 50%. Osobná zbroj pridáva 5 bodov v boji na zemi.

ARMOR_2_NAME     | Zortriový pancier
ARMOR_2_ITEM     | Zortrium
ARMOR_2_BRIEF    | %1 bodov
ARMOR_2_DETAIL   | Zvyšuje množstvo zásahových bodov panciera lode a transportov o 100%. Osobná zbroj pridáva 10 bodov v boji na zemi.

ARMOR_3_NAME     | Andriový pancier
ARMOR_3_ITEM     | Andrium
ARMOR_3_BRIEF    | %1 bodov
ARMOR_3_DETAIL   | Zvyšuje množstvo zásahových bodov panciera lode a transportov o 150%. Osobná zbroj pridáva 15 bodov v boji na zemi.

ARMOR_4_NAME     | Tritániový pancier
ARMOR_4_ITEM     | Tritánium
ARMOR_4_BRIEF    | %1 bodov
ARMOR_4_DETAIL   | Zvyšuje množstvo zásahových bodov panciera lode a transportov o 200%. Osobná zbroj pridáva 20 bodov v boji na zemi.

ARMOR_5_NAME     | Adamantiový pancier
ARMOR_5_ITEM     | Adamantium
ARMOR_5_BRIEF    | %1 bodov
ARMOR_5_DETAIL   | Zvyšuje množstvo zásahových bodov panciera lode a transportov o 250%. Osobná zbroj pridáva 25 bodov v boji na zemi.

ARMOR_6_NAME     | Neutrónový pancier
ARMOR_6_ITEM     | Neutrónium
ARMOR_6_BRIEF    | %1 bodov
ARMOR_6_DETAIL   | Zvyšuje množstvo zásahových bodov panciera lode a transportov o 300%. Osobná zbroj pridáva 30 bodov v boji na zemi.


//
// Atmospheric Terraforming techs
// 
ATMOSPHERE_0_NAME      | Teraformovanie atmosféry
ATMOSPHERE_0_DETAIL    | Premení nedýchateľné prostredie na štandardné za cenu 150 BC.

//
// Automated Repair techs
// 
AUTOREPAIR_0_NAME      | Automatizovaný systém opráv
AUTOREPAIR_0_BRIEF     | Opraví 15% poškodenia lode za ťah
AUTOREPAIR_0_DETAIL    | Nezničené lode môžu opraviť až 15% svojich celkových bodov trupu na konci ťahu.

AUTOREPAIR_1_NAME      | Pokročilé riadenie škôd
AUTOREPAIR_1_BRIEF     | Opraví 30% poškodenia lode za ťah
AUTOREPAIR_1_DETAIL    | Nezničené lode môžu opraviť až 30% svojich celkových bodov trupu na konci ťahu.


//
// Battle Computer techs
// 
// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | 
COMPUTER_0_ITEM    |  
COMPUTER_0_BRIEF   | Úroveň útoku 0
COMPUTER_0_DETAIL  |

COMPUTER_1_NAME    | Bojový počítač verzia I
COMPUTER_1_ITEM    | Verzia I
COMPUTER_1_BRIEF   | Úroveň útoku I
COMPUTER_1_DETAIL  | Zvyšuje presnosť zbraní na úroveň 1.

COMPUTER_2_NAME    | Bojový počítač verzia II
COMPUTER_2_ITEM    | Verzia II
COMPUTER_2_BRIEF   | Úroveň útoku II
COMPUTER_2_DETAIL  | Zvyšuje presnosť zbraní na úroveň 2.

COMPUTER_3_NAME    | Bojový počítač verzia III
COMPUTER_3_ITEM    | Verzia III
COMPUTER_3_BRIEF   | Úroveň útoku III
COMPUTER_3_DETAIL  | Zvyšuje presnosť zbraní na úroveň 3.

COMPUTER_4_NAME    | Bojový počítač verzia IV
COMPUTER_4_ITEM    | Verzia IV
COMPUTER_4_BRIEF   | Úroveň útoku IV
COMPUTER_4_DETAIL  | Zvyšuje presnosť zbraní na úroveň 4.

COMPUTER_5_NAME    | Bojový počítač verzia V
COMPUTER_5_ITEM    | Verzia V
COMPUTER_5_BRIEF   | Úroveň útoku V
COMPUTER_5_DETAIL  | Zvyšuje presnosť zbraní na úroveň 5.

COMPUTER_6_NAME    | Bojový počítač verzia VI
COMPUTER_6_ITEM    | Verzia VI
COMPUTER_6_BRIEF   | Úroveň útoku VI
COMPUTER_6_DETAIL  | Zvyšuje presnosť zbraní na úroveň 6.

COMPUTER_7_NAME    | Bojový počítač verzia VII
COMPUTER_7_ITEM    | Verzia VII
COMPUTER_7_BRIEF   | Úroveň útoku VII
COMPUTER_7_DETAIL  | Zvyšuje presnosť zbraní na úroveň 7.

COMPUTER_8_NAME    | Bojový počítač verzia VIII
COMPUTER_8_ITEM    | Verzia VIII
COMPUTER_8_BRIEF   | Úroveň útoku VIII
COMPUTER_8_DETAIL  | Zvyšuje presnosť zbraní na úroveň 8.

COMPUTER_9_NAME    | Bojový počítač verzia IX
COMPUTER_9_ITEM    | Verzia IX
COMPUTER_9_BRIEF   | Úroveň útoku IX
COMPUTER_9_DETAIL  | Zvyšuje presnosť zbraní na úroveň 9.

COMPUTER_10_NAME   | Bojový počítač verzia X
COMPUTER_10_ITEM   | Verzia X
COMPUTER_10_BRIEF  | Úroveň útoku X
COMPUTER_10_DETAIL | Zvyšuje presnosť zbraní na úroveň 10.

COMPUTER_11_NAME   | Bojový počítač verzia XI
COMPUTER_11_ITEM   | Verzia XI
COMPUTER_11_BRIEF  | Úroveň útoku XI
COMPUTER_11_DETAIL | Zvyšuje presnosť zbraní na úroveň 11.


//
// Battle Suit techs for ground combat
// 
// this is for default, no-bonus armor that player starts with
BATTLESUIT_0_NAME    | Brnenie
BATTLESUIT_0_DETAIL  |

BATTLESUIT_1_NAME    | Bojové kombinézy
BATTLESUIT_1_DETAIL  | Osobná zbroj, ktoré nielen chráni, ale aj zvyšuje silu. Pridáva 10 bodov k pozemnému útoku.

BATTLESUIT_2_NAME    | Obrnený exoskelet
