//
// Dialogue that is not race-specific
//

DIPLO_TECH_REQUEST_MENU_01   | Koja tehnologija vas zanima?
DIPLO_TECH_COUNTER_MENU_01   | Šta biste menjali za nju?
DIPLO_TRADE_MENU_01          | Predlažete trgovinski ugovor od:
DIPLO_TREATY_MENU_01         | Šta želite da uradite?
DIPLO_THREATEN_MENU_01       | Čime pretite?
DIPLO_DECLARE_WAR_MENU_01    | Da li ste sigurni da želite da započnete rat?
DIPLO_JOINT_WAR_MENU_01      | Kome bi trebalo da objavimo rat?
DIPLO_BREAK_ALLIANCE_MENU_01 | Koji savez želite da prekinete?
DIPLO_OFFER_AID_MENU_01      | Šta želite da poklonite?
DIPLO_OFFER_TECH_MENU_01     | Šta želite da poklonite?

DECLINE_OFFER_01           | [my_nameTitle] [my_name] odbija.
DECLINE_OFFER_02           | [my_raceSka] rasa je razmotrila vašu ponudu i odbili su je.
DECLINE_OFFER_03           | S poštovanjem odbijamo vašu ponudu.
DECLINE_OFFER_04           | Trenutno nismo zainteresovani.
DECLINE_OFFER_05           | [my_race] rasa ne smatraju da je vaša ponuda fer.
DECLINE_OFFER_06           | Trenutno ne bi bilo u našem najboljem interesu da prihvatimo vašu ponudu.
DECLINE_OFFER_07           | Možda se nas pomešali sa nekim lakovernim budalama. Odbijamo vašu ponudu.
DECLINE_OFFER_08           | Vaša ponuda nam ne deluje da je fer.
DECLINE_OFFER_09           | Nažalost moramo da odbijemo.

DECLINE_ENEMY_ALLY_01      | [my_race_plural] nikada neće sarađivati sa saveznicima omraženih [other_raceIja].
DECLINE_ALREADY_ALLIED_01  | [my_race_plural] i naši saveznici ne mogu da uzmu u obzir vaš zahtev sve dok ste u savezu sa drugim imperijama.
DECLINE_NO_WAR_ON_ALLY_01  | Nećemo objaviti rat našim saveznicima.
DECLINE_PEACE_TREATY_01    | Nećemo da prekršimo mirovni sporazum sa [other_race] rasom.

DECLINE_ANNOYED_01         | [your_race_plural] su stvorenja koja laju a ne ujedaju. Dosta nam je vašeg razglabanja.
DECLINE_ANNOYED_01         | [your_nameTitle] [your_name], oprobavate naše strpljenje. Možda bi bilo bolje da nastavimo razgovor nekom drugom prilikom.
DECLINE_ANNOYED_01         | [my_nameTitle] [my_name] je čuo dovoljno. Pričaćemo nekom drugom prilikom. 
DECLINE_ANNOYED_02         | Umorni smo od diplomatskih pregovora. Možemo da nastavim diskusiju drugom prilikom.
DECLINE_ANNOYED_02         | Ovi razgovori ne vode ničemu. Moramo se povući.
DECLINE_ANNOYED_02         | Idemo sada.
DECLINE_ANNOYED_03         | Mnogo se izvinjavamo, [your_nameTitle] [your_name], ali druge dužnosti nas zovu.
DECLINE_ANNOYED_03         | Izvinite, naše vreme je isteklo.
DECLINE_ANNOYED_03         | Imamo malo vremena i puno toga da odradimo. Možda možemo da razgovaramo neki drugi put.


DECLINE_OATHBREAKER_01     | Trenutno ne želimo da sklopimo sporazum jer ste u prošlosti kršili sporazume.
DECLINE_OATHBREAKER_01     | Niste ispoštovali svoje prošle dogovore. Sada ne vidimo razlog da vam verujemo.
DECLINE_OATHBREAKER_01     | Zašto bismo vam verovali sada, kad ste prekršili toliko prošlih sporazuma?
DECLINE_OATHBREAKER_01     | Ne vidimo razlog da se dogovaramo sa nekim ko nije ispunio prošla obećanja.
DECLINE_OATHBREAKER_01     | Nećemo se sporazumevati sa tobom, [your_raceVoc] jer nemate čast.

DECLINE_ESPIONAGE_01       | Vi ste lopovi, kradete plodove našeg istraživanja. Odbijamo vaš zahtev.
DECLINE_ESPIONAGE_01       | Naša tehnologija je za [my_race] rasu. Nemate prava da je kradete. Razgovaraćemo kad prestanete da kradete.
DECLINE_ESPIONAGE_01       | Zašto bismo vam išta dali? Vaši špijuni već kradu sve što vam treba!
DECLINE_ESPIONAGE_01       | Kako možete očekivati da prihvatimo kada vaši špijuni kradu našu tehnologiju? 
DECLINE_ESPIONAGE_01       | Uklonite špijune, pa ćemo razgovarati.

DECLINE_SABOTAGE_01        | Nismo zaboravili vaš poslednji incident sa sabotažom. Dok se ne pokažete da ste vredni našeg poverenja, nećemo imati posla s vama. 
DECLINE_SABOTAGE_01        | Naš narod je propatio zbog vaše sabotaže. Nećemo imati nikakvog posla sa vama dok to ne prestane.
DECLINE_SABOTAGE_01        | Šta! Očekujete da pregovaramo dok sabotirate naš [target]?
DECLINE_SABOTAGE_01        | Vi uništavate [target]. Zašto bi smo pregovarali sa vama?
DECLINE_SABOTAGE_01        | Kada prestanete da sabotirate naš [target], možemo da razmislimo o ovome.

DECLINE_BUILDUP_01         | Nećemo da razgovaramo o ovome dok gomilate brodove blizu naših granica.
DECLINE_BUILDUP_01         | Uklonite svoje brodove duž naših granica i mi ćemo razmisliti da prihvatimo. Do tada nas ne zanima.
DECLINE_BUILDUP_01         | Vaši brodovi na našim granicama nam ne predstavljaju pretnju. Ali odbijamo da pregovaramo dok su tu. 
DECLINE_BUILDUP_01         | Ako želite da razgovarate sa [my_empire], onda pošaljite vaše brodove da prete drugima, ne nama.

DECLINE_ENCROACH_01        | Faše flote uznemiravaju [my_raceSki] prostor. Sklonite ih, pa ćemo tada razgovarati.

