// race-specific variables (must start with _)
_empire                           | Bulrati Imperija, Bearati Imperija, Ursinati Imperija, Paurati Imperija, Grizliati Imperija
_empireStvo                       | Bulrati Imperiju, Bearati Imperiju, Ursinati Imperiju, Paurati Imperiju, Grizliati Imperiju
_empireStva                       | Bulrati Imperije, Bearati Imperije, Ursinati Imperije, Paurati Imperije, Grizliati Imperije
_empireStvu                       | Bulrati Imperiji, Bearati Imperiji, Ursinati Imperiji, Paurati Imperiji, Grizliati Imperiji
_empireStvom                      | Bulrati Imperijom, Bearati Imperijom, Ursinati Imperijom, Paurati Imperijom, Grizliati Imperijom
_empireSkog                       | Bulrati Imperijalnog, Bearati Imperijalnog, Ursinati Imperijalnog, Paurati Imperijalnog, Grizliati Imperijalnog
_empireSki                        | Bulrati Imperijalni, Bearati Imperijalni, Ursinati Imperijalni, Paurati Imperijalni, Grizliati Imperijalni
_empireSku                        | Bulrati Imperijalnu, Bearati Imperijalnu, Ursinati Imperijalnu, Paurati Imperijalnu, Grizliati Imperijalnu
_empireSka                        | Bulrati Imperijalna, Bearati Imperijalna, Ursinati Imperijalna, Paurati Imperijalna, Grizliati Imperijalna
_empireSke                        | Bulrati Imperijalne, Bearati Imperijalne, Ursinati Imperijalne, Paurati Imperijalne, Grizliati Imperijalne
_race                             | Bulrati, Bearati, Ursinati, Paurati, Grizliati
_raceSkog                         | Bulratijskog, Bearatijskog, Ursinatijskog, Pauratijskog, Grizliatijskog
_raceSki                          | Bulratijski, Bearatijski, Ursinatijski, Pauratijski, Grizliatijski
_raceSkih                         | Bulratijskih, Bearatijskih, Ursinatijskih, Pauratijskih, Grizliatijskih
_raceSku                          | Bulratijsku, Bearatijsku, Ursinatijsku, Pauratijsku, Grizliatijsku
_raceSka	                      | Bulratijska, Bearatijska, Ursinatijska, Pauratijska, Grizliatijska
_raceSke                          | Bulratijske, Bearatijske, Ursinatijske, Pauratijske, Grizliatijske
_raceSkom                         | Bulratijskom, Bearatijskom, Ursinatijskom, Pauratijskom, Grizliatijskom
_raceSkoj                         | Bulratiskoj, Bearatiskoj, Ursinatiskoj, Pauratiskoj, Grizliatiskoj
_raceIja                          | Bulratija, Bearatija, Ursinatija, Pauratija, Grizliatija
_race_plural                      | Bulrati, Bearati, Ursinati, Paurati, Grizliati
_raceVoc	                      | Bulrati, Bearati, Ursinati, Paurati, Grizliati
_title                            | Vrhovni Arhijerej
_titleV                           | Vrhovni Arhijereje
_titleA                           | Vrhovnog Arhijereja
_titleI                           | Vrhovnim Arhijerejom
_nameTitle                        | Vrhovni Arhijerej
_nameTitleV                       | Vrhovni Arhijereje
_nameTitleA                       | Vrhovnog Arhijereja
_nameTitleI                       | Vrhovnim Arhijerejom


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Bulrati Savetnik
MAIN_ADVISOR_BUTTON_OK            | Otpusti
MAIN_ADVISOR_SCOUT                | Gospodaru, pripremili smo i izviđače i brod kolonista za polazak. Započećemo sa istraživanjem i kolonizacijom obližnjeg sistema po vašoj komandi.
MAIN_ADVISOR_TRANSPORT            | Novi svet %1 je dodat našoj imperiji! Dajte naređenje i mi ćemo smesta započeti sa slanjem transportera!
MAIN_ADVISOR_DIPLOMACY            | Tuđinska rasa je uspostavila kontakt sa našom imperijom, Gospodaru. Da li ćemo se prema njima odnositi kao prema prijateljima ili neprijateljima, je isključivo vaša odluka. 
MAIN_ADVISOR_SHIP_ENGINE          | Naši naučnici nastavljaju da pomeraju granice tehnologije, ovoga puta poboljšavajući brzinu naših motora. Očekujemo vašu odluku o unapređenju modela naših brodova.
