// race-specific variables (must start with _)
_empire                           | Sajlon Republika, Mentalon Republika, Sajkon Republika, Serebron Republika, Neuralon Republika
_empireStvo                       | Sajlonsku Republiku, Mentalonsku Republiku, Sajkonsku Republiku, Serebronsku Republiku, Neuralonsku Republiku
_empireStva                       | Sajlonske Republike, Mentalonske Republike, Sajkonske Republike, Serebronske Republike, Neuralonske Republike
_empireStvu                       | Sajlonskoj Republici, Mentalonskoj Republici, Sajkonskoj Republici, Serebronskoj Republici, Neuralonskoj Republici
_empireStvom                      | Sajlonskom Republikom, Mentalonskom Republikom, Sajkonskom Republikom, Serebronskom Republikom, Neuralonskom Republikom
_empireSkog                       | Sajlonskog Republičkog, Mentalonskog Republičkog, Sajkonskog Republičkog, Serebronskog Republičkog, Neuralonskog Republičkog
_empireSki                        | Sajlonski Republikanski, Mentalonski Republikanski, Sajkonski Republikanski, Serebronski Republikanski, Neuralonski Republikanski
_empireSku                        | Sajlonsku Republikansku, Mentalonsku Republikansku, Sajkonsku Republikansku, Serebronsku Republikansku, Neuralonsku Republikansku
_empireSka                        | Sajlonska Republikanska, Mentalonska Republikanska, Sajkonska Republikanska, Serebronska Republikanska, Neuralonska Republikanska
_empireSke                        | Sajlonske Republikanske, Mentalonske Republikanske, Sajkonske Republikanske, Serebronske Republikanske, Neuralonske Republikanske
_race                             | Sajlon, Mentalon, Sajkon, Serebron, Neuralon
_raceSkog                         | Sajlonskog, Mentalonskog, Sajkonskog, Serebronskog, Neuralonskog
_raceSki                          | Sajlonski, Mentalonski, Sajkonski, Serebronski, Neuralonski
_raceSkih                         | Sajlonskih, Mentalonskih, Sajkonskih, Serebronskih, Neuralonskih
_raceSku                          | Sajlonsku, Mentalonsku, Sajkonsku, Serebronsku, Neuralonsku
_raceSka                          | Sajlonska, Mentalonska, Sajkonska, Serebronska, Neuralonska
_raceSke                          | Sajlonske, Mentalonske, Sajkonske, Serebronske, Neuralonske
_raceSkom                         | Sajlonskom, Mentalonskom, Sajkonskom, Serebronskom, Neuralonskom
_raceSkoj                         | Sajlonskoj, Mentalonskoj, Sajkonskoj, Serebronskoj, Neuralonskoj
_raceIja                          | Sajlona, Mentalona, Sajkona, Serebrona, Neuralona
_race_plural                      | Sajloni, Mentaloni, Sajkoni, Serebroni, Neuraloni
_raceVoc                          | Sajlone, Mentalone, Sajkone, Serebrone, Neuralone
_title                            | Vrhovni Odbornik
_titleV                           | Vrhovni Odborniče
_titleA                           | Vrhovnog Odbornika
_titleI                           | Vrhovnim Odbornikom
_nameTitle                        | Vrhovni Odbornik
_nameTitleV                       | Vrhovni Odborniče
_nameTitleA                       | Vrhovnog Odbornika
_nameTitleI                       | Vrhovnim Odbornikom


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Sajlonski Savetnik
MAIN_ADVISOR_BUTTON_OK            | Otpusti
MAIN_ADVISOR_SCOUT                | Vrhovni Odborniče, naša istraživačka flota je spremna. Da li smatrate da je najrazumnije da uskoro pronađemo novi svet i tamo napravimo novo naselje? 
MAIN_ADVISOR_TRANSPORT            | Osnovana je naša nova kolonija. Savet sada raspravlja o tome koliko bi trebalo da naših ljudi tamo pošaljemo transporterima, ako bismo uopšte trebali poslati bilo koga.
MAIN_ADVISOR_DIPLOMACY            | Iz svemirskih dubina pojavila se potpuno nova civilizacija! Molimo se da preferiraju mirnu koegzistenciju nasuprot nasilju.
MAIN_ADVISOR_SHIP_ENGINE          | Naši naučnici su neprekidno napredovali u tehnologiji naših brodskih motora. Predstavnici su sada pred Većem i nude sugestije kako ih najbolje iskoristiti.
MAIN_ADVISOR_RALLY_POINTS         | Nažalost, Republika se sada nalazi usred rata. Veće mora da odluči o tački okupljanja za naše flote kako bi smo osigurali bezbednost naših kolonista.
MAIN_ADVISOR_MISSILE_BASES        | Umesto da gomilamo ratne flote, možemo da izgradimo odbrambene raketne baze na našim kolonijama kako bismo ih zaštitili od invazije. Veće želi da čuje vaše misli o kojim bi svetovima najviše koristilo prisustvo ovih baza.
MAIN_ADVISOR_SHIP_WEAPON          | Veće je u žestokoj raspravi o najnovijem projektiranju brodskog naoružanja. Neki žele da oružje bude uništeno odmah, ali možda ćemo želeti da promenimo modele brodova kao čisto proaktivnu meru.
MAIN_ADVISOR_COUNCIL              | Uskoro će biti radostan susret najvećih i najmoćnijih naroda galaksije. Trebali bi da prisustvujemo ovom Galaktičkom Savetu i poslušamo naše mudre nebeske komšije.
MAIN_ADVISOR_REBELLION            | Da stanovništvo %1 sistema odluči da ovako rešava neslaganje je krajnje zbunjujuće. Veće vam je dalo slobodno vreme da biste ovo što pre rešili, pre nego što problem stigne do njih.
MAIN_ADVISOR_RESIST_COUNCIL       | Muči me što svi naši napori su nas doveli do ovog rata, ali ako je jedina alternativa potčinjavanje ovom ratnohuškačkom savetu, ne vidim drugi izbor za naš narod!
