// race-specific variables (must start with _)
_empire                           | Sakranska Konklava, Reptaranska Konlava, Sauranska Konlava, Raptoranska Konlava, Tajranska Konklava
_empireStvo                       | Sakransku Konklavu, Reptaransku Konlavu, Sauransku Konlavu, Raptoransku Konlavu, Tajransku Konklavu
_empireStva                       | Sakranske Konklave, Reptaranske Konlave, Sauranske Konlave, Raptoranske Konlave, Tajranske Konklave
_empireStvu                       | Sakranskoj Konklavi, Reptaranskoj Konlavi, Sauranskoj Konlavi, Raptoranskoj Konlavi, Tajranskoj Konklavi
_empireStvom                      | Sakranskom Konklavom, Reptaranskom Konklavom, Sauranskom Konklavom, Raptoranskom Konklavom, Tajranskom Konklavom
_empireSkog                       | Sakranskog Konklavskog, Reptaranskog Konlavskog, Sauranskog Konlavskog, Raptoranskog Konlavskog, Tajranskog Konklavskog
_empireSki                        | Sakranski Konklavski, Reptaranski Konlavski, Sauranski Konlavaski, Raptoranski Konlavaski, Tajranski Konklavski
_empireSku                        | Sakransku Konklavsku, Reptaransku Konlavasku, Sauransku Konlavsku, Raptoransku Konlavsku, Tajransku Konklavsku
_empireSka                        | Sakranska Konklavna, Reptaranska Konlavna, Sauranska Konlavna, Raptoranska Konlavna, Tajranska Konklavna
_empireSke                        | Sakranske Konklavne, Reptaranske Konlavne, Sauranske Konlavne, Raptoranske Konlavne, Tajranske Konklavne
_race                             | Sakra, Reptara, Saura, Raptora, Tajrani
_raceSkog                         | Sakranskog, Reptaranskog, Sauranskog, Raptoranskog, Tajrananskog
_raceSki                          | Sakranski, Reptaranski, Sauranski, Raptoranski, Tajranski
_raceSkih                         | Sakranskih, Reptaranskih, Sauranskih, Raptoranskih, Tajranskih
_raceSku                          | Sakransku, Reptaransku, Sauransku, Raptoransku, Tajransku
_raceSka                          | Sakranska, Reptaranska, Sauranska, Raptoranska, Tajranska
_raceSke                          | Sakranske, Reptaranske, Sauranske, Raptoranske, Tajranske
_raceSkom                         | Sakranskom, Reptaranskom, Sauranskom, Raptoranskom, Tajranskom
_raceSkoj                         | Sakranskoj, Reptaranskoj, Sauranskoj, Raptoranskoj, Tajranskoj
_raceIja                          | Sakra, Reptara, Saura, Raptora, Tajrana
_race_plural                      | Sakre, Reptare, Saure, Raptore, Tajrani
_raceVoc                          | Sakrane, Reptarane, Saurane, Raptorane, Tajrane
_title                            | Primarni Magistar
_titleV                           | Primarni Magistre
_titleA                           | Primarnog Magistra
_titleI                           | Primarnim Magistrom
_nameTitle                        | Primarni Magistar
_nameTitleV                       | Primarni Magistre
_nameTitleA                       | Primarnog Magistra
_nameTitleI                       | Primarnim Magistrom

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Sakranski Savetnik
MAIN_ADVISOR_BUTTON_OK            | Otpusti
MAIN_ADVISOR_SCOUT                | Napokon, možemo početi da usavršavamo okruženja svetova izvan našeg. Primarni Magistre, pošaljite naše izviđače i brod kolonista što pre na obližnju planetu!
MAIN_ADVISOR_TRANSPORT            | Osnovali smo svoju prvu koloniju na potpuno novom svetu. Kada pošaljete transportere, možemo još brže da ojačamo svoje brojeve tamo i da rešimo misterije %1 sveta!
MAIN_ADVISOR_DIPLOMACY            | Još jedan narod sposoban za svemirska putovanja je uspostavio kontakt sa Konklavom. Otvorimo dijalog sa njima i osmotrimo kako se ophode prema sopstvenim svetovima. Tada ćemo znati kako se najbolje nositi sa njima.
MAIN_ADVISOR_SHIP_ENGINE          | Isprojektovali smo  mnogo efikasnije brodske motore od onih koje trenutno koristimo. Hajde da razvijemo nove modele brodova čim budemo u mogućnosti.
MAIN_ADVISOR_RALLY_POINTS         | Izgleda da nas naše komšije smatraju ... nezgodnima. Tačke okupljanja možemo koristiti za usmeravanje naših brodova na jedno mesto kako bismo sprečili bilo kakvu štetu na našim lepim novim svetovima. 
MAIN_ADVISOR_MISSILE_BASES        | Boli me čak i da razmišljam da na takav način oskvrnim naše svetove, ali možemo da ostavimo prostor za odbrambene raketne baze da bismo ih zaštitili od još gorih oštećenja.
MAIN_ADVISOR_SHIP_WEAPON          | Došlo je do otkrića za moćnije načine na koje možemo da oštetimo neprijateljske brodova. Definitivno bismo trebali da primenimo ovu tehnologiju na svim novim brodovima koje proizvedemo u budućnosti.
MAIN_ADVISOR_COUNCIL              | Dogodiće se sastanak pod nazivom „Galaktički Savet“ kojem će verovatno prisustvovati sve napredne civilizacije. Ovo bi mogla biti prilika za nas da vidimo koja bi se druge imperije usprotivile... širenju Konklave.
MAIN_ADVISOR_REBELLION            | Magistre! desila se pobuna na %1 sistemu. Ne znam koji je uzrok, ali znam šta bi trebalo da bude rešenje!
MAIN_ADVISOR_RESIST_COUNCIL       | Nema šanse da ovo prihvatimo tek tako, zar ne? Sada ćemo se boriti protiv saveta, zar ne?! Ako se budemo borili, šta će biti sa svim tim jadnim planetama!
MAIN_ADVISOR_COUNCIL_RESISTED     | Ti odvratni pobunjenici! Jedva smo tolerisali njihovo postojanje, a sada se bune? Dajte nam naređenja da ih istrebimo: ima mnogo njihovih svetova koji mogu da pripadnu Konklavi!
 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Sudbina svih svetova je zapečaćena...#Nekada ste bili nada bezbrojnih planeta koje su krasile galaksiju. Polazeći iz svog matičnog sveta, vaša jedina želja je bila da naučite i usavršite jedinstvena okruženja svakog sveta na koji ste naišli. Kako se vaše znanje povećavalo, tako se povećavao i žar vaših ljudi i jedno vreme se činilo da će se zajednički san svih Sakrana ostvariti. Da nije bilo pohlepe vaših neprijatelja i njihovog širenja svoje teritorije što je više moguće, taj san bi se možda i ostvario.#Vaše kolonije su osvojene sve do poslednje planete: brižna ljubav koju ste poklanjali svojim biomima izgažena je žudnjom za krvlju od strane vaših međuzvezdanih suparnika. Dok vaše poslednje uporište gori, a vaša smrt postaje neizbežnost, vama prolazi pitanje kroz glavu hoće li budale koje su vas savladale naučiti da skladno žive na svetovima koje tako zaslepljujuće uzimaju za sebe, ili ne. Ali odgovor na to pitanje, Primarni Magistre, je verovatno suviše je užasan da bi se o njemu previše razmišljalo...
GAME_OVER_MILITARY_WIN2           | Spas svih svetova je konačno na pomolu!#Pobeda! Pobeda za vaš narod i za sve planete u galaksiji! Od dana kada je Sakranska Konklava buknula iz njihovog sveta u potrazi za novim životnim okruženjima koje bi zaštitila, znali ste da želja vašeg naroda neće biti uskraćena. Vaših suparnici su pogrešili što nisu videli mudrost u davanju prioriteta ka bezbednosti ekoloških sistema ove galaksije, ali su napravili neshvatljivu glupost kada su mislili da je njihova snaga dovoljna da vas spreči da postignete svoj cilj.#Izabrali ste direktan tok akcije, da eliminišete pretnju koju su vaši rivali predstavljali i na taj način sprečili bilo kakav nepotreban bol biosferama koje su one tako drsko uništili za svoje jadne ciljeve! Sada imate beskonačno vremena da popravite štetu koju su prouzrokovali, a da vas niko u tome ne ometa. Vaš narod će teći poput reke kroz ovu galaksiju, svaka planeta pritoka koja čeka da evoluira u miru pod vašom rukom vodiljom. Uživajte u plodovima svog teško stečenog rada! I zauvek uživajte u izazovima koji čekaju Sakkre na putu koji leži pred vama!
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Spas svih svetova uskoro će biti na dohvat ruke...#Iako ovo nije kraj kome ste se najviše nadali, ne možete a da se ne nasmejete dok uživate u svojoj vredno stečenoj pobedi. Znali ste da će u ovoj galaksiji postojati druge rase koje će svoje planete jednostavno posmatrati kao resurse koje treba iskoristiti, ignorišući mudrost vaše filozofije. Vaš narod je bio spreman da se bori za očuvanje svetosti svake planete, koliko god da je mala planeta. Sada su se vaši neprijatelji pretvorili u prah, a vi znate da delikatne ravnoteže svakog ekološkog sistema nikada neće biti podložne hirovima onih koji bi im naudili.#Bilo vam je drago što ste pronašli saveznike koji su čuli vašu poruku i bili spremni da se ophode prema svojim planetama uz novootkrivenim poštovanjem dok su učili ono što ste mogli da ih podučite. Na vaše veliko iznenađenje, čak su se sa vama podigli na oružje, nesumnjivo braneći sopstvene interese, ali su i pomogli vama da odbranite svoje. Sada možete raditi na lečenju štete koju su prouzrokovali brojni i nečasni ratovi. Vremenom se možete nadati samo da ćete ubediti svoje prijatelje da to učine i sa svojim svetovima...
GAME_OVER_COUNCIL_LOSS2           | Sudbina svih svetova je zapečaćena...#Mahinacije vaših suparničkih imperija su vas odvele u propast. Dok ste putovali kroz galaksiju usavršavajući usput ekosisteme planeta, bilo je neizbežno da ćete pronaći svetove koje su drugi već zaposeli i koji će vam ostati van dohvata. Diplomatijom i političkim manevrisanjem sigurno biste mogli da spasite sve ove planetarne životne sredine, iako su ostale u čeljustima tuđinskih sila. Ili ste bar tako mislili.#Sada se Galaktički Savet raspustio i reformisao kao Nova Republika pod vođstvom [leader_empireStva]. Vaš neuspeh da ubedite druge imperije da uvide vašu mudrost nesumnjivo će koštati i vas i svetove koje ste očajnički pokušavali da spasite. Možete se samo nadati da će nove vođe galaksije imati milosti prema vašem narodu. Ne samo zbog njih, već i zbog svih planeta u galaksiji...
