//
// Dialogue that is not race-specific
//

DIPLO_TECH_REQUEST_MENU_01   | Која технологија вас занима?
DIPLO_TECH_COUNTER_MENU_01   | Шта бисте мењали за њу?
DIPLO_TRADE_MENU_01          | Предлажете трговински уговор од:
DIPLO_TREATY_MENU_01         | Шта желите да урадите?
DIPLO_THREATEN_MENU_01       | Чиме претите?
DIPLO_DECLARE_WAR_MENU_01    | Да ли сте сигурни да желите да започнете рат?
DIPLO_JOINT_WAR_MENU_01      | Коме би требало да објавимо рат?
DIPLO_BREAK_ALLIANCE_MENU_01 | Који савез желите да прекинете?
DIPLO_OFFER_AID_MENU_01      | Шта желите да поклоните?
DIPLO_OFFER_TECH_MENU_01     | Шта желите да поклоните?

DECLINE_OFFER_01           | [my_nameTitle] [my_name] одбија.
DECLINE_OFFER_02           | [my_raceSka] раса је размотрила вашу понуду и одбили су је.
DECLINE_OFFER_03           | С поштовањем одбијамо вашу понуду.
DECLINE_OFFER_04           | Тренутно нисмо заинтересовани.
DECLINE_OFFER_05           | [my_race] раса не сматрају да је ваша понуда фер.
DECLINE_OFFER_06           | Тренутно не би било у нашем најбољем интересу да прихватимо вашу понуду.
DECLINE_OFFER_07           | Можда се нас помешали са неким лаковерним будалама. Одбијамо вашу понуду.
DECLINE_OFFER_08           | Ваша понуда нам не делује да је фер.
DECLINE_OFFER_09           | Нажалост морамо да одбијемо.

DECLINE_ENEMY_ALLY_01      | [my_race_plural] никада неће сарађивати са савезницима омражених [other_raceIja].
DECLINE_ALREADY_ALLIED_01  | [my_race_plural] и наши савезници не могу да узму у обзир ваш захтев све док сте у савезу са другим империјама.
DECLINE_NO_WAR_ON_ALLY_01  | Нећемо објавити рат нашим савезницима.
DECLINE_PEACE_TREATY_01    | Нећемо да прекршимо мировни споразум са [other_race] расом.

DECLINE_ANNOYED_01         | [your_race_plural] су створења која лају а не уједају. Доста нам је вашег разглабања.
DECLINE_ANNOYED_01         | [your_nameTitle] [your_name], опробавате наше стрпљење. Можда би било боље да наставимо разговор неком другом приликом.
DECLINE_ANNOYED_01         | [my_nameTitle] [my_name] је чуо довољно. Причаћемо неком другом приликом. 
DECLINE_ANNOYED_02         | Уморни смо од дипломатских преговора. Можемо да наставим дискусију другом приликом.
DECLINE_ANNOYED_02         | Ови разговори не воде ничему. Морамо се повући.
DECLINE_ANNOYED_02         | Идемо сада.
DECLINE_ANNOYED_03         | Много се извињавамо, [your_nameTitle] [your_name], али друге дужности нас зову.
DECLINE_ANNOYED_03         | Извините, наше време је истекло.
DECLINE_ANNOYED_03         | Имамо мало времена и пуно тога да одрадимо. Можда можемо да разговарамо неки други пут.


DECLINE_OATHBREAKER_01     | Тренутно не желимо да склопимо споразум јер сте у прошлости кршили споразуме.
DECLINE_OATHBREAKER_01     | Нисте испоштовали своје прошле договоре. Сада не видимо разлог да вам верујемо.
DECLINE_OATHBREAKER_01     | Зашто бисмо вам веровали сада, кад сте прекршили толико прошлих споразума?
DECLINE_OATHBREAKER_01     | Не видимо разлог да се договарамо са неким ко није испунио прошла обећања.
DECLINE_OATHBREAKER_01     | Нећемо се споразумевати са тобом, [your_raceVoc] јер немате част.

DECLINE_ESPIONAGE_01       | Ви сте лопови, крадете плодове нашег истраживања. Одбијамо ваш захтев.
DECLINE_ESPIONAGE_01       | Наша технологија је за [my_race] расу. Немате права да је крадете. Разговараћемо кад престанете да крадете.
DECLINE_ESPIONAGE_01       | Зашто бисмо вам ишта дали? Ваши шпијуни већ краду све што вам треба!
DECLINE_ESPIONAGE_01       | Како можете очекивати да прихватимо када ваши шпијуни краду нашу технологију? 
DECLINE_ESPIONAGE_01       | Уклоните шпијуне, па ћемо разговарати.

DECLINE_SABOTAGE_01        | Нисмо заборавили ваш последњи инцидент са саботажом. Док се не покажете да сте вредни нашег поверења, нећемо имати посла с вама. 
DECLINE_SABOTAGE_01        | Наш народ је пропатио због ваше саботаже. Нећемо имати никаквог посла са вама док то не престане.
DECLINE_SABOTAGE_01        | Шта! Очекујете да преговарамо док саботирате наш [target]?
DECLINE_SABOTAGE_01        | Ви уништавате [target]. Зашто би смо преговарали са вама?
DECLINE_SABOTAGE_01        | Када престанете да саботирате наш [target], можемо да размислимо о овоме.

DECLINE_BUILDUP_01         | Нећемо да разговарамо о овоме док гомилате бродове близу наших граница.
DECLINE_BUILDUP_01         | Уклоните своје бродове дуж наших граница и ми ћемо размислити да прихватимо. До тада нас не занима.
DECLINE_BUILDUP_01         | Ваши бродови на нашим границама нам не представљају претњу. Али одбијамо да преговарамо док су ту. 
DECLINE_BUILDUP_01         | Ако желите да разговарате са [my_empire], онда пошаљите ваше бродове да прете другима, не нама.

DECLINE_ENCROACH_01        | Фаше флоте узнемиравају [my_raceSki] простор. Склоните их, па ћемо тада разговарати.

DECLINE_SKIRMISH_01        | Нападате наше бродове без провокације и очекујете да прихватимо? Одбијамо да преговарамо.
DECLINE_SKIRMISH_01        | Не можемо прихватити понуде од оних који нападају наше флоте.
DECLINE_SKIRMISH_01        | Кад ваша флоте престану да нападају наше, можемо разговарати.
DECLINE_SKIRMISH_01        | Ако желите да преговарате са [my_empire], оставите наше флоте на миру.
DECLINE_SKIRMISH_01        | [my_nameTitle] [my_name] не цени ваше уништавање наших флота. Не прихватамо. 

DECLINE_ATTACK_01          | Ваш неоправдани напад на [system] вам даје мало простора за ценкање.
DECLINE_ATTACK_01          | Нисмо заборавили напад на [system] колонију. Нема шансе да прихватимо.

DECLINE_INVASION_01        | Наш народ не жели да има било каква посла са кољачима [system] система. Прво исправите вашу грешку.
DECLINE_INVASION_01        | Крв са [system] система вам је упрљала руке. Не можемо да прихватимо вашу понуду.
DECLINE_INVASION_01        | Мртви са [system] колоније вриште за осветом. Њихов урлик је гласнији од ваше понуде.

DECLINE_BIOWEAPONS_01      | [my_race] раса неће да преговара са расом која користи биолошко оружје.
DECLINE_BIOWEAPONS_01      | Не можемо преговарати са било ким ко је толико очајан да користи биолошко оружје.
DECLINE_BIOWEAPONS_01      | Користите оружје које проузрокује неизрециве страхоте недужног становништва. Одбијамо да се бавимо таквим лудилом. 
DECLINE_BIOWEAPONS_01      | Богови се гнушају оних који би уништавали планете биолошким оружјем. [my_race_plural] то не могу да допусте.
DECLINE_BIOWEAPONS_01      | Вапаји оних који су убијени вашим биолошким оружјем пуне нам уши. Не можемо да чујемо вашу понуду.

DECLINE_TECH_TRADE_01      | Немате технологију која нас занима.
DECLINE_TECH_TRADE_01      | Не желимо [your_raceSke] играчкe.
DECLINE_TECH_TRADE_01      | Ваши примитивни изуми нас не занимају.
DECLINE_TECH_TRADE_01      | [my_race_plural] су далеко напреднији од ваше технологије. 
DECLINE_TECH_TRADE_01      | [your_nameTitle] [your_name], не видимо потребу за оним што нам нуде ваши научници.
DECLINE_TECH_TRADE_01      | [my_nameTitle] [my_name] нема пуно интересовања за вашу технологију.

OFFER_TECH_EXCHANGE_01     | [your_empireStvu] је преко потребна ваша [tech] технологија. Можда желите да се мењате за неку од наших технологија.
OFFER_TECH_EXCHANGE_01     | [your_empire] зна да сте открили тајне [tech] технологије. Можемо ли да вам понудимо неку од наших технологија у замену?
OFFER_TECH_EXCHANGE_01     | [your_nameTitle] [your_name] од [your_empire] жели да откријете тајне [tech] технологије. Желите ли да се мењамо за неке од наших технологија?
OFFER_TECH_EXCHANGE_01     | [your_race] раса је задивљена научним достигнућима [tech] технологије. Шта можемо да вам понудите за откривање те тајне?

ACCEPT_TECH_EXCHANGE_01    | Врло добро. [my_nameTitle] [my_name] прихвата размену чудноватих [my_raceSkih] тајни [techGiven] технологије за [techReceived] технологију.
ACCEPT_FINANCIAL_AID_01    | [my_nameTitle] [my_name] прихвата ваш поклон од [amt] МК.
ACCEPT_TECHNOLOGY_AID_01   | [my_nameTitle] [my_name] прихвата ваш поклон [tech].

BREAK_TRADE_01             | [my_raceSki] народ нема више жеље да тргује са [your_empireStvom].
ANNOUNCE_TRADE_01          | Ефективно од [year], [my_empire] и [your_empire] склапају трговински уговор од [amt] МК годишње.

