// race-specific variables (must start with _)
_empire                           | Булрати Империја, Беарати Империја, Урсинати Империја, Паурати Империја, Гризлиати Империја
_empireStvo                       | Булрати Империју, Беарати Империју, Урсинати Империју, Паурати Империју, Гризлиати Империју
_empireStva                       | Булрати Империје, Беарати Империје, Урсинати Империје, Паурати Империје, Гризлиати Империје
_empireStvu                       | Булрати Империји, Беарати Империји, Урсинати Империји, Паурати Империји, Гризлиати Империји
_empireStvom                      | Булрати Империјом, Беарати Империјом, Урсинати Империјом, Паурати Империјом, Гризлиати Империјом
_empireSkog                       | Булрати Империјалног, Беарати Империјалног, Урсинати Империјалног, Паурати Империјалног, Гризлиати Империјалног
_empireSki                        | Булрати Империјални, Беарати Империјални, Урсинати Империјални, Паурати Империјални, Гризлиати Империјални
_empireSku                        | Булрати Империјалну, Беарати Империјалну, Урсинати Империјалну, Паурати Империјалну, Гризлиати Империјалну
_empireSka                        | Булрати Империјална, Беарати Империјална, Урсинати Империјална, Паурати Империјална, Гризлиати Империјална
_empireSke                        | Булрати Империјалне, Беарати Империјалне, Урсинати Империјалне, Паурати Империјалне, Гризлиати Империјалне
_race                             | Булрати, Беарати, Урсинати, Паурати, Гризлиати
_raceSkog                         | Булратијског, Беаратијског, Урсинатијског, Пауратијског, Гризлиатијског
_raceSki                          | Булратијски, Беаратијски, Урсинатијски, Пауратијски, Гризлиатијски
_raceSkih                         | Булратијских, Беаратијских, Урсинатијских, Пауратијских, Гризлиатијских
_raceSku                          | Булратијску, Беаратијску, Урсинатијску, Пауратијску, Гризлиатијску
_raceSka	                      | Булратијска, Беаратијска, Урсинатијска, Пауратијска, Гризлиатијска
_raceSke                          | Булратијске, Беаратијске, Урсинатијске, Пауратијске, Гризлиатијске
_raceSkom                         | Булратијском, Беаратијском, Урсинатијском, Пауратијском, Гризлиатијском
_raceSkoj                         | Булратиској, Беаратиској, Урсинатиској, Пауратиској, Гризлиатиској
_raceIja                          | Булратија, Беаратија, Урсинатија, Пауратија, Гризлиатија
_race_plural                      | Булрати, Беарати, Урсинати, Паурати, Гризлиати
_raceVoc	                      | Булрати, Беарати, Урсинати, Паурати, Гризлиати
_title                            | Врховни Архијереј
_titleV                           | Врховни Архијереје
_titleA                           | Врховног Архијереја
_titleI                           | Врховним Архијерејом
_nameTitle                        | Врховни Архијереј
_nameTitleV                       | Врховни Архијереје
_nameTitleA                       | Врховног Архијереја
_nameTitleI                       | Врховним Архијерејом


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Булрати Саветник
MAIN_ADVISOR_BUTTON_OK            | Отпусти
MAIN_ADVISOR_SCOUT                | Господару, припремили смо и извиђаче и брод колониста за полазак. Започећемо са истраживањем и колонизацијом оближњег система по вашој команди.
MAIN_ADVISOR_TRANSPORT            | Нови свет %1 је додат нашој империји! Дајте наређење и ми ћемо сместа започети са слањем транспортера!
MAIN_ADVISOR_DIPLOMACY            | Туђинска раса је успоставила контакт са нашом империјом, Господару. Да ли ћемо се према њима односити као према пријатељима или непријатељима, је искључиво ваша одлука. 
MAIN_ADVISOR_SHIP_ENGINE          | Наши научници настављају да померају границе технологије, овога пута побољшавајући брзину наших мотора. Очекујемо вашу одлуку о унапређењу модела наших бродова.
MAIN_ADVISOR_RALLY_POINTS         | Славна битка је пред нама! Усмерите наше новоизрађене бродове тако што ћете наредити где ће бити зборне тачке.
MAIN_ADVISOR_MISSILE_BASES        | Наше колоније чекају вашу реч, господару, да би започеле изградњу ракетних база које ће помоћи њиховој одбрани од непријатељских напада.
MAIN_ADVISOR_SHIP_WEAPON          | Наши истраживачи су осмислили разарајуће ново наоружање за наше флоте! Посетите наше моделе бродова у слободно време, Господару, како бисте одлучили како ће наши непријатељи пасти пред силином наше моћи.
MAIN_ADVISOR_COUNCIL              | Ускоро ће се окупити представници првог Галактичког Савета, Господару. Наше дипломате ће следити ваше смернице како би осигурали да се одлуке савета ускладе са вашом вољом. 
MAIN_ADVISOR_REBELLION            | Чини се да је народ %1 система одлучио да вам се отворено супротстави, Господару. Време је да их подсетите зашто сте ви изабрани да водите Империју!
MAIN_ADVISOR_RESIST_COUNCIL       | Само ви можете седети на престолу галаксије! Нећемо угасити своју жудњу за крвљу наших непријатеља, све док не заузмете место које вам праведно припада, Господару!
MAIN_ADVISOR_COUNCIL_RESISTED     | Ха ха! Питам се како изгледа да неко буде толико глуп да се супротстави се нашој владавини. Нема везе, ти ситни побуњеници ће бити смрвљени под нашом петом!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Жестина ваше империје је угашена.#Љутина вашег народа није била довољна да заустави растућу плиму туђинских војних снага. Иако сте се жестоко борили до последњег војника, поглавље Булрати у историји је стигло крају. Једном када сте били Велики Архијереј моћне империје, вођа поносне расе филозофа ратника који су своје видике упрли у звезде како би пронашли своје место у свемиру и тестирали своју способност против оних који су се усудили да им се супротставе. Сада сте само име у хроникама прошлости ове галаксије, и то само када се победници удостоје да вас се сете.#Можда, да сте знали какав крај је чекао ваш народ на њиховом путовању, не бисте се тако жарко упутили у свемир. Сада је од вас и вашег народа остала само прашина ваших злосретних амбиција и лоше изведених планова...
GAME_OVER_MILITARY_WIN2           | Жестина ваше империје надмоћно влада!#Сада сте прешли праг потпуне победе над свим империјама на које сте наишли. Будаласто су мислили да су способни да се супротставе вашој војној моћи, само да би пронашли своју флоту сломљену, а свој народ превише раштркан да би могао да се суочи са било каквим срамним крајем који их је чекао. Зар нису видели гнев у вашим срцима? Зар нису препознали упорност ваших уверења? То више није ни битно, јер победници не би требало да губе време на мисли губитника, и сада нико не преостаје да оспори чињеницу да сте ви, и само ви успоставили доминацију над свима који су вам стали на пут.#Давно су ваши људи почели потрагу за својим местом у овом универзуму, а ви сте им показали да им је било суђено да владају овом галаксијом у целости. Ура за победу, Велики Архијереју! Ура за Булрати Империју!
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Сада више не остаје нико ко би се усудио да изазове ваш бес.#Ваш највећи страх као Врховног Архијереја Булрати Империје је био да ће они које сте срели у свемиру бити неспојиви са вашом визијом будућности и да ће на крају морати бити уништени. Управо, многи од њих су оправдали тај страх, мада је све то сада лежало иза крвавог пута који вас је галаксија приморала да прођете. Али нашли сте разлог да се охрабрите, јер се није све оно што сте срели показало тако непријатним и нашли сте способне савезнике на крају овог дугог и бурног путовања.#Можда је, на крају, боље да сте ипак нашли друге са којима ћете делити ову галаксију. Благодати ових светова су богате, а филозофија која води ваше савезнике је занимљива за разматрање, и заузеће време ваших највећих умова у вековима који долазе. Наравно, то ће бити тако све док остану сагласни са вашим одлукама...
GAME_OVER_COUNCIL_LOSS2           | Жестина ваше империје је поражена.#Нико не би могао описати ваше напоре као ишта мање него јуначки.  Упркос премалим шансама, ваш народ се изборио за живот у дубинама свемира, придобијајући светове за империју кроз читаву галаксију. На жалост, ваша жестина није била равна врхунским технолошким иновацијама и политичким маневрисањем туђинских раса са којима сте се сусрели у свемиру. Видевши да вам није доступан пут који би омогућио победу над Галактичким Саветом, изабрали сте једини избор који сте могли: да се потчините вођи Нове Републике како бисте спречили рат који би сигурно читаву вашу империју одвео у пропаст.#Иако је то нанело грозан ударац вашем ратничком духу, знате да је ваша одлука исправна. Барем сте на крају осигурали опстанак свог народа док галаксија плови у будућност. Алтернатива вашој одлуци била је једноставно превише ужасна за саму помисао...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Жестина ваше империје је угашена.#Много тога се догодило од када сте своје људе извели из њиховог матичног света у нади да ћете им помоћи да пронађу своје место у галаксији. Ваше победе су много значиле за ваш народ, а многи светови су потпали под империјалну владавину, како би Булратијима била обезбеђена светла будућност. На жалост, највећа награда вођења Нове Републике била је ван дохвата, а ваша жестина на бојном пољу можда је улила превише страха да би вам омогућила тај најтраженији циљ.#Али није све изгубљено: наш верни савезник се позиционирао да води Савет уместо вас, и били су успешни у убеђивању осталих империја да је њихово гледање будућности исправно. Иако ваш народ жуди да вас види као владара ове нове будућности, ви знате да сте добро изабрали своје савезнике: заједно са %8, обезбедићете свом народу место у будућности ове галаксије без обзира на сутрашњицу...
GAME_OVER_REBELLION_LOSS2         | Жестина ваше империје је угашена.#Ратови у овој галаксији су дошли крају. Ваш народ се борио напорно, са жестином и љутином невиђеном међу осталим империјама, али на крају су њихове победе можда биле одговорне за њихову пропаст. Суровост с којом су се ваше трупе бориле је радило против вас, јер је непријатељ је добио управу над Новом Републиком тако што су убедили чланове савета да сте једноставно превише необуздани да бисте зарадили њихово поверење. Док у галаксији %8, ништа друго нисте могли да учините осим да одложите неизбежно.#Булрати империја је на крају пала пред својим непријатељима. Како је ваша територија подељена међу победницима, а ваше реликвије и градови разбијени у прах да би се расули по ветровима историје, легенде о вашем народу и његова јуначка последња борба вероватно неће изазвати страх код потомака оних који ће наследити ову галаксију. На крају, победници су ти који ће изабрати какве ће приче причати историја... 
GAME_OVER_REBELLION_WIN2          | Жестина ваше империје надмоћно влада!#Напокон сте сада дошли до места где вас је судбина водила: тотално уништење сваке друге расе у галаксији! Ваша неупоредива жестина је била превелики залогај за ваше непријатеље, који су у свом кукавичлуку тражили савез против вас. Надајући се да ће њихова заједничка снага бити довољна за ваше уништење, попут гамади су јурнули кроз звезде у покушају да спале ваше светове. Били су будаласти да верују у тако нешто, а ваш народ им је показао колико су  празне њихове амбиције.#Погледајте, Велики Архијереје, галаксија је ваша. У слободно време додаћете светове своме окриљу: ваши људи, и само ваши људи ће убирати богатство безбројних планета без икога да вам се супротстави. А када заузмете све што нам ова галаксија може пружити, доћи ће време да усмерите своју моћ ка галаксијама које леже даље...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Сада више не преостаје нико ко би се усудио да изазове ваш бес.#Сунце излази и баца своје зраке на оно што је се некада називало Нова Република, а ви заузимате место које сте требали заузети од самог почетка. Било је очигледно како ће се ваши бивши непријатељи понашати кад се удруже, јер је њихов страх од вас био толико велик да их је ујединио у параноји од ваше моћи. Ваша побуна је била праведна, јер за тако велику ратничку раса као што је ваша је ван очекивања да пузи и моли као слабашна улизица. Чак сте и обавестили све да ће свима онима који су вам се супротставили то донети само пропаст, ма колико они били бројни. Да су вас само будале чуле!#Ипак, нисте без милости. Довољно мудри да се удруже с вама уживаће у плодовима богате будућности, а њихова храброст и мудрост биће почаствовани у вашем новом царству. Они су живи тестамент ваше милости и никада више неће имати непријатеља од ког се могу бојати. То је, наравно, све док задрже своју лојалност према Булрати Империји...
GAME_OVER_COUNCIL_WIN2            | Жестина ваше империје надмоћно влада!#Ова галаксија и њени становници су на вашој милости и немилости. Од почетка ваше међузвездане кампање срели сте много непријатеља и мало пријатеља. Иако сте ваше битке тешко борили, узбуђење победе припало је Булратијима када су они који су били превише глупи да би увидели грешку у својим путевима били суочени са истребљењем. Они који су остали нису видели само моћ које би требало да се плаше, већ и интелект који је захтевао њихово поштовање, а на последњем састанку Галактичког Савета, ви сте изабрани да поведете оно што ће се знати под именом Нова Република у блиставу будућност.#Време тестирања ваше снаге дошло је крају: време за тестирање ваше мудрости почиње сада. Не зна се каква је будућност републике предвођене краљем филозофом Булрати Империје. Али једно је сигурно: сада не остаје нико ко би се успротивио вашим одлукама, јер ваша несаломљива снага пружа све разлоге који су потребни да ублаже све сумње и страх код ваших новооткривених субјеката. Поздрављам Нову Републику и поздрављам Великог Архијереја Булрати Империје!
