// race-specific variables (must start with _)
_empire                           | Мршански Клан, Пршански Клан, Мјаушански Клан, Канџански Клан, Хишански Клан
_empireStvo                       | Мршански Клан, Пршански Клан, Мјаушански Клан, Канџански Клан, Хишански Клан
_empireStva                       | Мршанског Клана, Пршанског Клана, Мјаушанског Клана, Канџанског Клана, Хишанског Клана
_empireStvu                       | Мршанском Клану, Пршанском Клану, Мјаушанском Клану, Канџанском Клану, Хишанском Клану
_empireStvom                      | Мршанским Кланом, Пршанским Кланом, Мјаушанским Кланом, Канџанским Кланом, Хишанским Кланом
_empireSkog                       | Мршанског Клана, Пршанског Клана, Мјаушанског Клана, Канџанског Клана, Хишанског Клана
_empireSki                        | Мршански Клан, Пршански Клан, Мјаушански Клан, Канџански Клан, Хишански Клан
_empireSku                        | Мршанску Кланску, Пршанскиску Кланску, Мјаушанску Кланску, Канџанску Кланску, Хишанску Кланску
_empireSka                        | Мршанска Кланска, Пршанска Кланска, Мјаушанска Кланска, Канџанска Кланска, Хишанска Кланска
_empireSke                        | Мршанске Кланске, Пршанске Кланске, Мјаушанске Кланске, Канџанске Кланске, Хишанске Кланске
_race                             | Мршан, Пршан, Мјаушан, Канџан, Хишан
_raceSkog                         | Мршанског, Пршанског, Мјаушанског, Канџанског, Хишанског
_raceSki                          | Мршански, Пршански, Мјаушански, Канџански, Хишански
_raceSkih                         | Мршанских, Пршанских, Мјаушанских, Канџанских, Хишанских
_raceSku                          | Мршанску, Пршанску, Мјаушанску, Канџанску, Хишанску
_raceSka                          | Мршанска, Пршанска, Мјаушанска, Канџанска, Хишанска
_raceSke                          | Мршанске, Пршанске, Мјаушанске, Канџанске, Хишанске
_raceSkom                         | Мршанском, Пршанском, Мјаушанском, Канџанском, Хишанском
_raceSkoj                         | Мршанској, Пршанској, Мјаушанској, Канџанској, Хишанској
_raceIja                          | Мршана, Пршана, Мјаушана, Канџана, Хишана
_race_plural                      | Мршани, Пршани, Мјаушани, Канџани, Хишани
_raceVoc                          | Мршане, Пршане, Мјаушане, Канџане, Хишане
_title                            | Кан
_titleV                           | Кане
_titleA                           | Кана
_titleI                           | Каном
_nameTitle                        | Кан
_nameTitleV                       | Кане
_nameTitleA                       | Кана
_nameTitleI                       | Каном

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Саветник Мршана
MAIN_ADVISOR_BUTTON_OK            | Отпусти
MAIN_ADVISOR_SCOUT                | Аха! Наша прва флота је спремна! Хајде да је искористимо да пронађемо непријатељски свет са драгоценим благом које можемо да отмемо.
