// race-specific variables (must start with _)
_empire                           | Сакранска Конклава, Рептаранска Конлава, Сауранска Конлава, Рапторанска Конлава, Тајранска Конклава
_empireStvo                       | Сакранску Конклаву, Рептаранску Конлаву, Сауранску Конлаву, Рапторанску Конлаву, Тајранску Конклаву
_empireStva                       | Сакранске Конклаве, Рептаранске Конлаве, Сауранске Конлаве, Рапторанске Конлаве, Тајранске Конклаве
_empireStvu                       | Сакранској Конклави, Рептаранској Конлави, Сауранској Конлави, Рапторанској Конлави, Тајранској Конклави
_empireStvom                      | Сакранском Конклавом, Рептаранском Конклавом, Сауранском Конклавом, Рапторанском Конклавом, Тајранском Конклавом
_empireSkog                       | Сакранског Конклавског, Рептаранског Конлавског, Сауранског Конлавског, Рапторанског Конлавског, Тајранског Конклавског
_empireSki                        | Сакрански Конклавски, Рептарански Конлавски, Саурански Конлаваски, Рапторански Конлаваски, Тајрански Конклавски
_empireSku                        | Сакранску Конклавску, Рептаранску Конлаваску, Сауранску Конлавску, Рапторанску Конлавску, Тајранску Конклавску
_empireSka                        | Сакранска Конклавна, Рептаранска Конлавна, Сауранска Конлавна, Рапторанска Конлавна, Тајранска Конклавна
_empireSke                        | Сакранске Конклавне, Рептаранске Конлавне, Сауранске Конлавне, Рапторанске Конлавне, Тајранске Конклавне
_race                             | Сакра, Рептара, Саура, Раптора, Тајрани
_raceSkog                         | Сакранског, Рептаранског, Сауранског, Рапторанског, Тајрананског
_raceSki                          | Сакрански, Рептарански, Саурански, Рапторански, Тајрански
_raceSkih                         | Сакранских, Рептаранских, Сауранских, Рапторанских, Тајранских
_raceSku                          | Сакранску, Рептаранску, Сауранску, Рапторанску, Тајранску
_raceSka                          | Сакранска, Рептаранска, Сауранска, Рапторанска, Тајранска
_raceSke                          | Сакранске, Рептаранске, Сауранске, Рапторанске, Тајранске
_raceSkom                         | Сакранском, Рептаранском, Сауранском, Рапторанском, Тајранском
_raceSkoj                         | Сакранској, Рептаранској, Сауранској, Рапторанској, Тајранској
_raceIja                          | Сакра, Рептара, Саура, Раптора, Тајрана
_race_plural                      | Сакре, Рептаре, Сауре, Рапторе, Тајрани
_raceVoc                          | Сакране, Рептаране, Сауране, Рапторане, Тајране
_title                            | Примарни Магистар
_titleV                           | Примарни Магистре
_titleA                           | Примарног Магистра
_titleI                           | Примарним Магистром
_nameTitle                        | Примарни Магистар
_nameTitleV                       | Примарни Магистре
_nameTitleA                       | Примарног Магистра
_nameTitleI                       | Примарним Магистром

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Сакрански Саветник
MAIN_ADVISOR_BUTTON_OK            | Отпусти
MAIN_ADVISOR_SCOUT                | Напокон, можемо почети да усавршавамо окружења светова изван нашег. Примарни Магистре, пошаљите наше извиђаче и брод колониста што пре на оближњу планету!
MAIN_ADVISOR_TRANSPORT            | Основали смо своју прву колонију на потпуно новом свету. Када пошаљете транспортере, можемо још брже да ојачамо своје бројеве тамо и да решимо мистерије %1 света!
MAIN_ADVISOR_DIPLOMACY            | Још један народ способан за свемирска путовања је успоставио контакт са Конклавом. Отворимо дијалог са њима и осмотримо како се опходе према сопственим световима. Тада ћемо знати како се најбоље носити са њима.
MAIN_ADVISOR_SHIP_ENGINE          | Испројектовали смо  много ефикасније бродске моторе од оних које тренутно користимо. Хајде да развијемо нове моделе бродова чим будемо у могућности.
MAIN_ADVISOR_RALLY_POINTS         | Изгледа да нас наше комшије сматрају ... незгоднима. Тачке окупљања можемо користити за усмеравање наших бродова на једно место како бисмо спречили било какву штету на нашим лепим новим световима. 
MAIN_ADVISOR_MISSILE_BASES        | Боли ме чак и да размишљам да на такав начин оскврним наше светове, али можемо да оставимо простор за одбрамбене ракетне базе да бисмо их заштитили од још горих оштећења.
MAIN_ADVISOR_SHIP_WEAPON          | Дошло је до открића за моћније начине на које можемо да оштетимо непријатељске бродова. Дефинитивно бисмо требали да применимо ову технологију на свим новим бродовима које произведемо у будућности.
MAIN_ADVISOR_COUNCIL              | Догодиће се састанак под називом „Галактички Савет“ којем ће вероватно присуствовати све напредне цивилизације. Ово би могла бити прилика за нас да видимо која би се друге империје успротивиле... ширењу Конклаве.
MAIN_ADVISOR_REBELLION            | Магистре! десила се побуна на %1 систему. Не знам који је узрок, али знам шта би требало да буде решење!
MAIN_ADVISOR_RESIST_COUNCIL       | Нема шансе да ово прихватимо тек тако, зар не? Сада ћемо се борити против савета, зар не?! Ако се будемо борили, шта ће бити са свим тим јадним планетама!
MAIN_ADVISOR_COUNCIL_RESISTED     | Ти одвратни побуњеници! Једва смо толерисали њихово постојање, а сада се буне? Дајте нам наређења да их истребимо: има много њихових светова који могу да припадну Конклави!
 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Судбина свих светова је запечаћена...#Некада сте били нада безбројних планета које су красиле галаксију. Полазећи из свог матичног света, ваша једина жеља је била да научите и усавршите јединствена окружења сваког света на који сте наишли. Како се ваше знање повећавало, тако се повећавао и жар ваших људи и једно време се чинило да ће се заједнички сан свих Сакрана остварити. Да није било похлепе ваших непријатеља и њиховог ширења своје територије што је више могуће, тај сан би се можда и остварио.#Ваше колоније су освојене све до последње планете: брижна љубав коју сте поклањали својим биомима изгажена је жудњом за крвљу од стране ваших међузвезданих супарника. Док ваше последње упориште гори, а ваша смрт постаје неизбежност, вама пролази питање кроз главу хоће ли будале које су вас савладале научити да складно живе на световима које тако заслепљујуће узимају за себе, или не. Али одговор на то питање, Примарни Магистре, је вероватно сувише је ужасан да би се о њему превише размишљало...
GAME_OVER_MILITARY_WIN2           | Спас свих светова је коначно на помолу!#Победа! Победа за ваш народ и за све планете у галаксији! Од дана када је Сакранска Конклава букнула из њиховог света у потрази за новим животним окружењима које би заштитила, знали сте да жеља вашег народа неће бити ускраћена. Ваших супарници су погрешили што нису видели мудрост у давању приоритета ка безбедности еколошких система ове галаксије, али су направили несхватљиву глупост када су мислили да је њихова снага довољна да вас спречи да постигнете свој циљ.#Изабрали сте директан ток акције, да елиминишете претњу коју су ваши ривали представљали и на тај начин спречили било какав непотребан бол биосферама које су оне тако дрско уништили за своје јадне циљеве! Сада имате бесконачно времена да поправите штету коју су проузроковали, а да вас нико у томе не омета. Ваш народ ће тећи попут реке кроз ову галаксију, свака планета притока која чека да еволуира у миру под вашом руком водиљом. Уживајте у плодовима свог тешко стеченог рада! И заувек уживајте у изазовима који чекају Саккре на путу који лежи пред вама!
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Спас свих светова ускоро ће бити на дохват руке...#Иако ово није крај коме сте се највише надали, не можете а да се не насмејете док уживате у својој вредно стеченој победи. Знали сте да ће у овој галаксији постојати друге расе које ће своје планете једноставно посматрати као ресурсе које треба искористити, игноришући мудрост ваше филозофије. Ваш народ је био спреман да се бори за очување светости сваке планете, колико год да је мала планета. Сада су се ваши непријатељи претворили у прах, а ви знате да деликатне равнотеже сваког еколошког система никада неће бити подложне хировима оних који би им наудили.#Било вам је драго што сте пронашли савезнике који су чули вашу поруку и били спремни да се опходе према својим планетама уз новооткривеним поштовањем док су учили оно што сте могли да их подучите. На ваше велико изненађење, чак су се са вама подигли на оружје, несумњиво бранећи сопствене интересе, али су и помогли вама да одбраните своје. Сада можете радити на лечењу штете коју су проузроковали бројни и нечасни ратови. Временом се можете надати само да ћете убедити своје пријатеље да то учине и са својим световима...
GAME_OVER_COUNCIL_LOSS2           | Судбина свих светова је запечаћена...#Махинације ваших супарничких империја су вас одвеле у пропаст. Док сте путовали кроз галаксију усавршавајући успут екосистеме планета, било је неизбежно да ћете пронаћи светове које су други већ запосели и који ће вам остати ван дохвата. Дипломатијом и политичким маневрисањем сигурно бисте могли да спасите све ове планетарне животне средине, иако су остале у чељустима туђинских сила. Или сте бар тако мислили.#Сада се Галактички Савет распустио и реформисао као Нова Република под вођством [leader_empireStva]. Ваш неуспех да убедите друге империје да увиде вашу мудрост несумњиво ће коштати и вас и светове које сте очајнички покушавали да спасите. Можете се само надати да ће нове вође галаксије имати милости према вашем народу. Не само због њих, већ и због свих планета у галаксији...
GAME_OVER_REBELLION_LOSS2         | Судбина свих светова је запечаћена...#Ваша истрајност и ваш идеализам довели су вас до оваквог краја. Непријатељи су прегазили вашу војску и нанели вашим световима незамисливе страхоте. Некада сте мислили да ћете политичким играма успети да промените њихово размишљање да буде више у складу са вашом филозофијом. Али када су зли [leader_race] раса преузели контролу над Новом Републиком, знали сте да ће мирни преговори постати немогући. Како су увек били прваци у одржавању еколошке равнотеже, ваши људи су се заклели да ће се дићи на оружје и да спрече злостављање планета у галаксији, и били су спремни да умру за то.#И умрли јесу: ваши светови су освојени и ваша велика дела на сваком од њих поништена. Ваш народ је био приморан да се повуче да покуша да заштити своје последње упориште и тамо је погинуо у одбрани ваших идеала. Као најревноснији поклоници еколошке равнотеже, ваше изумирање ће се показати не само као тежак губитак за ваш народ, већ и за целу галаксију...
