

//
// Armor techs
// 
ARMOR_0_NAME     | Титанијум Оклоп
ARMOR_0_ITEM     | Титанијум
ARMOR_0_BRIEF    | Поени Трупа %1
ARMOR_0_DETAIL   | Почетна технологија оклопа. Нема бонуса за оклоп бродова или борби на тлу.

ARMOR_1_NAME     | Дуралој Оклоп
ARMOR_1_ITEM     | Дуралој
ARMOR_1_BRIEF    | Поени Трупа %1
ARMOR_1_DETAIL   | Повећава поене трупа бродова и транспортера за 50%. Лични борбени оклоп је такође побољшан, додаје 5 на све нападе на тлу.

ARMOR_2_NAME     | Зортијум Оклоп
ARMOR_2_ITEM     | Зортијум
ARMOR_2_BRIEF    | Поени Трупа %1
ARMOR_2_DETAIL   | Повећава поене трупа бродова и транспортера за 100%. Лични борбени оклоп је такође побољшан, додаје 10 на све нападе на тлу.

ARMOR_3_NAME     | Андријум Оклоп
ARMOR_3_ITEM     | Андријум
ARMOR_3_BRIEF    | Поени Трупа %1
ARMOR_3_DETAIL   | Повећава поене трупа бродова и транспортера за 150%. Лични борбени оклоп је такође побољшан, додаје 15 на све нападе на тлу.

ARMOR_4_NAME     | Тританијум Оклоп
ARMOR_4_ITEM     | Тританијум
ARMOR_4_BRIEF    | Поени Трупа %1
ARMOR_4_DETAIL   | Повећава поене трупа бродова и транспортера за 200%. Лични борбени оклоп је такође побољшан, додаје 20 на све нападе на тлу.

ARMOR_5_NAME     | Адамантијум Оклоп
ARMOR_5_ITEM     | Адамантијум
ARMOR_5_BRIEF    | Поени Трупа %1
ARMOR_5_DETAIL   | Повећава поене трупа бродова и транспортера за 250%. Лични борбени оклоп је такође побољшан, додаје 25 на све нападе на тлу.

ARMOR_6_NAME     | Неутронијум Оклоп
ARMOR_6_ITEM     | Неутронијум
ARMOR_6_BRIEF    | Поени Трупа %1
ARMOR_6_DETAIL   | Повећава поене трупа бродова и транспортера за 300%. Лични борбени оклоп је такође побољшан, додаје 30 на све нападе на тлу.


//
// Atmospheric Terraforming techs
// 
ATMOSPHERE_0_NAME      | Атмосферско Тераформирање
ATMOSPHERE_0_DETAIL    | Претвара Неприступачна окружења у Нормална окружења по цени од 150 МК.

//
// Automated Repair techs
// 
AUTOREPAIR_0_NAME      | Аутоматизовани Систем за Поправку 
AUTOREPAIR_0_BRIEF     | Поправља 15% бродских поена по потезу
AUTOREPAIR_0_DETAIL    | Неуништени бродови могу поправити до 15% од својих укупних поена трупа на крају сваког потеза.

AUTOREPAIR_1_NAME      | Напредна Контрола Штете
AUTOREPAIR_1_BRIEF     | Поправља 30% бродских поена по потезу
AUTOREPAIR_1_DETAIL    | Неуништени бродови могу поправити до 30% од својих укупних поена трупа на крају сваког потеза.


//
// Battle Computer techs
// 
// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | 
COMPUTER_0_ITEM    |  
COMPUTER_0_BRIEF   | Ниво Напада 0
COMPUTER_0_DETAIL  |

COMPUTER_1_NAME    | Борбени Компјутер Серија I
COMPUTER_1_ITEM    | Серија I
COMPUTER_1_BRIEF   | Ниво Напада I
COMPUTER_1_DETAIL  | Повећава прецизност оружја до нивоа 1.

COMPUTER_2_NAME    | Борбени Компјутер Серија II
COMPUTER_2_ITEM    | Серија II
COMPUTER_2_BRIEF   | Ниво Напада II
COMPUTER_2_DETAIL  | Повећава прецизност оружја до нивоа 2.

COMPUTER_3_NAME    | Борбени Компјутер Серија III
COMPUTER_3_ITEM    | Серија III
COMPUTER_3_BRIEF   | Ниво Напада III
COMPUTER_3_DETAIL  | Повећава прецизност оружја до нивоа 3.

COMPUTER_4_NAME    | Борбени Компјутер Серија IV
COMPUTER_4_ITEM    | Серија IV
COMPUTER_4_BRIEF   | Ниво Напада IV
COMPUTER_4_DETAIL  | Повећава прецизност оружја до нивоа 4.

COMPUTER_5_NAME    | Борбени Компјутер Серија V
COMPUTER_5_ITEM    | Серија V
COMPUTER_5_BRIEF   | Ниво Напада V
COMPUTER_5_DETAIL  | Повећава прецизност оружја до нивоа 5.

COMPUTER_6_NAME    | Борбени Компјутер Серија VI
COMPUTER_6_ITEM    | Серија VI
COMPUTER_6_BRIEF   | Ниво Напада VI
COMPUTER_6_DETAIL  | Повећава прецизност оружја до нивоа 6.

COMPUTER_7_NAME    | Борбени Компјутер Серија VII
COMPUTER_7_ITEM    | Серија VII
COMPUTER_7_BRIEF   | Ниво Напада VII
COMPUTER_7_DETAIL  | Повећава прецизност оружја до нивоа 7.

COMPUTER_8_NAME    | Борбени Компјутер Серија VIII
COMPUTER_8_ITEM    | Серија VIII
COMPUTER_8_BRIEF   | Ниво Напада VIII
COMPUTER_8_DETAIL  | Повећава прецизност оружја до нивоа 8.

COMPUTER_9_NAME    | Борбени Компјутер Серија IX
COMPUTER_9_ITEM    | Серија IX
COMPUTER_9_BRIEF   | Ниво Напада IX
COMPUTER_9_DETAIL  | Повећава прецизност оружја до нивоа 9.

COMPUTER_10_NAME   | Борбени Компјутер Серија X
COMPUTER_10_ITEM   | Серија X
COMPUTER_10_BRIEF  | Ниво Напада X
COMPUTER_10_DETAIL | Повећава прецизност оружја до нивоа 10.

COMPUTER_11_NAME   | Борбени Компјутер Серија XI
COMPUTER_11_ITEM   | Серија XI
COMPUTER_11_BRIEF  | Ниво Напада XI
COMPUTER_11_DETAIL | Повећава прецизност оружја до нивоа 11.


//
// Battle Suit techs for ground combat
// 
// this is for default, no-bonus armor that player starts with
BATTLESUIT_0_NAME    | Оклоп
BATTLESUIT_0_DETAIL  |

BATTLESUIT_1_NAME    | Борбена Одела
BATTLESUIT_1_DETAIL  | Оклоп који не само да штити, већ и повећава снагу. Додаје 10 на све шансе код борби на тлу.

BATTLESUIT_2_NAME    | Оклопљен Егзоскелет
BATTLESUIT_2_DETAIL  | Напредна мобилна одела која не само да повећавају снагу и повећавају одбрану, већ и нуде ограничен лет копненим трупама. Додаје 20 на све шансе код борби на тлу.

BATTLESUIT_3_NAME    | Погонски Оклоп
BATTLESUIT_3_DETAIL  | Комбинује високу покретљивост, анти гравитацијски лет и тешку оклопну облогу како би формирао најнапреднији оклоп доступан копненим трупама. Додаје 20 на све шансе код борби на тлу.


//
// Energy Focus techs for beam weapons
// 
BEAMFOCUS_0_NAME    | Високо Енергетски Фокус
BEAMFOCUS_0_BRIEF   | Додаје +3 домет енергетском оружју
BEAMFOCUS_0_DETAIL  | Повећава домет свих енергетских оружја за три.

BEAMFOCUS_1_NAME    | Оракл Интерфејс
BEAMFOCUS_1_BRIEF   | Концентрише зраковна оружја, преполовљава непријатељске штитове
BEAMFOCUS_1_DETAIL  | Координира све нападе зраковних оружја у један истовремени рафал концентрисане ватре, преполовљујући снагу непријатељског штита.


//
// Biological antidote techs 
// 
BIOANTIDOTE_0_NAME    | БиоТоксин Противотров
BIOANTIDOTE_0_DETAIL  | Смањује губитке нанете биолошким оружјем за 1М по нападу.

BIOANTIDOTE_1_NAME    | Универзални Противотров
BIOANTIDOTE_1_DETAIL  | Смањује губитке нанете биолошким оружјем за 2М по нападу.


//
// Biological weapon techs 
// 
BIOWEAPON_0_NAME     | Смртоносне Споре
BIOWEAPON_0_BRIEF    | Биолошко Оружје
BIOWEAPON_0_DETAIL   | Ужасно биолошко оружје способно да смањи максимално становништво планете за 1М по нападу.

BIOWEAPON_1_NAME     | Катаклизма Вирус
BIOWEAPON_1_BRIEF    | Биолошко Оружје
BIOWEAPON_1_DETAIL   | Страховито биолошко оружје способно да смањи максимално становништво планете за 2М по нападу.

BIOWEAPON_2_NAME     | Био Терминатор
BIOWEAPON_2_BRIEF    | Биолошко Оружје
BIOWEAPON_2_DETAIL   | Гнусно биолошко оружје способно да смањи максимално становништво планете за 3М по нападу.

//
// Black Hole Generator tech
//
BLACKHOLE_0_NAME     | Генератор Црне Рупе
BLACKHOLE_0_DETAIL   | Креира под-просторно поље које савија нормалан простор, стварајући црну рупу која уништава 25% до 100% непријатељских бродова или ракетних база, минус 2% по класи штита.


//
// Bomb weapon tech
//
BOMB_0_NAME     | Нуклеарна Бомба
BOMB_0_BRIEF    | Напада Само Тло
BOMB_0_DETAIL   | Бомбе које експлодирају за 3-12 поена и могу да циљају искључиво планете.

BOMB_1_NAME     | Фузиона Бомба
BOMB_1_BRIEF    | Напада Само Тло
BOMB_1_DETAIL   | Бомбе које експлодирају за 5-20 поена и могу да циљају искључиво планете.

BOMB_2_NAME     | Анти-Материјска Бомба
BOMB_2_BRIEF    | Напада Само Тло
BOMB_2_DETAIL   | Бомбе које експлодирају за 10-40 поена и могу да циљају искључиво планете.

BOMB_3_NAME     | Омега-В Бомба
BOMB_3_BRIEF    | Напада Само Тло
BOMB_3_DETAIL   | Бомбе које експлодирају за 20-50 поена и могу да циљају искључиво планете.

BOMB_4_NAME     | Неутронска Бомба
BOMB_4_BRIEF    | Напада Само Тло
BOMB_4_DETAIL   | Бомбе које експлодирају за 40-70 поена и могу да циљају искључиво планете.


//
// Cloaking tech
//
CLOAK_0_NAME     | Уређај за Маскирање
CLOAK_0_BRIEF    | Чини брод готово невидљивим
CLOAK_0_DETAIL   | Чини брод готово невидљивим све док не нападне, побољшавајући одбрану за +5. Брод мора да се одмаскира да би напао и аутоматски се маскира сваког потеза када ништа не нападне.


//
// Cloning tech
//
CLONE_0_NAME     | Клонирање
CLONE_0_DETAIL   | Омогућава узгој колониста са биоинжењерингом по стопи од 1М за 10 МК.

CLONE_1_NAME     | Напредно Клонирање
CLONE_1_DETAIL   | Омогућава узгој колониста са биоинжењерингом по стопи од 1М за 5 МК.


//
// Combat Transporter tech
//
COMBATTRANSPORT_0_NAME     | Борбени Транспортери
COMBATTRANSPORT_0_DETAIL   | Транспортери опремљени овим уређајима имају  50% шанси да слете на нерпијатељско тло пре него што непријатељски бродови и ракетне базе могу да их нападну.


//
// Control Environment tech
//
CONTROLENV_0_NAME    | Контролисано Нормално Окружење
CONTROLENV_0_ITEM    | Стандардна База Колониста
CONTROLENV_0_BRIEF   | Дозвољава Слетање на Нормалне Планете
CONTROLENV_0_DETAIL  | Допушта колонизацију стандардних планета.

CONTROLENV_1_NAME    | Контролисано Јалово Окружење
CONTROLENV_1_ITEM    | Јалова База Колониста
CONTROLENV_1_BRIEF   | Дозвољава Слетање на Јалове Планете
CONTROLENV_1_DETAIL  | Допушта колонизацију јалових и мање неприступачних планета.

CONTROLENV_2_NAME    | Контролисано Тундра Окружење
CONTROLENV_2_ITEM    | Tundra База Колониста
CONTROLENV_2_BRIEF   | Дозвољава Слетање на Тундра Планете
CONTROLENV_2_DETAIL  | Допушта колонизацију тундра и мање неприступачних планета.

CONTROLENV_3_NAME    | Контролисано Мртво Окружење
CONTROLENV_3_ITEM    | Мртва База Колониста
CONTROLENV_3_BRIEF   | Дозвољава Слетање на Мртве Планете
CONTROLENV_3_DETAIL  | Допушта колонизацију мртвих и мање неприступачних планета.

CONTROLENV_4_NAME    | Контролисано Паклено Окружење
CONTROLENV_4_ITEM    | Паклена База Колониста
CONTROLENV_4_BRIEF   | Дозвољава Слетање на Паклене Планете
CONTROLENV_4_DETAIL  | Допушта колонизацију паклених и мање неприступачних планета.

CONTROLENV_5_NAME    | Контролисано Отровно Окружење
CONTROLENV_5_ITEM    | Отровна База Колониста
CONTROLENV_5_BRIEF   | Дозвољава Слетање на Отровне Планете
CONTROLENV_5_DETAIL  | Допушта колонизацију отровних и мање неприступачних планета.

CONTROLENV_6_NAME    | Контролисано Озрачено Окружење
CONTROLENV_6_ITEM    | Озрачена База Колониста
CONTROLENV_6_BRIEF   | Дозвољава Слетање на Озрачене Планете
CONTROLENV_6_DETAIL  | Допушта колонизацију озрачених и мање неприступачних планета.


//
// Deflector Shield tech
//
// this is the entry on Ship Design for selecting no deflector shield
DEFLECTOR_0_NAME      | 
DEFLECTOR_0_ITEM      |   
DEFLECTOR_0_BRIEF     |  
DEFLECTOR_0_DETAIL    | 

DEFLECTOR_1_NAME      | Класа I Дефлекторски Штитови
DEFLECTOR_1_ITEM      | Класа I
DEFLECTOR_1_BRIEF     | Апсорбује 1 поен
DEFLECTOR_1_DETAIL    | Апсорбује 1 поен оштећења од свих напада.

DEFLECTOR_2_NAME      | Класа II Дефлекторски Штитови
DEFLECTOR_2_ITEM      | Класа II
DEFLECTOR_2_BRIEF     | Апсорбује 2 поена
DEFLECTOR_2_DETAIL    | Апсорбује 2 поена оштећења од свих напада.

DEFLECTOR_3_NAME      | Класа III Дефлекторски Штитови
DEFLECTOR_3_ITEM      | Класа III
DEFLECTOR_3_BRIEF     | Апсорбује 3 поена
DEFLECTOR_3_DETAIL    | Апсорбује 3 поена оштећења од свих напада.

DEFLECTOR_4_NAME      | Класа IV Дефлекторски Штитови
DEFLECTOR_4_ITEM      | Класа IV
DEFLECTOR_4_BRIEF     | Апсорбује 4 поена
DEFLECTOR_4_DETAIL    | Апсорбује 4 поена оштећења од свих напада.

DEFLECTOR_5_NAME      | Класа V Дефлекторски Штитови
DEFLECTOR_5_ITEM      | Класа V
DEFLECTOR_5_BRIEF     | Апсорбује 5 поена
DEFLECTOR_5_DETAIL    | Апсорбује 5 поена оштећења од свих напада.

DEFLECTOR_6_NAME      | Класа VI Дефлекторски Штитови
DEFLECTOR_6_ITEM      | Класа VI
DEFLECTOR_6_BRIEF     | Апсорбује 6 поена
DEFLECTOR_6_DETAIL    | Апсорбује 6 поена оштећења од свих напада.

DEFLECTOR_7_NAME      | Класа VII Дефлекторски Штитови
DEFLECTOR_7_ITEM      | Класа VII
DEFLECTOR_7_BRIEF     | Апсорбује 7 поена
DEFLECTOR_7_DETAIL    | Апсорбује 7 поена оштећења од свих напада.

DEFLECTOR_8_NAME      | Класа IX Дефлекторски Штитови
DEFLECTOR_8_ITEM      | Класа IX
DEFLECTOR_8_BRIEF     | Апсорбује 9 поена
DEFLECTOR_8_DETAIL    | Апсорбује 9 поена оштећења од свих напада.

DEFLECTOR_9_NAME      | Класа XI Дефлекторски Штитови
DEFLECTOR_9_ITEM      | Класа XI
DEFLECTOR_9_BRIEF     | Апсорбује 11 поена
DEFLECTOR_9_DETAIL    | Апсорбује 11 поена оштећења од свих напада.

DEFLECTOR_10_NAME     | Класа XIII Дефлекторски Штитови
DEFLECTOR_10_ITEM     | Класа XIII
DEFLECTOR_10_BRIEF    | Апсорбује 13 поена
DEFLECTOR_10_DETAIL   | Апсорбује 13 поена оштећења од свих напада.

DEFLECTOR_11_NAME     | Класа XV Дефлекторски Штитови
DEFLECTOR_11_ITEM     | Класа XV
DEFLECTOR_11_BRIEF    | Апсорбује 15 поена
DEFLECTOR_11_DETAIL   | Апсорбује 15 поена оштећења од свих напада.


//
// Displacement tech
//
DISPLACEMENT_0_NAME   | Уређај Пребацивања
DISPLACEMENT_0_BRIEF  | 1/3 непријатељских напада промашује
DISPLACEMENT_0_DETAIL | Насумично пребацује опремљене бродове унутар и изван нормалног простора, омогућавајући им да избегну 1/3 свих напада оружјем које није широког деловања.


//
// ECM Jammer tech
//
// this is the entry on Ship Design for selecting no ECM Jammer
ECMJAMMER_0_NAME      | 
ECMJAMMER_0_ITEM      | 
ECMJAMMER_0_BRIEF     | Ракетна Одб 0
ECMJAMMER_0_DETAIL    | 

ECMJAMMER_1_NAME      | ЕПМ Ометач Серија I
ECMJAMMER_1_ITEM      | Ометач I
