// race-specific variables (must start with _)
_empire                           | Altairi Överhet, Avesi Överhet, Perigrini Överhet, Fjäderling Överhet, Psittacini Överhet
_race                             | Altairi, Avesi, Perigrini, Fjäderling, Psittacini
_race_plural                      | Altairier, Avesier, Perigrinier, Fjäderlingar, Psittacinier
_racepludef                       | Altairierna, Avesierna, Perigrinierna, Fjäderlingarna, Psittacinierna
_raceposs                         | Altairis, Avesis, Perigrinis, Fjäderlingars, Psittacinis
_title                            | Kung av Höjden
_nameTitle                        | Kung av Höjden


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %1 Kansler
MAIN_ADVISOR_BUTTON_OK            | Klart
MAIN_ADVISOR_SCOUT                | Ers nåd, våra spejare står redo att upptäcka en ny värld för vårt koloniskepp att sälla till fållan, för att lägga till det territoriet till vår strålande Överhet.
MAIN_ADVISOR_TRANSPORT            | En ny värld bär vårt banér, men tillväxten är begränsad. Om vi sänder transportskepp till den nya kolonin, möjliggör vi en snabbare tillväxt.
MAIN_ADVISOR_DIPLOMACY            | En annan rymdfarande civilisation har blivit upptäckt! Våra diplomater är beredda på all sorts etikett för att bringa ära till ditt namn, samt noggrannt notera om de också för sig med respekt.
MAIN_ADVISOR_SHIP_ENGINE          | Våra främsta utrönande sinnen har utvecklat en mer effektiv motorteknik. De efterfrågar nu att du ser över våra flottors skeppsmodeller, och bestämmer hur vi ska tillämpa denna nya teknik.
MAIN_ADVISOR_RALLY_POINTS         | Vår era av fred kan inte bestå medan ett ovärdigt folk går till krig mot vårt storslagna rike. De 32 Husen står enade under dig, och samlar sina flottor därhelst du dömer lämpligt.
MAIN_ADVISOR_MISSILE_BASES        | När Överhetens militära flottor är positionerade på annat håll, ligger våra yttre världar exponerade för fientlig aggression. Vi kan påbörja uppbyggnad av defensiva planetära missilbaser varhelst du skulle önska.
MAIN_ADVISOR_SHIP_WEAPON          | Våra forskare har haft ett genombrott inom vapenteknikens område. Flottorna kan utrustas med dessa förödande tekniska framsteg vid vilket än tillfälle du skulle önska.
MAIN_ADVISOR_COUNCIL              | Det Galaktiska Rådet kommer snart att samlas, och vår närvaro kommer utan tvivel att ivrigt efterfrågas. Våra diplomater kommer ta tillfället att försäkra att alla beslut blir till fördel för Överheten.
MAIN_ADVISOR_REBELLION            | Ah, ett uppror vid %1. Lustigt. Det var väl oundvikligt att ske så småningom, ers höghet, men vi borde stävja det innan missnöjet sprider sig till våra andra kolonier.
MAIN_ADVISOR_RESIST_COUNCIL       | Ers höghet! Vi står med er! Galaxen ska inte veta av fred igen, innan ni tagit er rättmätiga plats på den högsta tronen!
MAIN_ADVISOR_COUNCIL_RESISTED     | Löjligt. Se på dårarna som far runt som yra höns i kampen mot det oundvikliga. Ge oss ordern att krossa dessa rebeller, så ska vi verkställa den!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Er heder bevarad, även i er mörkaste stund...#Ert strålande imperium, Altairi Överhet har nu mött sitt slut. Även om ert folk uthärdade de fasansfulla krigstider som utgjorde det Blodröda Millenniet, så verkar det som om de till slut mötte sin överman, när ni ställdes mot era rivaliserande imperiers rovlystnad. Ert folk kämpade tappert, med all heder och bravur de ärvt från sina förfäder. Men för dem, och också för dig, Ledaren av Höjden, kommer nu sagan till sitt slut.#Kanske var det ödesbestämt att sluta på detta sätt: ert folk slogs med heder för er regent, medan era fiender tillämpade vilken än taktik som var tillgänglig, utan hänsyn hur bedrägliga och ohederliga de var. Era fiender må ha segrat, men ert folk höll djärvt fast in till slutet. Historikerna kommer åtminstone ha det att säga om Altairi...
GAME_OVER_MILITARY_WIN2           | Ära till Ledaren av Höjden! Ära till Överheten!#Segern är din! De ömkliga motståndare som försökte hindra ditt oundvikliga herravälde var ingen match för era flottors makt, eller ert folks övertygelse! Efter att ha vunnit strid efter strid, säkrade du din position som Altairi's sanne härskare i ditt folks ögon. Aldrig mer kommer någon våga hota ditt rike, och aldrig mer kommer ditt folk tvivla din gudagivna rätt att råda.#Med erövrandet av dina rivaler, har du också gett ditt folk möjlighet att vinna ära för de och deras familjer att kunna stiga eller sjunka i grad i den sociala hierarkin, baserat på stordåd utförda. Dessa möjligheter har rådit bot på den instabilitet som plågat Altairi sedan det Blodröda Millenniets slut. Men när ert folk spridit sig till galaxens varje hörn, kommer en avsaknad av fiender för ert folk att bevisa sin tapperhet mot kanske leda till att oro uppstår igen. Försäkra att du då är redo att erövra andra galaxer, Ledare av Höjden, eller så kan mer ödesdigra konsekvenser ske än vad som hotade er den här gången...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Heder till dig, och de som slogs vid din sida!#Aldrig mer ska någon smäda din höga position! Som Ledare av Höjden av Altairi Överhet, har du lett ditt folk till främmande världar ni inte ens kunnat drömma om och tagit dem som era egna. Ni slöt allianser, bedrev interstellär handel, och gick till krig mot de som planerade att vålla skada mot din vördade överhet. När de sista krigen började, och galaxen delades upp mellan de som slöt upp med dig, och de som valde att stå emot dig, så ledde du era arméer till seger och uppvisade en omatchad grace och ädelhet för både ert folk och era allierade.#Och nu har slutskedet passerats, då ingen som skulle ta upp vapen mot er längre bebor galaxen. Du och dina allierade kommer att avnjuta lönen av en regeringstid utan utmanare, och framtida kulturella utbyten för löftet med sig om vidare rikedomar för alla involverade. Må fred länge råda, och längre ännu må du råd, oh ärbare och vise Ledare av Höjden!
GAME_OVER_COUNCIL_LOSS2        | Din heder bevarad, även i din mörkaste timma...#Dårarna i Rådet vet inte vad de har gjort. Genom sitt misslyckande att uppmärksamma din grandiositet och ditt rättvisa styre, så har det Galaktiska Rådet istället valt att utnämna [leader_raceposs] regent som ledare av den Nya Republiken. Dina skrivna förslag och trevligheter, din diplomatiska expertis, och ditt trofasta vidhållande av hedersprinciper och sunt uppförande har i slutänden runnit ut i sanden, då istället manipulativa förhandlingar och avsmakligt maktgrabberi tagit överhanden: till sist står du kvar utan bytet i klo.#Nu måste Altairi bereda sig för [leader_raceposs] styre. Du och dina diplomater vet bättre än någon hur lömsk och despotisk denna nya era kommer att vara, och ni vet att ni kommer vara maktlösa att höja er röst mot orättvisa, annars möter ni Nya Republikens enade flottor. Bara tiden kommer utsäga hur ert folk kommer klara sig i denna bleka framtid, och kanske, om ni har tur, kommer tillfället för en annan Kung av Höjden att sitta på tronen, långt efter att din tid är över... 
GAME_OVER_REBELLION_LOSS2         | Din heder bevarad, även i din mörkaste timma...#Sorg har vunnit denna dag, Kung av Höjden. När du höjde ditt banner i uppror mot [leader_raceposs] tyranni, utmätt av den Nya Republiken under deras kontroll, lät din tro på rättvisa och integritet dig härda ditt hjärta för vad som skulle komma ske. Du hoppades att segern skulle falla till de hedervärda, medveten om att ingen följde rättmätighetens principer så väl som de ädla Altairi. Men katastrof var det som istället följde ditt beslut, och allt som väntade dig var total ödeläggelse och utrotning.#Ditt folks avlidna andar beskyller dig säkerligen inte: de trodde lika som dig, och skulle hellre valt döden över att fortsätta i en galax som höll förkastlig vanära över de ädla ideal Altairi höll fast vid. Men avlidna är de nu, Kung av Höjden. Och när så det sista som kvarstår av er civilisation står i lågor run omkring dig, tvingas du bemöta ditt öde med beslutsamhet, väl medveten om att du snart sällar dig till de avlidna...
GAME_OVER_REBELLION_WIN2          | Ära till Kungen av Höjden! Ära till Överheten!#Du har lyckats att frammana den mest oväntade segern! Imperierna som slöt upp i det Galaktiska Rådet förnekade först er rättmätiga status som kung, och fnös sedan när ni insisterade att endast Kungen av Höjden   kunde rättrådigt regera över den Nya Republiken. Dina rivalers enade flottor siktade snart sina vapen mot dig i dåraktig glädje, och hängav sig till det krig de trodde skulle bli snabbt och slutgiltigt. Men istället för den seger de förväntade sig, har du istället låtit dem uppleva dom och förtvivlan!#Nu ligger den här galaxen vid dina fötter, tom på de fiender som satte sig upp mot din gudagivna rätt att regera. Ditt folk behöver inte mer frukta tyranni, då dina övernaturliga förmåga som ledare har förtjänat deras tilltro och bedåran till tidens slut. Träd nu ut, Kung av Höjden! Sprid ut Överheten till galaxens alla hörn, och när ni har tagit och utvecklat alla de världar som väntar er där, så kommer tiden att vidga ditt rike till andra galaxer som bönar och ber om ditt rättmätiga styre!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Ära till dig, och de som slogs vid din sida!#Ditt folks trofasta vidhållande till ära och heder har alltid varit dess främsta styrka. Den här gången till frälsning som ledde er bort från ruinens brant. När ni påbörjade ert uppror mot den ont frammanade Nya Republiken, möttes ni av litet annat än skämt och hån av de som utgjorde denna nya, tyranniska regim. De trodde sig enade mot en ensam fiende, och var alla förnöjda att sluta upp i vad de såg som galaxens slutliga krig. De trodde att det stod mellan dem och denna ensamma, isolerade motståndare. De hade fel.#Till deras överraskning, så var ni inte de enda som tog upp stridsyxan. Istället stod ni sida vid sida som vänner, med vilka din oklanderliga ädelhet och ditt mod resonerade med. Tillsammans vann ni segrar i snabb följd, och innan alltför lång tid passerat var det dina och dina allierades banér som höjdes över den kortlivade Nya Republikens världar. Allt som kvarstod för er nu var att avnjuta ert gemensamma segerbyte, och fröjdas i lönen av en välförtjänt fredstid och goda tider. Det ser ljust ut för ditt rikes framtid, Kung av Höjden: du och ditt folk förtjänar inget mindre än så!
GAME_OVER_COUNCIL_ALLIANCE_WIN2           | Heder och list har låtit er komma ut segrande på andra sidan…#På er färd genom galaxen mötte ni en mångfald av folkslag som uppnått olika grader av hövlighet. Även om deras burdusa och rättframma natur till en början stack ditt raffinerade förhållningssätt, kunde du ändå ana ett genuint sätt i de flesta, och du kom till insikt att det skulle komma att vara din roll att hjälpa dessa förhållandevis enkla kulturerna till något mer förfinat. Med tiden började det bli uppenbart att de inte skulle komma att vara särskilt direkt mottagliga för vad de såg som ett högdraget sätt du förde dig med. Men du, tålmodige och listige Kung av Höjden, såg en lämplig bana att följa för att hjälpa leda dem och forma galaxens framtid enligt din agenda.#Genom att hjälpa till att utveckla %6 och sluta samman i en allians med deras ledare, så kunde du bistå dem att resa sig över slöddret från andra imperier och sluta upp som regenterna av den Nya Republiken. När denna union av olika nationer växer i styrka, kommer du ta rollen som nära förtrodd till den nye regenten, och kunna se till att era värderingar kommer att dominera galaxen, ett lagdirektiv och påbud i taget. När sedan dessa folk blivit visade ljuset, kommer den fred och heder ni så högt värderar kunna etableras. Det förstås, om allt går enligt planerna...
