// race-specific variables (must start with _)
_empire                           | Ursinathi Välde, Ursathi Välde, Ramrathi Välde, Grizzlathi Välde, Ursinus Välde
_race                             | Ursinathi, Ursathi, Ramrathi, Grizzlathi, Ursinus
_race_plural                      | Ursinathier, Ursathier, Ramrathier, Grizzlathier, Ursinuser
_title                            | Överhärskare
_nameTitle                        | Härskare
_raceposs                         | Ursinathis, Ursathis, Ramrathis, Grizzlathis, Ursinus'


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %1 Stödgivare
MAIN_ADVISOR_BUTTON_OK            | Avfärda
MAIN_ADVISOR_SCOUT                | Store Härskare, vi har förberett både spejare och ett koloni-skepp för avfärd. Vi börjar utforska och kolonisera omgivningen på er order.
MAIN_ADVISOR_TRANSPORT            | %1 är nu en del av vårt territorium! Ge ordern, så skickar vi genast transporter för att befolka planeten.
MAIN_ADVISOR_DIPLOMACY            | En främmande folkras har kommit i kontakt med vårt Välde, [_title]. Vi väntar på ert beslut om vi ska förhålla oss som vänner eller fiender.
MAIN_ADVISOR_SHIP_ENGINE          | Våra forskare fortsätter att storma fram med sina upptäckter! Den här gången genom att förbättra våra skeppsmotorer. De väntar ert beslut angående möjliga skeppsinstallationer.
MAIN_ADVISOR_RALLY_POINTS         | Strid, blod och ära väntar oss! Bestäm vart de nyligen konstruerade fartygen ska flyga med hjälp av Samlingspunkter.
MAIN_ADVISOR_MISSILE_BASES        | Våra kolonier väntar på er befallning, Härskare. De förväntar sig missilbaser för defensiva förberedelser.
MAIN_ADVISOR_SHIP_WEAPON          | Våra forskare har skaffat oss förbättrad vapenteknologi för våra flottor! När du, store mästare, finner tillfälle finns det möjlighet att ge konstruktions-teamen order om hur vår militära design ska lägga våra fiender under våra fötter.
MAIN_ADVISOR_COUNCIL              | Det Galaktiska Rådets representanter kommer snart att samlas, Härskare. Våra diplomater står redo att fullfölja er vilja. 
MAIN_ADVISOR_REBELLION            | Det verkar som om folket vid %1 har bestämt sig för att göra öppet uppror, Härskare. Det är dags att påminna dem om vem som är överherren här!
MAIN_ADVISOR_RESIST_COUNCIL       | Endast du är värdig galaxens tron, Överhärskare! Vi stillar inte vårt blodsrop förrän du tar din rätta plats, vår överherre som allas!
MAIN_ADVISOR_COUNCIL_RESISTED     | Vilka dårar! Att försöka sätta sig upp mot deras överherre! Dessa försumliga små rebeller kommer krossas mellan våra ramar!


// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Ditt rikes vrede har blivit kuvat.#Ert folks ursinne var inte nog för att betrycka den ständigt växande vågen av militära styrkor från främmande stjärnsystem. Även om ni djärvt slogs ned till absolut siste soldat, så har Ursinathi’s kapitel i historien nu kommit till sitt slut. Förr var du Överhärskaren av ert mäktiga Välde, en ledare av ett stolt folkslag av krigar-filosofer som satte siktet mot stjärnorna, för att finna er plats i universum och pröva er tapperhet mot de som vågade stå emot er. Nu är ni bara ett namn i krönikorna av galaxens förflutna, och det bara när vinnarna kände för att nämna er.#Kanske vore det så, att om du hade vetat vad som väntade ert folk vid slutet av er resa, att ni inte skulle ha stormat fram över rymdens vidder med sådan iver. Nu är allt som kvarstår av dig och ditt folk dammet av era olycksaliga ambitioner och misslyckade planer.
GAME_OVER_MILITARY_WIN2           | Ert väldes ursinne står som ensam segrare!#Ni står nu på andra sidan om tröskeln till total seger över varje imperium som har gett sig till känna för ditt folk. Dåraktigt trodde de sig kapabla att stå emot er militära överlägsenhet, bara för att sedan se sina flottor i spillror och deras folk skingrade för att möta det förödmjukande slut som väntar dem. Kunde de inte se det ursinne som brann i era hjärtan? Missade de ihärdigheten i er visshet om seger? Det har inte längre någon betydelse, för segrarna behöver inte bry sig om förlorarnas tankegångar, och ingen står längre kvar som utmanare till det faktum att du allena har dominerat alla som stod i din väg.#För länge sedan trädde ert folk fram för att finna er plats i detta universum, och du har visat dem att de var ödesbestämda att regera den här galaxen helt och fullständigt. Låt oss hylla segern, Överhärskare! Ära till Ursinathi Välde!
