// race-specific variables (must start with _)
_empire                           | Nazlokien, Sarlokien, Spiolokien, Skugglokien, Tengilokien
_race                             | Nazlok, Sarlok, Spiolok, Skugglok, Tengilok
_raceposs                         | Nazloks, Sarloks, Spioloks, Skuggloks, Tengiloks
_race_plural                      | Nazloker, Sarloker, Spioloker, Skuggloker, Tengiloker
_title                            | regent
_nameTitle                        | 


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.

// Advisor text
MAIN_ADVISOR_TITLE                | %1 Viskare
MAIN_ADVISOR_BUTTON_OK            | Avfärda
MAIN_ADVISOR_SCOUT                | Vi har slutfört konstruktionen av ett par spejare och ett koloniskepp. Låt oss hoppas att svaren vi söker visar sig på någon av de närliggande världarna.
MAIN_ADVISOR_TRANSPORT            | Inga Svar funna på planeten %1. Vi borde ändå stimulera tillväxten där genom att sända transporter med den population vi kan avvara.
MAIN_ADVISOR_DIPLOMACY            | Representanter från ett folk som kallar den här dimensionen hem har gett sig själva till känna. Vi måste göra allt vi kan för att extrahera de möjliga Svar de kan hålla.
MAIN_ADVISOR_SHIP_ENGINE          | Vi har avslöjat ett sätt att aktivera mer effektiva motorer. Vi måste samla oss för en samstämmighet om hur vi bäst kan uppdatera våra skeppsdesigner att använda sig av denna nya teknologi.
MAIN_ADVISOR_RALLY_POINTS         | En oundviklig konflikt har uppdagats! Vår produktionslinje kan direkt sända nybyggda skepp att samlas vid en särskild värld för att där forma en flotta i syfte att försvara oss från aggression.
MAIN_ADVISOR_MISSILE_BASES        | Vi har redan förlorat för mycket när vi kom till detta universum för att vi ska kunna förlora mer nu: låt kolonier upprätta ett försvar från fiender för dem själva genom att bygga defensiva missilbaser.
MAIN_ADVISOR_SHIP_WEAPON          | Vi har upptäckt ny teknologi som förbättrar våra rymdskepps offensiva effekt. Vi måste igen bestämma oss för hur vi ska uppdatera våra designer för att använda det här till vår fördel.
MAIN_ADVISOR_COUNCIL              | Det ryktas om en samling de kallar det Galaktiska Rådet, som snart kommer att inträffa. Våra spioner hoppas använda tillfället till att samla all information de kan. Vårt folks överlevnad beror helt på att vi lyckas!
MAIN_ADVISOR_REBELLION            | Har %1 förlorat vettet!? De glömmer att det är endast genom samarbete som vi kan bemästra detta universum! Vi måste göra ett exempel av dessa rebeller med detsamma!
MAIN_ADVISOR_RESIST_COUNCIL       | Våra odds att lyckas här har alltid varit marginella. Att vi nu dessutom måste ta oss an det Galaktiska Rådet och dess allierade förändrar inte våra chanser märkvärdigt.
