// race-specific variables (must start with _)
_empire                           | Kholdan-kolonin, Klackran-kolonin, Klyckrin-kolonin, Arthropon-kolonin, Coleopteron-kolonin
_race                             | Kholdan, Klackrant, Klyckrin, Arthropon, Coleopteron
_race_plural                      | Kholdan, Klackrant, Klyckrin, Arthropon, Coleopteron
_title                            | ledare
_nameTitle                        |
_raceposs                         | Kholdans, Klackrants, Klyckrins, Arthropons, Coleopterons

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %2
MAIN_ADVISOR_BUTTON_OK            | Tänkvärt
MAIN_ADVISOR_SCOUT                | Mina skepp är äntligen färdigbyggda! Jag måste börja sända spejare för att finna nya planeter för att sända mitt koloniskepp till.
MAIN_ADVISOR_TRANSPORT            | Jag är nu etablerad på den här nya planeten och måste sända fler hemifrån för att expandera där. Det finns inget intelligent liv här, så mitt sökande fortsätter.
MAIN_ADVISOR_DIPLOMACY            | Nytt självmedvetet liv, äntligen! Vilken konstig livsform det är som kommunicerar genom ljud och gester. Jag måste tänka över det här om diplomati och den information jag samlat om dem innan jag gör mitt nästa drag.
MAIN_ADVISOR_SHIP_ENGINE          | Jag fortsätter att utvecklas, nu med den här förfinade tekniken för rymdskeppsmotorer. Jag behöver se över mina ritningar över skepp för att integrera den nya tekniken i mina flottor.
MAIN_ADVISOR_RALLY_POINTS         | Varför anfaller de mig? Jag förstår inte. Jag behöver välja en samlingspunkt för mina skepp att samlas i gemensamt försvar medan jag funderar över varför det här hänt.
MAIN_ADVISOR_MISSILE_BASES        | Jag förstår nu att inte allt liv har insett kraften i samarbete. Jag behöver befästa mina yttre världar med defensiva missilbaser för att hålla mina förvärv säkra.
MAIN_ADVISOR_SHIP_WEAPON          | Jag avancerar ännu mer, och min nya vapenteknik kommer göra mig mer stridskapabel, så snart som jag integrerat den i nya skeppsritningar.
MAIN_ADVISOR_COUNCIL              | Intressant! Ett möte för många sorters varelser kommer snart att äga rum. Vilka sorts livsformer kommer att samlas där? Om jag visar min bra sida bland de jag känner, kanske de hjälper presentera mig för de nya varelserna.
MAIN_ADVISOR_REBELLION            | Vad har hänt nu? Jag har tappat kontrollen över mig själv vid %1. Jag måste, helt enkelt, fara dit och visa att det är jag som bestämmer.
MAIN_ADVISOR_RESIST_COUNCIL       | Det är omöjligt! Att någon annan blev vald till att leda dessa fånleende imbeciller, medan min visdom ignoreras! Nåja, jag får väl göra slut på dem alla nu då!
MAIN_ADVISOR_COUNCIL_RESISTED     | Varför måste de här träskallarna envisas med att vara så bångstyriga? Rådet är mitt, galaxen är min, och nu kommer de få lära sig sin rätta plats under mitt styre!

MAIN_SCOUT_TITLE                  | Jag har utforskat ett nytt stjärnsystem
MAIN_COLONIZE_TITLE               | Jag är i omloppsbana vid %1, ett okoloniserat system.
MAIN_COLONIZE_ANIMATION_TITLE     | År %1, grundar jag en ny koloni.
MAIN_ALERT_SPY_CAPTURED           | Jag har tillfångatagit en spion från [alien_empire], och har tvingat fram ett erkännande om deras planer om %2.
MAIN_ALERT_TRANSPORTS_KILLED      | Mitt försök att nå %2 har stoppats av ett försvar från [alien_race].
MAIN_ALERT_INVADERS_KILLED        | [alien_raceposs] transporter som försökte invadera %2 har alla förstörts av mig.
MAIN_BOMBARD_TITLE                | Jag är i omloppsbana vid en koloni tillhörandes [alien_race].

TECH_RESEARCH_COMPUTER            | Jag behöver välja nästa datorteknologi att försöka utveckla.
TECH_RESEARCH_CONSTRUCTION        | Jag behöver välja nästa konstruktionsteknologi att försöka utveckla.
TECH_RESEARCH_FORCE_FIELD         | Jag behöver välja nästa kraftfältsteknologi att försöka utveckla.
TECH_RESEARCH_PLANETOLOGY         | Jag behöver välja nästa planetlära att försöka utveckla.
TECH_RESEARCH_PROPULSION          | Jag behöver välja nästa färdteknologi att försöka utveckla.
TECH_RESEARCH_WEAPON              | Jag behöver välja nästa vapenteknologi att försöka utveckla.
TECH_DISCOVERY_TITLE              | Jag har uppnått ett framsteg inom %1
TECH_SCOUTED_TITLE                | Bland Ruinerna vid %1, upptäckte jag en ny Teknologi.
TECH_STOLEN_TITLE                 | Jag har infiltrerat %1 forskningscentra vid %2.
TECH_TRADED_TITLE                 | Jag Erhåller Ny Teknologi från [alien_raceposs] Forskare
TECH_PLUNDERED_TITLE              | Vid Plundringen av Ruinerna vid %1, har Jag upptäckt ny Teknologi
TECH_ALLOCATE_SHIELD              | Ska jag öka allokeringsration i försvar för alla mina kolonier för att bygga de nya planetära sköldarna?
TECH_ALLOCATE_MISSILE_BASES       | Ska jag öka allokeringsration i försvar för alla mina kolonier för att uppgradera missilaserna?
TECH_ALLOCATE_FACTORIES           | Ska jag öka allokeringsration i idustri för alla mina kolonier för att uppgradera fabrikskontrollerna?
TECH_ALLOCATE_CLEAN_WASTE         | Ska jag ändra allokeringsration i ekologi för alla mina kolonier till minimum för att hålla dem rena?
TECH_ALLOCATE_ENRICH_SOIL         | Ska jag öka allokeringsration i ekologi för alla mina kolonier med standardklimat för att börja terraformera planeterna?
TECH_ALLOCATE_ATMOSPHERE          | Ska jag öka allokeringsration i ekologi för alla mina kolonier med ogästvänligt klimat för att börja terrformera planeterna?
TECH_ALLOCATE_TERRAFORM           | Ska jag öka allokeringsration i egologi för alla mina kolonier för att börja terraformera mina planeter?

NOTICE_ESPIONAGE_TITLE            | Jag har infiltrerat en bas tillhörandes [alien_race].
NOTICE_ESPIONAGE_FRAME_TITLE      | Jag har lyckats beskylla en annan nation för intrånget.

SHIP_COMBAT_TITLE_DESC            | Jag möter en fientlig flotta från [alien_race].

SABOTAGE_FACTORIES_RESULT         | Jag har förstört %1 fabriker.
SABOTAGE_BASES_RESULT             | Jag har förstört %1 missilbaser.
SABOTAGE_REBELS_RESULT            | Jag har uppviglat %1 rebeller.
SABOTAGE_REBELS_TOTAL             | Jag har uppviglat %1 rebeller. %2% av populationen är oroade.
SABOTAGE_REBELS_REVOLT            | Jag har startat ett uppror!

COUNCIL_CAST_PROMPT               | Jag måste välja (%1 röster)...

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Ditt slutliga öde visade ingen nåd.#Vid din resas början, pilade du ut i rymden med hopp om att finna en annan livsform lika unik som dig. Dessvärre behölls den drömmen oförverkligad ända till dagen för din död. Inte nog med att de andra intelligenta livsformerna du fann visade sig att vara helt annorlunda från dig, men de visade sig också vara våldsamma och obrydda om din målsättning. Det våldet blev ultimat vad som krossade dina drömmar, och alla dina planeter är nu i händerna på de som hatade dig från första stund ni möttes.#Alla dina kroppar ligger brutna och livlösa där de dödades, från din hemvärld till de mest distanta av dina förra kolonier. Och när ljuset falnar i ögonen på din sist kvarstående hållare av ditt medvetande, så inser du att universum är på väg att förlora dess mest unika livsform för alltid...
GAME_OVER_MILITARY_WIN2           | Ditt sökande har nått sitt slut... för den här gången.#Det var med höga förväntningar du djärvt drömde om att finna ett medvetande likt ditt någonstans i rymdens djup. Även om du bemötte många andra typer av högre intelligens, blev det snart alltför uppenbart att ingen av dem liknande dig, utan du var unik och skiljde dig från dem. Och än värre: i sin rädsla för vad de inte kunde förstå, anföll de dig, vilket väckte det värsta av gensvar från dig och de otaliga kroppar du huserade. Det var med tungt hjärta som du gjorde dem om intet, och ett ännu tyngre hjärta som du sedan fann dig som ensam stående intelligent liv i galaxen.#Men än är inte allt förlorat. Även om dessa främmande varelser med sina individuella jag och själv inte tillfredsställde ditt sökande, inser du nu att det finns ett helt universum där ute att utforska. Allt du behöver göra är att sprida dig till den här galaxens varje hörn, och sen påbörja ditt sökande på nytt i nästa...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Ditt sökande har nått sitt slut... för den här gången.#Ditt hjärta är fyllt till brädden med den djupaste sorg över de åtgärder du tvingats vidta. I ditt sökande efter en like bland galaxens planeter, så har du istället mött en skara ignoranta bestar som fräste mot dig för hur annorlunda du var jämfört med dem. När deras ord vändes i våldsamma initiativ, besegrade du dem för att försvara dig själva och dina intressen, alltid hoppandes att de skulle komma att inse problematiken i sitt beteende och att se dig som den unika livsform du är. Men dina förhoppningar grusades, och all de som bemötte dig med våld har nu blivit tystade för evigt.#Men du kan glädja dig, du uråldrige! Även om du inte fann ett medvetande likt ditt eget, så hade du turen att finna allierade du sannerligen kan lita på innan den här resans slut. Sannerligen märkligt, men de hyser åtminstone en liknande vänskap som du känner för dem. Om din längtan efter att se om du verkligen är den ende av ditt slag i universum grabbar tag i dig igen, då kan du färdas till andra galaxer närhelst det faller dig in. För tillfället kan du slappna av och njuta av denna gemenskap du funnit, du kommer säkert upptäcka många fördelar av den.
GAME_OVER_COUNCIL_LOSS2           | Ditt sökande har nått sitt slut... för den här gången.#Det var inte det här du ville för din resa genom stjärnhimlens vidder, på jakt efter din like. Även om du har mött många märkliga och udda folkslag på din färd, så har du mött många osmakliga och illasinnade kulturer likaså. Det smärtar dig att en av de allra drygaste du mött nu sitter som Mästare av den Nya Republiken. Du tvivlar på att denna nya ledare kommer se med vänliga ögon på dig, och allt bevis du behöver som underlag för din oro kommer från tidigare interaktioner du haft med denne oliksinnade ledare.#Allt du ville var att hitta en annan som var lika annorlunda som dig. Nu kan du bara vänta i underkastelse vid högre makters knä. Du kan bara stilla be att %5 lämnar dig i fred, för om de skulle känna för det, då kommer hela galaxens gemensamma styrkor sändas ut mot dig...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Ditt sökande har nått sitt slut... för tillfället.#En ny ålder begynner för Kholdan, och dina trofasta vänner, %5, har nu tagit ledarskapsposition för att leda den Nya Republiken in i en strålande framtid. Olik dig på många sätt, så har ändå era vänner förhållt sig mot dig med intresse och medkänsla, och du sätter din tillit till att de kommer tillåta dig fortsätta i ditt sökande när arbetet med att etablera denna nya allians är fullbordat. Det kommer inte att vara enkelt för de olika, vitt skilda livsformerna att uppnå en harmonisk samexistens, men du är säker på att %8 kommer att genomföra det.#I slutänden har du en känsla av att ändå vara nöjd med resultatet. Du var aldrig särskilt brydd i finbroderiet av politisk manövrering ändå, och kan med lättnad låta din vän ta den bördan från dina axlar för evigt. Allt du önskade uppnå var att finna en annan själ lik din egen någonstans i galaxen. Kanske, en dag, kan din önskan gå i uppfyllelse...
