// race-specific variables (must start with _)
_empire                           | Meklonar Domän, Mekanar Domän, Cybernar Domän, Digitar Domän, Technar Domän
_race                             | Meklonar, Mekanar, Cybernar, Digitar, Technar
_race_plural                      | Meklonar, Mekanar, Cybernar, Digitar, Technar
_raceposs                         | Meklonars, Mekanars, Cybernars, Digitars, Technars
_title                            | Upphöjde Domare
_nameTitle                        | Upphöjde Domare 

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %1 Rådenhet
MAIN_ADVISOR_BUTTON_OK            | Fortsätt
MAIN_ADVISOR_SCOUT                | Lämpliga skepp förberedda för utforskning och kolonisation. Väntar direktiv för att påbörja operationer.
MAIN_ADVISOR_TRANSPORT            | Första kolonin etablerad på närliggande planet. Designerad "%1." Finns utrymme för en kvantitet av %2 populationsenheter. %3 är redo att utöka närvarande population genom transportskepp.
MAIN_ADVISOR_DIPLOMACY            | Främmande varelser skannade. Betecknat art som "%1." Väntar vidare instruktioner från Huvuddatorn.
MAIN_ADVISOR_SHIP_ENGINE          | Forskning om förbättrad driftteknik färdigställd. Kontakta ingenjörer om alternativ för implementering av nya designer.
MAIN_ADVISOR_RALLY_POINTS         | Art betecknad "%1" har agerat motsättande, framstår som ett hinder till protokoll för upptäckten av odödlighet. Designera samlingspunkter för att centralisera flottan och tilldela avgörande tillslag i strid.
MAIN_ADVISOR_MISSILE_BASES        | Förfrågan från militära divisionen: konstruera defensiva missilbaser på ytan av yttre liggande världar. Möjliggör defensiva positioner mot externa initiativ till aggression.
MAIN_ADVISOR_SHIP_WEAPON          | Forskning för vapen av högre prestande färdigställd. Kontakta ingenjörer om alternativ för implementering av nya designer.
MAIN_ADVISOR_COUNCIL              | Notifikation: sammanslutnings-program för interstellära imperier. Designerat "Galaktiska Rådet". Enheter köade för att sändas för fysisk närvaro, i syfte att förtydliga Huvuddatorns uppdrag.
MAIN_ADVISOR_REBELLION            | Varning. Uppstickar-program funnet infekterandes %1 koloni. Behov av sändande av nya enheter med syfte att förstöra påverkade Meklonar för att återetablera Domänens kontroll.
MAIN_ADVISOR_RESIST_COUNCIL       | Galaktiska Rådets designerade nya ledare klassifierat som hot mot Domänens målsättning. Mobilisera alla tillgängliga resurser i syfte för att eliminera ledare med allierade.
MAIN_ADVISOR_COUNCIL_RESISTED     | Uppror av fientliga arter illa valt agerande. Domänen kontrollerar huvuddelen av galaxen. Mobilisera flottor i syfte för att stänga ner okontrollerade element.

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
