// race-specific variables (must start with _)
_empire                           | Ssslaura Samfund, Reptara Samfund, Saura Samfund, Lasserta Samfund, Tyranna Samfund
_race                             | Ssslaura, Reptara, Saura, Lasserta, Tyranna
_race_plural                      | Ssslaura, Reptara, Saura, Lasserta, Tyranna
_raceposs                         | Ssslauras, Reptaras, Sauras, Lassertas, Tyrannas
_title                            | Främste Odlare
_nameTitle                        | Främste Odlare 

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %1 Viskare
MAIN_ADVISOR_BUTTON_OK            | Uppfattat
MAIN_ADVISOR_SCOUT                | Vi kan äntligen börja förädla klimat på planeter bortom vårt eget solsystem. Främste Odlare, skicka ut våra spanare och koloniskepp till närliggande planeter snarast möjligt!
MAIN_ADVISOR_TRANSPORT            | Vi har etablerat vår första koloni på en helt ny värld. När ni gett order om att sända transportskepp, så kan vi utöka populationen där och lösa mysterierna på %1 ännu snabbare! 
MAIN_ADVISOR_DIPLOMACY            | Ett annat folkslag kapabla till interstellär rymdfart har kommit i kontakt med vårt Samfund. Låt oss öppna dialog och höra hur de behandlar sina egna planeter. Efter det kan vi få en bättre bild om hur vi ska förhålla oss mot dem.
MAIN_ADVISOR_SHIP_ENGINE          | Vi har utvecklat skeppsmotorer med långt högre prestanda än de vi använder nu. Låt oss designa nya skeppsmodeller så snart vi kan.
MAIN_ADVISOR_RALLY_POINTS         | Våra grannar verkar... missnöjda. Vi kan använda samlingspunkter för att samordna våra skepp, utan att sprida ut dem, för att samla nog med styrka att försvara våra dyrbara nya planeter.
MAIN_ADVISOR_MISSILE_BASES        | Det smärtar mig att ens överväga att smutsa ner våra planeter på detta sätt, men vi kan göra plats för defensiva missilbaser för att skydda dem från det ännu värre hotet om anskrämliga fiendeattacker.
MAIN_ADVISOR_SHIP_WEAPON          | Vi har upptäckt ett vetenskapligt framsteg angående mer effektiva sätt att vålla andra skepp skada. Vi borde definitivt utrusta de nya skepp vi tillverkar med sådan teknik i fortsättningen.
MAIN_ADVISOR_COUNCIL              | Det ska hållas ett möte kallat det "Galaktiska Rådet" som alla avancerade civilisationer troligtvis kommer att närvara vid. Det här skulle kunna vara ett tillfälle för oss att se efter vilka imperier som skulle motsätta sig emot... Samfundets expansion.
MAIN_ADVISOR_REBELLION            | Främste Odlare! Ett uppror har brutit ut på %1. Jag vet inte vad som orsakat det, men jag vet vad lösningen borde vara! Transporter av vår lojala befolkning kan upprätta kontroll igen.
MAIN_ADVISOR_RESIST_COUNCIL       | De kan ju glömma att vi bara kommer ta det här, eller hur? Vi kommer att bestrida Rådet nu, eller hur!? Tänk vad som annars skulle hända alla stackars planeter!
MAIN_ADVISOR_COUNCIL_RESISTED     | De där snuskiga rebellerna! Vi kunde knappt tolerera deras blotta existens, och nu vill de göra uppror? Ge oss order att utrota dem: många av deras världar återstår att tas upp i Samfundet!
 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
