// race-specific variables (must start with _)
_empire                    | Kiseloid-imperiet, Vulkanoid-imperiet, Magmoid-imperiet, Granitoid-imperiet, Sedimentoid-imperiet
_race                      | Kiseloid, Vulkanoid, Magmoid, Granitoid, Sedimentoid
_raceposs                  | Kiseloiders, Vulkanoiders, Magmoiders, Granitoiders, Sedimentoiders
_race_plural               | Kiseloider, Vulkanoider, Magmoider, Granitoider, Sedimentoider
_title                     | Kristallkejsare
_titlebest                 | Kristallkejsaren
_nameTitle                 | Kristallkejsare

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE         | %1 Blixtgivare
MAIN_ADVISOR_BUTTON_OK     | Klart
MAIN_ADVISOR_SCOUT         | Store Kejsare, era spejare står redo att eskortera vårt första koloniskepp till vilken värld ni än önskar! Ge oss ordern, så ska vi utföra din vilja!
MAIN_ADVISOR_TRANSPORT     | Kolonin vid %1 har blivit etablerad i ditt namn, mäktige Kejsare! Om det är din vilja att förstärka ditt nya välde med transporter av arbetare, ge oss bara ett ord så ska vi utföra det!
MAIN_ADVISOR_DIPLOMACY     | Store Kejsare! En representant från ett utomkrisloniskt folk annalkar er tron! Kan det här kanske vara vår evige fiende? Vi har utlyst högsta beredskap!
MAIN_ADVISOR_SHIP_ENGINE   | Dina forskare har färdigställt planer för ny skeppsdrift! De kan börja modifiera era flottor, när det er skulle behaga.
MAIN_ADVISOR_RALLY_POINTS  | Äntligen! Vårt heliga krig börjar här, Store Kejsare! Befall era flottor att samlas vid din utvalda värld, så ska de sedan krossa vår vedervärdige fiende!
