

//
// Armor techs
// 
ARMOR_0_NAME     | Titanpansar
ARMOR_0_ITEM     | Titan
ARMOR_0_BRIEF    | Hit Points %1
ARMOR_0_DETAIL   | Den tidigaste anpassningen av pansar för strid mellan rymdskepp. Ingen extra effektivitet för skeppspansar eller markstrid.

ARMOR_1_NAME     | Duralloy-pansar
ARMOR_1_ITEM     | Duralloy
ARMOR_1_BRIEF    | Hit Points %1
ARMOR_1_DETAIL   | Ökar mängden skadepoäng stridsskepp och transportskepp tål med 50%. Marktruppers stridsutrustning förhöjs också i effektivitet, vilket tillägger +5 till all markstrid.

ARMOR_2_NAME     | Zortrium-pansar
ARMOR_2_ITEM     | Zortrium
ARMOR_2_BRIEF    | Hit Points %1
ARMOR_2_DETAIL   | Ökar mängden skadepoäng stridsskepp och transportskepp tål med 100%. Marktruppers stridsutrustning förhöjs också i effektivitet, vilket tillägger +10 till all markstrid.

ARMOR_3_NAME     | Andrium-pansar
ARMOR_3_ITEM     | Andrium
ARMOR_3_BRIEF    | Hit Points %1
ARMOR_3_DETAIL   | Ökar mängden skadepoäng stridsskepp och transportskepp tål med 150%. Marktruppers stridsutrustning förhöjs också i effektivitet, vilket tillägger +15 till all markstrid.

ARMOR_4_NAME     | Tritanium-pansar
ARMOR_4_ITEM     | Tritanium
ARMOR_4_BRIEF    | Hit Points %1
ARMOR_4_DETAIL   | Ökar mängden skadepoäng stridsskepp och transportskepp tål med 200%. Marktruppers stridsutrustning förhöjs också i effektivitet, vilket tillägger +20 till all markstrid.

ARMOR_5_NAME     | Adamantium-pansar
ARMOR_5_ITEM     | Adamantium
ARMOR_5_BRIEF    | Hit Points %1
ARMOR_5_DETAIL   | Ökar mängden skadepoäng stridsskepp och transportskepp tål med 250%. Marktruppers stridsutrustning förhöjs också i effektivitet, vilket tillägger +25 till all markstrid.

ARMOR_6_NAME     | Neutronium-pansar
ARMOR_6_ITEM     | Neutronium
ARMOR_6_BRIEF    | Hit Points %1
