// race-specific variables (must start with _)
_empire                           | İnsan Üçlü Erkliği, Dünya Üçlü Erkliği, Arz Üçlü Erkliği, Cihan Üçlü Erkliği, Yerküre Üçlü Erkliği
_race                             | İnsan, Dünyalı, Arzlı, Cihanlı, Yerküreli
_race_plural                      | İnsanlar, Dünyalılar, Arzlılar, Cihanlılar, Yerküreliler
_title                            | Erk
_nameTitle                        | Erk

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %1 Danışmanı
MAIN_ADVISOR_BUTTON_OK            | Reddet
MAIN_ADVISOR_SCOUT                | Lojistik bölümümüz, bir çift gözcü ve bir koloni gemisinin konuşlanmaya hazır olduğunu bildirdi. Mümkün olan en kısa sürede yakın bir gezegen bulup onu kolonileştirmemizi öneriyorum.
MAIN_ADVISOR_TRANSPORT            | %1 mevkisinde bir koloninin kurulması başarılı oldu. Ne kadar çok taşıyıcı kullanırsak, %1 o kadar hızlı gelişip yıldızlararası imparatorluğumuzun temel taşı haline gelecek.
MAIN_ADVISOR_DIPLOMACY            | Erk, uzaylı bir uygarlıkla ilk temasımızı teyit etmekten heyecan duyuyorum! Lütfen malumatımızı gözden geçirin de bu uzaylıları amaçlarımıza daha iyi hizmet etmeleri için kullanmaya başlayabilelim.
MAIN_ADVISOR_SHIP_ENGINE          | İtki araştırmalarımız daha gelişmiş bir gemi tasarımıyla sonuçlandı. Lütfen bu buluşu gelecekteki tüm gemilere dahil edin. Şimdilik bu kadar.
MAIN_ADVISOR_RALLY_POINTS         | Askeri güçlerimiz savaşa hazırlanıyor, ancak güçlerimizi hızla harekete geçirmemiz gerekecek. Yeni oluşturulan gemilerimizi bir an önce filoya katmak için toplanma noktalarını kullanmanızı öneririm.
MAIN_ADVISOR_MISSILE_BASES        | Stratejistlerimiz, bölgemiz sınırlarındaki dünyaların savunma kapasiteleri hakkında endişeleniyor. Gezegen savunmalarını güçlendirmek için füze üsleri oluşturmayı tavsiye ediyorlar ve ben de onların değerlendirmelerine katılıyorum.
MAIN_ADVISOR_SHIP_WEAPON          | En son araştırmamız, silah teknolojisinde bir ilerlemeye yol açtı. Bundan böyle her zaman yeni gemi tasarımlarını bu silahları içerecek şekilde değiştirebilirsiniz.
MAIN_ADVISOR_COUNCIL              | Erk! Tüm yıldızlararası imparatorlukların buluşması sadece 5 kısa yıl sonra gerçekleşecek. Diplomatlarımızı hakkımızdaki izlenimleri iyileştirmeleri için yönlendirin ve biz de avantajlarımızı bu Galaktik Konseyi kendi amaçlarımıza yöneltmek için kullanalım.
MAIN_ADVISOR_REBELLION            | %1 civarında bir isyanın başladığına dair haberler duydum. Bir isyan! Bir bu eksikti! Haydi araziye birlik indirip koloniyi kontrol altına alalım.
MAIN_ADVISOR_RESIST_COUNCIL       | Öyle ya da böyle bu son savaşımız olacak gibi görünüyor. Umarım tüm geçmişimizin bize öğrettikleri, ileride karşılaşacaklarımıza hazırlanmak için yeterli olur...
MAIN_ADVISOR_COUNCIL_RESISTED     | Şu aptal isyancılara bakın! Biz bu galaksiyi ilerletmek için demokratik olarak seçildik ve onların tek düşünebildikleri savaş öyle mi?! O zaman haydi onlara istediklerini verelim! 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | En iyi planların kalıcı olarak suya düştü.#Seninki hem dışarıdan hem de içeriden gelen zorluklara göğüs geren bir türdü. Ama burada, uzayın derinliklerinde, insanların, boy ölçüşmeyi ümit edemeyecekleri düşmanlardan gelen baş edemeyecekleri zorluklar gördüler. Bu ortak düşman karşısında birlik içinde olduklarında bile, insanlığın gücü ve yaratıcılığının her düzeyde geride kaldığı belli oldu ve güçlü diplomatik bağları sürdürmekle övünen bir imparatorluk, söz konusu diplomasiyi kullanamadıklarına mağlup oldu.#Artık hayalleri olmayacak Dünya halkının, yazılar, sanatlar ve şarkılar olmayacak. Bir zamanlar insanlığın tüm evrende yankılanan umutlu sesi, şimdi dağılan bir nakarattan başka bir şey değil, yerini önce kısa bir süre uğursuz bir ağıt ve sonra da sonsuza dek sürecek bir sessizlik aldı...
GAME_OVER_MILITARY_WIN2           | En iyi planların sonunda başarıya ulaştı.#Neşelen, Erk! Sonunda, uzun yıllar süren hazırlık ve işlerinin dikkatli bir şekilde düzenlenmesi tam bir zafere vesile oldu. Yalnızca usta bir diplomat, bir yandan düşmanları birer birer ortadan kaldırırken bu kadar çok imparatorlukla dostane ilişkiler sürdürebilir ve ancak parlak bir taktik uzmanı, güçlerini böyle göz korkutucu ve güçlü düşmanlara karşı başarıya götürebilirdi. Müttefikin olarak kalmaya ikna edebildiklerin şüphesiz, son nefesleriyle sonundaki ihanetine lanet etti. Şimdi onlar tarihin sayfalarındaki mürekkepten fazlası değiller ve o da ancak sen o sayfalarda kurumalarına izin verirsen.#Yakında Üçlü Erklik genelinde insanlığın daha önce hiç görmediği bir kutlama olacak. İnsanlar yıldızlara ilk baktıkları andan beri galakside yalnız olup olmadıklarını merak ettiler. Şimdi, bin yıl sonra, bu yakıcı soru nefes kesici son cevabını buldu. 
GAME_OVER_MILITARY_ALLIANCE_WIN2  | En iyi planların sonunda başarıya ulaştı.#Yalnızca bir aptal, bir imparatorluğu yol boyunca arkadaş edinmeden gerçekten kalıcı bir barışa götürebileceğini düşünürdü. Sizi galaksiden kovmaya çalışan düşmanların aksine aptal olmadığını şüpheye mahal bırakmayacak şekilde kanıtladın. İhtiyaç zamanında, kurtuluşunun yolu güç ya da kurnazlığın değil,güçlü dostluk bağlarından geçiyordu. Artık düşmanlarının hayaletleri sadece sefil bir yenilginin tadını biliyorken, sen ve müttefiklerin refahın meyvelerinin tadını sonsuza kadar birlikte çıkarmakta özgürsünüz.#Bu savaş, bu zafer ve bu barış, tarafların torunları için değerli dersler sağlayacak. İttifakların en korkunç silahlardan bile daha güçlü olduğunu öğrenecekler ve soğukkanlılığın her zaman en korkunç vahşete dahi galip geleceğini öğrenecekler. Erk, rahatla ve refahının tadını çıkar ve bil ki halkın da sonsuza kadar aynısını yapacak...
GAME_OVER_COUNCIL_LOSS2           | En iyi planların kalıcı olarak suya düştü.#Bu senin en önemli anın olmalıydı: Galaksideki tüm diğer imparatorlukların üzerinde yerini garantileyen kesin bir diplomatik zafer. Bunun yerine, umutların, diplomatları görünüşe göre seninkinden daha ikna edici ve karizmatik olan birisinin Yeni Cumhuriyetin tahtını gasp etmesiyle son dakikada suya düşürüldü. Galaksinin yeni hükümdarı, diğerlerini sistematik olarak tek gerçek müttefikin kendileri olduğuna ve zamanındaki sözlerinin yalnızca geleceğin kontrolünü sana ve halkına bırakmak için tasarlanmış aldatıcı zehirler olduğuna ikna ettiğinden, ittifak oluşturmak için yaptığın o bütün çalışmaların yakında aleyhine döneceğine şüphe yok.#Diplomatik hedeflerin artık ideallerini ilerletmek değil de ırkının hayatta kalmasına yönelecek. Tek bir yanlış adım, insanlarını son savaşlarına sürükleyebilir. Erk, ufku yakından izle: En ufak ve mütevazı alametler bile sonun başlangıcı olabilir...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | En iyi planların insanlığın hayatta kalmasını sağladı.#Farklı kararlar, Yeni Cumhuriyet'in liderliğini müttefikin yerine senin üstlenmene yol açmış olsa da, seni tercih yapacak konuma harika siyasi manevralarının getirdiğini kimse inkâr edemez. %6 ırkıyla olan sarsılmaz ittifakınız sayesinde, hiç kimsenin Üçlü Erk'i bütün galaksinin gazabıyla yüzleşme pahasına tehdit etmeye cesaret edemeyeceğinden emin olabilirsin. %8 gücünü görüp, anladın ve Yeni Cumhuriyet'in Efendisinin en büyük sırdaşı olarak, ne pahasına olursa olsun halkının arzularının yerine getirilmesini sağlayacaksın.#En nihayetinde, hayatta kalmak başlı başına en önemli zaferdir ve bu, insanlarının bu bilinmeyen gelecekte hayatta kalacağına hiç şüphe yok. Ve kim bilir, Üçlü Erk: belki de galaksinin yeni efendisinin dikkatine sahip olmak, zaten efendinin kendisi olmak kadar verimli olur...
