// race-specific variables (must start with _)
_empire                           | Meklar İdaresi, Mekanar İdaresi, Sibernar İdaresi, Dijitar İdaresi, Teknar İdaresi
_race                             | Meklar, Mekanar, Sibernar, Dijitar, Teknar
_race_plural                      | Meklarlar, Mekanarlar, Sibernarlar, Dijitarlar, Teknarlar
_title                            | Yüksek Arabulucu
_nameTitle                        | Yüksek Arabulucu 

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %1 Danışmanı
MAIN_ADVISOR_BUTTON_OK            | Reddet
MAIN_ADVISOR_SCOUT                | Filo keşif ve kolonizasyon için hazırlandı. Operasyonlara başlamak için talimat bekleniyor. 
MAIN_ADVISOR_TRANSPORT            | Yakında bir dünyada ilk koloni kuruldu. "%1" olarak belirlendi. %2 ek nüfus barındırabilir. Nüfus takviyesi için %3 mevkisinden ek nüfus taşınabilir. 
MAIN_ADVISOR_DIPLOMACY            | Yeni tür tespit edildi. "%1" olarak belirlendi. Anaçatı'dan sonraki talimatlar bekleniyor. 
MAIN_ADVISOR_SHIP_ENGINE          | Gelişmiş itki araçlarına yönelik araştırma tamamlandı. Yeni tasarımın en iyi nasıl uygulanacağı konusunda mühendislerle görüş. 
MAIN_ADVISOR_RALLY_POINTS         | "%1" türü, ölümsüzlük protokolünün keşfedilmesini engelleyecek şekilde hareket etti. Filoyu birleştirip onlara saldırmak için toplanma noktası oluştur. 
MAIN_ADVISOR_MISSILE_BASES        | Askeri kısımdan talep: dış dünyaların yüzeylerinde savunma füze üsleri inşa et. Dünyaların dış saldırılara karşı korunmasını sağlayacaktır.
MAIN_ADVISOR_SHIP_WEAPON          | Yüksek güçlü silahlarla ilgili araştırma tamamlandı. Yeni tasarımın en iyi nasıl uygulanacağı konusunda mühendislerle görüş. 
MAIN_ADVISOR_COUNCIL              | Yıldızlararası imparatorlukların yakınsaması hakkında bildirim. "Galaktik Konsey" olarak tanımlanıyor. Anaçatı'nın iradesinin anlaşılmasını sağlamak için delegasyon gönderilecek. 
MAIN_ADVISOR_REBELLION            | Uyarı. %1 üzerindeki koloniye bulaşmış habis program. İdare birliği sağlamak için etkilenen Meklar'ı yok etmeye başlamalı. 
MAIN_ADVISOR_RESIST_COUNCIL       | Galaktik Konsey'in yeni lideri, İdare amaçlarına yönelik bir tehdit olarak kaydedildi. Lideri ve müttefikleri ortadan kaldırmak için tüm güçleri harekete geçir
MAIN_ADVISOR_COUNCIL_RESISTED     | Düşman türünün isyanı yanlış seçim. Bilinen galaksiyi artık İdare yönetiyor. Tüm filoları muhalifleri susturmaya gönder. 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Ölümlülüğünün sınırları acı bir şekilde hatırlatıldı...#Medeniyetin harap ve hayalin gerçeğe çevrilememiş. Rakip imparatorluklarını oluşturan uzaylı yaşam formları, aşılmaz derecede üstün biyoteknolojine rağmen, alt edebileceğinin ötesinde bir güce sahipti. Halkının ömür uzatan teknolojiyi arayışlarında yalnız bırakılmaktan başka bir şey istemediğini tekrar tekrar ifade etmene rağmen, rakiplerin her fırsatta emellerini engellemek için ellerinden geleni yaptılar. Korkudan, eğlencesine ya da belki de sebepsiz yere, seni engellemeyi seçtiler ve şimdi halkın sonsuza dek yok oldu.#Başka bir zamanda, başka bir gerçeklikte halkın aradıkları ölümsüzlüğü bulur ve ortak sonsuz yaşamın sevincini tecrübe edebilecek bir halka dönüşürdü. Ve o sonsuzlukta, o gerçeklikte, zamanın boyunduruğundan azade olan Meklar, evrenin ve varoluşun kendisinin sırlarını çözerdi. Ancak bu gerçeklikte, halkın artık yok ve Anaçatı Meklon'un derinliklerinde parçalanmış durumda, bir daha asla bilgece öğüt veremeyecek...
