// race-specific variables (must start with _)
_empire                           | Mırşan Aşireti, Purşan Aşireti, Miyavşan Aşireti, Pençan Aşireti, Sısşan Aşireti
_race                             | Mırşan, Purşan, Miyavşan, Pençan, Sısşan
_race_plural                      | Mırşan, Purşan, Miyavşan, Pençan, Sısşan
_title                            | Kağan
_nameTitle                        | Kağan

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %1 Danışmanı
MAIN_ADVISOR_BUTTON_OK            | Reddet
MAIN_ADVISOR_SCOUT                | Ah-ha! İlk filomuz hazır! Haydi onunla alınacak çok hazinesi olan düşmanların olduğu bir dünya bulalım.
MAIN_ADVISOR_TRANSPORT            | %1 üzerinde yeni bir bölge aldık. %3 mevkisinden ne kadar çoğumuzu taşırsak, bu dünyanın sahip olduğu ganimetleri o kadar hızlı buluruz.
MAIN_ADVISOR_DIPLOMACY            | Yeni bir uzaylı ırkıyla temas kurduk! Sence güçlü mü çıkacaklar, yoksa hazineleri kolayca alınacak mı?
MAIN_ADVISOR_SHIP_ENGINE          | Motorlarımızı geliştirip gemilerimizi daha da hızlı hale getirmenin bir yolunu bulduk! Onları gemi tasarımlarımızda kullanırsak, düşman dünyalara yaptığımız baskınlar daha da verimli hale gelecek!
MAIN_ADVISOR_RALLY_POINTS         | Kağan! Savaş kapımızda! Hanlıklar şu an seninle birlik olma taahhüdünü yerine getirecekler, bunun için onlara filolarını nereye göndereceklerini göstermek için bir toplanma noktası belirle!
MAIN_ADVISOR_MISSILE_BASES        | Kontrolümüz altındaki uç dünyalar düşman saldırısına karşı savunmasız! Düşman eline geçmelerini önlemek için füze üsleri inşa edelim.
