// race-specific variables (must start with _)
_empire                           | Psaylon Cumhuriyeti, Aklon Cumhuriyeti, Psikon Cumhuriyeti, Beynon Cumhuriyeti, Nörlon Cumhuriyeti
_race                             | Psaylon, Aklon, Psikon, Beynon, Nörlon
_race_plural                      | Psaylonlar, Aklonlar, Psikonlar, Beynonlar, Nörlonlar
_title                            | Yüksek Müsteşar
_nameTitle                        | Yüksek Müsteşar 


//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//


// Advisor text
MAIN_ADVISOR_TITLE                | %1 Danışmanı
MAIN_ADVISOR_BUTTON_OK            | Reddet
MAIN_ADVISOR_SCOUT                | Yüksek Müsteşar, keşif filomuz hazır. Yakında yeni bir dünya bulup orada bir yerleşim yeri kurmamızı ihtiyatlı buluyor musun?
MAIN_ADVISOR_TRANSPORT            | Yeni kolonimiz kuruldu. Konsey şimdi oraya, eğer göndereceksek, kaç kişiyi bir nakliye gemisiyle göndermemiz gerektiğini görüşüyor.
MAIN_ADVISOR_DIPLOMACY            | Uzayın derinliklerinden tamamen yeni bir medeniyet ortaya çıktı! Tercihlerinin şiddet değil de barışçıl bir arada yaşama olması için dua ediyorum. 
MAIN_ADVISOR_SHIP_ENGINE          | Bilim adamlarımız, yıldız gemisi motorlarımızın teknolojisinde sağlam bir ilerleme kaydettiler. Temsilciler şimdi konseyin önünde onların en iyi nasıl kullanılacağı konusunda önerilerde bulunuyor. 
MAIN_ADVISOR_RALLY_POINTS         | Talihsiz olsa da, Cumhuriyet şimdi kendisini bir savaşın ortasında buluyor. Konsey, yerleşimcilerimizin güvende kalmasını sağlamak için filolarımıza bir toplanma noktası belirlemeli.
MAIN_ADVISOR_MISSILE_BASES        | Kolonilerimizi istiladan korumak için savaş filoları yığmak yerine, savunma amaçlı füze üsleri inşa edebiliriz. Konsey, hangi dünyaların bu üslerin mevcudiyetinden en iyi şekilde yararlanacağı konusundaki düşüncelerini duymak istiyor. 
MAIN_ADVISOR_SHIP_WEAPON          | Konsey, gemi silahlarının en yeni tasarımları hakkında hararetli bir tartışma içinde. Bazıları bu silahların bir an önce yok edilmesini istiyor, ancak tamamen tedbir olarak gemi tasarımlarımızı değiştirmeyi de düşünebiliriz.
MAIN_ADVISOR_COUNCIL              | Yakında galaksinin en büyük ve güçlü halklarının keyifli bir buluşması olacak. Bu Galaktik Konseye katılıp göksel komşularımızın irfanını dinlemeliyiz.
MAIN_ADVISOR_REBELLION            | %1 nüfusunun anlaşmazlıkları bu şekilde ele almayı seçmesi çok şaşırtıcı. Konsey, sana bunu derhal, meseleyi duymalarını beklemeden, halletmen için izin verdi.
MAIN_ADVISOR_RESIST_COUNCIL       | Tüm çabalarımızın bizi getirdiği yerin savaş olması beni rahatsız etse de, tek alternatif bu savaş meraklısı konseye boyun eğmekse, halkımız için başka bir seçenek göremiyorum! 
MAIN_ADVISOR_COUNCIL_RESISTED     | Başkalarının barışı böylesine şiddetle reddettiğini görmek seni de üzmüyor mu? Başını dik tut, Yüksek Müsteşar: Bu, galaksinin gördüğü son savaş olacak.



// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Cumhuriyet şimdi mahvolmuş durumda...#Bir zamanlar, halkın, herkes için refah ve huzur içinde bir arada yaşamaktan başka bir şey istemiyor ve birleşik bir galaksinin hayalini kuruyordu. Ancak gerçekliğin acı dersi, herkesin rüyanızı paylaşmadığını ve hayal edilemeyecek güçte düşmanların çabalarını vahşi fetihlere yönlendirdiğini ortaya koydu. Muhalefetinizi önlemek için halkının isteklerini manipüle ettiler ve savaş makinelerini birbiri ardına yıkıcı darbeler indirmek için kullandılar ve nihayetinde bir savunmaya güç yetiremediniz.#Cumhuriyet güçlerinin son kalesi nihaî direnişini yaparken savaşın dalgaları altında kalıyorsunuz. Halkın, askerî güçte rakiplerinin onları geçmesini daha çok umursasaydı, sonunda kaderiniz farklı olur muydu? Düşmanlarınız son direnişinizi yaptığınız kalenin girişinde ilerlerken, cevabı asla bilemeyeceğini fark ettiğinde, son düşüncelerin ümitsizleşiyor...
GAME_OVER_MILITARY_WIN2           | Barış, en korkunç bedelle...#Cumhuriyet hayallerini gerçekleştirmek için korkunç bir bedel ödendi. Göksel komşularınız vahşi ve uzlaşmaz hale geldikçe, halkının güvenliği ve topyekün imha arasında bir seçim yapmak zorunda kaldın. Senato salonlarındaki sayısız tartışmalar ardından korkunç bir seçim yaptın: filolarını savaşın ateşine sürmek ve halkının hayatta kalması için dua etmek. Sonuç oldukça buruktu: Halkın galip gelse de, bunu galaksideki diğer tüm zeki yaşamlar pahasına başardılar.#Uzayın sessizliğinde son çatışma kalıntıları yankıları kesiliyor ve yeni bir barış çağı başlamak üzereyken galaksiyi bir sessizlik kaplıyor. Çok sayıda dünyaya yayılmış olan Psaylon Cumhuriyeti halkı, bu son büyük savaşın ardından hep birlikte gökyüzüne bakıyorlar, ancak hiçbir tezahürat veya kutlama sesi duyulmuyor. Kalbini şu an büyük bir keder sarıyor, çünkü galaksi bir daha asla savaşın dehşetini bilmeyecek olsa da, hayatın getirdiği çeşitliliğin neşesini de bilmeyeceğini anlıyorsun...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Barış, ama ne ağır bir bedelle#Halkın barış mesajınızı galaksiye yayarken, diplomatlarının onlara götürdüğü mesajlara kulak veren sayısız ırkla karşılaştınız. Bazıları tekliflerinizi hile ve şiddetle karşılasa da, sizi ciddiyetle dinleyip zamanla görüşlerinizi paylaşmaya başlayanlar oldu. Taraflar belli olduğunda, çağrılarını duyanlar bu savaşta müttefikin olmayı seçti ve birlikte büyük bir savaşın fırtınasını atlattınız. Halkın en kutsal ve aziz ilkelerine aykırı davranmaya zorlanmış olsa da sonunda zafer elde edildi ve şimdi müttefiklerin yalnızca barışın getirebileceği refahın meyvelerini paylaşabilir.#Bu kadar çok cana kıyılması ve hayat dolu uygarlıkların silinmesi çok büyük bir acı olsa da, halkının tarihindeki bu son döneme ulaşmak gerektiğini aslında biliyorsun: bu galaksinin bilebileceği son büyük savaş sona erdi ve sonunda barış hüküm sürebiliyor. Ancak bu barışın kalıcı olup olmayacağı, şimdiye kadar anlaştığın müttefiklerin kararlılığına bağlıdır...
GAME_OVER_COUNCIL_LOSS2           | Sonunda barış, bedeli ne olursa olsun...#Şimdi sonunda kararlılığının gerçek testi kapıda. Galaktik Konsey iradesini bildirdi ve galakside barışın yol gösterici güç olması için sarsılmaz arzunuza rağmen, Yeni Cumhuriyet'in Efendisi sonuçta Psaylonlar olmayacak. Senato odalarında hararetli tartışmalar sürdüyse de, sonunda bir anlaşmaya varabildiniz. Yönetme ayinini %7 ulusuna bırakmayı seçtin. Ancak bu imparatorlukla olan şimdiye kadarki tüm ilişkiler sana onların tehlikeli bir ırk olduklarını gösterdi ve Yeni Cumhuriyet'in liderinin barışı sadece kendi amaçlarına uygun olduğu sürece sürdüreceğinden hiç şüphen yok.#Ve savaş eşiğe geldiğinde Cumhuriyet ne yapacak? Varlığıyla şimdi boyun eğdiği galaksinin kıstaslarına artık uymadığında ne yapacak? Halkın bu basamakları ileride tırmanacak ve geriye baktıklarında şimdi aldığın kararı ya barış hayalini canlı tutan ya da kaderlerini sonsuza dek mühürleyen karar olarak görecekler...
