// race-specific variables (must start with _)
_empire                           | Sakkran Kurulu, Sürünan Kurulu, Zoran Kurulu, Yırtaran Kurulu, Reksan Kurulu
_race                             | Sakkralar, Sürünanlar, Zoranlar, Yırtaranlar, Reksanlar
_race_plural                      | Sakkralar, Sürünanlar, Zoranlar, Yırtaranlar, Reksanlar
_title                            | Baş Şef
_nameTitle                        | Baş Şef 

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | %1 Danışmanı
MAIN_ADVISOR_BUTTON_OK            | Reddet
MAIN_ADVISOR_SCOUT                | Sonunda, kendi dünyamızın ötesindeki dünyaların da ortamlarını mükemmelleştirmeye başlayabiliriz. Baş Şef, olabilecek en kısa sürede gözcülerimizi ve koloni gemimizi yakındaki bir gezegene gönder!
MAIN_ADVISOR_TRANSPORT            | Tamamen yeni bir dünyada ilk kolonimizi kurduk. Bir taşıyıcı gönderirsek, oradaki sayımızı artırıp ve %1 gizemlerini daha da hızlı çözebiliriz! 
MAIN_ADVISOR_DIPLOMACY            | Uzay yolculuğu yapabilen başka bir halk Kurul ile temas kurdu. Onlarla bir diyalog başlatıp kendi dünyalarına ne kadar iyi davrandıklarını görelim. Böylece onlarla en iyi nasıl başa çıkacağımızı göreceğiz.
MAIN_ADVISOR_SHIP_ENGINE          | Hali hazırda kullandığımızdan çok daha verimli gemi motorları tasarladık. Mümkün olan en kısa sürede yeni gemi şemaları oluşturalım. 
MAIN_ADVISOR_RALLY_POINTS         | Komşularımız bizi... geçimsiz buluyor. Güzel yeni dünyalarımıza herhangi bir zarar gelmesini önlemek için gemilerimizi tek bir konuma yönlendirecek toplanma noktaları kullanabiliriz. 
MAIN_ADVISOR_MISSILE_BASES        | Dünyalarımızı bu şekilde kirletmeyi düşünmek bile bana acı verse de, onları daha da çirkin hasarlardan korumak üzere savunma füze üslerine yer ayırabiliriz. 
MAIN_ADVISOR_SHIP_WEAPON          | Düşman gemilerine zarar vermenin daha etkili yolları hakkında bir keşif yapıldı. Bundan böyle ürettiğimiz yeni gemilere kesinlikle bu teknolojiyi uygulamalıyız. 
MAIN_ADVISOR_COUNCIL              | Tüm ileri medeniyetlerin katılacağı "Galaktik Konsey" adında bir toplantı var. Bu, Kurul'un... genişletilmesine başka hangi imparatorlukların karşı çıkacağını görmemiz için bir fırsat olabilir.
MAIN_ADVISOR_REBELLION            | Şef! %1 üzerinde bir isyan var. Sebebin ne olduğunu bilmesem de çözümün ne olması gerektiğini biliyorum!
MAIN_ADVISOR_RESIST_COUNCIL       | Bunu yatarak halletmemiz mümkün değil, değil mi? Şimdi konseyle savaşacağız, değil mi?! O zavallı gezegenlere ne olacağını düşünmezsek! 
