

//
// Armor techs
// 
ARMOR_0_NAME     | Titanyum Zırh
ARMOR_0_ITEM     | Titanyum
ARMOR_0_BRIEF    | Can: %1
ARMOR_0_DETAIL   | Başlangıç zırh teknolojisi. Gemi zırhına yahut kara saldırısına bonusu yoktur.

ARMOR_1_NAME     | Dayalaşım Zırhı
ARMOR_1_ITEM     | Dayalaşım
ARMOR_1_BRIEF    | Can: %1
ARMOR_1_DETAIL   | Gemi ve taşıtların canını yüzde 50 artırır. Şahsi muharebe zırhları da iyileştirilir ve bütün yer saldırılarına 5 ekler.

ARMOR_2_NAME     | Zortıryum Zırhı
ARMOR_2_ITEM     | Zortıryum
ARMOR_2_BRIEF    | Can: %1
ARMOR_2_DETAIL   | Gemi ve taşıtların canını yüzde 100 artırır. Şahsi muharebe zırhları da iyileştirilir ve bütün yer saldırılarına 10 ekler.

ARMOR_3_NAME     | Andryum Zırhı
ARMOR_3_ITEM     | Andryum
ARMOR_3_BRIEF    | Can: %1
ARMOR_3_DETAIL   | Gemi ve taşıtların canını yüzde 150 artırır. Şahsi muharebe zırhları da iyileştirilir ve bütün yer saldırılarına 15 ekler.

ARMOR_4_NAME     | Tritanyum Zırhı
ARMOR_4_ITEM     | Tritanyum
ARMOR_4_BRIEF    | Can: %1
ARMOR_4_DETAIL   | emi ve taşıtların canını yüzde 200 artırır. Şahsi muharebe zırhları da iyileştirilir ve bütün yer saldırılarına 20 ekler.

ARMOR_5_NAME     | Adamantiyum Zırhı
ARMOR_5_ITEM     | Adamantiyum
ARMOR_5_BRIEF    | Can: %1
ARMOR_5_DETAIL   | Gemi ve taşıtların canını yüzde 250 artırır. Şahsi muharebe zırhları da iyileştirilir ve bütün yer saldırılarına 25 ekler.

ARMOR_6_NAME     | Nötronyum Zırhı
ARMOR_6_ITEM     | Nötronyum
ARMOR_6_BRIEF    | Can: %1
ARMOR_6_DETAIL   | Gemi ve taşıtların canını yüzde 300 artırır. Şahsi muharebe zırhları da iyileştirilir ve bütün yer saldırılarına 30 ekler.


//
// Atmospheric Terraforming techs
// 
ATMOSPHERE_0_NAME      | Atmosferik Yerselleştirme
ATMOSPHERE_0_DETAIL    | 150 BC karşılığında Hasmane ortamları Normal ortamlara çevirir.

//
// Automated Repair techs
// 
AUTOREPAIR_0_NAME      | Otomatik Tamir Sistemi.
AUTOREPAIR_0_BRIEF     | Her tur, geminin hasarlarının yüzde 15'ini iyileştirir.
AUTOREPAIR_0_DETAIL    | Yok edilmemiş gemiler her tur toplam canlarının yüzde 15'ine kadar kendilerini tamir edebilirler.

AUTOREPAIR_1_NAME      | İleri Hasar Kontrolü
AUTOREPAIR_1_BRIEF     | Her tur, geminin hasarlarının yüzde 30'unu iyileştirir.
AUTOREPAIR_1_DETAIL    | Yok edilmemiş gemiler her tur toplam canlarının yüzde 30'una kadar kendilerini tamir edebilirler.


//
// Battle Computer techs
// 
// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | 
