// race-specific variables (must start with _)
_empire                    | Bulrathi Empire, Bearathi Empire, Ursinathi Empire
_race                      | Bulrathi, Bearathi, Ursinathi

// Advisor text
MAIN_ADVISOR_TITLE         | %1 Advisor
MAIN_ADVISOR_BUTTON_OK     | Dismiss
MAIN_ADVISOR_SCOUT         | Master, we’ve prepared both scouts and a colony ship for departure. We shall begin exploring and colonizing a nearby system at your command.
MAIN_ADVISOR_TRANSPORT     | The world of %1, added to our empire! Give the order and we shall begin sending transports immediately!
MAIN_ADVISOR_DIPLOMACY     | An alien race has made contact with our empire, Master. Whether we treat them as friend or foe is a decision solely left to your discretion.
MAIN_ADVISOR_SHIP_ENGINE   | Our scientists continue to push the limits of technology, this time by improving the range of our engines. They await your decision on updated ship designs.
MAIN_ADVISOR_RALLY_POINTS  | A glorious battle is upon us! Direct our newly crafted ships with Rally Points to assemble our fleets wherever you desire.
MAIN_ADVISOR_MISSILE_BASES | Our colonies await your word, Master, to begin the construction of missile bases to aid in their defense against enemy attacks.
MAIN_ADVISOR_SHIP_WEAPON   | Our researchers have conceived devastating new weaponry for our fleets! Revisit our ship designs at your leisure, Master, to decide how our enemies will fall before our overwhelming might.
MAIN_ADVISOR_COUNCIL       | Representatives for the first Galactic Council will soon gather, Master. Our diplomats shall follow your direction to ensure the decisions of the council align with your will. 

