// race-specific variables (must start with _)
_empire                    | Darloks, Sarloks, Spyloks
_race                      | Darlok, Sarlok, Spylok

// Advisor text
MAIN_ADVISOR_TITLE         | %1 Advisor
MAIN_ADVISOR_BUTTON_OK     | Dismiss
MAIN_ADVISOR_SCOUT         | We’ve finished construction on a pair of scouts and a colony ship. Let’s hope the answers we seek present themselves on a nearby world…
MAIN_ADVISOR_TRANSPORT     | No answers found on the planet %1. We should still grow our numbers there by sending any transports we can spare…
MAIN_ADVISOR_DIPLOMACY     | Representatives of a people native to this plane have made themselves known. We must do all we can to learn any answers they possess…
MAIN_ADVISOR_SHIP_ENGINE   | We’ve uncovered a way to produce more efficient engines. We must reach a consensus on how best to update our ship designs to utilize this new technology…
MAIN_ADVISOR_RALLY_POINTS  | A conflict has begun! Our production facilities can rally their newly built ships to a single world and form a fleet there to defend us from the aggressors…
MAIN_ADVISOR_MISSILE_BASES | We’ve lost too much in coming to this universe to lose any more now: have our colonies protect themselves from enemies by building as many defensive missile bases as they can…
MAIN_ADVISOR_SHIP_WEAPON   | We’ve discovered new technology that improves the offensive capabilities of our starships. We must again decide how to update our ship designs to take advantage of this as soon as possible…
MAIN_ADVISOR_COUNCIL       | There are rumors of a gathering known as the Galactic Council which will soon occur. Our spies hope to use it as an opportunity to gather any intelligence they can. The future of our race depends on it!


