// race-specific variables (must start with _)
_empire                    | Meklar Corporate, Mechanar Corporate, Cybernar Corporate
_race                      | Meklar, Mechanar, Cybernar

// Advisor text
MAIN_ADVISOR_TITLE         | %1 Advisor
MAIN_ADVISOR_BUTTON_OK     | Dismiss
MAIN_ADVISOR_SCOUT         | Fleet prepared for exploration and colonization. Awaiting directive to commence operations.
MAIN_ADVISOR_TRANSPORT     | First colony founded on nearby world. Designated “%1.” Able to accommodate %2 additional population. Can transport population from %3 to supplement population.
MAIN_ADVISOR_DIPLOMACY     | New species detected. Designated “%1”. Awaiting further instruction from Mainframe.
MAIN_ADVISOR_SHIP_ENGINE   | Research into improved means of propulsion complete. Confer with engineers on how best to implement new design.
MAIN_ADVISOR_RALLY_POINTS  | Species “%1” has acted to impede our discovery of immortality protocol. Create rally point to centralize fleet and strike against them.
MAIN_ADVISOR_MISSILE_BASES | Request from military division: construct defensive missile bases on surface of outer worlds. Will enable defense of worlds from external aggression.
MAIN_ADVISOR_SHIP_WEAPON   | Research into high-powered weaponry complete. Confer with engineers on how best to implement new design.
MAIN_ADVISOR_COUNCIL       | Notification for convergence of interstellar empires. Designated “Galactic Council.” Will send delegation for ensuring will of Mainframe made clear. 


