//
// Dialogue that is not race-specific
//

DIPLO_TECH_REQUEST_MENU_01   | Яка технологія вас цікавить?
DIPLO_TECH_COUNTER_MENU_01   | Що ви можете запропонувати за це?
DIPLO_TRADE_MENU_01          | Ви пропонуєте торгову угоду:
DIPLO_TREATY_MENU_01         | Що ви бажаєте зробити?
DIPLO_THREATEN_MENU_01       | Чи ви хочете виставити ультиматум?
DIPLO_DECLARE_WAR_MENU_01    | Ви впевнені, що хочете розпочати війну?
DIPLO_JOINT_WAR_MENU_01      | Кому ви хочете, щоб ми оголосили війну?
DIPLO_BREAK_ALLIANCE_MENU_01 | Який союз, ви хочете, щоб ми розірвали?
DIPLO_OFFER_AID_MENU_01      | Що саме ви хочете подарувати?
DIPLO_OFFER_TECH_MENU_01     | Що саме ви хочете подарувати?

DECLINE_OFFER_01           | [my_nameTitle] [my_name] відмовляє.
DECLINE_OFFER_02           | [my_race_plural] розглянули вашу пропозицію та відхилили її.
DECLINE_OFFER_03           | Ми з повагою відхиляємо вашу пропозицію.
DECLINE_OFFER_04           | Ми не зацікавлені.
DECLINE_OFFER_05           | [my_race_plural] не вважають вашу пропозицію справедливою.
DECLINE_OFFER_06           | Наразі не в наших інтересах прийняти вашу пропозицію.
DECLINE_OFFER_07           | Можливо, ви прийняли нас за довірливих дурнів. Ми відхиляємо вашу пропозицію.
DECLINE_OFFER_08           | Ваша пропозиція не здається нам справедливою.
DECLINE_OFFER_09           | На жаль, ми повинні відмовитись.

DECLINE_ENEMY_ALLY_01      | [my_race_plural] ніколи не матимуть справу з союзниками ненависних [other_race_plural2].
DECLINE_ALREADY_ALLIED_01  | [my_race_plural] і наші союзники не можуть розглядати ваш запит, доки ви є союзником інших імперій.
DECLINE_NO_WAR_ON_ALLY_01  | Ми не оголошуватимемо війну своїм союзникам!
DECLINE_PEACE_TREATY_01    | Ми не порушимо наш мирний договір з [other_race_plural5].

DECLINE_ANNOYED_01         | [your_race_plural] багато говорять, але мало роблять. Нас втомлює ваше базікання.
DECLINE_ANNOYED_01         | [your_nameTitle] [your_name], ти випробуєш наше терпіння. Можливо, нам слід поговорити ще раз пізніше.
DECLINE_ANNOYED_01         | [my_nameTitle] [my_name] вважає цю розмову марною. Можливо, нам слід поговорити ще раз пізніше.
DECLINE_ANNOYED_02         | Ми втомилися від дипломатичних переговорів. Ми можемо продовжити обговорення пізніше.
DECLINE_ANNOYED_02         | Зараз ми не можемо знайти з вами консенсус. Можливо краще перенести цю розмову на наступний раз.
DECLINE_ANNOYED_02         | Нам пора.
DECLINE_ANNOYED_03         | Вибачте мені, [your_nameTitle] [your_name], але моєї уваги вимагають інші справи.
DECLINE_ANNOYED_03         | Пробачте, але мій час закінчився.
DECLINE_ANNOYED_03         | У нас мало часу і багато чого робити. Можливо, ми зможемо поговорити ще раз пізніше.


DECLINE_OATHBREAKER_01     | Тепер ми не хочемо укладати договори з вами, оскільки ви вже їх порушували раніше.
DECLINE_OATHBREAKER_01     | Ви не дотримувались домовленостей у минулому. Тепер ми не можемо вам довіряти.
DECLINE_OATHBREAKER_01     | Чому ми повинні довіряти вам зараз, коли ви порушили стільки договорів?
DECLINE_OATHBREAKER_01     | Ми не бачимо підстав договорюватися з тим, хто не дотримувався минулих обіцянок.
DECLINE_OATHBREAKER_01     | Ми не матимемо справу з такими безчесними істотами, як [your_race_plural]!

DECLINE_ESPIONAGE_01       | Ви, безчесні тварі, крадете плоди наших досліджень! Ми відхиляємо ваш запит.
DECLINE_ESPIONAGE_01       | Наши технологія призначені лише для [my_race_plural2]. Ви не маєте права їх красти. Нам нема про що говорити.
DECLINE_ESPIONAGE_01       | Чому ми повинні вам щось давати? Ваші шпигуни вже крадуть все, що вам потрібно!
DECLINE_ESPIONAGE_01       | Як ви можете очікувати, що ми погоджуватимемося, коли ваші шпигуни крадуть наші технології?
DECLINE_ESPIONAGE_01       | Відкличте своїх шпигунів, тоді ми поговоримо.

DECLINE_SABOTAGE_01        | Ми не забули вашу останню диверсійну спробу. Доки ви не доведете свою надійність, ми не матимемо з вами справу.
DECLINE_SABOTAGE_01        | Мій народ постраждав від вашого саботажу. Ми не матимемо з вами справу, доки це не припиниться.
DECLINE_SABOTAGE_01        | Що?! Ви очікуєте від нас згоди, коли ви саботували наші [target]?
DECLINE_SABOTAGE_01        | Ти знищив наші [target]. Чому ми повинні мати з вами справу?
DECLINE_SABOTAGE_01        | Коли ви перестаєте саботувати наші [target], ми зможемо розглянути це питання далі.

DECLINE_BUILDUP_01         | Ми не обговорюватимемо цю згоду, поки ваш флот збільшується біля наших кордонів. 
DECLINE_BUILDUP_01         | Доки ваш флот збирається біля наших кордонів, я не бачу сенсу мати з вами справу!
DECLINE_BUILDUP_01         | Ваші кораблі на кордоні нам не страшні, але ми не хочемо мати справу з подобними агресорами.
DECLINE_BUILDUP_01         | Якщо ви хочете мати справу з [my_empire5], то відправте свої кораблі погрожувати іншим.

