// race-specific variables (must start with _)
_empire                           | Тріумвірат Людей, Тріумвірат Терран, Тріумвірат Теллан, Тріумвірат Прайманів, Тріумвірат Мідгардів
_empire2                          | Тріумвірату Людей, Тріумвірату Терран, Тріумвірату Теллан, Тріумвірату Прайманів, Тріумвірату Мідгардів
_empire3                          | Тріумвірату Людей, Тріумвірату Терран, Тріумвірату Теллан, Тріумвірату Прайманів, Тріумвірату Мідгардів
_empire4                          | Тріумвірат Людей, Тріумвірат Терран, Тріумвірат Теллан, Тріумвірат Прайманів, Тріумвірат Мідгардів
_empire5                          | Тріумвіратом Людей, Тріумвіратом Терран, Тріумвіратом Теллан, Тріумвіратом Прайманів, Тріумвіратом Мідгардів
_race                             | Людина, Терран, Теллан, Прайман, Мідгард
_race2                            | Людини, Террана, Теллана, Праймана, Мідгарда
_race3                            | Людині, Террану, Теллану, Прайману, Мідгарду
_race4                            | Людину, Террана, Теллана, Праймана, Мідгарда
_race5                            | Людиною, Терраном, Телланом, Прайманом, Мідгардом
_race7                            | Людино, Терране, Теллане, Праймане, Мідгарде
_race_plural                      | Люди, Террани, Теллани, Праймани, Мідгарди
_race_plural2                     | Людей, Терран, Теллан, Прайман, Мідгардів
_race_plural3                     | Людям, Терранам, Телланм, Прайманам, Мідгардам
_race_plural4                     | Людей, Терран, Теллан, Прайман, Мідгардів
_race_plural5                     | Людьми, Терранами, Телланами, Прайманами, Мідгардами
_race_plural7                     | Люди, Терране, Теллане, Праймани, Мідгарди
_title                            | Тріумвір
_title3                           | Тріумвіру
_title7                           | Тріумвіре
_nameTitle                        | Тріумвір

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
	MAIN_ADVISOR_TITLE                | Радник Людей
	MAIN_ADVISOR_BUTTON_OK            | Сховати
	MAIN_ADVISOR_SCOUT                | Наш відділ матеріально-технічного забезпечення повідомляє, що розвідник та корабель для колонізації готові до вильоту. Я пропоную нам знайти та колонізувати придатну для життя планету.
	MAIN_ADVISOR_TRANSPORT            | Колонія в системі "%1" була створена. Є сенс відправити туди транспорти для прискорення її розвитку. Тільки так вона швидше стане основою нашої економіки!
	MAIN_ADVISOR_DIPLOMACY            | Тріумвіре, я радий підтвердити наш перший контакт з іноземною цивілізацією! Перші враження завжди важливі, вони створюють основу для нашого майбутнього впливу на них.
	MAIN_ADVISOR_SHIP_ENGINE          | Наші вчені завершили дослідження нової конструкції двигуна кораблів. Будь ласка, інтегруйте її в креслення наших кораблів.
	MAIN_ADVISOR_RALLY_POINTS         | Наші адмірали вже готові до війни, але нам потрібно швидко мобілізувати наші сили. Я рекомендую використовувати точки збору для розподілу флоту та організації нових кораблів.
	MAIN_ADVISOR_MISSILE_BASES        | Ваші радники турбуються про оборону наших територій. Вони стверджують, що кораблі не завжди можуть захищати наші планети та рекомендують будівництво стаціонарних ракетних баз.
	MAIN_ADVISOR_SHIP_WEAPON          | Новий винахід у сфері озброєння викликав фурор. Ваші контрадмірали та радники рекомендують негайно переглянути креслення кораблів для його використання.
	MAIN_ADVISOR_COUNCIL              | Тріумвіре! Вже через 5 років буде скликана перша зустріч імперій галактики, на якій у нас буде шанс обрати першого правителя галактики. Зараз як ніколи важливо поліпшити відносини з іншими імперіями.
	MAIN_ADVISOR_REBELLION            | Мені тільки що надіслали рапорт про те, що трапилося на планеті %1. Тут стверджується, що організовані й озброєні люди захопили контроль і відмовляються виходити на контакт. Варто негайно відправити туди військо.
	MAIN_ADVISOR_RESIST_COUNCIL       | Здається, це буде остання війна для людства. Я вважаю, що залишається лише сподіватися, що вона буде причиною для гордості та радості людства у майбутньому, не суму й жалю... 
	MAIN_ADVISOR_COUNCIL_RESISTED     | Подивіться на тих дурнів! Ми були обрані демократичним шляхом, щоб вести цю галактику вперед, а вони можуть відповісти лише війною?! Добре. Якщо вони хочуть війну, ми дамо їм війну.

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Ваші найкращі плани були назавжди зруйновані.#Ще у далекому минулому, людство демонструвало неймовірну здатність долати труднощі, як зовнішні, так і ті, що воно будувало само для себе. Але ж тут, у холодному космосі, воно знайшло тих, кого подолати вже не змогло. Усі люди Землі, об'єднані проти єдиного ворога, не змогли використати ні їх відому людську дипломатію, ні їх силу чи хоробрість для подолання, можливо, фінальної перешкоди між вашим домінуванням у галактиці та повним вимиранням.#Зовсім скоро помре і культура людей: не буде більше ні мрій, ні мистецтва, ні пісень чи книг. Нова ера для космосу настане вже сьогодні - темні часи, де нас немає. Той голос надії, що вів нас вперед з далеких часів, поступово згасав з кожною перемогою ворога і з кожною нашою поразкою, та вже зовсім скоро він повністю затих, залишивши позаду лише спогади... 
GAME_OVER_MILITARY_WIN2           | Ваші найкращі плани, нарешті, втілилися в життя!#Радуйтесь, Тріумвіре! Сьогодні ви здобули перемогу для свого народу і подарували йому усю галактику. Нарешті довгі роки підготовки та ретельної організації ваших хитрих планів завершились. Хитрість вашої дипломатії так ніхто і не побачив, коли ви усували опонентів, один за іншим, а блискучість стратега дозволяла вам маніпулювати ворогами навіть на полі бою, де вони вважали, що їхня перемога неминуча. Тепер це лише сторінки у підручниках з історії. Та й тільки в тому випадку, якщо ви дозволите їм бути такими.#Незабаром на кожній планеті Тріумвірату відбудеться свято. Найбільше в історії галактики! Ще з часів, коли люди вперше подивились на зірки, вони замислювались, чи є хтось там, в далекому космосі. Але ж тепер в нас є відповідь на це питання: немає... Тепер залишилися лише ми...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Ви майстерно реалізували ваші плани в життя.#Лише дурень вважатиме, що можливо побудувати імперію без друзів та союзників. Але ж ви не дурень та ви доводили це раз за разом. В час війни, коли кожний корабель може послугувати причиною поразки чи перемоги у війні, міцні узи дружби привели вас до перемоги. Вже сьогодні, коли ваші вороги зазнали поразки, а ви з вашими союзниками святкуєте перемогу, ви нарешті можете поглянути на зірки й вперше всерйоз заявити, що це все - надбання людства.#Ця битва, ця перемога і цей мир стануть цінними уроками для нащадків. Вони бачитимуть, що союзи є могутнішими, ніж навіть найжахливіша зброя, а холодна розважливість страшніша, ніж найжахливіша лють. Розслабтеся і насолоджуйтеся плодами своєї праці, Тріумвіре! Сьогодні ви це заслужили.
